"dataset","nhidden","nblocks","blockForm","learningrate","valAccuracy","bottleneck","testAccuracy"
"abalone",1024,2,"rect",0.01,0.591543328762055,0.25,0.594827592372894
"abalone",1024,8,"rect",0.01,0.589640575647354,0.5,0.568965494632721
"abalone",256,8,"diavolo",0.01,0.587103587388992,0.5,0.57758617401123
"abalone",512,3,"diavolo",0.01,0.58668075799942,0.25,0.580459773540497
"abalone",256,4,"rect",0.01,0.585835087299347,0.5,0.589080393314362
"abalone",512,16,"rect",0.01,0.584355163574219,0.5,0.589080452919006
"abalone",1024,4,"rect",0.01,0.583298084139824,0.25,0.559386968612671
"abalone",1024,4,"rect",0.1,0.581395345926285,0.25,0.456896543502808
"abalone",256,16,"rect",0.01,0.580338257551193,0.25,0.591954052448273
"abalone",512,3,"rect",0.01,0.57399577498436,0.25,0.50957852602005
"abalone",1024,4,"rect",0.01,0.571881604194641,0.5,0.578544080257416
"abalone",256,3,"diavolo",0.01,0.571247357130051,0.25,0.548850536346436
"abalone",1024,4,"diavolo",0.01,0.569978845119476,0.5,0.583333373069763
"abalone",256,8,"rect",0.01,0.56744185090065,0.5,0.57662832736969
"abalone",256,4,"diavolo",0.01,0.566596180200577,0.25,0.550766348838806
"abalone",512,2,"diavolo",0.01,0.564270621538162,0.25,0.525862097740173
"abalone",1024,4,"diavolo",0.01,0.557505282759666,0.25,0.569923400878906
"abalone",512,2,"diavolo",0.01,0.556448203325272,0.5,0.573754787445068
"abalone",1024,2,"diavolo",0.01,0.554968273639679,0.25,0.574712634086609
"abalone",512,4,"diavolo",0.01,0.554545444250107,0.5,0.497126400470734
"abalone",1024,3,"rect",0.01,0.553699773550034,0.5,0.555555522441864
"abalone",256,4,"rect",0.01,0.55348836183548,0.25,0.519157111644745
"abalone",256,2,"diavolo",0.01,0.55285410284996,0.5,0.564176261425018
"abalone",1024,3,"rect",0.01,0.552431279420853,0.25,0.563218414783478
"abalone",1024,2,"diavolo",0.01,0.548837196826935,0.5,0.532567083835602
"abalone",512,3,"rect",0.01,0.545031702518463,0.5,0.576628386974335
"abalone",1024,2,"rect",0.01,0.544608870148659,0.5,0.48563215136528
"abalone",1024,3,"diavolo",0.01,0.519450303912163,0.25,0.496168583631516
"abalone",256,3,"diavolo",0.01,0.517758974432945,0.5,0.503831386566162
"abalone",512,3,"diavolo",0.01,0.469978857040405,0.5,0.505747139453888
"abalone",256,3,"rect",0.01,0.426427048444748,0.25,0.431992292404175
"abalone",512,2,"rect",0.01,0.368921768665314,0.25,0.387931019067764
"abalone",512,8,"rect",0.1,0.328964075446129,0.25,0.336206883192062
"abalone",512,8,"rect",0.1,0.328541243076324,0.5,0.347701102495193
"abalone",1024,16,"diavolo",0.1,0.327695575356484,0.25,0.336206883192062
"abalone",256,2,"diavolo",1,0.326004248857498,0.25,0.336206912994385
"abalone",512,4,"diavolo",1,0.32410149872303,0.25,0.336206912994385
"abalone",256,2,"diavolo",1,0.323890084028244,0.5,0.336206912994385
"abalone",1024,16,"rect",0.1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,16,"rect",0.1,0.323467254638672,0.5,0.336206912994385
"abalone",1024,16,"diavolo",0.1,0.323467254638672,0.5,0.336206883192062
"abalone",512,16,"rect",0.1,0.323467254638672,0.25,0.336206883192062
"abalone",512,16,"rect",0.1,0.323467254638672,0.5,0.336206912994385
"abalone",1024,16,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,16,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,16,"diavolo",1,0.323467254638672,0.25,0.336206912994385
"abalone",1024,16,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,16,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",512,16,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,16,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",512,16,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",256,16,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",256,16,"rect",1,0.323467254638672,0.5,0.336206912994385
"abalone",256,16,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,16,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,8,"rect",0.1,0.323467254638672,0.25,0.336206912994385
"abalone",1024,8,"rect",0.1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,8,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",1024,8,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,8,"diavolo",1,0.323467254638672,0.25,0.336206912994385
"abalone",1024,8,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,8,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,8,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",512,8,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",256,8,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",256,8,"rect",1,0.323467254638672,0.5,0.336206912994385
"abalone",256,8,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,8,"diavolo",1,0.323467254638672,0.5,0.336206912994385
