"dataset","learningrate","valAccuracy","blockForm","nblocks","bottleneck","testAccuracy","nhidden"
"teaching",0.1,0.714285743236542,"diavolo",3,0.25,0.552631556987762,256
"teaching",0.01,0.678571462631226,"rect",8,0.25,0.394736856222153,256
"teaching",0.01,0.678571456670761,"diavolo",4,0.25,0.5,256
"teaching",0.01,0.614285755157471,"diavolo",3,0.25,0.552631616592407,512
"teaching",0.1,0.607142895460129,"diavolo",2,0.5,0.5,512
"teaching",0.1,0.600000035762787,"rect",3,0.5,0.421052664518356,512
"teaching",0.01,0.600000035762787,"diavolo",3,0.25,0.421052634716034,1024
"teaching",0.01,0.600000035762787,"rect",2,0.5,0.421052634716034,1024
"teaching",0.1,0.600000035762787,"diavolo",2,0.25,0.552631616592407,256
"teaching",0.01,0.59285718202591,"rect",2,0.5,0.473684191703796,256
"teaching",0.1,0.585714316368103,"diavolo",4,0.25,0.526315808296204,256
"teaching",0.1,0.585714304447174,"rect",4,0.5,0.526315808296204,512
"teaching",0.1,0.578571462631226,"diavolo",4,0.25,0.5,512
"teaching",0.01,0.578571462631226,"rect",2,0.5,0.39473682641983,512
"teaching",0.1,0.578571456670761,"diavolo",3,0.25,0.421052634716034,1024
"teaching",0.01,0.578571456670761,"diavolo",2,0.25,0.394736856222153,512
"teaching",0.01,0.571428596973419,"rect",8,0.5,0.5,512
"teaching",0.01,0.571428596973419,"rect",2,0.25,0.421052634716034,256
"teaching",0.1,0.571428596973419,"diavolo",3,0.5,0.447368413209915,512
"teaching",0.01,0.571428596973419,"diavolo",3,0.5,0.447368413209915,512
"teaching",0.1,0.571428596973419,"rect",2,0.25,0.578947365283966,512
"teaching",0.1,0.564285737276077,"rect",4,0.25,0.368421047925949,512
"teaching",0.01,0.5571428835392,"rect",4,0.25,0.447368443012238,256
"teaching",0.1,0.5571428835392,"rect",2,0.25,0.552631616592407,1024
"teaching",0.01,0.5571428835392,"diavolo",4,0.5,0.342105269432068,1024
"teaching",0.01,0.557142877578735,"rect",3,0.25,0.368421047925949,1024
"teaching",0.1,0.550000029802322,"diavolo",2,0.25,0.473684191703796,1024
"teaching",0.1,0.550000029802322,"rect",2,0.25,0.5,256
"teaching",0.1,0.550000023841858,"rect",2,0.5,0.657894730567932,512
"teaching",0.1,0.550000017881394,"diavolo",4,0.25,0.39473682641983,1024
"teaching",0.01,0.550000017881393,"diavolo",8,0.5,0.421052634716034,512
"teaching",0.01,0.542857164144516,"rect",16,0.5,0.578947365283966,1024
"teaching",0.01,0.542857164144516,"diavolo",16,0.5,0.421052604913712,256
"teaching",0.01,0.542857158184052,"rect",3,0.5,0.447368413209915,256
"teaching",0.1,0.542857158184052,"rect",3,0.5,0.5,256
"teaching",0.1,0.53571429848671,"diavolo",3,0.5,0.447368413209915,256
"teaching",0.01,0.528571444749832,"rect",4,0.25,0.368421047925949,1024
"teaching",0.01,0.521428608894348,"diavolo",16,0.5,0.342105239629745,1024
"teaching",0.01,0.521428591012955,"rect",4,0.5,0.39473682641983,1024
"teaching",0.1,0.521428591012955,"diavolo",4,0.5,0.5,512
"teaching",0.01,0.52142858505249,"rect",8,0.25,0.526315808296204,1024
"teaching",0.01,0.52142858505249,"rect",4,0.5,0.289473682641983,256
"teaching",0.01,0.521428579092026,"rect",2,0.25,0.421052634716034,1024
"teaching",0.1,0.521428579092026,"rect",2,0.5,0.447368413209915,256
"teaching",0.01,0.514285746216774,"rect",16,0.5,0.263157904148102,256
"teaching",0.01,0.514285731315613,"diavolo",8,0.5,0.394736856222153,256
"teaching",0.01,0.514285731315613,"rect",3,0.5,0.289473682641983,1024
"teaching",0.1,0.514285731315613,"rect",3,0.25,0.315789490938187,512
"teaching",0.01,0.514285725355148,"rect",8,0.5,0.421052634716034,1024
"teaching",0.01,0.514285725355148,"diavolo",8,0.5,0.447368413209915,1024
"teaching",0.1,0.514285725355148,"diavolo",4,0.5,0.342105269432068,1024
"teaching",0.01,0.514285725355148,"diavolo",4,0.25,0.421052604913712,1024
"teaching",0.1,0.507142880558968,"diavolo",3,0.5,0.421052634716034,1024
"teaching",0.1,0.507142877578735,"rect",4,0.5,0.5,256
"teaching",0.01,0.507142877578735,"rect",3,0.25,0.5,512
"teaching",0.1,0.507142874598503,"rect",3,0.25,0.473684191703796,256
"teaching",0.1,0.507142865657806,"diavolo",2,0.25,0.421052634716034,512
"teaching",0.1,0.500000017881393,"diavolo",3,0.25,0.368421047925949,512
"teaching",0.1,0.500000011920929,"diavolo",8,0.25,0.289473682641983,256
"teaching",0.1,0.500000011920929,"diavolo",2,0.5,0.552631556987762,1024
"teaching",0.01,0.5,"diavolo",2,0.25,0.447368413209915,256
"teaching",0.01,0.492857158184052,"rect",16,0.25,0.342105269432068,1024
"teaching",0.1,0.492857158184052,"rect",4,0.25,0.394736856222153,256
"teaching",0.01,0.492857146263123,"diavolo",8,0.25,0.473684191703796,1024
"teaching",0.01,0.492857146263122,"rect",3,0.5,0.421052604913712,512
"teaching",0.1,0.485714310407639,"diavolo",2,0.5,0.5,256
"teaching",0.1,0.485714304447174,"rect",2,0.5,0.473684191703796,1024
"teaching",0.01,0.478571444749832,"diavolo",3,0.5,0.473684221506119,1024
"teaching",0.01,0.47142858505249,"diavolo",8,0.25,0.157894730567932,512
"teaching",0.01,0.464285728335381,"rect",4,0.5,0.447368413209915,512
"teaching",0.01,0.464285725355148,"rect",16,0.25,0.447368443012238,256
"teaching",0.01,0.464285725355148,"rect",4,0.25,0.394736856222153,512
"teaching",0.01,0.457142877578735,"rect",3,0.25,0.315789490938187,256
"teaching",0.01,0.457142877578735,"diavolo",4,0.5,0.342105269432068,512
"teaching",0.1,0.457142874598503,"rect",8,0.5,0.552631616592407,256
"teaching",0.01,0.457142871618271,"diavolo",16,0.25,0.39473682641983,1024
"teaching",0.01,0.450000023841858,"diavolo",3,0.25,0.421052604913712,256
"teaching",0.01,0.442857158184052,"diavolo",8,0.25,0.421052634716034,256
"teaching",0.01,0.435714310407639,"diavolo",2,0.25,0.289473682641983,1024
"teaching",0.01,0.428571450710297,"rect",8,0.5,0.315789461135864,256
"teaching",0.01,0.428571450710297,"diavolo",4,0.5,0.342105239629745,256
"teaching",0.01,0.428571450710297,"rect",2,0.25,0.289473682641983,512
"teaching",0.1,0.428571447730064,"diavolo",4,0.5,0.447368443012238,256
"teaching",0.01,0.4285714417696,"diavolo",16,0.25,0.421052634716034,512
"teaching",0.01,0.428571435809135,"rect",8,0.25,0.526315808296204,512
"teaching",0.1,0.42142858505249,"diavolo",8,0.25,0.368421047925949,512
"teaching",0.1,0.421428579092026,"rect",8,0.25,0.342105239629745,256
"teaching",0.01,0.4071428835392,"diavolo",16,0.5,0.447368413209915,512
"teaching",0.1,0.407142868638039,"diavolo",8,0.5,0.315789461135864,256
"teaching",0.01,0.40000002682209,"diavolo",2,0.5,0.394736856222153,256
"teaching",0.1,0.38571429848671,"diavolo",16,0.5,0.315789461135864,512
"teaching",0.01,0.385714295506477,"rect",16,0.5,0.368421077728271,512
"teaching",0.01,0.385714295506477,"diavolo",3,0.5,0.368421047925949,256
"teaching",0.01,0.378571450710297,"diavolo",16,0.25,0.473684221506119,256
"teaching",0.01,0.378571447730064,"diavolo",4,0.25,0.184210523962975,512
"teaching",0.01,0.371428588032722,"diavolo",2,0.5,0.342105269432068,512
"teaching",0.01,0.37142858505249,"rect",16,0.25,0.315789461135864,512
"teaching",0.1,0.371428579092026,"diavolo",16,0.5,0.315789461135864,1024
"teaching",0.01,0.364285734295845,"diavolo",2,0.5,0.473684221506119,1024
"teaching",1,0.364285725355148,"diavolo",4,0.5,0.315789461135864,512
"teaching",1,0.364285725355148,"diavolo",3,0.5,0.315789461135864,1024
"teaching",0.1,0.364285722374916,"diavolo",8,0.5,0.315789461135864,512
"teaching",0.1,0.357142865657806,"rect",16,0.25,0.315789461135864,1024
"teaching",0.1,0.357142865657806,"rect",16,0.5,0.315789461135864,1024
"teaching",0.1,0.357142865657806,"rect",16,0.25,0.315789461135864,512
"teaching",0.1,0.357142865657806,"rect",16,0.5,0.315789461135864,512
"teaching",0.1,0.357142865657806,"rect",16,0.25,0.315789461135864,256
"teaching",0.1,0.357142865657806,"diavolo",16,0.25,0.368421077728271,256
"teaching",1,0.357142865657806,"rect",16,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",16,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",16,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",16,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",16,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",16,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",16,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",16,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",16,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",16,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",16,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",16,0.5,0.315789461135864,256
"teaching",0.1,0.357142865657806,"rect",8,0.25,0.315789461135864,1024
"teaching",0.1,0.357142865657806,"rect",8,0.5,0.315789461135864,1024
"teaching",0.1,0.357142865657806,"rect",8,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",8,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",8,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",8,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",8,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",8,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",8,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",8,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",8,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",8,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",8,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",8,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",8,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",4,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",4,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",4,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",4,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",4,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",4,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",4,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",4,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",4,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",4,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",4,0.5,0.315789461135864,256
"teaching",0.1,0.357142865657806,"rect",3,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",3,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",3,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",3,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",3,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",3,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",3,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",3,0.5,0.315789461135864,512
