"dataset","nblocks","learningrate","blockForm","valAccuracy","nhidden","bottleneck","testAccuracy"
"oocytes_merluccius_states_2f",2,0.1,"rect",0.933333396911621,1024,0.25,0.937254905700684
"oocytes_merluccius_states_2f",4,0.1,"rect",0.92380952835083,256,0.25,0.925490200519562
"oocytes_merluccius_states_2f",4,0.1,"rect",0.921904814243317,1024,0.5,0.901960790157318
"oocytes_merluccius_states_2f",4,0.01,"rect",0.914285778999329,1024,0.25,0.890196084976196
"oocytes_merluccius_states_2f",4,0.01,"rect",0.914285778999329,512,0.25,0.850980401039124
"oocytes_merluccius_states_2f",2,0.1,"rect",0.9142857670784,256,0.25,0.917647063732147
"oocytes_merluccius_states_2f",3,0.01,"diavolo",0.912380981445313,1024,0.25,0.909803926944733
"oocytes_merluccius_states_2f",2,0.01,"rect",0.910476231575012,256,0.5,0.894117653369904
"oocytes_merluccius_states_2f",8,0.1,"rect",0.909523832798004,512,0.25,0.894117653369904
"oocytes_merluccius_states_2f",4,0.01,"diavolo",0.908571469783783,512,0.25,0.862745106220245
"oocytes_merluccius_states_2f",3,0.1,"rect",0.908571469783783,1024,0.5,0.882352948188782
"oocytes_merluccius_states_2f",8,0.01,"diavolo",0.906666719913483,512,0.25,0.882352948188782
"oocytes_merluccius_states_2f",16,0.01,"rect",0.905714333057404,256,0.25,0.886274516582489
"oocytes_merluccius_states_2f",4,0.01,"rect",0.902857184410095,1024,0.5,0.886274516582489
"oocytes_merluccius_states_2f",16,0.1,"diavolo",0.901904809474945,256,0.5,0.874509811401367
"oocytes_merluccius_states_2f",8,0.1,"diavolo",0.900000047683716,256,0.5,0.874509811401367
"oocytes_merluccius_states_2f",3,0.1,"diavolo",0.900000023841858,512,0.25,0.898039221763611
"oocytes_merluccius_states_2f",3,0.1,"rect",0.900000017881393,1024,0.25,0.901960790157318
"oocytes_merluccius_states_2f",3,0.01,"diavolo",0.900000011920929,512,0.25,0.874509811401367
"oocytes_merluccius_states_2f",4,0.1,"rect",0.899047666788101,256,0.5,0.905882358551025
"oocytes_merluccius_states_2f",2,0.1,"rect",0.899047660827637,1024,0.5,0.882352948188782
