"dataset","testAccuracy","valAccuracy","nblocks","nhidden","bottleneck","blockForm","learningrate"
"wine",0.318181812763214,0.46153849363327,3,256,0.5,"rect",1
"wine",0.318181812763214,0.46153849363327,3,256,0.5,"diavolo",1
"wine",0.318181812763214,0.46153849363327,2,1024,0.25,"rect",1
"wine",0.318181812763214,0.46153849363327,2,1024,0.25,"diavolo",1
"wine",0.318181812763214,0.46153849363327,2,1024,0.5,"rect",1
"wine",0.318181812763214,0.46153849363327,2,1024,0.5,"diavolo",1
"wine",0.318181812763214,0.46153849363327,2,512,0.25,"rect",1
"wine",0.318181812763214,0.46153849363327,2,512,0.25,"diavolo",1
"wine",0.318181812763214,0.46153849363327,2,512,0.5,"rect",1
"wine",0.318181812763214,0.46153849363327,2,256,0.25,"rect",1
"wine",0.318181812763214,0.46153849363327,2,256,0.25,"diavolo",1
"wine",0.318181812763214,0.46153849363327,2,256,0.5,"rect",1
"wine",0.318181812763214,0.46153849363327,2,256,0.5,"diavolo",1
"wine",0.318181812763214,0.45000002682209,16,512,0.5,"diavolo",0.1
"wine",0.318181812763214,0.423076951503754,4,1024,0.25,"rect",0.1
"wine",0.318181812763214,0.415384644269943,8,1024,0.5,"diavolo",0.1
"wine",0.318181812763214,0.411538487672806,8,512,0.25,"rect",0.1
"wine",0.318181812763214,0.411538487672806,4,1024,0.5,"rect",0.1
"wine",0.272727280855179,0.411538484692574,3,1024,0.25,"rect",0.1
"wine",0.318181812763214,0.384615409374237,16,256,0.5,"rect",0.1
"wine",0.227272734045982,0.296153873205185,3,1024,0.5,"rect",0.1
"wine",0.272727280855179,0.253846168518066,8,512,0.5,"rect",0.1
