"dataset","nhidden","bottleneck","blockForm","valAccuracy","nblocks","learningrate","testAccuracy"
"ringnorm",1024,0.25,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",1024,0.5,"rect",0.510765552520752,8,1,0.495135128498077
"ringnorm",1024,0.5,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",512,0.25,"rect",0.510765552520752,8,1,0.495135128498077
"ringnorm",512,0.25,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",512,0.5,"rect",0.510765552520752,8,1,0.495135128498077
"ringnorm",512,0.5,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",256,0.25,"rect",0.510765552520752,8,1,0.4951351583004
"ringnorm",256,0.25,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",256,0.5,"rect",0.510765552520752,8,1,0.495135128498077
"ringnorm",256,0.5,"diavolo",0.510765552520752,8,1,0.495135128498077
"ringnorm",1024,0.25,"rect",0.510765552520752,4,1,0.495135128498077
"ringnorm",1024,0.25,"diavolo",0.510765552520752,4,1,0.495135128498077
"ringnorm",1024,0.5,"rect",0.510765552520752,4,1,0.495135128498077
"ringnorm",1024,0.5,"diavolo",0.510765552520752,4,1,0.495135128498077
"ringnorm",512,0.25,"rect",0.510765552520752,4,1,0.495135128498077
"ringnorm",512,0.25,"diavolo",0.510765552520752,4,1,0.495135128498077
"ringnorm",512,0.5,"rect",0.510765552520752,4,1,0.495135128498077
"ringnorm",512,0.5,"diavolo",0.510765552520752,4,1,0.4951351583004
"ringnorm",256,0.25,"rect",0.510765552520752,4,1,0.495135128498077
"ringnorm",256,0.25,"diavolo",0.510765552520752,4,1,0.495135128498077
"ringnorm",256,0.5,"rect",0.510765552520752,4,1,0.4951351583004
"ringnorm",256,0.5,"diavolo",0.510765552520752,4,1,0.495135128498077
"ringnorm",1024,0.25,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",1024,0.25,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",1024,0.5,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",1024,0.5,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",512,0.25,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",512,0.25,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",512,0.5,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",512,0.5,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",256,0.25,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",256,0.25,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",256,0.5,"rect",0.510765552520752,3,1,0.495135128498077
"ringnorm",256,0.5,"diavolo",0.510765552520752,3,1,0.495135128498077
"ringnorm",1024,0.25,"rect",0.510765552520752,2,1,0.4951351583004
"ringnorm",1024,0.25,"diavolo",0.510765552520752,2,1,0.495135128498077
"ringnorm",1024,0.5,"rect",0.510765552520752,2,1,0.4951351583004
"ringnorm",1024,0.5,"diavolo",0.510765552520752,2,1,0.495135128498077
"ringnorm",512,0.25,"rect",0.510765552520752,2,1,0.495135128498077
"ringnorm",512,0.25,"diavolo",0.510765552520752,2,1,0.4951351583004
"ringnorm",512,0.5,"rect",0.510765552520752,2,1,0.495135128498077
"ringnorm",512,0.5,"diavolo",0.510765552520752,2,1,0.495135128498077
"ringnorm",256,0.25,"rect",0.510765552520752,2,1,0.495135128498077
"ringnorm",256,0.25,"diavolo",0.510765552520752,2,1,0.495135128498077
"ringnorm",256,0.5,"rect",0.510765552520752,2,1,0.495135128498077
"ringnorm",256,0.5,"diavolo",0.510765552520752,2,1,0.4951351583004
