"dataset","testAccuracy","valAccuracy","learningrate","blockForm","nblocks","bottleneck","nhidden"
"optical",0.948247075080872,0.969986963272095,0.01,"diavolo",3,0.5,256
"optical",0.955481350421906,0.969855904579163,0.1,"diavolo",3,0.5,512
"optical",0.938786864280701,0.969855892658234,0.01,"rect",4,0.5,256
"optical",0.953811883926392,0.969855886697769,0.01,"rect",3,0.25,512
"optical",0.946577608585358,0.969593787193298,0.01,"diavolo",8,0.25,256
"optical",0.937117338180542,0.969462722539902,0.01,"rect",16,0.5,256
"optical",0.956037878990173,0.969200599193573,0.1,"diavolo",3,0.5,1024
"optical",0.939343392848969,0.96906955242157,0.01,"diavolo",16,0.25,256
"optical",0.963828563690186,0.969069540500641,0.1,"diavolo",3,0.25,1024
"optical",0.94045627117157,0.968676364421845,0.01,"rect",3,0.5,1024
"optical",0.947690606117249,0.968545317649841,0.01,"rect",8,0.25,256
"optical",0.93767386674881,0.967627906799317,0.01,"diavolo",16,0.25,512
"optical",0.957707285881042,0.967496818304062,0.01,"diavolo",3,0.25,512
"optical",0.946021020412445,0.966841495037079,0.01,"diavolo",3,0.5,512
"optical",0.954368352890015,0.966579377651215,0.01,"rect",8,0.5,512
"optical",0.949916481971741,0.966448277235031,0.01,"diavolo",8,0.25,512
"optical",0.944908142089844,0.966186159849167,0.01,"diavolo",4,0.5,512
"optical",0.954924881458282,0.965792971849442,0.01,"rect",2,0.5,1024
"optical",0.941569328308105,0.964744520187378,0.01,"rect",4,0.25,1024
"optical",0.939899802207947,0.964613455533981,0.01,"diavolo",2,0.5,512
"optical",0.938786804676056,0.964482402801514,0.01,"diavolo",8,0.5,512
"optical",0.939343214035034,0.962647515535355,0.01,"rect",4,0.5,1024
"optical",0.944908142089844,0.962254339456558,0.01,"rect",16,0.25,512
"optical",0.93489146232605,0.961861169338226,0.01,"rect",16,0.5,512
"optical",0.938230395317078,0.961861121654511,0.01,"rect",16,0.25,256
"optical",0.945464670658112,0.958977770805359,0.01,"diavolo",2,0.25,1024
"optical",0.928770065307617,0.95714293718338,0.01,"diavolo",16,0.5,512
"optical",0.946577608585358,0.956487631797791,0.01,"diavolo",16,0.5,256
"optical",0.943238615989685,0.955439162254334,0.01,"rect",3,0.25,1024
"optical",0.919309973716736,0.954128527641297,0.01,"rect",8,0.25,512
"optical",0.944351613521576,0.953997439146042,0.01,"rect",8,0.25,1024
"optical",0.919309914112091,0.952948963642121,0.01,"rect",16,0.25,1024
"optical",0.939343273639679,0.952555739879608,0.01,"diavolo",4,0.25,1024
"optical",0.928213655948639,0.951900440454483,0.01,"diavolo",3,0.25,1024
"optical",0.921535849571228,0.947837555408478,0.01,"rect",8,0.5,1024
"optical",0.909849762916565,0.944561004638672,0.01,"diavolo",16,0.5,1024
"optical",0.928770124912262,0.942332953214645,0.01,"diavolo",2,0.5,1024
"optical",0.914858043193817,0.940629160404205,0.01,"diavolo",16,0.25,1024
"optical",0.890929281711578,0.935255610942841,0.01,"diavolo",4,0.5,1024
"optical",0.910962641239166,0.932241195440292,0.01,"rect",16,0.5,1024
"optical",0.878130197525024,0.92673664689064,0.01,"diavolo",8,0.25,1024
"optical",0.905397832393646,0.920576727390289,0.01,"diavolo",3,0.5,1024
"optical",0.884808003902435,0.920183527469635,0.01,"diavolo",8,0.5,1024
"optical",0.110740125179291,0.0946264833211899,0.1,"rect",16,0.25,512
"optical",0.0990539863705635,0.0917431265115738,1,"diavolo",3,0.25,512
"optical",0.0990539863705635,0.090039324760437,1,"diavolo",2,0.25,1024
"optical",0.0990539863705635,0.090039324015379,1,"diavolo",2,0.25,512
"optical",0.0990539863705635,0.0895150773227215,1,"diavolo",2,0.5,512
"optical",0.0990539863705635,0.0891218952834606,1,"diavolo",3,0.5,256
"optical",0.0990539863705635,0.0891218952834606,1,"diavolo",2,0.25,256
"optical",0.0990539863705635,0.0888597697019577,1,"diavolo",2,0.5,256
