"dataset","nhidden","valAccuracy","blockForm","learningrate","bottleneck","testAccuracy","nblocks"
"vertebral-column-3clases",1024,0.134375,"diavolo",1,0.5,0.194805204868317,8
"vertebral-column-3clases",256,0.134375,"rect",1,0.25,0.194805204868317,3
"vertebral-column-3clases",1024,0.121875,"rect",0.1,0.5,0.194805204868317,16
"vertebral-column-3clases",512,0.121875,"rect",1,0.5,0.194805204868317,4
"vertebral-column-3clases",1024,0.121875,"rect",1,0.25,0.194805204868317,3
"vertebral-column-3clases",1024,0.121875,"diavolo",1,0.5,0.194805204868317,3
"vertebral-column-3clases",512,0.121875,"diavolo",1,0.25,0.194805204868317,3
"vertebral-column-3clases",1024,0.121875,"diavolo",1,0.5,0.194805204868317,2
"vertebral-column-3clases",512,0.121875,"diavolo",1,0.5,0.194805204868317,2
"vertebral-column-3clases",512,0.11875,"diavolo",1,0.25,0.194805204868317,8
"vertebral-column-3clases",256,0.11875,"diavolo",1,0.5,0.194805204868317,8
"vertebral-column-3clases",256,0.115625,"rect",1,0.5,0.194805204868317,4
"vertebral-column-3clases",1024,0.103125,"rect",1,0.25,0.194805204868317,4
"vertebral-column-3clases",512,0.096875,"diavolo",1,0.5,0.194805204868317,8
"vertebral-column-3clases",512,0.096875,"diavolo",1,0.5,0.194805204868317,4
"vertebral-column-3clases",1024,0.09375,"rect",0.1,0.25,0.194805204868317,16
"vertebral-column-3clases",1024,0.09375,"rect",1,0.25,0.194805204868317,16
"vertebral-column-3clases",1024,0.09375,"rect",1,0.5,0.194805204868317,16
"vertebral-column-3clases",1024,0.09375,"diavolo",1,0.25,0.194805204868317,16
"vertebral-column-3clases",1024,0.09375,"diavolo",1,0.5,0.194805204868317,16
"vertebral-column-3clases",512,0.09375,"rect",1,0.25,0.194805204868317,16
"vertebral-column-3clases",512,0.09375,"rect",1,0.5,0.194805204868317,16
"vertebral-column-3clases",512,0.09375,"diavolo",1,0.25,0.194805204868317,16
"vertebral-column-3clases",512,0.09375,"diavolo",1,0.5,0.194805204868317,16
"vertebral-column-3clases",256,0.09375,"rect",1,0.25,0.194805204868317,16
"vertebral-column-3clases",256,0.09375,"rect",1,0.5,0.194805204868317,16
"vertebral-column-3clases",256,0.09375,"diavolo",1,0.25,0.194805204868317,16
