"dataset","blockForm","learningrate","nhidden","valAccuracy","testAccuracy","nblocks","bottleneck"
"thyroid","diavolo",1,256,0.120795901119709,0.021295215934515,2,0.5
"thyroid","diavolo",1,512,0.0353016708046198,0.021295215934515,4,0.25
"thyroid","diavolo",1,512,0.0342747125774622,0.0212952177971601,3,0.25
"thyroid","rect",1,1024,0.0320924296975136,0.021295215934515,8,0.25
"thyroid","diavolo",1,1024,0.0320924296975136,0.0212952177971601,4,0.5
"thyroid","rect",1,512,0.0320924293249845,0.021295215934515,8,0.5
"thyroid","diavolo",1,256,0.0320924293249845,0.021295215934515,8,0.5
"thyroid","diavolo",1,1024,0.0320924293249845,0.021295215934515,4,0.25
"thyroid","diavolo",1,512,0.0320924293249845,0.021295215934515,2,0.5
"thyroid","rect",1,1024,0.0320924289524555,0.021295215934515,16,0.25
"thyroid","diavolo",1,1024,0.0320924289524555,0.021295215934515,16,0.5
"thyroid","diavolo",1,1024,0.0320924289524555,0.021295215934515,8,0.5
"thyroid","diavolo",1,512,0.0320924289524555,0.021295215934515,3,0.5
"thyroid","rect",1,1024,0.0320924289524555,0.0212952177971601,2,0.25
"thyroid","diavolo",1,512,0.0320924289524555,0.021295215934515,2,0.25
"thyroid","diavolo",1,512,0.0320924285799265,0.021295215934515,16,0.25
"thyroid","rect",1,256,0.0320924285799265,0.021295215934515,16,0.5
"thyroid","diavolo",1,512,0.0320924285799265,0.021295215934515,8,0.5
"thyroid","rect",1,1024,0.0320924285799265,0.021295215934515,4,0.5
"thyroid","diavolo",1,1024,0.0320924282073975,0.021295215934515,16,0.25
"thyroid","diavolo",1,256,0.0320924282073975,0.021295215934515,16,0.25
"thyroid","diavolo",1,1024,0.0320924282073975,0.021295215934515,8,0.25
"thyroid","rect",1,512,0.0320924282073975,0.021295215934515,4,0.25
"thyroid","diavolo",1,256,0.0320924282073975,0.021295215934515,4,0.5
"thyroid","diavolo",1,1024,0.0320924282073975,0.021295215934515,3,0.25
"thyroid","rect",1,512,0.0320924282073975,0.021295215934515,3,0.5
"thyroid","diavolo",1,256,0.0320924282073975,0.021295215934515,3,0.5
"thyroid","rect",1,512,0.0320924282073975,0.021295215934515,2,0.25
"thyroid","diavolo",1,256,0.0320924278348684,0.021295215934515,16,0.5
"thyroid","rect",1,1024,0.0320924278348684,0.021295215934515,4,0.25
"thyroid","rect",1,256,0.0320924278348684,0.0212952177971601,4,0.25
"thyroid","rect",1,1024,0.0320924278348684,0.021295215934515,3,0.25
"thyroid","rect",1,512,0.0320924278348684,0.021295215934515,3,0.25
"thyroid","rect",1,256,0.0320924278348684,0.021295215934515,3,0.25
"thyroid","rect",1,512,0.0320924278348684,0.021295215934515,2,0.5
"thyroid","rect",1,256,0.0320924278348684,0.021295215934515,2,0.5
"thyroid","rect",0.1,1024,0.0320924274623394,0.021295215934515,16,0.5
"thyroid","rect",1,512,0.0320924274623394,0.021295215934515,16,0.25
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,16,0.25
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,8,0.25
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,8,0.5
"thyroid","diavolo",1,256,0.0320924274623394,0.021295215934515,8,0.25
"thyroid","diavolo",1,512,0.0320924274623394,0.021295215934515,4,0.5
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,4,0.5
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,3,0.5
"thyroid","rect",1,1024,0.0320924274623394,0.0212952177971601,2,0.5
"thyroid","diavolo",1,1024,0.0320924274623394,0.0212952177971601,2,0.5
"thyroid","rect",1,256,0.0320924274623394,0.021295215934515,2,0.25
"thyroid","rect",1,1024,0.0320924270898104,0.021295215934515,16,0.5
"thyroid","rect",1,512,0.0320924270898104,0.021295215934515,16,0.5
"thyroid","diavolo",1,512,0.0320924270898104,0.021295215934515,16,0.5
"thyroid","rect",1,1024,0.0320924270898104,0.021295215934515,8,0.5
"thyroid","rect",1,512,0.0320924270898104,0.021295215934515,8,0.25
"thyroid","diavolo",1,512,0.0320924270898104,0.021295215934515,8,0.25
"thyroid","rect",1,512,0.0320924270898104,0.021295215934515,4,0.5
"thyroid","rect",1,1024,0.0320924270898104,0.021295215934515,3,0.5
"thyroid","diavolo",1,1024,0.0320924270898104,0.021295215934515,3,0.5
"thyroid","diavolo",1,1024,0.0320924270898104,0.021295215934515,2,0.25
"thyroid","diavolo",1,256,0.0320924259722233,0.021295215934515,4,0.25
