"dataset","blockForm","testAccuracy","valAccuracy","nhidden","bottleneck","learningrate","nblocks"
"tic-tac-toe","rect",0.962343096733093,0.967213034629822,512,0.5,0.1,4
"tic-tac-toe","rect",0.966527163982391,0.952458953857422,1024,0.5,0.1,3
"tic-tac-toe","rect",0.95815896987915,0.948360598087311,1024,0.25,0.1,2
"tic-tac-toe","rect",0.912133812904358,0.936885201931,1024,0.5,0.1,2
"tic-tac-toe","diavolo",0.962343037128448,0.936065530776978,512,0.25,0.1,16
"tic-tac-toe","rect",0.928870320320129,0.934426188468933,256,0.25,0.1,3
"tic-tac-toe","rect",0.928870260715485,0.930327814817429,512,0.5,0.1,2
"tic-tac-toe","diavolo",0.941422581672668,0.929508155584335,1024,0.25,0.1,3
"tic-tac-toe","diavolo",0.916317939758301,0.928688460588455,1024,0.25,0.1,4
"tic-tac-toe","rect",0.878661036491394,0.926229476928711,512,0.5,0.1,3
"tic-tac-toe","diavolo",0.92887020111084,0.921311432123184,512,0.5,0.1,2
"tic-tac-toe","diavolo",0.903765678405762,0.915573745965958,256,0.5,0.1,3
"tic-tac-toe","rect",0.907949805259705,0.9155737221241,1024,0.25,0.1,3
"tic-tac-toe","rect",0.937238454818726,0.911475360393524,512,0.25,0.1,2
"tic-tac-toe","diavolo",0.920502066612244,0.910655671358108,1024,0.25,0.1,2
"tic-tac-toe","diavolo",0.916317999362946,0.909835994243622,1024,0.5,0.1,2
"tic-tac-toe","diavolo",0.891213297843933,0.900819671154022,512,0.25,0.1,3
"tic-tac-toe","rect",0.882845103740692,0.898360598087311,256,0.5,0.1,2
"tic-tac-toe","rect",0.916317939758301,0.897540974617004,256,0.25,0.1,8
"tic-tac-toe","rect",0.874476969242096,0.897540962696076,512,0.25,0.1,3
"tic-tac-toe","rect",0.907949805259705,0.8942622423172,256,0.5,0.1,8
"tic-tac-toe","rect",0.828451871871948,0.893442571163178,256,0.25,0.1,4
"tic-tac-toe","diavolo",0.882845163345337,0.892622900009155,512,0.5,0.1,8
"tic-tac-toe","rect",0.857740521430969,0.891803258657455,256,0.5,0.1,3
"tic-tac-toe","rect",0.887029230594635,0.888524544239044,256,0.5,0.1,4
"tic-tac-toe","diavolo",0.895397424697876,0.884426188468933,512,0.5,0.1,4
"tic-tac-toe","diavolo",0.88702917098999,0.882786786556244,1024,0.5,0.1,3
"tic-tac-toe","diavolo",0.870292842388153,0.875409775972366,512,0.5,0.1,3
"tic-tac-toe","diavolo",0.853556394577026,0.872950792312622,512,0.25,0.1,8
"tic-tac-toe","rect",0.866108775138855,0.870491766929626,1024,0.25,0.01,16
"tic-tac-toe","diavolo",0.857740521430969,0.868852376937866,256,0.25,0.1,4
"tic-tac-toe","diavolo",0.874476909637451,0.8663933634758,256,0.5,0.1,8
"tic-tac-toe","diavolo",0.895397305488586,0.860655665397644,256,0.25,0.1,8
"tic-tac-toe","diavolo",0.857740581035614,0.853278625011444,512,0.25,0.1,2
"tic-tac-toe","diavolo",0.803347229957581,0.846721255779266,1024,0.5,0.1,4
"tic-tac-toe","rect",0.807531356811523,0.845901584625244,256,0.25,0.01,8
"tic-tac-toe","diavolo",0.841004133224487,0.845081919431687,256,0.25,0.1,3
"tic-tac-toe","rect",0.866108655929565,0.840983551740646,1024,0.25,0.01,3
"tic-tac-toe","rect",0.811715424060822,0.840163886547089,1024,0.5,0.01,2
"tic-tac-toe","rect",0.824267625808716,0.839344227313995,1024,0.5,0.01,3
"tic-tac-toe","diavolo",0.820083618164062,0.839344215393066,256,0.5,0.1,2
"tic-tac-toe","rect",0.836820006370544,0.836065536737442,1024,0.5,0.01,16
"tic-tac-toe","diavolo",0.828451871871948,0.835245859622955,256,0.25,0.1,2
"tic-tac-toe","rect",0.807531356811523,0.8295081615448,512,0.25,0.01,4
"tic-tac-toe","rect",0.811715483665466,0.8295081615448,512,0.5,0.01,3
"tic-tac-toe","diavolo",0.769874453544617,0.826229476928711,256,0.5,0.01,3
"tic-tac-toe","rect",0.815899550914764,0.825409805774689,1024,0.5,0.01,8
"tic-tac-toe","rect",0.790794909000397,0.825409805774689,256,0.25,0.01,2
"tic-tac-toe","rect",0.790794909000397,0.8229507625103,256,0.5,0.01,8
"tic-tac-toe","diavolo",0.753138065338135,0.821311450004578,256,0.5,0.01,16
"tic-tac-toe","rect",0.740585684776306,0.820491778850555,512,0.5,0.01,16
"tic-tac-toe","diavolo",0.84518826007843,0.818032759428024,256,0.5,0.1,4
"tic-tac-toe","rect",0.740585744380951,0.816393423080444,256,0.5,0.01,4
"tic-tac-toe","diavolo",0.799163103103638,0.810655671358109,1024,0.25,0.01,2
"tic-tac-toe","rect",0.841004192829132,0.803278625011444,256,0.25,0.1,2
"tic-tac-toe","rect",0.803347229957581,0.799180287122727,1024,0.25,0.01,8
"tic-tac-toe","diavolo",0.782426714897156,0.798360645771027,512,0.25,0.01,2
"tic-tac-toe","diavolo",0.803347229957581,0.79836061000824,256,0.25,0.01,16
"tic-tac-toe","rect",0.820083618164062,0.795081949234009,256,0.5,0.01,3
"tic-tac-toe","diavolo",0.75313800573349,0.795081931352615,1024,0.25,0.01,16
"tic-tac-toe","rect",0.778242647647858,0.794262290000916,1024,0.25,0.01,2
"tic-tac-toe","rect",0.794978976249695,0.793442571163178,512,0.25,0.01,16
"tic-tac-toe","diavolo",0.757322192192078,0.79262290596962,1024,0.25,0.01,3
"tic-tac-toe","diavolo",0.782426714897156,0.790983575582504,256,0.25,0.01,2
"tic-tac-toe","rect",0.782426714897156,0.786065530776978,256,0.25,0.01,16
"tic-tac-toe","rect",0.77405846118927,0.784426200389862,1024,0.5,0.01,4
"tic-tac-toe","diavolo",0.723849296569824,0.783606517314911,512,0.25,0.01,4
"tic-tac-toe","rect",0.803347229957581,0.777049142122269,256,0.5,0.01,2
"tic-tac-toe","rect",0.761506199836731,0.776229482889175,1024,0.25,0.01,4
"tic-tac-toe","diavolo",0.782426774501801,0.776229447126389,256,0.5,0.01,2
"tic-tac-toe","rect",0.778242707252502,0.770491766929627,512,0.5,0.01,2
"tic-tac-toe","diavolo",0.73221755027771,0.770491760969162,512,0.5,0.01,3
"tic-tac-toe","diavolo",0.778242647647858,0.76967208981514,1024,0.5,0.01,2
"tic-tac-toe","rect",0.782426714897156,0.765573734045029,512,0.5,0.01,4
"tic-tac-toe","rect",0.744769871234894,0.765573728084564,512,0.25,0.01,2
"tic-tac-toe","diavolo",0.769874334335327,0.763934373855591,512,0.25,0.01,3
"tic-tac-toe","diavolo",0.77405858039856,0.76229504942894,512,0.5,0.01,16
"tic-tac-toe","diavolo",0.828451871871948,0.760655665397644,512,0.25,0.1,4
"tic-tac-toe","diavolo",0.765690267086029,0.756557315587997,1024,0.5,0.01,16
"tic-tac-toe","diavolo",0.73221755027771,0.753278648853302,1024,0.5,0.01,8
"tic-tac-toe","rect",0.77405846118927,0.749180281162262,512,0.25,0.01,3
"tic-tac-toe","diavolo",0.73221755027771,0.749180269241333,256,0.5,0.01,4
"tic-tac-toe","diavolo",0.761506259441376,0.748360598087311,512,0.5,0.01,2
"tic-tac-toe","diavolo",0.711297035217285,0.744262254238129,256,0.25,0.1,16
"tic-tac-toe","diavolo",0.711297035217285,0.739344215393066,1024,0.5,0.01,4
"tic-tac-toe","diavolo",0.686192393302917,0.737704873085022,256,0.5,0.01,8
"tic-tac-toe","rect",0.753138065338135,0.736065530776978,512,0.5,0.01,8
"tic-tac-toe","diavolo",0.702928781509399,0.731147503852844,256,0.25,0.01,4
"tic-tac-toe","rect",0.707112908363342,0.726229482889176,256,0.25,0.01,3
"tic-tac-toe","diavolo",0.665271997451782,0.713934409618378,512,0.5,0.01,4
"tic-tac-toe","diavolo",0.686192393302917,0.713114714622498,1024,0.25,0.01,8
"tic-tac-toe","rect",0.744769811630249,0.713114678859711,256,0.25,0.01,4
"tic-tac-toe","diavolo",0.677824199199677,0.709836035966873,512,0.25,0.01,8
"tic-tac-toe","rect",0.711297035217285,0.709835994243622,512,0.25,0.01,8
"tic-tac-toe","diavolo",0.665271937847137,0.705737656354904,1024,0.25,0.01,4
"tic-tac-toe","diavolo",0.690376579761505,0.704917967319488,256,0.25,0.01,3
"tic-tac-toe","diavolo",0.652719676494598,0.663934350013733,1024,0.5,0.1,8
"tic-tac-toe","diavolo",0.665271937847137,0.661475396156311,256,0.25,0.01,8
"tic-tac-toe","diavolo",0.719665229320526,0.647540926933289,1024,0.5,0.01,3
"tic-tac-toe","diavolo",0.648535549640656,0.623770463466644,512,0.5,0.01,8
"tic-tac-toe","diavolo",0.652719616889954,0.598360592126846,512,0.5,0.1,16
"tic-tac-toe","rect",0.652719616889954,0.598360592126846,1024,0.5,0.1,4
"tic-tac-toe","diavolo",0.57740581035614,0.59508193731308,512,0.25,0.01,16
