"dataset","nhidden","testAccuracy","bottleneck","learningrate","valAccuracy","nblocks","blockForm"
"cardiotocography-10clases",256,0.783427476882935,0.5,0.1,0.76694210767746,16,"diavolo"
"cardiotocography-10clases",256,0.681732654571533,0.5,0.01,0.761570203304291,16,"diavolo"
"cardiotocography-10clases",512,0.69679844379425,0.25,0.01,0.759917306900024,16,"rect"
"cardiotocography-10clases",256,0.713747620582581,0.25,0.01,0.759090876579285,16,"rect"
"cardiotocography-10clases",256,0.72504711151123,0.25,0.01,0.755785077810287,2,"rect"
"cardiotocography-10clases",512,0.730696797370911,0.5,0.01,0.755785071849823,2,"rect"
"cardiotocography-10clases",256,0.681732535362244,0.25,0.01,0.754958635568619,16,"diavolo"
"cardiotocography-10clases",512,0.676082909107208,0.5,0.01,0.752892535924912,16,"diavolo"
"cardiotocography-10clases",256,0.704331517219543,0.5,0.01,0.75082643032074,4,"rect"
"cardiotocography-10clases",256,0.706214725971222,0.25,0.01,0.743388402462006,4,"diavolo"
"cardiotocography-10clases",256,0.694915294647217,0.25,0.01,0.742975163459778,8,"rect"
"cardiotocography-10clases",256,0.677966058254242,0.5,0.01,0.741322267055512,3,"diavolo"
"cardiotocography-10clases",256,0.7080979347229,0.25,0.01,0.738016486167908,4,"rect"
"cardiotocography-10clases",512,0.698681831359863,0.25,0.01,0.736363607645035,3,"rect"
"cardiotocography-10clases",1024,0.687382340431213,0.5,0.01,0.73181813955307,2,"rect"
"cardiotocography-10clases",256,0.7080979347229,0.5,0.01,0.730991697311401,2,"diavolo"
"cardiotocography-10clases",512,0.636534810066223,0.5,0.01,0.726446241140366,16,"rect"
"cardiotocography-10clases",256,0.70244824886322,0.5,0.01,0.724793356657028,8,"rect"
"cardiotocography-10clases",1024,0.68549907207489,0.25,0.01,0.72148756980896,4,"rect"
"cardiotocography-10clases",1024,0.700564980506897,0.5,0.01,0.720247912406922,4,"rect"
"cardiotocography-10clases",1024,0.681732594966888,0.5,0.01,0.718181788921356,16,"diavolo"
"cardiotocography-10clases",1024,0.653483986854553,0.25,0.01,0.716528874635696,3,"rect"
"cardiotocography-10clases",512,0.700564980506897,0.25,0.01,0.716115683317184,4,"diavolo"
"cardiotocography-10clases",1024,0.69679844379425,0.5,0.01,0.71570246219635,16,"rect"
"cardiotocography-10clases",1024,0.668549954891205,0.5,0.01,0.709917336702347,8,"rect"
"cardiotocography-10clases",1024,0.69679856300354,0.25,0.01,0.709917336702347,2,"rect"
"cardiotocography-10clases",256,0.67419958114624,0.5,0.01,0.709504079818726,4,"diavolo"
"cardiotocography-10clases",256,0.66290020942688,0.5,0.01,0.709090882539749,8,"diavolo"
"cardiotocography-10clases",512,0.681732594966888,0.25,0.01,0.706611531972885,8,"rect"
"cardiotocography-10clases",256,0.7080979347229,0.5,0.01,0.704132235050201,16,"rect"
"cardiotocography-10clases",1024,0.672316431999207,0.25,0.01,0.701239663362503,2,"diavolo"
"cardiotocography-10clases",512,0.664783477783203,0.25,0.01,0.699999988079071,3,"diavolo"
"cardiotocography-10clases",1024,0.69114875793457,0.25,0.01,0.698347073793411,8,"rect"
"cardiotocography-10clases",1024,0.66854989528656,0.25,0.01,0.697107416391373,16,"rect"
"cardiotocography-10clases",256,0.657250463962555,0.25,0.01,0.694214850664139,3,"diavolo"
"cardiotocography-10clases",512,0.644067823886871,0.25,0.01,0.690909069776535,4,"rect"
"cardiotocography-10clases",512,0.629001915454865,0.5,0.01,0.688429707288742,8,"diavolo"
