"dataset","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy","bottleneck"
"oocytes_trisopterus_nucleus_2f",0.671052634716034,16,0.01,1024,"rect",0.710126578807831,0.25
"oocytes_trisopterus_nucleus_2f",0.675438642501831,8,0.01,1024,"diavolo",0.708860754966736,0.5
"oocytes_trisopterus_nucleus_2f",0.728070199489594,3,0.01,512,"rect",0.708860754966736,0.25
"oocytes_trisopterus_nucleus_2f",0.662280678749084,4,0.01,1024,"rect",0.707594949007034,0.5
"oocytes_trisopterus_nucleus_2f",0.692982494831085,2,0.01,256,"diavolo",0.703797459602356,0.5
"oocytes_trisopterus_nucleus_2f",0.627192974090576,2,0.01,256,"rect",0.702531635761261,0.5
"oocytes_trisopterus_nucleus_2f",0.706140398979187,2,0.01,256,"rect",0.698734170198441,0.25
"oocytes_trisopterus_nucleus_2f",0.684210538864136,4,0.1,1024,"rect",0.696202540397644,0.5
"oocytes_trisopterus_nucleus_2f",0.649122834205627,4,0.1,512,"rect",0.692405074834824,0.5
"oocytes_trisopterus_nucleus_2f",0.662280738353729,16,0.01,256,"diavolo",0.689873415231705,0.5
"oocytes_trisopterus_nucleus_2f",0.59649121761322,16,0.01,512,"rect",0.689873415231705,0.5
"oocytes_trisopterus_nucleus_2f",0.622806966304779,16,0.01,256,"rect",0.687341773509979,0.25
"oocytes_trisopterus_nucleus_2f",0.600877165794373,3,0.01,512,"diavolo",0.68734176158905,0.25
"oocytes_trisopterus_nucleus_2f",0.697368502616882,2,0.01,1024,"diavolo",0.684810101985931,0.5
"oocytes_trisopterus_nucleus_2f",0.59649121761322,16,0.01,512,"diavolo",0.682278484106064,0.5
"oocytes_trisopterus_nucleus_2f",0.69298243522644,3,0.01,256,"rect",0.678481012582779,0.5
"oocytes_trisopterus_nucleus_2f",0.627192974090576,4,0.01,1024,"diavolo",0.674683558940887,0.25
"oocytes_trisopterus_nucleus_2f",0.684210538864136,4,0.1,1024,"rect",0.674683558940887,0.25
"oocytes_trisopterus_nucleus_2f",0.671052694320679,2,0.01,512,"rect",0.670886069536209,0.25
"oocytes_trisopterus_nucleus_2f",0.697368443012238,3,0.01,256,"diavolo",0.664556974172592,0.5
"oocytes_trisopterus_nucleus_2f",0.614035129547119,4,0.01,512,"rect",0.6569620013237,0.5
"oocytes_trisopterus_nucleus_2f",0.627193033695221,3,0.01,512,"diavolo",0.654430389404297,0.5
"oocytes_trisopterus_nucleus_2f",0.710526347160339,4,0.1,256,"diavolo",0.653164559602737,0.5
"oocytes_trisopterus_nucleus_2f",0.631578922271729,3,0.01,1024,"diavolo",0.645569640398025,0.5
"oocytes_trisopterus_nucleus_2f",0.578947365283966,4,0.01,256,"diavolo",0.645569622516632,0.5
"oocytes_trisopterus_nucleus_2f",0.635964930057526,8,0.01,1024,"rect",0.641772162914276,0.25
"oocytes_trisopterus_nucleus_2f",0.561403453350067,8,0.01,512,"diavolo",0.622784817218781,0.5
"oocytes_trisopterus_nucleus_2f",0.530701696872711,4,0.01,256,"rect",0.615189909934998,0.25
"oocytes_trisopterus_nucleus_2f",0.631578922271729,2,0.01,512,"diavolo",0.606329137086868,0.25
"oocytes_trisopterus_nucleus_2f",0.605263113975525,4,0.01,512,"diavolo",0.60379746556282,0.5
"oocytes_trisopterus_nucleus_2f",0.592105269432068,8,0.01,1024,"rect",0.602531665563583,0.5
"oocytes_trisopterus_nucleus_2f",0.627192974090576,8,0.01,256,"diavolo",0.600000023841858,0.25
"oocytes_trisopterus_nucleus_2f",0.688596487045288,2,0.01,256,"diavolo",0.589873433113098,0.25
"oocytes_trisopterus_nucleus_2f",0.508771955966949,16,0.1,256,"rect",0.583544316887856,0.5
"oocytes_trisopterus_nucleus_2f",0.578947365283966,16,0.01,1024,"rect",0.582278490066528,0.5
"oocytes_trisopterus_nucleus_2f",0.578947365283966,16,0.1,512,"diavolo",0.582278490066528,0.5
"oocytes_trisopterus_nucleus_2f",0.578947365283966,16,0.1,256,"rect",0.582278490066528,0.25
"oocytes_trisopterus_nucleus_2f",0.578947365283966,16,0.1,256,"diavolo",0.582278490066528,0.5
"oocytes_trisopterus_nucleus_2f",0.592105209827423,8,0.01,512,"rect",0.582278490066528,0.5
"oocytes_trisopterus_nucleus_2f",0.578947365283966,8,0.1,1024,"diavolo",0.582278490066528,0.5
"oocytes_trisopterus_nucleus_2f",0.583333313465118,4,0.01,512,"diavolo",0.579746842384338,0.25
