"dataset","nblocks","bottleneck","learningrate","nhidden","blockForm","testAccuracy","valAccuracy"
"twonorm",2,0.5,0.1,256,"rect",0.97351348400116,0.979629707336426
"twonorm",2,0.25,0.01,256,"rect",0.970270276069641,0.97925928235054
"twonorm",3,0.25,0.1,1024,"rect",0.97351348400116,0.979012489318848
"twonorm",3,0.5,0.1,1024,"diavolo",0.975675761699677,0.978765469789505
"twonorm",4,0.5,0.1,1024,"rect",0.973513603210449,0.978024733066559
"twonorm",16,0.5,0.1,256,"diavolo",0.968108177185059,0.976790142059326
"twonorm",2,0.5,0.1,512,"rect",0.974054098129272,0.97666671872139
"twonorm",4,0.5,0.01,512,"rect",0.963783860206604,0.976666712760925
"twonorm",2,0.5,0.01,512,"diavolo",0.972432553768158,0.976296293735504
"twonorm",8,0.25,0.01,256,"diavolo",0.967567622661591,0.976172924041748
"twonorm",2,0.25,0.1,1024,"diavolo",0.967567682266235,0.976172888278961
"twonorm",16,0.5,0.1,256,"rect",0.9718918800354,0.976049453020096
"twonorm",2,0.25,0.1,1024,"rect",0.975675702095032,0.976049441099167
"twonorm",3,0.5,0.1,1024,"rect",0.975135207176208,0.976049411296845
"twonorm",2,0.25,0.1,512,"rect",0.972432494163513,0.975925981998443
"twonorm",4,0.25,0.01,256,"rect",0.967567563056946,0.975925934314728
"twonorm",16,0.5,0.01,256,"diavolo",0.965405404567719,0.975679051876068
"twonorm",2,0.5,0.01,1024,"diavolo",0.971351444721222,0.975432199239731
"twonorm",3,0.5,0.01,512,"diavolo",0.969729721546173,0.975432139635086
"twonorm",2,0.25,0.1,256,"rect",0.969729781150818,0.975185227394104
"twonorm",4,0.25,0.01,512,"diavolo",0.969729781150818,0.97518522143364
"twonorm",3,0.5,0.1,512,"diavolo",0.971351444721222,0.97518522143364
"twonorm",3,0.5,0.1,512,"rect",0.974054098129272,0.975061804056168
"twonorm",8,0.5,0.1,1024,"diavolo",0.969729721546173,0.974814879894257
"twonorm",2,0.5,0.1,256,"diavolo",0.971891939640045,0.974691414833069
"twonorm",4,0.5,0.1,512,"rect",0.972972989082336,0.974197566509247
"twonorm",16,0.25,0.1,1024,"diavolo",0.963243365287781,0.974074143171311
"twonorm",16,0.5,0.1,512,"diavolo",0.974054098129272,0.974074137210846
"twonorm",3,0.25,0.01,256,"diavolo",0.97351348400116,0.973950666189194
"twonorm",8,0.25,0.1,256,"diavolo",0.972432434558868,0.973827183246613
"twonorm",4,0.25,0.1,256,"rect",0.975675702095032,0.973827159404755
"twonorm",2,0.5,0.1,1024,"diavolo",0.975135207176208,0.973703759908676
"twonorm",2,0.25,0.1,512,"diavolo",0.968648672103882,0.97358027100563
"twonorm",2,0.5,0.1,1024,"rect",0.975675702095032,0.973333394527435
"twonorm",3,0.25,0.1,512,"rect",0.972972989082336,0.973333382606506
"twonorm",2,0.25,0.01,1024,"rect",0.971351385116577,0.973209935426712
"twonorm",3,0.25,0.1,1024,"diavolo",0.974594533443451,0.973209917545319
"twonorm",4,0.25,0.1,1024,"rect",0.973513603210449,0.973209917545319
"twonorm",4,0.25,0.1,256,"diavolo",0.974594593048096,0.973086488246918
"twonorm",8,0.5,0.01,256,"rect",0.961621642112732,0.973086452484131
"twonorm",4,0.25,0.01,1024,"rect",0.960000038146973,0.972963041067124
"twonorm",4,0.25,0.01,1024,"diavolo",0.973513424396515,0.972963029146195
"twonorm",8,0.5,0.1,512,"diavolo",0.977297306060791,0.972839558124542
"twonorm",3,0.5,0.1,256,"diavolo",0.96918922662735,0.972839510440827
"twonorm",4,0.25,0.1,1024,"diavolo",0.975675761699677,0.972716093063355
"twonorm",3,0.5,0.01,512,"rect",0.975675702095032,0.972592663764954
"twonorm",4,0.25,0.1,512,"diavolo",0.972432494163513,0.972592639923096
"twonorm",16,0.25,0.1,256,"rect",0.968648672103882,0.972345751523972
"twonorm",8,0.5,0.01,512,"rect",0.965405464172363,0.97209883928299
"twonorm",4,0.25,0.01,512,"rect",0.969729781150818,0.972098815441132
"twonorm",8,0.25,0.1,512,"rect",0.97189199924469,0.971975362300873
"twonorm",3,0.25,0.1,256,"rect",0.969189286231995,0.971975326538086
"twonorm",8,0.25,0.1,512,"diavolo",0.974594593048096,0.971851921081543
"twonorm",2,0.5,0.01,256,"rect",0.967567563056946,0.971851909160614
"twonorm",4,0.25,0.1,512,"rect",0.975135207176208,0.971728456020355
"twonorm",4,0.5,0.1,1024,"diavolo",0.974054098129272,0.971728444099426
"twonorm",3,0.25,0.01,1024,"rect",0.968648672103882,0.97160502076149
"twonorm",2,0.25,0.01,512,"rect",0.9718918800354,0.971604990959168
"twonorm",3,0.25,0.1,512,"diavolo",0.974054098129272,0.971604984998703
"twonorm",8,0.25,0.1,256,"rect",0.977297365665436,0.971481555700302
"twonorm",16,0.25,0.1,256,"diavolo",0.974054098129272,0.971481543779373
"twonorm",16,0.5,0.01,1024,"diavolo",0.968648672103882,0.971358042955399
"twonorm",16,0.25,0.01,256,"diavolo",0.970270395278931,0.971111160516739
"twonorm",8,0.5,0.01,1024,"rect",0.954594612121582,0.97086426615715
"twonorm",4,0.5,0.1,256,"rect",0.97351348400116,0.97074082493782
"twonorm",2,0.5,0.01,1024,"rect",0.967027068138123,0.970740813016892
"twonorm",8,0.5,0.1,256,"rect",0.97351348400116,0.970740801095963
"twonorm",2,0.5,0.01,512,"rect",0.970270276069641,0.970617336034775
"twonorm",16,0.5,0.01,1024,"rect",0.970270276069641,0.970493894815445
"twonorm",8,0.25,0.01,256,"rect",0.9621621966362,0.970493876934052
"twonorm",3,0.5,0.1,256,"rect",0.975675702095032,0.970370411872864
"twonorm",4,0.5,0.01,256,"diavolo",0.974054098129272,0.970246970653534
"twonorm",4,0.5,0.1,512,"diavolo",0.978378474712372,0.970000040531159
"twonorm",8,0.5,0.01,256,"diavolo",0.964864909648895,0.969506239891052
"twonorm",8,0.25,0.01,512,"diavolo",0.96918922662735,0.96925932765007
"twonorm",2,0.5,0.1,512,"diavolo",0.975135207176208,0.969259285926819
"twonorm",4,0.5,0.1,256,"diavolo",0.972432494163513,0.969135826826095
"twonorm",8,0.25,0.1,1024,"diavolo",0.976756811141968,0.96901239156723
"twonorm",8,0.5,0.01,512,"diavolo",0.964324355125427,0.968765485286713
"twonorm",3,0.5,0.01,256,"rect",0.970810890197754,0.968518543243408
"twonorm",4,0.5,0.01,1024,"rect",0.967567682266235,0.968271678686142
"twonorm",3,0.25,0.01,512,"rect",0.974054098129272,0.96827164888382
