"dataset","learningrate","valAccuracy","blockForm","bottleneck","testAccuracy","nblocks","nhidden"
"flags",0.01,0.714285731315613,"diavolo",0.5,0.375,4,256
"flags",0.1,0.714285731315613,"diavolo",0.25,0.479166686534882,3,1024
"flags",0.1,0.714285731315613,"diavolo",0.5,0.458333343267441,3,1024
"flags",0.1,0.666666746139526,"rect",0.5,0.416666686534882,2,512
"flags",0.1,0.661904835700989,"diavolo",0.25,0.458333343267441,8,1024
"flags",0.1,0.661904835700989,"diavolo",0.25,0.458333373069763,3,256
"flags",0.01,0.657142925262451,"rect",0.5,0.4375,8,1024
"flags",0.01,0.652381014823914,"diavolo",0.5,0.395833343267441,4,1024
"flags",0.1,0.652381014823914,"rect",0.5,0.479166686534882,4,256
"flags",0.1,0.652381014823914,"rect",0.25,0.395833343267441,3,256
"flags",0.01,0.647619098424911,"rect",0.25,0.458333343267441,16,1024
"flags",0.01,0.642857164144516,"rect",0.25,0.4375,8,256
"flags",0.1,0.638095283508301,"rect",0.5,0.354166656732559,3,1024
"flags",0.1,0.628571462631225,"diavolo",0.25,0.5,3,512
"flags",0.01,0.628571450710297,"rect",0.5,0.5,2,256
"flags",0.1,0.61904764175415,"rect",0.5,0.458333373069763,2,1024
"flags",0.1,0.61904764175415,"diavolo",0.5,0.375,2,512
"flags",0.01,0.614285737276077,"rect",0.25,0.416666686534882,4,1024
"flags",0.01,0.604761928319931,"rect",0.5,0.458333343267441,4,512
"flags",0.01,0.604761928319931,"diavolo",0.5,0.479166686534882,3,1024
"flags",0.1,0.595238119363785,"diavolo",0.5,0.520833373069763,4,256
"flags",0.1,0.580952405929565,"diavolo",0.5,0.416666686534882,4,1024
"flags",0.01,0.580952405929565,"diavolo",0.25,0.4375,2,1024
"flags",0.01,0.576190501451492,"rect",0.5,0.416666686534882,16,256
"flags",0.01,0.571428596973419,"diavolo",0.5,0.416666686534882,16,1024
"flags",0.01,0.571428596973419,"rect",0.25,0.458333343267441,8,1024
"flags",0.01,0.571428596973419,"rect",0.25,0.395833373069763,4,256
"flags",0.01,0.571428596973419,"rect",0.5,0.458333373069763,4,256
"flags",0.1,0.571428596973419,"rect",0.5,0.416666686534882,4,512
"flags",0.1,0.571428596973419,"diavolo",0.25,0.395833373069763,4,256
"flags",0.01,0.571428596973419,"rect",0.5,0.416666686534882,3,512
"flags",0.01,0.571428596973419,"diavolo",0.25,0.416666686534882,3,512
"flags",0.01,0.571428596973419,"rect",0.25,0.395833343267441,3,256
"flags",0.01,0.571428596973419,"diavolo",0.25,0.333333343267441,2,256
"flags",0.1,0.566666692495346,"diavolo",0.25,0.458333343267441,4,1024
"flags",0.1,0.566666692495346,"rect",0.25,0.416666686534882,3,512
"flags",0.1,0.561904788017273,"diavolo",0.5,0.416666686534882,2,1024
"flags",0.01,0.5571428835392,"rect",0.5,0.416666686534882,4,1024
"flags",0.01,0.5571428835392,"rect",0.25,0.416666686534882,2,1024
"flags",0.01,0.552380979061127,"rect",0.5,0.395833343267441,3,1024
"flags",0.01,0.547619074583053,"rect",0.25,0.354166686534882,3,512
"flags",0.01,0.538095265626907,"diavolo",0.25,0.4375,3,256
"flags",0.01,0.538095265626907,"rect",0.25,0.5,2,512
"flags",0.01,0.533333361148834,"diavolo",0.5,0.4375,8,1024
"flags",0.01,0.533333361148834,"rect",0.5,0.3125,8,512
"flags",0.1,0.533333361148834,"diavolo",0.25,0.479166686534882,8,512
"flags",0.01,0.533333361148834,"diavolo",0.25,0.395833343267441,2,512
"flags",0.1,0.528571456670761,"rect",0.25,0.4375,3,1024
"flags",0.01,0.523809552192688,"rect",0.5,0.4375,8,256
"flags",0.1,0.523809552192688,"diavolo",0.25,0.4375,8,256
"flags",0.01,0.523809552192688,"diavolo",0.5,0.416666686534882,4,512
"flags",0.01,0.523809552192688,"diavolo",0.25,0.354166686534882,4,256
"flags",0.01,0.523809552192688,"diavolo",0.5,0.5,3,256
"flags",0.1,0.523809552192688,"rect",0.5,0.458333343267441,3,256
"flags",0.01,0.523809552192688,"diavolo",0.5,0.395833343267441,2,512
"flags",0.01,0.523809552192688,"rect",0.25,0.395833343267441,2,256
"flags",0.01,0.523809552192688,"diavolo",0.5,0.291666686534882,2,256
"flags",0.1,0.523809552192688,"diavolo",0.25,0.4375,2,1024
"flags",0.1,0.523809552192688,"rect",0.25,0.458333343267441,2,512
"flags",0.1,0.523809552192688,"diavolo",0.25,0.458333373069763,2,512
"flags",0.1,0.523809552192688,"rect",0.5,0.5,2,256
"flags",0.01,0.519047647714615,"diavolo",0.25,0.375,4,1024
"flags",0.1,0.514285743236542,"diavolo",0.5,0.458333343267441,2,256
"flags",0.01,0.504761934280396,"diavolo",0.5,0.479166686534882,8,256
"flags",0.01,0.504761934280396,"rect",0.5,0.395833343267441,2,1024
"flags",0.1,0.504761934280395,"diavolo",0.5,0.354166686534882,3,512
"flags",0.01,0.500000029802322,"diavolo",0.25,0.395833373069763,16,1024
"flags",0.1,0.500000029802322,"diavolo",0.25,0.5,2,256
"flags",0.01,0.495238125324249,"rect",0.5,0.375000029802322,3,256
"flags",0.1,0.495238125324249,"rect",0.25,0.5,2,1024
"flags",0.1,0.495238125324249,"diavolo",0.25,0.416666686534882,4,512
"flags",0.01,0.48095241189003,"diavolo",0.5,0.416666686534882,2,1024
"flags",0.01,0.476190507411957,"diavolo",0.25,0.333333343267441,16,256
"flags",0.01,0.476190507411957,"rect",0.25,0.479166686534882,4,512
"flags",0.01,0.476190507411957,"diavolo",0.25,0.375,4,512
"flags",0.1,0.476190507411957,"rect",0.25,0.395833343267441,2,256
"flags",0.1,0.471428599953651,"rect",0.5,0.479166686534882,3,512
"flags",0.1,0.452380976080894,"rect",0.25,0.395833343267441,4,512
"flags",0.01,0.428571432828903,"diavolo",0.25,0.416666686534882,8,256
"flags",0.1,0.428571432828903,"diavolo",0.5,0.4375,4,512
"flags",0.01,0.428571432828903,"diavolo",0.5,0.354166686534882,3,512
"flags",0.1,0.409523838758469,"diavolo",0.5,0.437500029802322,3,256
"flags",0.01,0.409523835778236,"diavolo",0.25,0.354166686534882,8,1024
"flags",0.01,0.390476226806641,"rect",0.25,0.354166686534882,3,1024
"flags",0.1,0.380952398478985,"diavolo",0.5,0.416666686534882,8,256
"flags",0.1,0.376190499961376,"rect",0.5,0.479166686534882,8,256
"flags",0.1,0.376190492510796,"rect",0.25,0.354166686534882,4,256
"flags",0.01,0.357142880558968,"rect",0.5,0.458333343267441,2,512
"flags",0.01,0.357142871618271,"diavolo",0.5,0.4375,8,512
"flags",0.01,0.338095247745514,"rect",0.5,0.354166686534882,16,512
"flags",0.01,0.333333343267441,"diavolo",0.25,0.416666686534882,3,1024
"flags",0.01,0.3285714417696,"rect",0.25,0.395833373069763,8,512
"flags",0.01,0.323809534311295,"rect",0.25,0.354166686534882,16,512
"flags",0.1,0.319047628343105,"rect",0.25,0.4375,8,256
"flags",0.01,0.314285725355148,"diavolo",0.25,0.291666686534882,8,512
"flags",0.01,0.300000023841858,"rect",0.5,0.208333343267441,16,1024
"flags",0.1,0.29523810595274,"diavolo",0.5,0.16666667163372,16,256
"flags",0.1,0.266666680574417,"diavolo",0.25,0.375000029802322,16,256
"flags",0.01,0.257142865657806,"diavolo",0.5,0.333333343267441,16,512
"flags",1,0.257142859697342,"rect",0.5,0.208333343267441,2,1024
"flags",1,0.257142859697342,"rect",0.5,0.208333343267441,2,256
"flags",0.1,0.252380956709385,"rect",0.5,0.208333343267441,16,256
"flags",0.1,0.247619050741196,"diavolo",0.25,0.208333343267441,16,1024
"flags",0.1,0.247619050741196,"diavolo",0.5,0.208333343267441,16,1024
"flags",0.1,0.24761904925108,"rect",0.25,0.208333343267441,16,512
"flags",1,0.24761904925108,"rect",0.25,0.208333343267441,4,512
"flags",1,0.24761904925108,"rect",0.5,0.208333343267441,4,512
"flags",1,0.24761904925108,"rect",0.5,0.208333343267441,3,1024
"flags",1,0.24761904925108,"diavolo",0.25,0.208333343267441,2,512
"flags",1,0.24761904925108,"rect",0.25,0.208333343267441,2,256
"flags",1,0.24761904925108,"diavolo",0.25,0.208333343267441,2,256
"flags",0.1,0.23809524551034,"diavolo",0.5,0.1875,8,512
"flags",0.1,0.238095243275166,"rect",0.25,0.1875,8,512
"flags",1,0.238095241785049,"diavolo",0.5,0.208333343267441,2,256
"flags",0.1,0.238095240294933,"rect",0.5,0.208333343267441,16,512
"flags",1,0.238095240294933,"diavolo",0.25,0.208333343267441,8,1024
"flags",1,0.238095240294933,"rect",0.25,0.208333343267441,2,1024
"flags",1,0.238095240294933,"diavolo",0.5,0.208333343267441,2,512
"flags",0.1,0.238095238804817,"rect",0.25,0.208333343267441,16,1024
"flags",0.1,0.238095238804817,"rect",0.5,0.208333343267441,16,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,16,1024
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,16,1024
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,16,1024
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,16,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,16,512
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,16,512
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,16,512
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,16,512
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,16,256
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,16,256
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,16,256
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,16,256
"flags",0.1,0.238095238804817,"rect",0.25,0.208333343267441,8,1024
"flags",0.1,0.238095238804817,"rect",0.5,0.208333343267441,8,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,8,1024
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,8,1024
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,8,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,8,512
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,8,512
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,8,512
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,8,512
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,8,256
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,8,256
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,8,256
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,8,256
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,4,1024
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,4,1024
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,4,1024
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,4,1024
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,4,512
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,4,512
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,4,256
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,4,256
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,4,256
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,4,256
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,3,1024
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,3,1024
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,3,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,3,512
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,3,512
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,3,512
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,3,512
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,3,256
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,3,256
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,3,256
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,3,256
"flags",1,0.238095238804817,"diavolo",0.25,0.208333343267441,2,1024
"flags",1,0.238095238804817,"diavolo",0.5,0.208333343267441,2,1024
"flags",1,0.238095238804817,"rect",0.25,0.208333343267441,2,512
"flags",1,0.238095238804817,"rect",0.5,0.208333343267441,2,512
"flags",0.01,0.233333347737789,"diavolo",0.5,0.291666686534882,16,256
"flags",0.01,0.233333341777325,"diavolo",0.25,0.354166686534882,16,512
"flags",0.1,0.223809529095888,"diavolo",0.5,0.333333343267441,16,512
"flags",0.1,0.200000004470348,"rect",0.25,0.1875,4,1024
"flags",0.1,0.180952383577824,"rect",0.25,0.0416666679084301,16,256
"flags",0.1,0.176190484315157,"rect",0.5,0.1875,4,1024
"flags",0.01,0.176190483570099,"rect",0.25,0.10416667163372,16,256
"flags",0.1,0.152380956709385,"rect",0.5,0.0416666679084301,8,512
"flags",0.1,0.152380956336856,"diavolo",0.5,0.125,8,1024
"flags",0.1,0.11428571715951,"diavolo",0.25,0.0625,16,512
