"dataset","valAccuracy","bottleneck","nhidden","nblocks","blockForm","testAccuracy","learningrate"
"cylinder-bands",0.622033911943436,0.5,1024,16,"rect",0.7421875,0.01
"cylinder-bands",0.620338988304138,0.5,512,4,"diavolo",0.7578125,0.01
"cylinder-bands",0.61864407658577,0.25,256,8,"diavolo",0.6328125,0.01
"cylinder-bands",0.615254253149032,0.25,256,3,"diavolo",0.7421875,0.1
"cylinder-bands",0.613559347391128,0.5,1024,3,"diavolo",0.53125,0.01
"cylinder-bands",0.611864393949509,0.5,1024,4,"rect",0.671875,0.1
"cylinder-bands",0.610169529914856,0.25,256,4,"diavolo",0.7109375,0.01
"cylinder-bands",0.601694917678833,0.25,512,3,"rect",0.7109375,0.01
"cylinder-bands",0.600000005960464,0.5,256,3,"rect",0.6796875,0.01
"cylinder-bands",0.59830510020256,0.25,1024,3,"diavolo",0.5859375,0.01
"cylinder-bands",0.591525435447693,0.5,256,4,"diavolo",0.703125,0.01
"cylinder-bands",0.588135588169098,0.25,512,3,"diavolo",0.5390625,0.1
"cylinder-bands",0.586440682411194,0.5,512,2,"diavolo",0.6953125,0.1
"cylinder-bands",0.586440670490265,0.5,1024,2,"diavolo",0.6953125,0.01
"cylinder-bands",0.584745764732361,0.25,1024,4,"rect",0.5859375,0.01
"cylinder-bands",0.574576258659363,0.25,512,4,"rect",0.5703125,0.1
"cylinder-bands",0.566101676225662,0.25,512,2,"diavolo",0.6328125,0.01
"cylinder-bands",0.561016941070557,0.25,1024,8,"rect",0.609375,0.1
"cylinder-bands",0.561016917228699,0.25,256,8,"rect",0.65625,0.01
"cylinder-bands",0.55423726439476,0.25,256,3,"diavolo",0.6328125,0.01
"cylinder-bands",0.545762729644775,0.5,512,4,"rect",0.609375,0.1
"cylinder-bands",0.545762705802917,0.5,1024,8,"rect",0.390625,0.1
"cylinder-bands",0.527118670940399,0.25,256,2,"rect",0.5234375,0.1
"cylinder-bands",0.527118644118309,0.25,256,16,"rect",0.703125,0.1
"cylinder-bands",0.508474582433701,0.5,512,16,"rect",0.390625,0.1
"cylinder-bands",0.503389847278595,0.25,256,16,"rect",0.4765625,0.01
"cylinder-bands",0.5,0.5,1024,16,"diavolo",0.609375,0.1
"cylinder-bands",0.498305112123489,0.25,1024,8,"diavolo",0.53125,0.01
"cylinder-bands",0.498305091261864,0.25,256,8,"rect",0.4140625,0.1
"cylinder-bands",0.493220347166061,0.5,1024,3,"diavolo",0.625,0.1
"cylinder-bands",0.48983051776886,0.25,512,16,"rect",0.53125,0.1
"cylinder-bands",0.484745782613754,0.5,512,8,"rect",0.4453125,0.1
"cylinder-bands",0.484745764732361,0.25,256,2,"diavolo",0.390625,1
"cylinder-bands",0.484745764732361,0.5,256,2,"rect",0.390625,1
"cylinder-bands",0.483050847053528,0.5,256,3,"diavolo",0.390625,1
"cylinder-bands",0.476271191239357,0.25,1024,8,"rect",0.3828125,0.01
"cylinder-bands",0.474576285481453,0.5,512,4,"diavolo",0.4609375,0.1
"cylinder-bands",0.469491535425186,0.25,512,8,"rect",0.390625,0.1
"cylinder-bands",0.469491532444954,0.5,1024,16,"diavolo",0.4140625,0.01
"cylinder-bands",0.469491529464722,0.5,1024,8,"diavolo",0.390625,0.1
"cylinder-bands",0.469491529464722,0.5,512,3,"rect",0.390625,1
"cylinder-bands",0.469491529464722,0.5,512,2,"diavolo",0.390625,1
"cylinder-bands",0.469491529464722,0.5,256,2,"diavolo",0.390625,1
"cylinder-bands",0.46610170006752,0.25,512,3,"rect",0.390625,1
