"dataset","nblocks","valAccuracy","nhidden","learningrate","bottleneck","testAccuracy","blockForm"
"spambase",3,0.924181890487671,1024,0.1,0.25,0.935652256011963,"rect"
"spambase",4,0.924000072479248,256,0.1,0.25,0.926087021827698,"rect"
"spambase",3,0.923636436462403,512,0.01,0.25,0.938260972499847,"rect"
"spambase",2,0.923636424541473,1024,0.1,0.25,0.933913111686707,"diavolo"
"spambase",8,0.923454582691193,256,0.1,0.5,0.938260912895203,"diavolo"
"spambase",4,0.923272788524628,1024,0.1,0.5,0.938260972499847,"diavolo"
"spambase",2,0.923090970516205,256,0.01,0.25,0.928695678710938,"diavolo"
"spambase",16,0.922545528411865,512,0.01,0.5,0.926087021827698,"diavolo"
"spambase",8,0.922545504570007,1024,0.1,0.25,0.933043539524078,"rect"
"spambase",3,0.922181892395019,256,0.01,0.5,0.942608773708344,"diavolo"
"spambase",16,0.921818244457245,512,0.1,0.25,0.906086981296539,"rect"
"spambase",3,0.921818208694458,1024,0.01,0.25,0.93217396736145,"rect"
"spambase",3,0.921636438369751,256,0.1,0.5,0.941739201545715,"rect"
"spambase",16,0.921454620361328,512,0.01,0.5,0.930434823036194,"rect"
"spambase",4,0.920727348327637,256,0.1,0.25,0.943478226661682,"diavolo"
"spambase",4,0.920727348327637,1024,0.01,0.25,0.935652256011963,"rect"
"spambase",16,0.920363700389862,512,0.1,0.25,0.919130563735962,"diavolo"
"spambase",2,0.920363688468933,256,0.01,0.25,0.936521768569946,"rect"
"spambase",16,0.920181888341904,256,0.01,0.5,0.922608733177185,"rect"
"spambase",4,0.920181846618652,1024,0.1,0.25,0.92956531047821,"diavolo"
"spambase",4,0.920000064373016,512,0.1,0.5,0.93478262424469,"rect"
"spambase",2,0.919818222522736,512,0.01,0.25,0.932173907756805,"rect"
"spambase",8,0.9196364402771,256,0.01,0.25,0.922608733177185,"rect"
"spambase",3,0.919454610347748,256,0.01,0.25,0.936521828174591,"rect"
"spambase",4,0.919454574584961,512,0.01,0.25,0.926956653594971,"rect"
"spambase",3,0.918545520305634,1024,0.01,0.5,0.930434823036194,"rect"
"spambase",3,0.918545508384705,512,0.1,0.25,0.93478262424469,"rect"
"spambase",3,0.918363684415817,512,0.01,0.5,0.933913111686707,"rect"
"spambase",8,0.918181884288788,256,0.01,0.5,0.91565215587616,"rect"
"spambase",2,0.918181872367859,512,0.01,0.5,0.931304395198822,"rect"
"spambase",3,0.918000066280365,256,0.01,0.25,0.933913111686707,"diavolo"
"spambase",16,0.917818188667298,512,0.01,0.25,0.920000076293945,"diavolo"
"spambase",16,0.917454588413239,1024,0.01,0.5,0.917391300201416,"rect"
"spambase",4,0.916909170150757,512,0.01,0.25,0.930434823036194,"diavolo"
"spambase",3,0.91690913438797,1024,0.01,0.5,0.917391300201416,"diavolo"
"spambase",16,0.916727340221405,1024,0.01,0.25,0.926956534385681,"rect"
"spambase",8,0.916000080108643,1024,0.01,0.5,0.922608733177185,"rect"
"spambase",8,0.915818220376968,1024,0.01,0.5,0.932173907756805,"diavolo"
"spambase",2,0.915636444091797,512,0.1,0.5,0.93478262424469,"diavolo"
"spambase",2,0.915454614162445,1024,0.01,0.5,0.92260879278183,"rect"
"spambase",2,0.915090930461884,1024,0.01,0.25,0.937391340732574,"rect"
"spambase",16,0.914181852340698,256,0.01,0.5,0.936521768569946,"diavolo"
"spambase",16,0.913454627990723,256,0.01,0.25,0.916521787643433,"rect"
"spambase",16,0.913272798061371,1024,0.01,0.25,0.911304354667664,"diavolo"
"spambase",8,0.913090968132019,512,0.01,0.25,0.927826166152954,"diavolo"
"spambase",8,0.912909173965454,1024,0.01,0.25,0.93217396736145,"rect"
"spambase",16,0.910363721847534,1024,0.01,0.5,0.921739161014557,"diavolo"
"spambase",4,0.91000007390976,512,0.01,0.5,0.913913071155548,"rect"
"spambase",4,0.910000061988831,256,0.01,0.5,0.929565191268921,"diavolo"
"spambase",3,0.909818267822266,512,0.01,0.25,0.928695678710938,"diavolo"
"spambase",2,0.90981822013855,1024,0.01,0.25,0.926086962223053,"diavolo"
"spambase",3,0.909636414051056,512,0.01,0.5,0.925217509269714,"diavolo"
"spambase",4,0.90781821012497,1024,0.01,0.25,0.914782643318176,"diavolo"
"spambase",8,0.907454609870911,512,0.01,0.5,0.920000076293945,"rect"
"spambase",4,0.907090938091278,1024,0.01,0.5,0.930434823036194,"rect"
"spambase",3,0.906181848049164,1024,0.01,0.25,0.913913130760193,"diavolo"
"spambase",4,0.905818271636963,256,0.01,0.25,0.911304414272308,"diavolo"
"spambase",4,0.905272787809372,1024,0.1,0.25,0.904347777366638,"rect"
"spambase",2,0.905090951919556,1024,0.01,0.5,0.920869588851929,"diavolo"
"spambase",8,0.904727363586426,1024,0.01,0.25,0.913913130760193,"diavolo"
"spambase",8,0.904545509815216,1024,0.1,0.5,0.933043599128723,"rect"
"spambase",4,0.903090953826904,1024,0.01,0.5,0.908695697784424,"diavolo"
"spambase",16,0.902545511722565,512,0.01,0.25,0.918260872364044,"rect"
"spambase",2,0.902363717556,512,0.01,0.5,0.916521787643433,"diavolo"
"spambase",4,0.899454545974731,512,0.01,0.5,0.918260991573334,"diavolo"
"spambase",8,0.899272799491882,512,0.01,0.5,0.917391300201416,"diavolo"
"spambase",8,0.898909175395965,256,0.01,0.5,0.906087040901184,"diavolo"
"spambase",8,0.890181851387024,256,0.01,0.25,0.892173945903778,"diavolo"
"spambase",16,0.767090880870819,1024,0.1,0.5,0.718260884284973,"diavolo"
"spambase",16,0.598181843757629,1024,0.1,0.5,0.60608696937561,"rect"
"spambase",16,0.598181843757629,512,1,0.25,0.60608696937561,"diavolo"
"spambase",16,0.598181843757629,512,1,0.5,0.60608696937561,"diavolo"
"spambase",16,0.598181843757629,256,1,0.25,0.60608696937561,"diavolo"
"spambase",8,0.598181843757629,1024,1,0.25,0.60608696937561,"diavolo"
"spambase",8,0.598181843757629,512,1,0.25,0.60608696937561,"rect"
"spambase",8,0.598181843757629,512,1,0.25,0.60608696937561,"diavolo"
"spambase",8,0.598181843757629,512,1,0.5,0.60608696937561,"rect"
"spambase",8,0.598181843757629,256,1,0.25,0.60608696937561,"rect"
"spambase",4,0.598181843757629,1024,1,0.25,0.60608696937561,"diavolo"
"spambase",4,0.598181843757629,1024,1,0.5,0.60608696937561,"rect"
"spambase",4,0.598181843757629,512,1,0.25,0.60608696937561,"rect"
"spambase",4,0.598181843757629,512,1,0.5,0.60608696937561,"rect"
"spambase",3,0.598181843757629,1024,1,0.25,0.60608696937561,"rect"
"spambase",3,0.598181843757629,1024,1,0.25,0.60608696937561,"diavolo"
"spambase",3,0.598181843757629,512,1,0.5,0.60608696937561,"diavolo"
"spambase",2,0.598181843757629,1024,1,0.25,0.60608696937561,"diavolo"
"spambase",2,0.598181843757629,512,1,0.25,0.60608696937561,"rect"
"spambase",2,0.598181843757629,256,1,0.25,0.60608696937561,"diavolo"
"spambase",16,0.598181837797165,1024,0.1,0.25,0.60608696937561,"rect"
"spambase",16,0.598181837797165,1024,1,0.25,0.60608696937561,"rect"
"spambase",16,0.598181837797165,1024,1,0.25,0.60608696937561,"diavolo"
"spambase",16,0.598181837797165,1024,1,0.5,0.60608696937561,"diavolo"
"spambase",16,0.598181837797165,256,1,0.25,0.60608696937561,"rect"
"spambase",16,0.598181837797165,256,1,0.5,0.60608696937561,"rect"
"spambase",16,0.598181837797165,256,1,0.5,0.60608696937561,"diavolo"
"spambase",8,0.598181837797165,1024,1,0.25,0.60608696937561,"rect"
"spambase",8,0.598181837797165,1024,1,0.5,0.60608696937561,"rect"
"spambase",8,0.598181837797165,1024,1,0.5,0.60608696937561,"diavolo"
"spambase",8,0.598181837797165,256,1,0.25,0.60608696937561,"diavolo"
"spambase",4,0.598181837797165,1024,1,0.25,0.60608696937561,"rect"
"spambase",4,0.598181837797165,512,1,0.25,0.60608696937561,"diavolo"
"spambase",4,0.598181837797165,256,1,0.5,0.60608696937561,"diavolo"
"spambase",3,0.598181837797165,1024,1,0.5,0.60608696937561,"diavolo"
"spambase",3,0.598181837797165,512,1,0.25,0.60608696937561,"rect"
"spambase",3,0.598181837797165,512,1,0.5,0.60608696937561,"rect"
"spambase",3,0.598181837797165,256,1,0.25,0.60608696937561,"diavolo"
"spambase",2,0.598181837797165,1024,1,0.25,0.60608696937561,"rect"
"spambase",2,0.598181837797165,1024,1,0.5,0.60608696937561,"rect"
"spambase",2,0.598181837797165,1024,1,0.5,0.60608696937561,"diavolo"
"spambase",2,0.598181837797165,512,1,0.5,0.60608696937561,"rect"
"spambase",2,0.598181837797165,256,1,0.25,0.60608696937561,"rect"
"spambase",2,0.598181837797165,256,1,0.5,0.60608696937561,"rect"
"spambase",2,0.598181837797165,256,1,0.5,0.60608696937561,"diavolo"
"spambase",16,0.5981818318367,1024,1,0.5,0.60608696937561,"rect"
"spambase",16,0.5981818318367,512,1,0.25,0.60608696937561,"rect"
"spambase",16,0.5981818318367,512,1,0.5,0.60608696937561,"rect"
"spambase",8,0.5981818318367,256,1,0.5,0.60608696937561,"rect"
"spambase",8,0.5981818318367,256,1,0.5,0.60608696937561,"diavolo"
"spambase",4,0.5981818318367,256,1,0.25,0.60608696937561,"diavolo"
"spambase",3,0.5981818318367,1024,1,0.5,0.60608696937561,"rect"
"spambase",3,0.5981818318367,512,1,0.25,0.60608696937561,"diavolo"
