"dataset","testAccuracy","valAccuracy","blockForm","learningrate","nhidden","bottleneck","nblocks"
"semeion",0.580402016639709,0.56305416226387,"rect",0.01,256,0.25,16
"semeion",0.494974851608276,0.463054183125496,"rect",0.1,512,0.25,8
"semeion",0.183417081832886,0.164532025903463,"diavolo",0.1,512,0.5,16
"semeion",0.100502505898476,0.100492611527443,"diavolo",1,256,0.25,2
"semeion",0.100502505898476,0.0985221661627293,"rect",1,512,0.25,3
"semeion",0.100502505898476,0.0975369460880756,"rect",0.1,1024,0.25,8
"semeion",0.100502505898476,0.0975369445979595,"rect",0.1,1024,0.25,16
"semeion",0.100502505898476,0.0975369438529015,"diavolo",1,512,0.5,2
"semeion",0.100502505898476,0.0975369438529015,"rect",1,256,0.25,2
"semeion",0.100502513349056,0.0975369423627853,"diavolo",0.1,1024,0.5,16
"semeion",0.100502505898476,0.0970443330705166,"rect",1,512,0.5,2
"semeion",0.100502505898476,0.0970443330705166,"rect",1,256,0.5,2
"semeion",0.100502505898476,0.0965517222881317,"rect",1,256,0.5,4
"semeion",0.100502505898476,0.0965517222881317,"diavolo",1,512,0.25,2
"semeion",0.100502505898476,0.0965517222881317,"diavolo",1,1024,0.25,2
"semeion",0.100502505898476,0.0965517215430736,"rect",0.1,512,0.25,16
"semeion",0.100502505898476,0.0965517215430736,"diavolo",1,256,0.5,2
"semeion",0.100502505898476,0.0965517207980156,"rect",1,256,0.5,3
"semeion",0.100502505898476,0.0960591115057468,"diavolo",1,1024,0.5,16
"semeion",0.100502505898476,0.0960591100156307,"rect",1,256,0.25,4
"semeion",0.100502505898476,0.09556650146842,"diavolo",1,1024,0.25,8
"semeion",0.100502505898476,0.09556650146842,"rect",1,512,0.5,4
"semeion",0.100502505898476,0.09556650146842,"diavolo",1,512,0.25,4
"semeion",0.100502505898476,0.095566500723362,"diavolo",1,512,0.25,3
"semeion",0.100502505898476,0.0955664999783039,"rect",0.1,1024,0.5,16
"semeion",0.100502505898476,0.0955664999783039,"rect",1,256,0.25,8
"semeion",0.100502505898476,0.0955664999783039,"diavolo",1,256,0.5,4
"semeion",0.100502505898476,0.0955664999783039,"diavolo",1,1024,0.5,3
"semeion",0.100502505898476,0.095073889195919,"rect",1,512,0.25,2
"semeion",0.100502505898476,0.0945812806487083,"diavolo",1,256,0.25,16
"semeion",0.100502505898476,0.0945812806487083,"diavolo",1,1024,0.25,3
"semeion",0.100502505898476,0.0940886691212654,"rect",1,1024,0.5,2
"semeion",0.100502505898476,0.0940886676311493,"rect",1,1024,0.25,3
"semeion",0.100502505898476,0.0940886676311493,"diavolo",1,512,0.5,3
"semeion",0.100502505898476,0.0935960590839386,"rect",1,512,0.5,16
"semeion",0.100502505898476,0.0935960590839386,"diavolo",1,256,0.5,16
"semeion",0.100502505898476,0.0935960583388805,"diavolo",1,512,0.5,16
"semeion",0.100502505898476,0.0935960583388805,"diavolo",1,256,0.5,8
"semeion",0.100502505898476,0.0935960583388805,"diavolo",1,512,0.5,4
"semeion",0.100502505898476,0.0935960583388805,"rect",1,1024,0.5,3
"semeion",0.100502505898476,0.0935960575938225,"rect",1,512,0.25,16
"semeion",0.100502505898476,0.0935960575938225,"rect",1,256,0.5,16
"semeion",0.100502505898476,0.0935960575938225,"rect",0.1,1024,0.5,8
"semeion",0.100502505898476,0.0935960575938225,"rect",1,512,0.5,8
"semeion",0.100502505898476,0.0935960575938225,"rect",1,256,0.5,8
"semeion",0.100502505898476,0.0935960575938225,"rect",1,1024,0.25,4
"semeion",0.100502505898476,0.0935960575938225,"diavolo",1,1024,0.25,4
"semeion",0.100502505898476,0.0935960575938225,"rect",1,256,0.25,3
"semeion",0.100502505898476,0.0935960575938225,"diavolo",1,1024,0.5,2
"semeion",0.100502505898476,0.0935960568487644,"rect",1,1024,0.25,16
"semeion",0.100502505898476,0.0935960568487644,"rect",1,512,0.25,8
"semeion",0.100502505898476,0.0935960568487644,"diavolo",1,512,0.5,8
"semeion",0.100502505898476,0.0935960568487644,"diavolo",1,256,0.25,8
"semeion",0.100502505898476,0.0935960568487644,"diavolo",1,256,0.25,4
"semeion",0.100502505898476,0.0935960568487644,"diavolo",1,256,0.25,3
"semeion",0.100502505898476,0.0935960561037064,"rect",0.1,512,0.5,16
"semeion",0.100502505898476,0.0935960561037064,"rect",1,1024,0.5,16
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,1024,0.25,16
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,512,0.25,16
"semeion",0.100502505898476,0.0935960561037064,"rect",1,256,0.25,16
"semeion",0.100502505898476,0.0935960561037064,"rect",1,1024,0.25,8
"semeion",0.100502505898476,0.0935960561037064,"rect",1,1024,0.5,8
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,1024,0.5,8
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,512,0.25,8
"semeion",0.100502505898476,0.0935960561037064,"rect",1,1024,0.5,4
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,1024,0.5,4
"semeion",0.100502505898476,0.0935960561037064,"rect",1,512,0.25,4
"semeion",0.100502505898476,0.0935960561037064,"rect",1,512,0.5,3
"semeion",0.100502505898476,0.0935960561037064,"diavolo",1,256,0.5,3
"semeion",0.100502505898476,0.0935960561037064,"rect",1,1024,0.25,2
"semeion",0.0979899391531944,0.0807881765067577,"diavolo",0.1,1024,0.25,16
