"dataset","nblocks","valAccuracy","blockForm","learningrate","testAccuracy","bottleneck","nhidden"
"musk-2",16,0.998069024085998,"rect",0.1,0.996361494064331,0.5,256
"musk-2",16,0.996827644109726,"diavolo",0.1,0.987871408462524,0.25,512
"musk-2",16,0.996689713001251,"diavolo",0.1,0.994542121887207,0.5,256
"musk-2",8,0.996551781892776,"diavolo",0.1,0.989084243774414,0.25,256
"musk-2",8,0.995862126350403,"diavolo",0.1,0.993935763835907,0.5,512
"musk-2",4,0.995862126350403,"rect",0.1,0.989690780639648,0.25,512
"musk-2",8,0.995862126350403,"rect",0.1,0.992116510868073,0.5,1024
"musk-2",8,0.995310401916504,"rect",0.1,0.991509974002838,0.5,512
"musk-2",3,0.995310401916504,"rect",0.1,0.990903496742249,0.5,256
"musk-2",8,0.995034539699555,"rect",0.1,0.992722868919373,0.25,512
"musk-2",3,0.994758677482605,"rect",0.1,0.989084303379059,0.5,512
"musk-2",8,0.99462074637413,"rect",0.1,0.990903556346893,0.25,256
"musk-2",3,0.99462074637413,"rect",0.1,0.990903556346893,0.25,256
"musk-2",16,0.994482815265656,"diavolo",0.1,0.992722749710083,0.5,512
"musk-2",2,0.993793159723282,"diavolo",0.1,0.989690661430359,0.25,512
"musk-2",4,0.993517297506332,"rect",0.1,0.990297138690948,0.5,256
"musk-2",2,0.993241435289383,"rect",0.1,0.989084303379059,0.25,512
"musk-2",8,0.993241435289383,"diavolo",0.1,0.991509974002838,0.5,256
"musk-2",16,0.993103504180908,"diavolo",0.1,0.990297198295593,0.25,256
"musk-2",4,0.993103504180908,"diavolo",0.1,0.990297198295593,0.5,256
"musk-2",2,0.993103504180908,"rect",0.1,0.992722868919373,0.5,512
"musk-2",16,0.992827641963959,"rect",0.1,0.985445737838745,0.25,256
"musk-2",2,0.992551779747009,"rect",0.1,0.990903556346893,0.25,256
"musk-2",8,0.99227591753006,"rect",0.1,0.98665851354599,0.5,256
"musk-2",2,0.992137986421585,"diavolo",0.1,0.989690661430359,0.5,256
"musk-2",8,0.992137986421585,"diavolo",0.1,0.990903496742249,0.5,1024
"musk-2",3,0.99200005531311,"diavolo",0.1,0.988477826118469,0.25,512
"musk-2",3,0.99200005531311,"rect",0.1,0.989084243774414,0.25,512
"musk-2",16,0.991862124204636,"diavolo",0.1,0.990297079086304,0.25,1024
"musk-2",8,0.991862124204636,"diavolo",0.1,0.98726499080658,0.25,512
"musk-2",4,0.991862124204635,"diavolo",0.1,0.989084243774414,0.25,512
"musk-2",4,0.991724193096161,"rect",0.1,0.987871408462524,0.5,512
"musk-2",8,0.991310399770737,"diavolo",0.1,0.9854456782341,0.25,1024
"musk-2",3,0.990482813119888,"diavolo",0.1,0.989690661430359,0.25,256
"musk-2",3,0.990206950902939,"rect",0.1,0.989690661430359,0.25,1024
"musk-2",2,0.990206950902939,"rect",0.1,0.989690661430359,0.5,256
"musk-2",4,0.98965522646904,"diavolo",0.1,0.989084243774414,0.5,512
"musk-2",3,0.98965522646904,"diavolo",0.1,0.983626425266266,0.5,256
"musk-2",4,0.989517295360565,"rect",0.1,0.986052215099335,0.5,1024
"musk-2",4,0.989517295360565,"diavolo",0.1,0.98605215549469,0.5,1024
"musk-2",4,0.989517295360565,"rect",0.1,0.989084243774414,0.25,256
"musk-2",8,0.989517295360565,"rect",0.1,0.986658573150635,0.25,1024
"musk-2",4,0.989241433143616,"diavolo",0.1,0.987871468067169,0.25,256
"musk-2",16,0.988965570926666,"rect",0.1,0.987871408462524,0.5,512
"musk-2",4,0.988965570926666,"rect",0.1,0.98605215549469,0.25,1024
"musk-2",16,0.988827639818192,"rect",0.1,0.98605215549469,0.25,512
"musk-2",3,0.988137984275818,"rect",0.01,0.981807112693787,0.25,256
"musk-2",2,0.988137984275818,"rect",0.1,0.988477826118469,0.25,1024
"musk-2",2,0.987586259841919,"diavolo",0.01,0.982413589954376,0.25,256
"musk-2",2,0.987586259841919,"diavolo",0.1,0.989690661430359,0.5,512
"musk-2",2,0.98703453540802,"diavolo",0.01,0.980594277381897,0.25,512
"musk-2",2,0.986758673191071,"rect",0.01,0.982413649559021,0.25,256
"musk-2",3,0.986620742082596,"diavolo",0.1,0.9848393201828,0.5,512
"musk-2",2,0.986482810974121,"diavolo",0.1,0.988477826118469,0.25,256
"musk-2",16,0.986206948757172,"diavolo",0.1,0.98726499080658,0.5,1024
