"dataset","nblocks","bottleneck","valAccuracy","nhidden","learningrate","testAccuracy","blockForm"
"wall-following",16,0.5,0.917391276359558,256,0.1,0.922287404537201,"diavolo"
"wall-following",8,0.25,0.914653754234314,512,0.1,0.904692053794861,"rect"
"wall-following",8,0.5,0.914331704378128,512,0.1,0.911290347576141,"rect"
"wall-following",8,0.5,0.9125603556633,1024,0.1,0.910557210445404,"diavolo"
"wall-following",16,0.5,0.911916267871857,512,0.1,0.914222896099091,"diavolo"
"wall-following",8,0.25,0.911916255950928,256,0.1,0.91715544462204,"diavolo"
"wall-following",16,0.5,0.911755239963532,256,0.1,0.920087933540344,"rect"
"wall-following",2,0.25,0.91159417629242,256,0.1,0.918621718883514,"diavolo"
"wall-following",8,0.5,0.910628020763397,256,0.1,0.911290347576141,"diavolo"
"wall-following",8,0.25,0.908373594284058,256,0.1,0.92521995306015,"rect"
"wall-following",8,0.5,0.908373582363129,256,0.1,0.918621718883514,"rect"
"wall-following",2,0.25,0.908051544427872,256,0.1,0.913489758968353,"rect"
"wall-following",3,0.25,0.907407379150391,256,0.1,0.915689170360565,"rect"
"wall-following",16,0.25,0.906924307346344,256,0.1,0.923020541667938,"diavolo"
"wall-following",4,0.5,0.906602245569229,256,0.1,0.91568911075592,"rect"
"wall-following",2,0.5,0.906119149923324,256,0.1,0.910557210445404,"diavolo"
"wall-following",4,0.25,0.904830920696259,256,0.1,0.911290347576141,"rect"
"wall-following",3,0.5,0.904669868946075,256,0.1,0.91715544462204,"diavolo"
"wall-following",3,0.25,0.902737510204315,256,0.1,0.914956033229828,"diavolo"
"wall-following",3,0.5,0.901449292898178,256,0.1,0.914222896099091,"rect"
"wall-following",4,0.5,0.895813179016113,256,0.1,0.91715544462204,"diavolo"
"wall-following",4,0.25,0.895169061422348,256,0.1,0.922287404537201,"diavolo"
"wall-following",2,0.5,0.892109483480453,256,0.1,0.890029311180115,"rect"
"wall-following",4,0.5,0.891465348005295,1024,0.1,0.901759564876556,"rect"
"wall-following",16,0.25,0.875845396518707,512,0.1,0.901026427745819,"diavolo"
"wall-following",8,0.25,0.874396097660065,256,0.01,0.876832842826843,"diavolo"
"wall-following",2,0.25,0.872785836458206,256,0.01,0.887829899787903,"rect"
"wall-following",2,0.25,0.870692431926727,512,0.1,0.895894467830658,"rect"
"wall-following",4,0.25,0.867310762405396,512,0.1,0.89002937078476,"rect"
"wall-following",4,0.5,0.866183537244797,512,0.1,0.873900353908539,"rect"
"wall-following",8,0.25,0.865861505270004,512,0.1,0.877565979957581,"diavolo"
"wall-following",3,0.25,0.860547494888306,1024,0.1,0.867302060127258,"rect"
"wall-following",3,0.5,0.858937162160873,256,0.01,0.865835785865784,"diavolo"
"wall-following",16,0.5,0.857648926973343,256,0.01,0.870967745780945,"rect"
"wall-following",2,0.5,0.855877608060837,512,0.1,0.846041083335876,"rect"
"wall-following",16,0.25,0.854589384794235,256,0.01,0.867302060127258,"diavolo"
"wall-following",8,0.5,0.854428327083588,512,0.1,0.877566039562225,"diavolo"
"wall-following",3,0.25,0.853784227371216,256,0.01,0.855571866035461,"diavolo"
"wall-following",3,0.25,0.853462153673172,512,0.1,0.854105591773987,"rect"
"wall-following",3,0.5,0.851046687364578,512,0.1,0.886363625526428,"rect"
"wall-following",4,0.25,0.846376836299896,256,0.01,0.870234668254852,"diavolo"
"wall-following",8,0.5,0.845088577270508,256,0.01,0.86950147151947,"rect"
"wall-following",16,0.25,0.844605457782746,1024,0.1,0.873167157173157,"diavolo"
"wall-following",2,0.5,0.843961328268051,256,0.01,0.84237539768219,"diavolo"
"wall-following",3,0.5,0.840740740299225,256,0.01,0.860703825950623,"rect"
"wall-following",4,0.25,0.840579706430435,512,0.1,0.859970688819885,"diavolo"
"wall-following",3,0.5,0.832850247621536,512,0.1,0.843841671943665,"diavolo"
"wall-following",3,0.25,0.832528162002563,512,0.1,0.837976574897766,"diavolo"
"wall-following",16,0.25,0.832045078277588,256,0.1,0.823313772678375,"rect"
"wall-following",4,0.5,0.829790639877319,256,0.01,0.858504414558411,"diavolo"
"wall-following",2,0.25,0.829629594087601,512,0.1,0.832111477851868,"diavolo"
"wall-following",4,0.5,0.829468590021133,512,0.1,0.821114361286163,"diavolo"
"wall-following",2,0.5,0.828985488414764,1024,0.1,0.843108534812927,"rect"
"wall-following",4,0.25,0.828180325031281,1024,0.1,0.801319658756256,"rect"
"wall-following",2,0.25,0.827697253227234,1024,0.1,0.822580695152283,"rect"
"wall-following",4,0.25,0.826408994197846,1024,0.1,0.837243437767029,"diavolo"
"wall-following",2,0.5,0.825442832708359,512,0.1,0.859970688819885,"diavolo"
"wall-following",3,0.5,0.82528178691864,1024,0.1,0.862903237342834,"diavolo"
"wall-following",8,0.25,0.824476635456085,1024,0.1,0.854105591773987,"diavolo"
"wall-following",4,0.5,0.817713356018067,1024,0.1,0.840176045894623,"diavolo"
"wall-following",4,0.25,0.814814811944962,256,0.01,0.810850441455841,"rect"
"wall-following",3,0.5,0.810789036750794,1024,0.1,0.858504414558411,"rect"
"wall-following",2,0.25,0.8083735704422,256,0.01,0.812316715717316,"diavolo"
"wall-following",2,0.5,0.807246369123459,1024,0.1,0.804252207279205,"diavolo"
"wall-following",3,0.25,0.801288223266602,1024,0.1,0.804985344409943,"diavolo"
"wall-following",2,0.5,0.797906595468521,512,0.01,0.785190641880035,"rect"
"wall-following",8,0.25,0.790499186515808,256,0.01,0.818915009498596,"rect"
"wall-following",2,0.25,0.78132044672966,512,0.01,0.79472142457962,"rect"
"wall-following",2,0.25,0.776328504085541,1024,0.1,0.799120247364044,"diavolo"
"wall-following",8,0.5,0.771014475822449,512,0.01,0.785190582275391,"rect"
