"dataset","nblocks","bottleneck","valAccuracy","nhidden","learningrate","testAccuracy","blockForm"
"wall-following",2,0.5,0.770853459835053,1024,0.01,0.770527899265289,"rect"
"wall-following",4,0.5,0.770531386137009,256,0.01,0.780058681964874,"rect"
"wall-following",16,0.5,0.766666668653488,512,0.01,0.765395879745483,"diavolo"
"wall-following",16,0.25,0.765217393636704,512,0.01,0.756598234176636,"diavolo"
"wall-following",8,0.5,0.76505635380745,256,0.01,0.773460447788239,"diavolo"
"wall-following",3,0.25,0.76392914056778,256,0.01,0.745601177215576,"rect"
"wall-following",2,0.5,0.761352646350861,256,0.01,0.793255090713501,"rect"
"wall-following",16,0.25,0.754911422729492,256,0.01,0.771261036396027,"rect"
"wall-following",16,0.25,0.754428315162659,512,0.01,0.762463331222534,"rect"
"wall-following",16,0.5,0.752656984329224,256,0.01,0.731671571731567,"diavolo"
"wall-following",3,0.5,0.752495980262756,512,0.01,0.760997116565704,"rect"
"wall-following",3,0.25,0.749114316701889,512,0.01,0.742668628692627,"rect"
"wall-following",8,0.25,0.746215760707855,512,0.01,0.72287392616272,"rect"
"wall-following",3,0.5,0.744283425807953,1024,0.01,0.731671571731567,"rect"
"wall-following",4,0.5,0.738486289978027,512,0.01,0.743401765823364,"rect"
"wall-following",16,0.25,0.737681144475937,1024,0.01,0.751466274261475,"diavolo"
"wall-following",2,0.25,0.736875998973846,512,0.01,0.741202354431152,"diavolo"
"wall-following",16,0.25,0.734782606363297,1024,0.01,0.741202354431152,"rect"
"wall-following",3,0.25,0.730434781312943,1024,0.01,0.735337257385254,"rect"
"wall-following",4,0.5,0.728985512256622,512,0.01,0.729472160339355,"diavolo"
"wall-following",16,0.5,0.727858281135559,1024,0.01,0.802785992622375,"rect"
"wall-following",4,0.25,0.726731091737747,512,0.01,0.724340200424194,"diavolo"
"wall-following",4,0.5,0.72399355173111,1024,0.01,0.745601177215576,"rect"
"wall-following",4,0.25,0.721578079462051,512,0.01,0.72287392616272,"rect"
"wall-following",8,0.5,0.720772939920426,1024,0.01,0.659824013710022,"rect"
"wall-following",4,0.25,0.719001615047455,1024,0.01,0.714076220989227,"rect"
"wall-following",8,0.25,0.718840581178665,1024,0.01,0.706744909286499,"rect"
"wall-following",16,0.5,0.717552328109741,1024,0.01,0.706744909286499,"diavolo"
"wall-following",3,0.25,0.716747188568115,1024,0.01,0.67668616771698,"diavolo"
"wall-following",16,0.5,0.716747176647186,512,0.01,0.730205297470093,"rect"
"wall-following",8,0.25,0.714653784036636,512,0.01,0.683284521102905,"diavolo"
"wall-following",3,0.5,0.707568442821503,1024,0.01,0.704545497894287,"diavolo"
"wall-following",8,0.25,0.705797106027603,1024,0.01,0.714809417724609,"diavolo"
"wall-following",2,0.25,0.703703707456589,1024,0.01,0.708211183547974,"rect"
"wall-following",3,0.25,0.698067635297775,512,0.01,0.709677457809448,"diavolo"
"wall-following",2,0.25,0.696135258674622,1024,0.01,0.72287392616272,"diavolo"
"wall-following",2,0.5,0.676489531993866,512,0.01,0.653958916664124,"diavolo"
"wall-following",3,0.5,0.647826081514359,512,0.01,0.641495585441589,"diavolo"
"wall-following",8,0.5,0.641223818063736,512,0.01,0.642228722572327,"diavolo"
"wall-following",4,0.25,0.640257626771927,1024,0.01,0.663489699363708,"diavolo"
"wall-following",8,0.5,0.636392897367477,1024,0.01,0.659824013710022,"diavolo"
"wall-following",4,0.5,0.611272126436234,1024,0.01,0.617302060127258,"diavolo"
"wall-following",2,0.5,0.594685989618301,1024,0.01,0.626099705696106,"diavolo"
"wall-following",2,0.5,0.420450887084007,256,1,0.404692113399506,"diavolo"
"wall-following",16,0.5,0.413848653435707,512,1,0.404692053794861,"rect"
"wall-following",2,0.5,0.413848653435707,1024,1,0.404692053794861,"diavolo"
"wall-following",8,0.5,0.413848650455475,512,1,0.404692053794861,"diavolo"
"wall-following",4,0.25,0.413848647475243,256,1,0.404692053794861,"rect"
"wall-following",8,0.5,0.41384864449501,512,1,0.404692113399506,"rect"
"wall-following",8,0.25,0.41384864449501,1024,0.1,0.404692053794861,"rect"
"wall-following",8,0.25,0.41384864449501,512,1,0.404692053794861,"diavolo"
"wall-following",4,0.5,0.41384864449501,512,1,0.404692053794861,"diavolo"
"wall-following",4,0.25,0.41384864449501,256,1,0.404692053794861,"diavolo"
"wall-following",3,0.5,0.41384864449501,256,1,0.404692053794861,"diavolo"
"wall-following",2,0.25,0.41384864449501,512,1,0.404692053794861,"rect"
"wall-following",3,0.25,0.413848641514778,512,1,0.404692053794861,"rect"
"wall-following",2,0.25,0.413848641514778,512,1,0.404692053794861,"diavolo"
"wall-following",16,0.25,0.413848641514778,1024,1,0.404692053794861,"diavolo"
"wall-following",16,0.5,0.413848641514778,1024,1,0.404692053794861,"diavolo"
"wall-following",16,0.25,0.413848641514778,256,1,0.404692053794861,"rect"
"wall-following",16,0.25,0.413848641514778,256,1,0.404692053794861,"diavolo"
"wall-following",8,0.5,0.413848641514778,256,1,0.404692053794861,"rect"
"wall-following",3,0.5,0.413848641514778,1024,1,0.404692053794861,"diavolo"
"wall-following",3,0.25,0.413848641514778,512,1,0.404692053794861,"diavolo"
"wall-following",3,0.5,0.413848641514778,512,1,0.404692053794861,"rect"
"wall-following",2,0.25,0.413848641514778,1024,1,0.404692053794861,"rect"
"wall-following",2,0.5,0.413848641514778,1024,1,0.404692113399506,"rect"
"wall-following",2,0.25,0.413848641514778,256,1,0.404692053794861,"diavolo"
"wall-following",16,0.25,0.413848641514778,512,0.1,0.404692053794861,"rect"
"wall-following",4,0.5,0.413848641514778,256,1,0.404692113399506,"diavolo"
"wall-following",4,0.25,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",4,0.5,0.413848638534546,1024,1,0.404692053794861,"diavolo"
"wall-following",4,0.25,0.413848638534546,512,1,0.404692053794861,"rect"
"wall-following",4,0.5,0.413848638534546,512,1,0.404692053794861,"rect"
"wall-following",16,0.25,0.413848638534546,1024,0.1,0.404692053794861,"rect"
"wall-following",16,0.5,0.413848638534546,1024,0.1,0.404692053794861,"rect"
"wall-following",16,0.5,0.413848638534546,1024,0.1,0.404692053794861,"diavolo"
"wall-following",16,0.25,0.413848638534546,1024,1,0.404692113399506,"rect"
"wall-following",16,0.5,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",16,0.25,0.413848638534546,512,1,0.404692053794861,"rect"
"wall-following",16,0.25,0.413848638534546,512,1,0.404692053794861,"diavolo"
"wall-following",16,0.5,0.413848638534546,512,1,0.404692053794861,"diavolo"
"wall-following",16,0.5,0.413848638534546,256,1,0.404692053794861,"rect"
"wall-following",16,0.5,0.413848638534546,256,1,0.404692053794861,"diavolo"
"wall-following",8,0.25,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",8,0.25,0.413848638534546,1024,1,0.404692053794861,"diavolo"
"wall-following",8,0.5,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",8,0.25,0.413848638534546,512,1,0.404692053794861,"rect"
"wall-following",8,0.25,0.413848638534546,256,1,0.404692053794861,"rect"
"wall-following",8,0.5,0.413848638534546,256,1,0.404692053794861,"diavolo"
"wall-following",3,0.25,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",3,0.25,0.413848638534546,1024,1,0.404692053794861,"diavolo"
"wall-following",3,0.5,0.413848638534546,1024,1,0.404692053794861,"rect"
"wall-following",3,0.25,0.413848638534546,256,1,0.404692053794861,"diavolo"
"wall-following",3,0.5,0.413848638534546,256,1,0.404692053794861,"rect"
"wall-following",2,0.5,0.413848638534546,512,1,0.404692053794861,"diavolo"
"wall-following",2,0.25,0.413848638534546,256,1,0.404692053794861,"rect"
"wall-following",2,0.5,0.413848638534546,256,1,0.404692053794861,"rect"
"wall-following",8,0.5,0.413848635554314,1024,0.1,0.404692053794861,"rect"
"wall-following",8,0.5,0.413848635554314,1024,1,0.404692053794861,"diavolo"
"wall-following",8,0.25,0.413848635554314,256,1,0.404692113399506,"diavolo"
"wall-following",4,0.25,0.413848635554314,1024,1,0.404692053794861,"diavolo"
"wall-following",4,0.5,0.413848635554314,1024,1,0.404692053794861,"rect"
"wall-following",4,0.5,0.413848635554314,256,1,0.404692053794861,"rect"
"wall-following",3,0.25,0.413848635554314,256,1,0.404692113399506,"rect"
"wall-following",2,0.25,0.413848635554314,1024,1,0.404692053794861,"diavolo"
"wall-following",2,0.5,0.413848635554314,512,1,0.404692053794861,"rect"
"wall-following",16,0.5,0.413848632574081,512,0.1,0.404692053794861,"rect"
"wall-following",3,0.5,0.413848632574081,512,1,0.404692053794861,"diavolo"
"wall-following",4,0.25,0.413848629593849,512,1,0.404692053794861,"diavolo"
