"dataset","nhidden","blockForm","testAccuracy","bottleneck","learningrate","nblocks","valAccuracy"
"plant-shape",1024,"rect",0.514999985694885,0.25,0.1,4,0.577438992261887
"plant-shape",512,"rect",0.507499992847443,0.25,0.1,4,0.554878008365631
"plant-shape",512,"diavolo",0.497499942779541,0.5,0.1,4,0.552438992261887
"plant-shape",1024,"rect",0.529999971389771,0.5,0.1,4,0.55060972571373
"plant-shape",512,"diavolo",0.497500002384186,0.25,0.1,3,0.525609731674194
"plant-shape",512,"rect",0.504999935626984,0.25,0.1,3,0.524390232563019
"plant-shape",512,"rect",0.472499996423721,0.5,0.1,2,0.522560960054398
"plant-shape",512,"rect",0.532499969005585,0.5,0.1,4,0.520121923089027
"plant-shape",1024,"rect",0.482499957084656,0.25,0.1,3,0.514634126424789
"plant-shape",256,"rect",0.522499978542328,0.25,0.1,4,0.514024370908737
"plant-shape",1024,"diavolo",0.494999945163727,0.25,0.1,8,0.511585345864296
"plant-shape",512,"diavolo",0.492499977350235,0.5,0.1,3,0.504878023266792
"plant-shape",256,"rect",0.474999964237213,0.5,0.1,2,0.502438995242119
"plant-shape",1024,"rect",0.472499966621399,0.5,0.1,3,0.498780462145805
"plant-shape",512,"rect",0.519999980926514,0.5,0.1,8,0.496341446042061
"plant-shape",512,"rect",0.457500040531158,0.25,0.1,2,0.492682901024818
"plant-shape",512,"diavolo",0.467499971389771,0.25,0.1,8,0.49146341085434
"plant-shape",1024,"rect",0.437499970197678,0.5,0.1,2,0.488414618372917
"plant-shape",256,"rect",0.517499983310699,0.25,0.1,3,0.479268273711205
"plant-shape",1024,"diavolo",0.427499949932098,0.5,0.1,4,0.473780471086502
"plant-shape",256,"rect",0.5,0.5,0.1,4,0.472560960054398
"plant-shape",256,"rect",0.447499960660934,0.25,0.1,2,0.470121929049492
"plant-shape",1024,"diavolo",0.444999992847443,0.25,0.1,4,0.46951217353344
"plant-shape",1024,"diavolo",0.367500007152557,0.5,0.1,3,0.46463412642479
"plant-shape",512,"rect",0.507499992847443,0.25,0.1,8,0.464634126424789
"plant-shape",512,"diavolo",0.4375,0.25,0.1,2,0.462195089459419
"plant-shape",256,"rect",0.499999940395355,0.5,0.1,3,0.455487784743309
"plant-shape",512,"diavolo",0.482499957084656,0.25,0.1,4,0.44451217353344
"plant-shape",1024,"rect",0.395000010728836,0.25,0.1,2,0.439634120464325
"plant-shape",256,"diavolo",0.452499985694885,0.5,0.1,3,0.438414606451988
"plant-shape",512,"diavolo",0.417500019073486,0.5,0.1,2,0.424999982118607
"plant-shape",256,"diavolo",0.417499989271164,0.25,0.1,4,0.415243890881538
"plant-shape",256,"rect",0.402499973773956,0.25,0.1,8,0.412804862856865
"plant-shape",256,"diavolo",0.407499969005585,0.5,0.1,4,0.401219484210014
"plant-shape",256,"diavolo",0.439999997615814,0.5,0.1,2,0.396951213479042
"plant-shape",1024,"diavolo",0.360000014305115,0.5,0.1,2,0.394512176513672
"plant-shape",256,"diavolo",0.397499948740005,0.25,0.1,3,0.389024373888969
