"dataset","nhidden","nblocks","valAccuracy","blockForm","testAccuracy","learningrate","bottleneck"
"ilpd-indian-liver",512,4,0.766666740179062,"diavolo",0.671232879161835,0.1,0.25
"ilpd-indian-liver",256,16,0.753968328237534,"rect",0.732876777648926,0.01,0.25
"ilpd-indian-liver",1024,4,0.753968328237534,"diavolo",0.712328791618347,0.01,0.25
"ilpd-indian-liver",512,4,0.750793725252151,"rect",0.712328791618347,0.1,0.25
"ilpd-indian-liver",1024,2,0.750793725252151,"diavolo",0.705479443073273,0.1,0.5
"ilpd-indian-liver",256,4,0.74920642375946,"rect",0.719178080558777,0.01,0.5
"ilpd-indian-liver",512,2,0.747619122266769,"rect",0.678082227706909,0.01,0.5
"ilpd-indian-liver",1024,2,0.746031820774078,"rect",0.705479443073273,0.1,0.5
"ilpd-indian-liver",1024,8,0.742857217788696,"rect",0.732876718044281,0.01,0.5
"ilpd-indian-liver",256,4,0.742857217788696,"rect",0.705479502677917,0.1,0.25
"ilpd-indian-liver",256,8,0.741269916296005,"rect",0.719178080558777,0.1,0.5
"ilpd-indian-liver",256,8,0.738095313310623,"diavolo",0.719178080558777,0.1,0.25
"ilpd-indian-liver",256,3,0.736508011817932,"rect",0.732876718044281,0.1,0.25
"ilpd-indian-liver",256,2,0.734920710325241,"diavolo",0.684931516647339,0.1,0.25
"ilpd-indian-liver",256,4,0.73333340883255,"diavolo",0.705479443073273,0.1,0.25
"ilpd-indian-liver",1024,3,0.73333340883255,"rect",0.719178020954132,0.01,0.5
"ilpd-indian-liver",1024,2,0.731746107339859,"diavolo",0.684931457042694,0.01,0.25
"ilpd-indian-liver",1024,8,0.730158805847168,"rect",0.712328791618347,0.01,0.25
"ilpd-indian-liver",256,4,0.730158805847168,"diavolo",0.732876718044281,0.01,0.5
"ilpd-indian-liver",1024,3,0.730158805847168,"diavolo",0.726027429103851,0.1,0.5
"ilpd-indian-liver",256,8,0.728571504354477,"rect",0.705479383468628,0.1,0.25
"ilpd-indian-liver",512,3,0.728571504354477,"diavolo",0.705479443073273,0.01,0.25
"ilpd-indian-liver",512,3,0.726984202861786,"rect",0.698630094528198,0.1,0.5
"ilpd-indian-liver",256,16,0.725396901369095,"rect",0.712328732013702,0.01,0.5
"ilpd-indian-liver",1024,3,0.725396901369095,"diavolo",0.712328791618347,0.01,0.25
"ilpd-indian-liver",512,8,0.722222298383713,"diavolo",0.66438353061676,0.01,0.5
