"dataset","nhidden","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","blockForm"
"statlog-landsat",512,0.882039904594421,4,0.01,0.25,0.865500092506409,"diavolo"
"statlog-landsat",512,0.881929039955139,2,0.1,0.25,0.875000059604645,"diavolo"
"statlog-landsat",512,0.880820393562317,16,0.01,0.25,0.866500079631805,"rect"
"statlog-landsat",1024,0.88048779964447,3,0.1,0.25,0.859500110149384,"rect"
"statlog-landsat",512,0.879600882530213,8,0.01,0.25,0.871500015258789,"diavolo"
"statlog-landsat",1024,0.87849223613739,3,0.1,0.5,0.865000069141388,"rect"
"statlog-landsat",1024,0.875609755516052,4,0.1,0.5,0.862000048160553,"rect"
"statlog-landsat",256,0.875388026237488,4,0.01,0.5,0.877000093460083,"diavolo"
"statlog-landsat",512,0.873281568288803,16,0.01,0.5,0.837500095367432,"diavolo"
"statlog-landsat",512,0.872283816337586,4,0.01,0.25,0.875500082969666,"rect"
"statlog-landsat",1024,0.870288252830505,2,0.1,0.5,0.870000123977661,"rect"
"statlog-landsat",512,0.869955658912659,8,0.01,0.25,0.837999999523163,"rect"
"statlog-landsat",512,0.869179606437683,2,0.01,0.5,0.86000007390976,"rect"
"statlog-landsat",512,0.864745020866394,8,0.01,0.5,0.837000072002411,"rect"
"statlog-landsat",256,0.864745020866394,3,0.01,0.25,0.834500074386597,"diavolo"
"statlog-landsat",512,0.864412426948547,2,0.01,0.5,0.858500123023987,"diavolo"
"statlog-landsat",1024,0.86419067978859,2,0.01,0.25,0.85450005531311,"diavolo"
"statlog-landsat",256,0.864079821109772,3,0.01,0.5,0.864000022411346,"rect"
"statlog-landsat",1024,0.862971186637879,4,0.1,0.25,0.84250009059906,"diavolo"
"statlog-landsat",1024,0.862195134162903,2,0.1,0.25,0.851500034332275,"diavolo"
"statlog-landsat",256,0.861640805006027,3,0.01,0.5,0.838000059127808,"diavolo"
"statlog-landsat",1024,0.861086487770081,16,0.01,0.25,0.845499992370605,"rect"
