"dataset","testAccuracy","blockForm","nblocks","valAccuracy","nhidden","learningrate","bottleneck"
"monks-1",0.754629611968994,"rect",2,0.788571441173553,1024,0.1,0.5
"monks-1",0.763888835906982,"rect",2,0.748571443557739,1024,0.1,0.25
"monks-1",0.77777773141861,"rect",2,0.688571447134018,256,0.1,0.5
"monks-1",0.789351880550385,"diavolo",3,0.677142876386643,512,0.01,0.25
"monks-1",0.743055582046509,"rect",16,0.668571448326111,256,0.01,0.5
"monks-1",0.752314805984497,"rect",3,0.662857162952423,256,0.1,0.5
"monks-1",0.638888895511627,"diavolo",8,0.660000020265579,512,0.01,0.25
"monks-1",0.791666686534882,"diavolo",2,0.660000020265579,1024,0.1,0.25
"monks-1",0.638888835906982,"diavolo",16,0.654285734891892,256,0.01,0.5
"monks-1",0.754629611968994,"rect",2,0.654285734891891,1024,0.01,0.25
"monks-1",0.747685194015503,"rect",8,0.651428592205048,512,0.01,0.25
"monks-1",0.594907402992249,"diavolo",3,0.648571449518204,256,0.01,0.5
"monks-1",0.701388895511627,"rect",4,0.64571430683136,512,0.01,0.25
"monks-1",0.692129611968994,"diavolo",3,0.64571430683136,1024,0.01,0.25
"monks-1",0.671296298503876,"diavolo",16,0.64571430683136,512,0.01,0.25
"monks-1",0.643518567085266,"rect",16,0.642857164144516,1024,0.01,0.25
"monks-1",0.71527773141861,"rect",8,0.642857164144516,256,0.01,0.25
"monks-1",0.729166686534882,"diavolo",3,0.642857164144516,1024,0.1,0.5
"monks-1",0.736111104488373,"diavolo",2,0.642857164144516,1024,0.1,0.5
"monks-1",0.747685194015503,"rect",2,0.642857164144516,512,0.1,0.25
"monks-1",0.740740716457367,"rect",3,0.642857164144516,512,0.1,0.5
"monks-1",0.641203701496124,"rect",8,0.640000021457672,512,0.01,0.5
"monks-1",0.763888895511627,"rect",16,0.637142878770828,1024,0.01,0.5
"monks-1",0.701388895511627,"rect",3,0.637142878770828,1024,0.01,0.5
"monks-1",0.650462925434113,"diavolo",2,0.637142878770828,1024,0.01,0.5
"monks-1",0.731481432914734,"diavolo",8,0.634285736083984,512,0.01,0.5
"monks-1",0.69907408952713,"diavolo",4,0.634285736083984,512,0.1,0.5
"monks-1",0.502314865589142,"rect",4,0.631428593397141,512,0.1,0.25
"monks-1",0.78472226858139,"diavolo",3,0.631428593397141,1024,0.1,0.25
"monks-1",0.652777791023254,"diavolo",4,0.631428593397141,1024,0.01,0.25
"monks-1",0.706018507480621,"rect",3,0.631428593397141,512,0.1,0.25
"monks-1",0.73842591047287,"rect",2,0.631428593397141,512,0.1,0.5
"monks-1",0.500000059604645,"rect",16,0.628571450710297,256,0.01,0.25
"monks-1",0.500000059604645,"diavolo",16,0.628571450710297,512,0.1,0.25
"monks-1",0.516203761100769,"diavolo",16,0.628571450710297,256,0.1,0.25
"monks-1",0.5,"diavolo",8,0.628571450710297,256,0.1,0.25
"monks-1",0.500000059604645,"diavolo",8,0.628571450710297,256,0.1,0.5
"monks-1",0.645833313465118,"rect",4,0.628571450710297,1024,0.01,0.5
"monks-1",0.532407462596893,"diavolo",4,0.628571450710297,1024,0.1,0.5
"monks-1",0.500000059604645,"rect",4,0.628571450710297,512,0.1,0.5
"monks-1",0.560185194015503,"rect",3,0.628571450710297,256,0.01,0.25
"monks-1",0.583333373069763,"diavolo",2,0.628571450710297,512,0.01,0.5
"monks-1",0.643518507480621,"rect",16,0.625714308023453,512,0.01,0.5
"monks-1",0.752314805984497,"diavolo",2,0.625714308023453,256,0.1,0.25
"monks-1",0.625,"diavolo",3,0.622857165336609,256,0.1,0.5
"monks-1",0.706018567085266,"diavolo",16,0.622857165336609,1024,0.01,0.25
"monks-1",0.613425970077515,"diavolo",8,0.622857165336609,1024,0.01,0.25
"monks-1",0.64814817905426,"diavolo",4,0.622857165336609,1024,0.01,0.5
"monks-1",0.675925970077515,"diavolo",8,0.620000022649765,512,0.1,0.25
"monks-1",0.692129611968994,"rect",3,0.617142879962921,512,0.01,0.5
"monks-1",0.571759343147278,"diavolo",3,0.617142879962921,1024,0.01,0.5
"monks-1",0.724537014961243,"rect",4,0.614285737276077,1024,0.01,0.25
"monks-1",0.606481492519379,"diavolo",16,0.614285737276077,256,0.01,0.25
"monks-1",0.775462985038757,"rect",2,0.614285737276077,256,0.1,0.25
"monks-1",0.671296358108521,"diavolo",16,0.614285734295845,1024,0.01,0.5
"monks-1",0.615740776062012,"rect",4,0.611428594589233,256,0.01,0.25
"monks-1",0.655092597007751,"diavolo",4,0.611428594589233,256,0.1,0.5
"monks-1",0.775462985038757,"rect",8,0.611428594589233,1024,0.01,0.25
"monks-1",0.717592537403107,"rect",16,0.60857145190239,512,0.01,0.25
"monks-1",0.678240716457367,"diavolo",4,0.60857145190239,1024,0.1,0.25
"monks-1",0.715277791023254,"diavolo",3,0.600000023841858,512,0.1,0.5
"monks-1",0.696759283542633,"rect",8,0.600000023841858,1024,0.01,0.5
"monks-1",0.770833373069763,"diavolo",3,0.600000020861626,256,0.1,0.25
"monks-1",0.627314805984497,"rect",3,0.597142881155014,512,0.01,0.25
"monks-1",0.592592597007751,"diavolo",4,0.59428573846817,256,0.01,0.5
"monks-1",0.63657408952713,"rect",2,0.59428573846817,512,0.01,0.5
