"dataset","testAccuracy","blockForm","nblocks","valAccuracy","nhidden","learningrate","bottleneck"
"monks-1",0.60185182094574,"diavolo",8,0.59428573846817,256,0.01,0.5
"monks-1",0.685185194015503,"diavolo",3,0.594285735487938,512,0.1,0.25
"monks-1",0.712962985038757,"diavolo",4,0.588571453094483,512,0.1,0.25
"monks-1",0.664351880550385,"rect",8,0.585714310407639,256,0.01,0.5
"monks-1",0.631944417953491,"rect",4,0.585714310407639,512,0.01,0.5
"monks-1",0.6875,"diavolo",2,0.582857167720795,512,0.1,0.5
"monks-1",0.752314865589142,"rect",3,0.577142882347107,256,0.1,0.25
"monks-1",0.733796298503876,"diavolo",2,0.577142882347107,512,0.1,0.25
"monks-1",0.712962985038757,"rect",4,0.574285739660263,256,0.1,0.25
"monks-1",0.567129611968994,"diavolo",8,0.568571454286576,512,0.1,0.5
"monks-1",0.509259283542633,"diavolo",2,0.565714311599732,256,0.01,0.5
"monks-1",0.592592597007751,"diavolo",16,0.560000026226044,512,0.01,0.5
"monks-1",0.615740776062012,"diavolo",3,0.560000026226044,512,0.01,0.5
"monks-1",0.5,"diavolo",8,0.551428598165512,1024,0.1,0.25
"monks-1",0.500000059604645,"diavolo",16,0.551428598165512,256,0.1,0.5
"monks-1",0.689814805984497,"rect",4,0.551428598165512,256,0.01,0.5
"monks-1",0.500000059604645,"rect",3,0.551428598165512,1024,0.1,0.5
"monks-1",0.706018567085266,"diavolo",8,0.548571452498436,1024,0.01,0.5
"monks-1",0.618055522441864,"diavolo",4,0.545714312791824,512,0.01,0.25
"monks-1",0.745370388031006,"rect",3,0.545714312791824,1024,0.01,0.25
"monks-1",0.712962985038757,"diavolo",2,0.54285717010498,256,0.1,0.5
"monks-1",0.655092597007751,"diavolo",4,0.540000027418137,512,0.01,0.5
"monks-1",0.740740776062012,"diavolo",4,0.540000024437904,256,0.1,0.25
"monks-1",0.662037074565887,"diavolo",8,0.534285736083985,256,0.01,0.25
"monks-1",0.5,"rect",8,0.528571456670761,512,0.1,0.5
"monks-1",0.5,"rect",8,0.525714313983917,512,0.1,0.25
"monks-1",0.543981492519379,"rect",8,0.525714313983917,256,0.1,0.25
"monks-1",0.5,"rect",3,0.525714313983917,1024,0.1,0.25
"monks-1",0.608796298503876,"rect",2,0.520000022649765,256,0.01,0.5
"monks-1",0.719907402992249,"rect",2,0.517142876982689,1024,0.01,0.5
"monks-1",0.458333343267441,"diavolo",3,0.514285731315613,256,0.01,0.25
"monks-1",0.655092597007751,"diavolo",4,0.500000029802322,256,0.01,0.25
"monks-1",0.5,"rect",4,0.500000029802322,1024,0.1,0.25
"monks-1",0.696759223937988,"rect",2,0.500000029802322,256,0.01,0.25
"monks-1",0.708333373069763,"rect",4,0.497142878174782,256,0.1,0.5
"monks-1",0.569444477558136,"diavolo",2,0.49142858684063,512,0.01,0.25
"monks-1",0.5,"diavolo",8,0.485714316368103,1024,0.1,0.5
"monks-1",0.548611104488373,"diavolo",2,0.480000019073486,1024,0.01,0.25
"monks-1",0.504629671573639,"rect",8,0.474285745620728,1024,0.1,0.25
"monks-1",0.500000059604645,"rect",4,0.474285745620728,1024,0.1,0.5
"monks-1",0.5,"diavolo",2,0.474285745620728,256,1,0.25
"monks-1",0.500000059604645,"rect",16,0.46857146024704,256,0.1,0.25
"monks-1",0.738425970077515,"rect",3,0.457142886519432,256,0.01,0.5
"monks-1",0.594907402992249,"rect",8,0.448571461439133,256,0.1,0.5
"monks-1",0.5,"diavolo",3,0.448571461439133,256,1,0.25
"monks-1",0.5,"rect",3,0.448571461439133,256,1,0.25
"monks-1",0.5,"rect",3,0.448571461439133,256,1,0.5
"monks-1",0.5,"rect",16,0.422857177257538,256,0.1,0.5
"monks-1",0.5,"rect",4,0.422857177257538,512,1,0.25
"monks-1",0.5,"rect",3,0.422857177257538,512,1,0.25
"monks-1",0.5,"rect",3,0.422857177257538,512,1,0.5
"monks-1",0.5,"diavolo",2,0.422857177257538,1024,1,0.25
"monks-1",0.5,"diavolo",2,0.422857177257538,512,1,0.25
"monks-1",0.5,"diavolo",2,0.422857177257538,256,1,0.5
"monks-1",0.5,"diavolo",2,0.422857174277306,1024,1,0.5
"monks-1",0.675925850868225,"diavolo",2,0.422857168316841,256,0.01,0.25
"monks-1",0.5,"rect",8,0.405714321136475,256,1,0.5
"monks-1",0.5,"rect",2,0.402857178449631,256,1,0.5
"monks-1",0.5,"diavolo",8,0.400000035762787,256,1,0.25
"monks-1",0.5,"rect",16,0.397142893075943,1024,0.1,0.5
"monks-1",0.5,"rect",16,0.397142893075943,512,0.1,0.25
"monks-1",0.5,"diavolo",16,0.397142893075943,512,0.1,0.5
"monks-1",0.5,"rect",8,0.397142893075943,1024,0.1,0.5
"monks-1",0.5,"rect",4,0.397142893075943,1024,1,0.25
"monks-1",0.5,"rect",4,0.397142893075943,1024,1,0.5
"monks-1",0.5,"diavolo",4,0.397142893075943,1024,1,0.25
"monks-1",0.5,"rect",4,0.397142893075943,512,1,0.5
"monks-1",0.5,"rect",4,0.397142893075943,256,1,0.25
"monks-1",0.5,"diavolo",4,0.397142893075943,256,1,0.25
"monks-1",0.5,"rect",3,0.397142893075943,1024,1,0.25
"monks-1",0.5,"rect",3,0.397142893075943,1024,1,0.5
"monks-1",0.5,"diavolo",3,0.397142893075943,1024,1,0.25
"monks-1",0.5,"diavolo",3,0.397142893075943,512,1,0.25
"monks-1",0.5,"diavolo",3,0.397142893075943,256,1,0.5
"monks-1",0.5,"rect",2,0.397142893075943,1024,1,0.25
"monks-1",0.5,"rect",2,0.397142893075943,1024,1,0.5
"monks-1",0.5,"rect",2,0.397142893075943,512,1,0.25
"monks-1",0.5,"rect",2,0.397142893075943,512,1,0.5
"monks-1",0.5,"rect",2,0.397142893075943,256,1,0.25
"monks-1",0.5,"diavolo",16,0.394285750389099,1024,1,0.25
"monks-1",0.5,"diavolo",16,0.388571462035179,1024,0.1,0.25
"monks-1",0.5,"diavolo",4,0.382857179641724,512,1,0.25
"monks-1",0.5,"rect",16,0.371428608894348,1024,0.1,0.25
"monks-1",0.5,"diavolo",16,0.371428608894348,1024,0.1,0.5
"monks-1",0.5,"rect",16,0.371428608894348,512,0.1,0.5
"monks-1",0.5,"rect",16,0.371428608894348,1024,1,0.25
"monks-1",0.5,"rect",16,0.371428608894348,1024,1,0.5
"monks-1",0.5,"diavolo",16,0.371428608894348,1024,1,0.5
"monks-1",0.5,"rect",16,0.371428608894348,512,1,0.25
"monks-1",0.5,"rect",16,0.371428608894348,512,1,0.5
"monks-1",0.5,"diavolo",16,0.371428608894348,512,1,0.25
"monks-1",0.5,"diavolo",16,0.371428608894348,512,1,0.5
"monks-1",0.5,"rect",16,0.371428608894348,256,1,0.25
"monks-1",0.5,"rect",16,0.371428608894348,256,1,0.5
"monks-1",0.5,"diavolo",16,0.371428608894348,256,1,0.25
"monks-1",0.5,"diavolo",16,0.371428608894348,256,1,0.5
"monks-1",0.5,"rect",8,0.371428608894348,1024,1,0.25
"monks-1",0.5,"rect",8,0.371428608894348,1024,1,0.5
"monks-1",0.5,"diavolo",8,0.371428608894348,1024,1,0.25
"monks-1",0.5,"diavolo",8,0.371428608894348,1024,1,0.5
"monks-1",0.5,"rect",8,0.371428608894348,512,1,0.25
"monks-1",0.5,"rect",8,0.371428608894348,512,1,0.5
"monks-1",0.5,"diavolo",8,0.371428608894348,512,1,0.25
"monks-1",0.5,"diavolo",8,0.371428608894348,512,1,0.5
"monks-1",0.5,"rect",8,0.371428608894348,256,1,0.25
"monks-1",0.5,"diavolo",8,0.371428608894348,256,1,0.5
"monks-1",0.5,"diavolo",4,0.371428608894348,1024,1,0.5
"monks-1",0.5,"diavolo",4,0.371428608894348,512,1,0.5
"monks-1",0.5,"rect",4,0.371428608894348,256,1,0.5
"monks-1",0.5,"diavolo",4,0.371428608894348,256,1,0.5
"monks-1",0.5,"diavolo",3,0.371428608894348,1024,1,0.5
"monks-1",0.5,"diavolo",3,0.371428608894348,512,1,0.5
"monks-1",0.5,"diavolo",2,0.371428608894348,512,1,0.5
"monks-1",0.581018567085266,"rect",2,0.36857146024704,512,0.01,0.25
