"dataset","blockForm","nblocks","learningrate","nhidden","bottleneck","valAccuracy","testAccuracy"
"breast-cancer-wisc-diag","rect",16,0.01,256,0.5,1,0.950704216957092
"breast-cancer-wisc-diag","rect",8,0.01,256,0.25,0.984615385532379,0.971830904483795
"breast-cancer-wisc-diag","rect",8,0.01,256,0.5,0.984615385532379,0.964788675308228
"breast-cancer-wisc-diag","diavolo",8,0.1,1024,0.5,0.984615385532379,0.957746386528015
"breast-cancer-wisc-diag","rect",8,0.1,512,0.5,0.984615385532379,0.964788734912872
"breast-cancer-wisc-diag","diavolo",8,0.1,512,0.25,0.984615385532379,0.97183096408844
"breast-cancer-wisc-diag","rect",8,0.1,256,0.25,0.984615385532379,0.97183096408844
"breast-cancer-wisc-diag","rect",8,0.1,256,0.5,0.984615385532379,0.936619758605957
"breast-cancer-wisc-diag","rect",4,0.1,1024,0.25,0.984615385532379,0.97183096408844
"breast-cancer-wisc-diag","diavolo",4,0.1,256,0.5,0.984615385532379,0.95774644613266
"breast-cancer-wisc-diag","diavolo",3,0.01,512,0.5,0.984615385532379,0.978873252868652
"breast-cancer-wisc-diag","diavolo",3,0.1,1024,0.25,0.984615385532379,0.971831023693085
"breast-cancer-wisc-diag","diavolo",3,0.1,512,0.25,0.984615385532379,0.98591548204422
"breast-cancer-wisc-diag","diavolo",3,0.1,256,0.5,0.984615385532379,0.98591548204422
"breast-cancer-wisc-diag","rect",2,0.01,512,0.5,0.984615385532379,0.971830904483795
"breast-cancer-wisc-diag","rect",2,0.01,256,0.5,0.984615385532379,0.95774644613266
"breast-cancer-wisc-diag","rect",2,0.1,1024,0.5,0.984615385532379,0.978873193264008
"breast-cancer-wisc-diag","diavolo",2,0.1,1024,0.5,0.984615385532379,0.98591548204422
"breast-cancer-wisc-diag","diavolo",2,0.1,512,0.25,0.984615385532379,0.978873252868652
"breast-cancer-wisc-diag","rect",2,0.1,256,0.25,0.984615385532379,0.978873193264008
"breast-cancer-wisc-diag","rect",2,0.1,256,0.5,0.984615385532379,0.97183096408844
"breast-cancer-wisc-diag","rect",3,0.1,256,0.25,0.981538462638855,0.95774644613266
"breast-cancer-wisc-diag","diavolo",8,0.01,256,0.25,0.980000001192093,0.964788734912872
"breast-cancer-wisc-diag","rect",2,0.01,1024,0.5,0.978461539745331,0.971830904483795
"breast-cancer-wisc-diag","diavolo",16,0.01,1024,0.25,0.973846155405045,0.95774644613266
"breast-cancer-wisc-diag","diavolo",2,0.1,1024,0.25,0.970769232511521,0.97183096408844
"breast-cancer-wisc-diag","diavolo",3,0.1,1024,0.5,0.97076923251152,0.964788675308228
"breast-cancer-wisc-diag","rect",16,0.01,512,0.5,0.969230771064758,0.943662047386169
"breast-cancer-wisc-diag","rect",8,0.01,512,0.25,0.969230771064758,0.964788675308228
"breast-cancer-wisc-diag","diavolo",8,0.1,1024,0.25,0.969230771064758,0.964788675308228
"breast-cancer-wisc-diag","diavolo",8,0.1,256,0.25,0.969230771064758,0.95774644613266
"breast-cancer-wisc-diag","diavolo",8,0.1,256,0.5,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","rect",4,0.01,1024,0.25,0.969230771064758,0.964788675308228
"breast-cancer-wisc-diag","rect",4,0.01,1024,0.5,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","rect",4,0.1,512,0.25,0.969230771064758,0.971831023693085
"breast-cancer-wisc-diag","diavolo",4,0.1,512,0.5,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","rect",4,0.1,256,0.25,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","diavolo",4,0.1,256,0.25,0.969230771064758,0.964788675308228
"breast-cancer-wisc-diag","rect",3,0.01,256,0.5,0.969230771064758,0.943661987781525
"breast-cancer-wisc-diag","rect",3,0.1,1024,0.5,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","rect",3,0.1,256,0.5,0.969230771064758,0.978873193264008
"breast-cancer-wisc-diag","diavolo",3,0.1,256,0.25,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","rect",2,0.01,1024,0.25,0.969230771064758,0.950704216957092
"breast-cancer-wisc-diag","diavolo",2,0.01,512,0.25,0.969230771064758,0.964788734912872
"breast-cancer-wisc-diag","diavolo",2,0.01,256,0.5,0.969230771064758,0.971830904483795
"breast-cancer-wisc-diag","rect",2,0.1,512,0.25,0.969230771064758,0.964788675308228
"breast-cancer-wisc-diag","diavolo",2,0.1,256,0.25,0.969230771064758,0.97183096408844
"breast-cancer-wisc-diag","diavolo",2,0.1,256,0.5,0.969230771064758,0.95774644613266
"breast-cancer-wisc-diag","rect",4,0.1,512,0.5,0.964615386724472,0.950704216957092
"breast-cancer-wisc-diag","rect",8,0.01,1024,0.5,0.960000002384186,0.978873193264008
"breast-cancer-wisc-diag","rect",16,0.01,1024,0.25,0.960000002384186,0.978873193264008
"breast-cancer-wisc-diag","diavolo",8,0.01,1024,0.25,0.960000002384186,0.950704216957092
"breast-cancer-wisc-diag","rect",3,0.1,1024,0.25,0.958461540937424,0.95774644613266
"breast-cancer-wisc-diag","diavolo",16,0.01,512,0.25,0.958461540937424,0.978873133659363
"breast-cancer-wisc-diag","diavolo",4,0.01,256,0.25,0.9553846180439,0.964788734912872
"breast-cancer-wisc-diag","rect",3,0.01,1024,0.5,0.9553846180439,0.964788675308228
"breast-cancer-wisc-diag","diavolo",8,0.01,512,0.25,0.953846162557602,0.950704216957092
"breast-cancer-wisc-diag","diavolo",8,0.1,512,0.5,0.953846156597138,0.971831023693085
"breast-cancer-wisc-diag","rect",4,0.01,256,0.5,0.953846156597138,0.94366192817688
"breast-cancer-wisc-diag","rect",3,0.01,512,0.25,0.953846156597138,0.964788675308228
"breast-cancer-wisc-diag","rect",3,0.01,512,0.5,0.953846156597138,0.94366192817688
"breast-cancer-wisc-diag","rect",3,0.01,256,0.25,0.953846156597138,0.957746386528015
"breast-cancer-wisc-diag","diavolo",3,0.01,256,0.5,0.953846156597138,0.964788675308228
"breast-cancer-wisc-diag","rect",3,0.1,512,0.25,0.953846156597138,0.971830904483795
"breast-cancer-wisc-diag","rect",3,0.1,512,0.5,0.953846156597138,0.95774644613266
"breast-cancer-wisc-diag","diavolo",3,0.1,512,0.5,0.953846156597138,0.97183096408844
"breast-cancer-wisc-diag","diavolo",2,0.01,1024,0.25,0.953846156597138,0.943661987781525
"breast-cancer-wisc-diag","diavolo",2,0.01,1024,0.5,0.953846156597138,0.97183096408844
"breast-cancer-wisc-diag","rect",2,0.01,512,0.25,0.953846156597138,0.971830904483795
"breast-cancer-wisc-diag","rect",2,0.01,256,0.25,0.953846156597138,0.978873252868652
"breast-cancer-wisc-diag","diavolo",2,0.01,256,0.25,0.953846156597138,0.97183096408844
"breast-cancer-wisc-diag","rect",2,0.1,1024,0.25,0.953846156597138,0.97183096408844
"breast-cancer-wisc-diag","diavolo",2,0.1,512,0.5,0.953846156597138,0.95774644613266
"breast-cancer-wisc-diag","diavolo",16,0.01,256,0.25,0.952307695150375,0.964788675308228
"breast-cancer-wisc-diag","rect",16,0.01,1024,0.5,0.950769233703613,0.950704216957092
"breast-cancer-wisc-diag","rect",3,0.01,1024,0.25,0.950769233703613,0.950704157352448
"breast-cancer-wisc-diag","diavolo",4,0.01,1024,0.25,0.950769233703613,0.957746505737305
"breast-cancer-wisc-diag","diavolo",4,0.01,1024,0.5,0.946153849363327,0.97183096408844
"breast-cancer-wisc-diag","diavolo",4,0.01,512,0.5,0.946153849363327,0.964788675308228
"breast-cancer-wisc-diag","diavolo",2,0.01,512,0.5,0.946153849363327,0.94366192817688
"breast-cancer-wisc-diag","rect",2,0.1,512,0.5,0.946153849363327,0.95774644613266
"breast-cancer-wisc-diag","rect",4,0.01,512,0.25,0.943076926469803,0.971830904483795
"breast-cancer-wisc-diag","diavolo",16,0.01,1024,0.5,0.943076926469803,0.97183096408844
"breast-cancer-wisc-diag","diavolo",16,0.01,512,0.5,0.938461542129517,0.943661987781525
"breast-cancer-wisc-diag","rect",16,0.01,256,0.25,0.938461542129517,0.95774644613266
"breast-cancer-wisc-diag","rect",16,0.1,256,0.25,0.938461542129517,0.943661987781525
"breast-cancer-wisc-diag","diavolo",16,0.1,256,0.5,0.938461542129517,0.97183096408844
"breast-cancer-wisc-diag","rect",4,0.01,512,0.5,0.938461542129517,0.957746505737305
"breast-cancer-wisc-diag","rect",4,0.01,256,0.25,0.938461542129517,0.978873252868652
"breast-cancer-wisc-diag","diavolo",4,0.01,256,0.5,0.938461542129517,0.978873252868652
"breast-cancer-wisc-diag","diavolo",4,0.1,1024,0.25,0.938461542129517,0.936619758605957
"breast-cancer-wisc-diag","diavolo",4,0.1,1024,0.5,0.938461542129517,0.978873193264008
"breast-cancer-wisc-diag","diavolo",4,0.1,512,0.25,0.938461542129517,0.964788675308228
"breast-cancer-wisc-diag","rect",4,0.1,256,0.5,0.938461542129517,0.964788675308228
"breast-cancer-wisc-diag","diavolo",3,0.01,512,0.25,0.938461542129517,0.950704216957092
"breast-cancer-wisc-diag","diavolo",3,0.01,256,0.25,0.938461542129517,0.936619758605957
"breast-cancer-wisc-diag","diavolo",16,0.1,512,0.25,0.932307696342468,0.95774644613266
"breast-cancer-wisc-diag","rect",8,0.01,1024,0.25,0.930769234895706,0.950704216957092
"breast-cancer-wisc-diag","diavolo",8,0.01,512,0.5,0.927692312002182,0.957746505737305
"breast-cancer-wisc-diag","diavolo",8,0.01,1024,0.5,0.92615385055542,0.936619758605957
"breast-cancer-wisc-diag","rect",16,0.01,512,0.25,0.923076927661896,0.94366192817688
