"dataset","valAccuracy","nhidden","bottleneck","nblocks","blockForm","learningrate","testAccuracy"
"lymphography",0.807142889499664,1024,0.25,4,"diavolo",0.1,0.702702760696411
"lymphography",0.807142859697342,1024,0.25,16,"diavolo",0.01,0.756756842136383
"lymphography",0.800000047683716,256,0.25,3,"rect",0.1,0.702702701091766
"lymphography",0.800000035762787,512,0.25,2,"diavolo",0.1,0.783783853054047
"lymphography",0.8,512,0.25,4,"diavolo",0.1,0.783783853054047
"lymphography",0.792857187986374,256,0.25,16,"diavolo",0.01,0.702702760696411
"lymphography",0.785714274644852,512,0.25,2,"rect",0.1,0.621621668338776
"lymphography",0.785714268684387,1024,0.25,16,"rect",0.01,0.729729771614075
"lymphography",0.785714268684387,256,0.5,3,"rect",0.01,0.702702760696411
"lymphography",0.785714268684387,512,0.5,3,"diavolo",0.1,0.756756842136383
"lymphography",0.785714268684387,256,0.25,2,"rect",0.1,0.756756842136383
"lymphography",0.77857146859169,1024,0.5,2,"rect",0.1,0.729729771614075
"lymphography",0.77857141494751,512,0.5,16,"rect",0.01,0.783783853054047
"lymphography",0.771428608894348,256,0.5,8,"diavolo",0.1,0.648648679256439
"lymphography",0.771428561210633,1024,0.25,8,"rect",0.01,0.729729771614075
"lymphography",0.771428561210632,512,0.5,2,"diavolo",0.1,0.756756782531738
"lymphography",0.757142895460129,256,0.25,8,"rect",0.01,0.729729771614075
"lymphography",0.757142889499664,512,0.25,2,"diavolo",0.01,0.729729771614075
"lymphography",0.757142853736877,256,0.5,4,"rect",0.1,0.81081086397171
"lymphography",0.750000011920929,256,0.25,3,"diavolo",0.1,0.702702701091766
"lymphography",0.742857170104981,1024,0.5,2,"rect",0.01,0.675675690174103
"lymphography",0.735714316368103,256,0.5,3,"diavolo",0.01,0.729729771614075
"lymphography",0.73571429848671,1024,0.25,8,"diavolo",0.01,0.756756782531738
"lymphography",0.728571450710297,512,0.5,2,"diavolo",0.01,0.837837874889374
"lymphography",0.728571438789368,256,0.25,4,"rect",0.1,0.756756782531738
"lymphography",0.721428591012955,1024,0.5,4,"rect",0.01,0.729729771614075
"lymphography",0.714285737276077,512,0.5,4,"diavolo",0.1,0.783783853054047
