"dataset","nblocks","nhidden","bottleneck","blockForm","testAccuracy","learningrate","valAccuracy"
"echocardiogram",4,512,0.5,"rect",0.818181872367859,0.01,0.69375
"echocardiogram",4,256,0.25,"diavolo",0.696969747543335,1,0.69375
"echocardiogram",16,256,0.25,"diavolo",0.666666626930237,0.01,0.6875
"echocardiogram",4,1024,0.25,"rect",0.696969747543335,0.01,0.6875
"echocardiogram",16,1024,0.25,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",16,1024,0.5,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",16,1024,0.5,"diavolo",0.696969747543335,0.1,0.6875
"echocardiogram",16,512,0.25,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",16,512,0.5,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",16,256,0.25,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",16,256,0.5,"diavolo",0.696969747543335,0.1,0.6875
"echocardiogram",16,1024,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,1024,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",16,1024,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,1024,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",16,512,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,512,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",16,512,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,512,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",16,256,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,256,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",16,256,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",16,256,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,1024,0.25,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",8,1024,0.5,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",8,512,0.5,"rect",0.696969747543335,0.1,0.6875
"echocardiogram",8,1024,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,1024,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,1024,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,1024,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,512,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,512,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,512,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,512,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,256,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,256,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,256,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",8,256,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",4,1024,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,1024,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",4,1024,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,1024,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",4,512,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,512,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",4,512,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,512,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",4,256,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,256,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",4,256,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,1024,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,1024,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,1024,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,1024,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,512,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,512,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,512,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,512,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,256,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,256,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",3,256,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",3,256,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,1024,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,1024,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,1024,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,1024,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,512,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,512,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,512,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,512,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,256,0.25,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,256,0.25,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",2,256,0.5,"rect",0.696969747543335,1,0.6875
"echocardiogram",2,256,0.5,"diavolo",0.696969747543335,1,0.6875
"echocardiogram",8,256,0.5,"diavolo",0.696969747543335,0.1,0.68125
"echocardiogram",4,256,0.25,"diavolo",0.727272748947144,0.1,0.68125
"echocardiogram",16,1024,0.25,"diavolo",0.696969747543335,0.1,0.68125
"echocardiogram",8,1024,0.5,"diavolo",0.696969747543335,0.1,0.68125
"echocardiogram",3,1024,0.25,"diavolo",0.727272748947144,0.1,0.68125
"echocardiogram",4,256,0.5,"rect",0.60606062412262,0.01,0.6625
"echocardiogram",3,256,0.25,"diavolo",0.727272748947144,0.1,0.6625
"echocardiogram",2,256,0.25,"rect",0.60606062412262,0.01,0.6625
"echocardiogram",2,512,0.25,"diavolo",0.757575750350952,0.1,0.6625
"echocardiogram",8,256,0.25,"rect",0.636363625526428,0.01,0.65625
"echocardiogram",8,512,0.5,"rect",0.696969747543335,0.01,0.65625
"echocardiogram",2,1024,0.25,"diavolo",0.696969747543335,0.1,0.65625
"echocardiogram",4,512,0.5,"rect",0.757575750350952,0.1,0.65
"echocardiogram",2,256,0.25,"diavolo",0.666666626930237,0.01,0.65
"echocardiogram",2,256,0.5,"rect",0.727272748947144,0.1,0.65
"echocardiogram",4,1024,0.25,"rect",0.696969747543335,0.1,0.65
"echocardiogram",8,256,0.5,"diavolo",0.818181872367859,0.01,0.64375
"echocardiogram",8,1024,0.5,"diavolo",0.575757622718811,0.01,0.64375
"echocardiogram",8,512,0.25,"diavolo",0.696969747543335,0.01,0.64375
"echocardiogram",3,512,0.5,"diavolo",0.666666626930237,0.1,0.6375
"echocardiogram",2,1024,0.25,"rect",0.787878751754761,0.01,0.6375
"echocardiogram",8,256,0.25,"diavolo",0.696969747543335,0.1,0.63125
"echocardiogram",16,256,0.5,"rect",0.727272748947144,0.01,0.63125
"echocardiogram",3,512,0.25,"rect",0.757575750350952,0.01,0.63125
"echocardiogram",3,512,0.25,"diavolo",0.727272748947144,0.1,0.625
"echocardiogram",3,256,0.25,"rect",0.666666626930237,0.1,0.625
"echocardiogram",3,1024,0.5,"rect",0.727272748947144,0.01,0.625
"echocardiogram",3,256,0.25,"diavolo",0.636363625526428,0.01,0.625
"echocardiogram",2,512,0.5,"rect",0.696969747543335,0.01,0.625
"echocardiogram",2,1024,0.25,"rect",0.696969747543335,0.1,0.625
"echocardiogram",2,1024,0.5,"diavolo",0.666666626930237,0.1,0.625
"echocardiogram",3,1024,0.5,"rect",0.30303031206131,0.1,0.625
"echocardiogram",4,512,0.25,"diavolo",0.545454502105713,0.01,0.61875
"echocardiogram",3,512,0.5,"diavolo",0.727272748947144,0.01,0.61875
"echocardiogram",2,256,0.5,"diavolo",0.696969747543335,0.01,0.61875
"echocardiogram",4,512,0.25,"diavolo",0.666666626930237,0.1,0.6125
"echocardiogram",2,512,0.25,"rect",0.666666626930237,0.01,0.6125
"echocardiogram",2,512,0.5,"diavolo",0.666666626930237,0.01,0.6125
"echocardiogram",8,512,0.25,"rect",0.696969747543335,0.1,0.6125
"echocardiogram",3,512,0.5,"rect",0.727272748947144,0.1,0.60625
"echocardiogram",2,512,0.5,"rect",0.757575750350952,0.1,0.60625
"echocardiogram",2,512,0.5,"diavolo",0.666666626930237,0.1,0.60625
"echocardiogram",4,1024,0.25,"diavolo",0.484848499298096,0.01,0.6
"echocardiogram",4,1024,0.25,"diavolo",0.696969747543335,0.1,0.6
"echocardiogram",3,512,0.25,"rect",0.575757622718811,0.1,0.6
"echocardiogram",3,256,0.5,"rect",0.515151500701904,0.1,0.6
"echocardiogram",4,256,0.25,"diavolo",0.515151500701904,0.01,0.6
"echocardiogram",4,256,0.5,"rect",0.545454502105713,0.1,0.59375
"echocardiogram",16,512,0.25,"diavolo",0.696969747543335,0.01,0.5875
"echocardiogram",8,1024,0.25,"rect",0.757575750350952,0.01,0.5875
"echocardiogram",4,256,0.5,"diavolo",0.666666626930237,0.1,0.5875
"echocardiogram",4,256,0.25,"rect",0.787878751754761,0.01,0.5875
"echocardiogram",4,256,0.5,"diavolo",0.757575750350952,0.01,0.5875
"echocardiogram",2,512,0.25,"rect",0.666666626930237,0.1,0.5875
"echocardiogram",4,1024,0.5,"rect",0.696969747543335,0.1,0.575
"echocardiogram",3,1024,0.25,"rect",0.696969747543335,0.1,0.575
"echocardiogram",4,512,0.5,"diavolo",0.636363625526428,0.1,0.5625
"echocardiogram",3,256,0.5,"diavolo",0.60606062412262,0.1,0.5625
"echocardiogram",2,1024,0.5,"rect",0.696969747543335,0.1,0.5625
"echocardiogram",2,256,0.5,"diavolo",0.636363625526428,0.1,0.5625
"echocardiogram",4,512,0.25,"rect",0.636363625526428,0.01,0.5625
"echocardiogram",3,512,0.5,"rect",0.787878751754761,0.01,0.55
"echocardiogram",2,256,0.25,"rect",0.757575750350952,0.1,0.55
"echocardiogram",16,1024,0.25,"diavolo",0.60606062412262,0.01,0.5375
"echocardiogram",16,512,0.25,"diavolo",0.30303031206131,0.1,0.5375
"echocardiogram",8,256,0.25,"rect",0.575757622718811,0.1,0.53125
"echocardiogram",16,256,0.25,"rect",0.545454502105713,0.01,0.525
"echocardiogram",8,1024,0.25,"diavolo",0.30303031206131,0.1,0.5125
"echocardiogram",16,512,0.25,"rect",0.696969747543335,0.01,0.46875
"echocardiogram",16,256,0.5,"rect",0.30303031206131,0.1,0.4625
"echocardiogram",8,512,0.25,"diavolo",0.454545468091965,0.1,0.44375
"echocardiogram",16,256,0.25,"diavolo",0.30303031206131,0.1,0.43125
"echocardiogram",4,1024,0.5,"diavolo",0.30303031206131,0.1,0.3875
