"dataset","valAccuracy","testAccuracy","learningrate","bottleneck","nblocks","nhidden","blockForm"
"glass",0.77407408952713,0.641509413719177,0.01,0.25,2,512,"rect"
"glass",0.733333361148834,0.679245293140411,0.01,0.25,16,512,"diavolo"
"glass",0.711111164093018,0.622641503810883,0.01,0.5,2,256,"diavolo"
"glass",0.707407426834106,0.584905683994293,0.01,0.5,3,512,"diavolo"
"glass",0.700000047683716,0.679245293140411,0.01,0.5,8,512,"rect"
"glass",0.700000047683716,0.660377383232117,0.01,0.5,8,256,"rect"
"glass",0.7,0.641509413719177,0.01,0.5,3,1024,"diavolo"
"glass",0.696296334266662,0.698113203048706,0.01,0.25,3,1024,"rect"
"glass",0.696296328306198,0.716981172561646,0.1,0.5,3,256,"diavolo"
"glass",0.696296322345734,0.73584908246994,0.01,0.5,16,1024,"rect"
"glass",0.688888931274414,0.679245293140411,0.01,0.25,2,256,"rect"
"glass",0.688888877630234,0.603773593902588,0.01,0.25,4,256,"diavolo"
"glass",0.685185223817825,0.584905683994293,0.01,0.25,3,256,"diavolo"
"glass",0.685185217857361,0.660377383232117,0.01,0.5,8,512,"diavolo"
"glass",0.681481510400772,0.603773593902588,0.01,0.25,16,1024,"rect"
"glass",0.670370382070541,0.660377383232117,0.1,0.25,4,512,"rect"
"glass",0.670370382070541,0.679245293140411,0.1,0.25,2,512,"diavolo"
"glass",0.670370376110077,0.641509473323822,0.01,0.25,8,512,"rect"
"glass",0.666666692495346,0.73584908246994,0.1,0.25,4,1024,"diavolo"
"glass",0.666666686534882,0.641509413719177,0.01,0.5,2,512,"rect"
"glass",0.666666674613953,0.566037774085999,0.01,0.5,16,512,"diavolo"
"glass",0.666666632890701,0.622641503810883,0.01,0.25,3,512,"rect"
"glass",0.662962979078293,0.698113203048706,0.01,0.25,3,1024,"diavolo"
"glass",0.659259271621704,0.660377383232117,0.01,0.25,8,1024,"rect"
"glass",0.659259253740311,0.660377383232117,0.01,0.25,16,1024,"diavolo"
"glass",0.655555558204651,0.716981172561646,0.01,0.25,16,512,"rect"
"glass",0.651851862668991,0.698113203048706,0.01,0.5,8,1024,"rect"
"glass",0.648148149251938,0.660377383232117,0.01,0.5,3,256,"diavolo"
"glass",0.64444442987442,0.603773593902588,0.1,0.5,8,256,"diavolo"
"glass",0.640740752220154,0.698113203048706,0.1,0.5,4,512,"diavolo"
"glass",0.640740746259689,0.660377383232117,0.1,0.5,3,1024,"diavolo"
"glass",0.64074073433876,0.698113203048706,0.01,0.5,16,1024,"diavolo"
"glass",0.64074073433876,0.547169804573059,0.01,0.25,16,256,"rect"
"glass",0.640740716457367,0.754716992378235,0.01,0.25,2,1024,"rect"
"glass",0.637037050724029,0.622641503810883,0.01,0.5,3,1024,"rect"
"glass",0.637037038803101,0.660377383232117,0.1,0.25,2,1024,"diavolo"
"glass",0.637037032842636,0.584905683994293,0.1,0.5,4,256,"rect"
"glass",0.637037032842636,0.716981172561646,0.1,0.5,2,1024,"diavolo"
"glass",0.637037032842636,0.660377383232117,0.01,0.5,4,256,"rect"
"glass",0.633333337306976,0.641509413719177,0.01,0.5,2,1024,"rect"
