"dataset","nblocks","bottleneck","valAccuracy","learningrate","blockForm","testAccuracy","nhidden"
"conn-bench-vowel-deterding",3,0.25,0.892079120874405,0.1,"rect",0.906926333904266,512
"conn-bench-vowel-deterding",4,0.25,0.890098923444748,0.1,"diavolo",0.857142925262451,256
"conn-bench-vowel-deterding",2,0.25,0.879207837581634,0.1,"rect",0.958874523639679,1024
"conn-bench-vowel-deterding",8,0.25,0.876237541437149,0.1,"diavolo",0.909090876579285,256
"conn-bench-vowel-deterding",4,0.5,0.870296949148178,0.1,"rect",0.932900428771973,256
"conn-bench-vowel-deterding",2,0.5,0.865346455574036,0.1,"rect",0.852813839912415,256
"conn-bench-vowel-deterding",2,0.25,0.857425665855408,0.1,"rect",0.850649356842041,256
"conn-bench-vowel-deterding",2,0.5,0.850494974851608,0.1,"diavolo",0.911255359649658,1024
"conn-bench-vowel-deterding",3,0.25,0.843564283847809,0.1,"rect",0.911255419254303,256
"conn-bench-vowel-deterding",2,0.25,0.816831618547439,0.1,"diavolo",0.805194795131683,256
"conn-bench-vowel-deterding",4,0.25,0.815841519832611,0.1,"rect",0.902597427368164,256
"conn-bench-vowel-deterding",3,0.5,0.799999940395355,0.1,"diavolo",0.848484873771667,512
"conn-bench-vowel-deterding",16,0.5,0.799009841680527,0.1,"rect",0.794372320175171,256
"conn-bench-vowel-deterding",4,0.5,0.791089051961899,0.1,"diavolo",0.824675321578979,256
"conn-bench-vowel-deterding",3,0.5,0.79009895324707,0.1,"rect",0.872294366359711,256
"conn-bench-vowel-deterding",2,0.25,0.789108854532242,0.1,"diavolo",0.833333253860474,1024
"conn-bench-vowel-deterding",4,0.25,0.776237571239471,0.1,"diavolo",0.867965459823608,512
"conn-bench-vowel-deterding",3,0.25,0.774257373809815,0.1,"diavolo",0.805194795131683,1024
"conn-bench-vowel-deterding",3,0.5,0.751485103368759,0.1,"diavolo",0.831168830394745,256
"conn-bench-vowel-deterding",3,0.25,0.745544511079788,0.1,"diavolo",0.813852787017822,512
"conn-bench-vowel-deterding",2,0.25,0.728712832927704,0.01,"rect",0.722943723201752,256
"conn-bench-vowel-deterding",3,0.25,0.723762339353561,0.1,"diavolo",0.800865769386292,256
"conn-bench-vowel-deterding",2,0.25,0.721782141923904,0.01,"rect",0.742424249649048,512
"conn-bench-vowel-deterding",2,0.25,0.71188115477562,0.1,"diavolo",0.748917698860168,512
"conn-bench-vowel-deterding",3,0.5,0.699999970197678,0.01,"rect",0.636363625526428,512
"conn-bench-vowel-deterding",2,0.5,0.683168292045593,0.1,"diavolo",0.740259766578674,512
"conn-bench-vowel-deterding",2,0.5,0.670297008752823,0.01,"rect",0.688311696052551,512
"conn-bench-vowel-deterding",2,0.5,0.668316811323166,0.1,"diavolo",0.733766257762909,256
"conn-bench-vowel-deterding",16,0.25,0.66534651517868,0.01,"rect",0.658008635044098,1024
"conn-bench-vowel-deterding",4,0.5,0.659405922889709,0.01,"rect",0.681818187236786,256
"conn-bench-vowel-deterding",3,0.25,0.656435626745224,0.01,"rect",0.714285671710968,256
"conn-bench-vowel-deterding",16,0.25,0.651485133171082,0.01,"diavolo",0.597402632236481,256
