"dataset","valAccuracy","blockForm","testAccuracy","bottleneck","nblocks","learningrate","nhidden"
"blood",0.86630432009697,"rect",0.802138984203339,0.25,2,0.1,256
"blood",0.864130407571793,"rect",0.732620358467102,0.5,3,0.01,256
"blood",0.85869562625885,"rect",0.786096215248108,0.25,4,0.1,256
"blood",0.857608669996262,"rect",0.727272689342499,0.5,2,0.01,512
"blood",0.857608669996262,"diavolo",0.775401055812836,0.5,3,0.01,512
"blood",0.854347801208496,"diavolo",0.780748665332794,0.25,4,0.01,512
"blood",0.852173888683319,"rect",0.711229979991913,0.5,4,0.01,1024
"blood",0.848913019895554,"diavolo",0.791443824768066,0.5,3,0.1,256
"blood",0.848913019895554,"diavolo",0.791443824768066,0.5,8,0.1,256
"blood",0.848913019895553,"diavolo",0.70588231086731,0.25,4,0.01,256
"blood",0.847826063632965,"rect",0.695187211036682,0.25,16,0.01,256
"blood",0.846739107370377,"diavolo",0.764705777168274,0.5,16,0.01,1024
"blood",0.846739107370377,"rect",0.786096215248108,0.5,3,0.01,1024
"blood",0.846739107370377,"rect",0.780748605728149,0.25,3,0.1,256
"blood",0.846739107370377,"rect",0.75935822725296,0.25,3,0.01,256
"blood",0.846739107370377,"diavolo",0.770053386688232,0.25,2,0.1,512
"blood",0.845652151107788,"diavolo",0.764705836772919,0.5,8,0.01,512
"blood",0.8445651948452,"diavolo",0.759358286857605,0.25,16,0.1,256
"blood",0.8445651948452,"diavolo",0.759358286857605,0.5,8,0.01,1024
"blood",0.8445651948452,"diavolo",0.716577529907227,0.5,2,0.1,256
"blood",0.8445651948452,"rect",0.786096215248108,0.5,4,0.1,256
"blood",0.843478238582611,"diavolo",0.775401055812836,0.25,4,0.1,512
"blood",0.843478238582611,"diavolo",0.764705836772919,0.25,2,0.1,1024
"blood",0.843478238582611,"rect",0.759358286857605,0.5,2,0.1,512
"blood",0.843478238582611,"diavolo",0.737967908382416,0.5,2,0.1,512
"blood",0.843478238582611,"rect",0.737967848777771,0.5,2,0.1,256
"blood",0.843478238582611,"diavolo",0.770053505897522,0.5,4,0.1,1024
"blood",0.841304326057434,"diavolo",0.75935822725296,0.25,8,0.1,1024
"blood",0.841304326057434,"rect",0.737967908382416,0.5,4,0.1,512
"blood",0.840217369794846,"rect",0.780748605728149,0.25,3,0.01,512
"blood",0.840217369794846,"diavolo",0.737967848777771,0.25,8,0.1,512
"blood",0.840217369794846,"rect",0.775400996208191,0.25,2,0.01,1024
"blood",0.839130413532257,"rect",0.764705836772919,0.25,4,0.1,512
"blood",0.838043457269669,"diavolo",0.748663067817688,0.25,4,0.1,1024
"blood",0.838043457269669,"diavolo",0.764705836772919,0.5,3,0.1,1024
"blood",0.838043457269669,"rect",0.775401055812836,0.25,2,0.1,1024
"blood",0.838043457269669,"diavolo",0.770053446292877,0.5,3,0.1,512
"blood",0.83695650100708,"diavolo",0.700534760951996,0.25,16,0.01,512
"blood",0.83695650100708,"diavolo",0.695187211036682,0.5,16,0.01,256
"blood",0.83695650100708,"diavolo",0.770053446292877,0.25,8,0.1,256
"blood",0.83695650100708,"rect",0.775401055812836,0.5,3,0.1,256
"blood",0.83695650100708,"rect",0.764705896377563,0.25,3,0.1,512
"blood",0.835869544744492,"rect",0.764705836772919,0.25,8,0.01,1024
"blood",0.835869544744492,"rect",0.770053505897522,0.5,8,0.1,256
"blood",0.835869544744492,"diavolo",0.711229920387268,0.5,4,0.1,512
"blood",0.835869544744492,"diavolo",0.764705836772919,0.25,3,0.01,1024
"blood",0.835869544744492,"diavolo",0.754010677337646,0.25,2,0.01,256
"blood",0.835869544744492,"rect",0.759358286857605,0.5,2,0.1,1024
"blood",0.835869544744492,"rect",0.737967967987061,0.25,2,0.1,512
"blood",0.834782588481903,"diavolo",0.764705836772919,0.25,16,0.01,1024
"blood",0.834782588481903,"diavolo",0.748663127422333,0.5,4,0.1,256
"blood",0.834782588481903,"rect",0.764705896377563,0.25,3,0.1,1024
"blood",0.834782588481903,"diavolo",0.748663067817688,0.25,3,0.1,256
"blood",0.834782588481903,"diavolo",0.764705836772919,0.5,2,0.01,1024
"blood",0.832608675956726,"diavolo",0.75935822725296,0.25,4,0.1,256
"blood",0.832608675956726,"rect",0.770053446292877,0.5,3,0.1,1024
"blood",0.831521719694138,"rect",0.732620358467102,0.25,16,0.01,1024
"blood",0.831521719694138,"diavolo",0.732620239257812,0.5,8,0.1,512
"blood",0.831521719694138,"diavolo",0.684491991996765,0.5,2,0.1,1024
"blood",0.831521719694138,"diavolo",0.711229920387268,0.25,16,0.1,512
"blood",0.830434763431549,"diavolo",0.711229979991913,0.25,3,0.1,1024
"blood",0.830434763431549,"diavolo",0.754010677337646,0.25,3,0.1,512
"blood",0.830434763431549,"rect",0.711229979991913,0.5,16,0.01,1024
"blood",0.829347807168961,"diavolo",0.764705896377563,0.25,8,0.01,256
"blood",0.829347807168961,"rect",0.759358286857605,0.5,3,0.1,512
"blood",0.828260850906372,"rect",0.764705836772919,0.5,8,0.01,1024
"blood",0.828260850906372,"rect",0.770053505897522,0.25,8,0.1,256
"blood",0.826086938381195,"diavolo",0.711229920387268,0.25,16,0.01,256
"blood",0.826086938381195,"rect",0.679144382476807,0.25,3,0.01,1024
"blood",0.826086938381195,"rect",0.780748665332794,0.25,4,0.01,512
"blood",0.823913025856018,"diavolo",0.743315458297729,0.25,2,0.01,512
"blood",0.82282606959343,"diavolo",0.759358286857605,0.5,3,0.01,1024
"blood",0.820652157068253,"rect",0.764705777168274,0.5,8,0.1,512
"blood",0.819565200805664,"rect",0.764705777168274,0.25,2,0.01,256
"blood",0.818478244543076,"rect",0.727272689342499,0.5,16,0.01,256
"blood",0.818478244543076,"diavolo",0.770053446292877,0.5,4,0.01,512
"blood",0.818478244543076,"rect",0.689839601516724,0.5,4,0.01,512
"blood",0.817391288280487,"rect",0.764705896377563,0.25,16,0.1,512
"blood",0.817391288280487,"rect",0.775400996208191,0.25,2,0.01,512
"blood",0.816304332017899,"diavolo",0.737967848777771,0.25,3,0.01,256
"blood",0.81521737575531,"rect",0.764705896377563,0.25,16,0.1,1024
"blood",0.81521737575531,"rect",0.764705836772919,0.5,16,0.1,1024
"blood",0.81521737575531,"rect",0.764705777168274,0.5,16,0.1,512
"blood",0.81521737575531,"rect",0.764705777168274,0.25,16,0.1,256
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,16,0.1,256
"blood",0.81521737575531,"rect",0.764705896377563,0.25,16,1,1024
"blood",0.81521737575531,"rect",0.764705836772919,0.5,16,1,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,16,1,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,16,1,1024
"blood",0.81521737575531,"rect",0.764705896377563,0.25,16,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.5,16,1,512
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,16,1,512
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,16,1,512
"blood",0.81521737575531,"rect",0.764705777168274,0.25,16,1,256
"blood",0.81521737575531,"rect",0.764705896377563,0.5,16,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,16,1,256
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,16,1,256
"blood",0.81521737575531,"rect",0.764705836772919,0.25,8,0.1,1024
"blood",0.81521737575531,"rect",0.764705896377563,0.25,8,1,1024
"blood",0.81521737575531,"rect",0.764705836772919,0.5,8,1,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,8,1,1024
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,8,1,1024
"blood",0.81521737575531,"rect",0.764705777168274,0.25,8,1,512
"blood",0.81521737575531,"rect",0.764705836772919,0.5,8,1,512
"blood",0.81521737575531,"diavolo",0.764705777168274,0.25,8,1,512
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,8,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.25,8,1,256
