"dataset","nhidden","bottleneck","blockForm","learningrate","nblocks","testAccuracy","valAccuracy"
"titanic",256,0.25,"rect",0.01,3,0.772727310657501,0.788172030448914
"titanic",256,0.25,"rect",0.1,3,0.780000030994415,0.783870959281922
"titanic",256,0.25,"rect",0.1,8,0.781818211078644,0.783154094219208
"titanic",512,0.25,"diavolo",0.1,2,0.781818270683289,0.781720411777496
"titanic",256,0.5,"diavolo",0.1,3,0.763636410236359,0.781720399856567
"titanic",512,0.25,"rect",0.1,4,0.781818270683289,0.781362020969391
"titanic",256,0.25,"diavolo",0.1,3,0.772727310657501,0.781361997127533
"titanic",1024,0.5,"rect",0.1,3,0.772727310657501,0.78100358247757
"titanic",256,0.25,"rect",0.1,4,0.781818211078644,0.780645155906677
"titanic",256,0.5,"rect",0.1,2,0.789090871810913,0.780645149946213
"titanic",256,0.5,"rect",0.1,3,0.781818211078644,0.780286705493927
"titanic",256,0.25,"diavolo",0.1,2,0.781818270683289,0.779928302764893
"titanic",1024,0.5,"diavolo",0.1,3,0.781818211078644,0.779928267002106
"titanic",512,0.5,"diavolo",0.1,4,0.781818270683289,0.779211449623108
"titanic",512,0.25,"diavolo",0.01,2,0.763636410236359,0.778853058815002
"titanic",512,0.5,"diavolo",0.1,8,0.772727370262146,0.778853011131287
"titanic",512,0.25,"diavolo",0.01,8,0.77454549074173,0.778852999210358
"titanic",512,0.5,"rect",0.01,16,0.77454549074173,0.778494620323181
"titanic",512,0.5,"diavolo",0.1,3,0.763636410236359,0.778494608402252
"titanic",512,0.5,"rect",0.1,2,0.781818211078644,0.778494584560394
"titanic",512,0.5,"diavolo",0.1,2,0.781818151473999,0.77813618183136
"titanic",512,0.25,"diavolo",0.1,3,0.770909011363983,0.778136157989502
"titanic",512,0.5,"diavolo",0.01,2,0.763636410236359,0.777777791023254
"titanic",512,0.5,"rect",0.1,3,0.781818270683289,0.777777719497681
"titanic",256,0.25,"rect",0.1,2,0.781818270683289,0.777777719497681
"titanic",512,0.25,"diavolo",0.01,16,0.772727370262146,0.777419352531433
"titanic",1024,0.25,"diavolo",0.1,2,0.774545550346375,0.776702499389649
"titanic",512,0.25,"rect",0.01,8,0.774545431137085,0.776344084739685
"titanic",1024,0.25,"diavolo",0.1,4,0.772727310657501,0.775627195835114
"titanic",256,0.5,"diavolo",0.1,2,0.774545431137085,0.774910342693329
"titanic",1024,0.25,"diavolo",0.01,4,0.767272770404816,0.774552011489868
"titanic",512,0.5,"rect",0.01,3,0.740000069141388,0.77455198764801
"titanic",1024,0.5,"diavolo",0.1,2,0.77454549074173,0.774551945924759
"titanic",512,0.25,"rect",0.1,2,0.78000009059906,0.77419353723526
"titanic",512,0.25,"rect",0.1,3,0.781818270683289,0.773835098743439
"titanic",1024,0.25,"rect",0.01,4,0.772727310657501,0.772401434183121
"titanic",1024,0.5,"diavolo",0.1,4,0.7436363697052,0.77204304933548
"titanic",256,0.5,"rect",0.1,4,0.774545431137085,0.772043031454086
"titanic",1024,0.5,"diavolo",0.01,8,0.763636410236359,0.7720429956913
"titanic",1024,0.25,"rect",0.1,3,0.763636410236359,0.772042989730835
"titanic",1024,0.25,"rect",0.1,2,0.781818211078644,0.772042965888977
"titanic",256,0.5,"diavolo",0.01,3,0.774545431137085,0.770609295368195
"titanic",256,0.5,"diavolo",0.01,4,0.774545431137085,0.770609295368195
"titanic",512,0.25,"rect",0.01,3,0.774545550346375,0.77060928940773
"titanic",512,0.5,"diavolo",0.01,4,0.776363551616669,0.770250898599625
"titanic",1024,0.5,"rect",0.01,8,0.774545431137085,0.770250844955444
"titanic",256,0.5,"rect",0.1,8,0.767272770404816,0.769892436265945
"titanic",1024,0.5,"diavolo",0.01,2,0.769090950489044,0.769534063339233
"titanic",512,0.5,"diavolo",0.01,3,0.774545431137085,0.769534003734589
"titanic",512,0.25,"rect",0.01,2,0.774545431137085,0.76953399181366
"titanic",1024,0.5,"rect",0.1,2,0.772727251052856,0.76881719827652
"titanic",256,0.5,"rect",0.01,3,0.781818211078644,0.768817186355591
"titanic",1024,0.5,"rect",0.01,4,0.767272770404816,0.768458741903305
"titanic",256,0.25,"diavolo",0.1,4,0.781818211078644,0.768100368976593
"titanic",1024,0.25,"diavolo",0.1,3,0.774545550346375,0.768100321292877
"titanic",512,0.5,"rect",0.01,2,0.770909070968628,0.767741930484772
"titanic",1024,0.25,"rect",0.1,4,0.759999990463257,0.767741906642914
"titanic",256,0.5,"diavolo",0.1,4,0.776363611221313,0.767383509874344
"titanic",1024,0.25,"rect",0.01,8,0.772727310657501,0.767383491992951
"titanic",256,0.5,"rect",0.01,16,0.767272770404816,0.76702509522438
"titanic",1024,0.5,"diavolo",0.01,16,0.781818151473999,0.766308230161667
"titanic",512,0.25,"rect",0.01,16,0.770909011363983,0.765591412782669
"titanic",1024,0.5,"rect",0.01,2,0.785454511642456,0.765232998132706
"titanic",256,0.25,"rect",0.01,16,0.770909130573273,0.765232968330383
"titanic",1024,0.5,"rect",0.1,4,0.770909070968628,0.76487455368042
"titanic",1024,0.25,"rect",0.01,16,0.781818151473999,0.764874517917633
"titanic",1024,0.25,"diavolo",0.01,16,0.789090871810913,0.764516150951386
"titanic",1024,0.5,"rect",0.01,16,0.752727329730988,0.764516133069992
"titanic",512,0.25,"diavolo",0.1,8,0.781818151473999,0.764516127109528
"titanic",1024,0.25,"diavolo",0.01,2,0.789090871810913,0.764157724380493
"titanic",1024,0.25,"rect",0.01,3,0.770909070968628,0.763440829515457
"titanic",1024,0.5,"diavolo",0.1,8,0.774545431137085,0.762723988294602
"titanic",256,0.5,"diavolo",0.01,8,0.781818211078644,0.760573494434357
"titanic",512,0.5,"rect",0.1,4,0.774545550346375,0.760215038061142
"titanic",1024,0.5,"diavolo",0.01,3,0.774545550346375,0.760215032100678
"titanic",512,0.25,"diavolo",0.1,4,0.781818211078644,0.759856647253037
"titanic",256,0.5,"diavolo",0.01,16,0.781818151473999,0.759856635332108
"titanic",256,0.5,"rect",0.01,8,0.772727251052856,0.758781343698502
"titanic",256,0.25,"diavolo",0.1,8,0.781818151473999,0.757347667217255
"titanic",512,0.5,"rect",0.01,8,0.785454630851746,0.756272387504578
"titanic",256,0.25,"diavolo",0.1,16,0.767272770404816,0.754838693141937
"titanic",512,0.5,"diavolo",0.01,8,0.770909070968628,0.753405028581619
"titanic",1024,0.25,"diavolo",0.1,8,0.767272710800171,0.751254439353943
"titanic",512,0.25,"rect",0.01,4,0.759999930858612,0.749820750951767
"titanic",1024,0.5,"diavolo",0.01,4,0.7563636302948,0.748387092351914
"titanic",1024,0.25,"diavolo",0.01,8,0.741818189620972,0.747670245170593
"titanic",256,0.5,"rect",0.01,2,0.781818211078644,0.746236521005631
"titanic",256,0.5,"diavolo",0.1,16,0.663636386394501,0.744444441795349
"titanic",256,0.5,"diavolo",0.01,2,0.730909049510956,0.74336913228035
"titanic",1024,0.25,"rect",0.01,2,0.77454549074173,0.74301073551178
"titanic",1024,0.5,"rect",0.01,3,0.759999990463257,0.741935467720032
"titanic",256,0.25,"diavolo",0.01,16,0.781818151473999,0.73906814455986
"titanic",256,0.25,"rect",0.01,8,0.781818211078644,0.738709682226181
"titanic",512,0.25,"diavolo",0.01,3,0.738181829452515,0.731182795763016
"titanic",256,0.5,"diavolo",0.1,8,0.767272710800171,0.730107522010803
"titanic",512,0.5,"rect",0.01,4,0.747272789478302,0.726523327827454
"titanic",256,0.5,"rect",0.01,4,0.694545447826385,0.714695340394974
"titanic",512,0.5,"diavolo",0.01,16,0.767272710800171,0.713978505134583
"titanic",1024,0.25,"diavolo",0.01,3,0.685454547405243,0.685304659605026
"titanic",256,0.25,"diavolo",1,8,0.678181827068329,0.669534057378769
"titanic",512,0.25,"rect",1,4,0.678181827068329,0.668458807468414
"titanic",256,0.25,"diavolo",0.01,8,0.6890909075737,0.667025113105774
"titanic",1024,0.25,"diavolo",1,2,0.678181827068329,0.663082468509674
"titanic",512,0.25,"diavolo",0.01,4,0.678181827068329,0.660215055942535
"titanic",256,0.25,"rect",1,4,0.678181827068329,0.65949826836586
"titanic",1024,0.25,"rect",0.1,16,0.678181827068329,0.659498256444931
"titanic",512,0.25,"rect",0.1,16,0.678181827068329,0.659498256444931
"titanic",256,0.25,"diavolo",1,16,0.678181827068329,0.659498256444931
"titanic",1024,0.25,"diavolo",1,3,0.678181827068329,0.659498256444931
"titanic",512,0.5,"rect",1,3,0.678181827068329,0.659498256444931
"titanic",256,0.25,"rect",1,16,0.678181827068329,0.659498250484467
"titanic",1024,0.5,"diavolo",1,4,0.678181827068329,0.659498250484467
"titanic",256,0.5,"rect",1,4,0.678181827068329,0.659498250484467
"titanic",512,0.5,"rect",1,2,0.678181827068329,0.659498250484467
"titanic",512,0.25,"diavolo",1,16,0.678181827068329,0.659498244524002
"titanic",512,0.5,"diavolo",1,16,0.678181827068329,0.659498244524002
"titanic",512,0.5,"diavolo",1,8,0.678181827068329,0.659498244524002
"titanic",1024,0.25,"rect",1,3,0.678181827068329,0.659498244524002
"titanic",1024,0.5,"diavolo",1,3,0.678181827068329,0.659498244524002
"titanic",1024,0.25,"rect",1,2,0.678181827068329,0.659498244524002
"titanic",1024,0.5,"rect",1,16,0.678181827068329,0.659498238563538
"titanic",512,0.25,"rect",1,16,0.678181827068329,0.659498238563538
"titanic",1024,0.25,"rect",1,8,0.678181827068329,0.659498238563538
"titanic",512,0.25,"rect",1,8,0.678181827068329,0.659498238563538
"titanic",256,0.5,"rect",1,8,0.678181827068329,0.659498238563538
"titanic",1024,0.25,"diavolo",1,4,0.678181827068329,0.659498238563538
"titanic",1024,0.5,"rect",1,3,0.678181827068329,0.659498238563538
"titanic",256,0.5,"rect",1,3,0.678181827068329,0.659498238563538
"titanic",1024,0.5,"diavolo",1,2,0.678181827068329,0.659498238563538
"titanic",512,0.25,"rect",1,2,0.678181827068329,0.659498238563538
"titanic",512,0.5,"rect",0.1,16,0.678181827068329,0.659498238563538
"titanic",256,0.5,"rect",1,16,0.678181827068329,0.659498232603073
"titanic",1024,0.25,"rect",0.1,8,0.678181827068329,0.659498232603073
"titanic",256,0.25,"diavolo",0.01,4,0.678181827068329,0.659498232603073
"titanic",1024,0.25,"rect",1,4,0.678181827068329,0.659498232603073
"titanic",1024,0.5,"rect",1,4,0.678181827068329,0.659498232603073
"titanic",512,0.25,"diavolo",1,4,0.678181827068329,0.659498232603073
"titanic",256,0.25,"rect",0.01,2,0.678181827068329,0.659498232603073
"titanic",256,0.25,"diavolo",0.01,2,0.678181827068329,0.659498232603073
"titanic",512,0.25,"diavolo",1,2,0.678181827068329,0.659498232603073
"titanic",256,0.5,"diavolo",1,2,0.678181827068329,0.659498232603073
"titanic",1024,0.5,"rect",1,2,0.678181827068329,0.659498232603073
"titanic",256,0.25,"rect",1,2,0.678181827068329,0.659498232603073
"titanic",1024,0.25,"diavolo",1,16,0.678181827068329,0.659498226642609
"titanic",1024,0.5,"diavolo",1,16,0.678181827068329,0.659498226642609
"titanic",1024,0.25,"diavolo",1,8,0.678181827068329,0.659498226642609
"titanic",1024,0.5,"rect",1,8,0.678181827068329,0.659498226642609
"titanic",512,0.25,"diavolo",1,8,0.678181827068329,0.659498226642609
"titanic",512,0.5,"diavolo",1,4,0.678181827068329,0.659498226642609
"titanic",512,0.25,"rect",1,3,0.678181827068329,0.659498226642609
"titanic",512,0.25,"diavolo",1,3,0.678181827068329,0.659498226642609
"titanic",512,0.5,"diavolo",1,3,0.678181827068329,0.659498226642609
"titanic",256,0.5,"diavolo",1,3,0.678181827068329,0.659498226642609
"titanic",256,0.25,"diavolo",1,2,0.678181827068329,0.659498226642609
"titanic",256,0.5,"rect",1,2,0.678181827068329,0.659498226642609
"titanic",1024,0.5,"rect",0.1,16,0.678181827068329,0.659498220682144
"titanic",512,0.5,"rect",1,16,0.678181827068329,0.659498220682144
"titanic",256,0.5,"diavolo",1,16,0.678181827068329,0.659498220682144
"titanic",512,0.5,"rect",1,8,0.678181827068329,0.659498220682144
"titanic",256,0.5,"diavolo",1,8,0.678181827068329,0.659498220682144
"titanic",256,0.25,"diavolo",1,4,0.678181827068329,0.659498220682144
"titanic",256,0.5,"diavolo",1,4,0.678181827068329,0.659498220682144
"titanic",256,0.25,"diavolo",1,3,0.678181827068329,0.659498220682144
"titanic",512,0.5,"diavolo",1,2,0.678181827068329,0.659498220682144
"titanic",1024,0.5,"rect",0.1,8,0.678181827068329,0.659498220682144
"titanic",1024,0.5,"diavolo",1,8,0.678181827068329,0.659498220682144
"titanic",1024,0.25,"rect",1,16,0.678181827068329,0.65949821472168
"titanic",256,0.25,"rect",1,8,0.678181827068329,0.65949821472168
"titanic",256,0.25,"rect",1,3,0.678181827068329,0.65949821472168
"titanic",1024,0.5,"diavolo",0.1,16,0.678181827068329,0.659498208761215
"titanic",512,0.5,"rect",1,4,0.678181827068329,0.659498202800751
"titanic",256,0.25,"rect",0.01,4,0.678181827068329,0.654480296373367
"titanic",256,0.25,"diavolo",0.01,3,0.683636367321014,0.652329778671265
"titanic",512,0.25,"rect",0.1,8,0.321818172931671,0.625448030233383
"titanic",256,0.5,"rect",0.1,16,0.321818172931671,0.595698946714401
"titanic",512,0.5,"rect",0.1,8,0.714545488357544,0.577777767181397
"titanic",256,0.25,"rect",0.1,16,0.321818172931671,0.531899654865265
"titanic",512,0.25,"diavolo",0.1,16,0.454545468091965,0.458422946929932
"titanic",1024,0.25,"diavolo",0.1,16,0.321818172931671,0.436200720071793
"titanic",512,0.5,"diavolo",0.1,16,0.321818172931671,0.436200720071793
