"dataset","learningrate","testAccuracy","nhidden","blockForm","valAccuracy","bottleneck","nblocks"
"wine-quality-red",0.1,0.614999949932098,256,"rect",0.651366090774536,0.5,8
"wine-quality-red",0.1,0.587499916553497,512,"rect",0.650273191928863,0.5,2
"wine-quality-red",0.1,0.594999969005585,256,"rect",0.632240432500839,0.25,16
"wine-quality-red",0.1,0.584999978542328,256,"diavolo",0.626775926351547,0.5,16
"wine-quality-red",0.1,0.617500007152557,512,"diavolo",0.625683039426804,0.5,2
"wine-quality-red",0.01,0.604999959468842,256,"diavolo",0.622950792312622,0.5,2
"wine-quality-red",0.1,0.592499971389771,512,"rect",0.621311444044113,0.25,3
"wine-quality-red",0.1,0.597499966621399,256,"diavolo",0.619125664234161,0.5,3
"wine-quality-red",0.1,0.642499983310699,256,"diavolo",0.618579208850861,0.25,8
"wine-quality-red",0.1,0.579999923706055,512,"diavolo",0.618032765388489,0.5,4
"wine-quality-red",0.1,0.627499997615814,512,"rect",0.617486315965652,0.5,4
"wine-quality-red",0.1,0.564999997615814,256,"rect",0.615846985578537,0.5,3
"wine-quality-red",0.1,0.572499990463257,512,"rect",0.61256827712059,0.25,8
"wine-quality-red",0.1,0.604999959468842,512,"rect",0.610928922891617,0.5,3
"wine-quality-red",0.1,0.614999949932098,256,"diavolo",0.609289598464966,0.5,8
"wine-quality-red",0.1,0.574999988079071,256,"diavolo",0.608743172883987,0.5,2
"wine-quality-red",0.1,0.614999949932098,1024,"rect",0.606557375192642,0.25,2
"wine-quality-red",0.1,0.574999988079071,256,"diavolo",0.604917997121811,0.5,4
"wine-quality-red",0.1,0.555000007152557,256,"rect",0.600546431541443,0.25,4
"wine-quality-red",0.1,0.620000004768372,512,"diavolo",0.598360645771027,0.25,3
"wine-quality-red",0.1,0.597499966621399,1024,"diavolo",0.59781419634819,0.25,4
"wine-quality-red",0.1,0.589999973773956,1024,"rect",0.596174848079681,0.25,4
"wine-quality-red",0.1,0.624999940395355,512,"diavolo",0.596174848079681,0.25,4
"wine-quality-red",0.1,0.582499980926514,256,"rect",0.595628386735916,0.25,2
"wine-quality-red",0.1,0.5625,256,"rect",0.594535511732102,0.5,16
"wine-quality-red",0.1,0.587499976158142,256,"diavolo",0.593989062309265,0.25,3
"wine-quality-red",0.1,0.604999959468842,1024,"diavolo",0.592349696159363,0.5,8
"wine-quality-red",0.1,0.617500007152557,512,"diavolo",0.59016392827034,0.5,8
"wine-quality-red",0.1,0.597499966621399,256,"diavolo",0.588524580001831,0.25,4
"wine-quality-red",0.01,0.60999995470047,512,"rect",0.586338794231415,0.5,2
"wine-quality-red",0.1,0.574999988079071,256,"diavolo",0.586338776350021,0.25,2
"wine-quality-red",0.01,0.512499928474426,256,"rect",0.584699434041977,0.5,2
"wine-quality-red",0.1,0.619999945163727,1024,"diavolo",0.583606547117233,0.25,3
"wine-quality-red",0.1,0.592499971389771,256,"rect",0.578688514232636,0.25,3
"wine-quality-red",0.1,0.572499990463257,512,"rect",0.578142064809799,0.25,2
"wine-quality-red",0.01,0.550000011920929,1024,"rect",0.578142046928406,0.25,2
"wine-quality-red",0.1,0.587499916553497,1024,"diavolo",0.576502710580826,0.5,4
"wine-quality-red",0.01,0.549999952316284,1024,"rect",0.576502704620361,0.25,3
"wine-quality-red",0.01,0.529999971389771,1024,"rect",0.575956279039383,0.5,3
"wine-quality-red",0.01,0.564999938011169,1024,"rect",0.575956261157989,0.5,16
"wine-quality-red",0.1,0.604999959468842,256,"rect",0.575409811735153,0.5,2
"wine-quality-red",0.1,0.594999969005585,512,"diavolo",0.574316900968552,0.25,2
"wine-quality-red",0.1,0.597499966621399,1024,"rect",0.573224020004273,0.5,3
"wine-quality-red",0.01,0.552499949932098,1024,"diavolo",0.573224020004272,0.25,3
"wine-quality-red",0.01,0.589999973773956,512,"rect",0.571584689617157,0.25,16
"wine-quality-red",0.1,0.612499952316284,1024,"diavolo",0.567759549617767,0.5,3
