"dataset","valAccuracy","blockForm","nhidden","learningrate","testAccuracy","bottleneck","nblocks"
"nursery",0.999716711044311,"rect",1024,0.1,0.999382734298706,0.5,3
"nursery",0.999504244327545,"rect",256,0.1,1,0.5,8
"nursery",0.998087865114212,"diavolo",256,0.1,0.999691367149353,0.5,16
"nursery",0.99511336684227,"diavolo",512,0.1,0.997530817985535,0.5,16
"nursery",0.98732300400734,"rect",256,0.1,0.986728310585022,0.25,16
"nursery",0.986260664463043,"rect",512,0.1,0.983641922473907,0.25,8
"nursery",0.985694110393524,"rect",1024,0.1,0.98950606584549,0.25,4
"nursery",0.979815924167633,"rect",1024,0.1,0.979012250900269,0.5,4
"nursery",0.977762085199356,"diavolo",1024,0.1,0.989506125450134,0.25,16
"nursery",0.976345694065094,"rect",256,0.1,0.980246841907501,0.5,16
"nursery",0.970963209867477,"diavolo",1024,0.1,0.968827128410339,0.5,8
"nursery",0.953682774305344,"diavolo",256,0.1,0.961419701576233,0.25,16
"nursery",0.947450482845307,"diavolo",512,0.1,0.956789970397949,0.25,16
"nursery",0.942776244878769,"diavolo",256,0.1,0.957098722457886,0.5,8
"nursery",0.931869715452194,"rect",256,0.1,0.953703641891479,0.5,2
"nursery",0.92386686205864,"rect",256,0.1,0.94660484790802,0.25,8
"nursery",0.922946208715439,"rect",256,0.1,0.939197480678558,0.5,3
"nursery",0.922733747959137,"diavolo",1024,0.1,0.933024525642395,0.25,8
"nursery",0.921600580215454,"rect",256,0.1,0.943518459796906,0.25,2
"nursery",0.921529763936997,"rect",256,0.1,0.953703641891479,0.25,4
"nursery",0.919051039218903,"diavolo",256,0.1,0.93302458524704,0.25,8
"nursery",0.916501432657242,"rect",512,0.1,0.937654256820679,0.5,8
"nursery",0.914022672176361,"rect",256,0.1,0.930246829986572,0.5,4
"nursery",0.909065192937851,"diavolo",256,0.1,0.923456728458405,0.25,2
"nursery",0.906232315301895,"rect",256,0.1,0.941666603088379,0.25,3
"nursery",0.890368258953095,"diavolo",256,0.01,0.904629588127136,0.25,16
"nursery",0.884348475933075,"diavolo",512,0.1,0.942283868789673,0.5,8
"nursery",0.882861214876175,"rect",256,0.01,0.883950591087341,0.5,2
"nursery",0.881373965740204,"diavolo",256,0.1,0.937654256820679,0.25,3
"nursery",0.875424927473068,"diavolo",256,0.1,0.894135773181915,0.25,4
"nursery",0.87230880856514,"diavolo",256,0.1,0.919753015041351,0.5,2
"nursery",0.868626064062119,"diavolo",1024,0.1,0.904629588127136,0.5,4
"nursery",0.86550994515419,"rect",512,0.1,0.899073958396912,0.5,2
"nursery",0.862110507488251,"diavolo",256,0.1,0.931172668933868,0.5,4
"nursery",0.86012749671936,"rect",512,0.1,0.913888871669769,0.5,3
"nursery",0.859277629852295,"rect",256,0.01,0.891666650772095,0.25,16
"nursery",0.859135991334915,"rect",512,0.1,0.910802483558655,0.25,3
"nursery",0.858569395542145,"diavolo",256,0.1,0.898148000240326,0.5,3
"nursery",0.849929183721542,"rect",256,0.01,0.871604800224304,0.5,4
"nursery",0.846033996343613,"diavolo",256,0.01,0.882407367229462,0.5,2
"nursery",0.845254975557327,"rect",256,0.01,0.851234495639801,0.25,2
"nursery",0.840864038467407,"rect",512,0.1,0.862345635890961,0.25,2
"nursery",0.840297442674637,"rect",256,0.01,0.859567880630493,0.5,8
"nursery",0.839518415927887,"rect",256,0.01,0.859876453876495,0.5,3
"nursery",0.839235121011734,"rect",512,0.01,0.871296226978302,0.5,3
"nursery",0.83881019949913,"rect",256,0.01,0.846296310424805,0.5,16
"nursery",0.838597726821899,"rect",256,0.01,0.895987629890442,0.25,8
"nursery",0.82974506020546,"rect",512,0.1,0.90524685382843,0.5,4
"nursery",0.828611892461777,"rect",256,0.01,0.856481492519379,0.25,3
"nursery",0.827832871675491,"diavolo",512,0.1,0.898456633090973,0.25,8
"nursery",0.827053827047348,"rect",256,0.01,0.848148047924042,0.25,4
"nursery",0.820113331079483,"diavolo",1024,0.1,0.916975259780884,0.5,3
"nursery",0.819546747207642,"rect",512,0.01,0.822222232818604,0.5,2
"nursery",0.815085005760193,"diavolo",256,0.01,0.840432107448578,0.5,8
"nursery",0.814376795291901,"rect",512,0.1,0.933333277702332,0.25,4
"nursery",0.806090646982193,"diavolo",256,0.01,0.828086376190186,0.25,3
"nursery",0.797450429201126,"diavolo",512,0.01,0.810802400112152,0.5,16
"nursery",0.79674220085144,"rect",512,0.01,0.816049337387085,0.25,2
"nursery",0.794334274530411,"rect",512,0.01,0.841975212097168,0.5,4
"nursery",0.793909335136414,"rect",1024,0.1,0.782407343387604,0.5,2
"nursery",0.791572242975235,"diavolo",512,0.1,0.746604919433594,0.5,2
"nursery",0.791288959980011,"diavolo",512,0.1,0.778395056724548,0.25,4
"nursery",0.787039661407471,"diavolo",256,0.01,0.872530817985535,0.25,8
"nursery",0.786331456899643,"diavolo",256,0.01,0.784876525402069,0.25,2
"nursery",0.780382418632507,"diavolo",512,0.1,0.743827104568481,0.25,2
"nursery",0.778895181417465,"rect",512,0.01,0.815432012081146,0.25,16
"nursery",0.774433439970017,"rect",512,0.01,0.83672833442688,0.25,3
"nursery",0.774079340696335,"diavolo",512,0.1,0.799073994159698,0.25,3
"nursery",0.772379618883133,"diavolo",256,0.01,0.797530829906464,0.5,4
"nursery",0.767280441522598,"diavolo",512,0.01,0.769135713577271,0.25,16
"nursery",0.767138803005218,"diavolo",512,0.1,0.770678997039795,0.5,4
"nursery",0.766218131780624,"rect",1024,0.1,0.733333230018616,0.25,2
"nursery",0.759985846281052,"rect",1024,0.1,0.681172728538513,0.25,3
"nursery",0.751416403055191,"diavolo",512,0.1,0.699074029922485,0.5,3
"nursery",0.746600556373596,"rect",1024,0.01,0.712962865829468,0.25,2
"nursery",0.744475919008255,"diavolo",256,0.01,0.71327155828476,0.5,16
"nursery",0.743413597345352,"diavolo",512,0.01,0.787654221057892,0.25,2
"nursery",0.739376765489578,"rect",512,0.01,0.72376537322998,0.5,8
"nursery",0.732365441322327,"diavolo",512,0.01,0.757716059684753,0.5,2
"nursery",0.730099135637283,"diavolo",256,0.01,0.76111114025116,0.5,3
"nursery",0.729178464412689,"rect",1024,0.01,0.68148136138916,0.5,2
"nursery",0.728328603506088,"rect",512,0.01,0.691975295543671,0.25,4
"nursery",0.718909323215485,"rect",1024,0.01,0.66234564781189,0.25,3
"nursery",0.717351269721985,"rect",512,0.01,0.708024740219116,0.25,8
"nursery",0.71196882724762,"diavolo",256,0.01,0.691666603088379,0.25,4
"nursery",0.710835701227188,"diavolo",1024,0.1,0.594135761260986,0.25,4
"nursery",0.71026913523674,"diavolo",1024,0.1,0.6169753074646,0.25,2
"nursery",0.70637394785881,"diavolo",512,0.01,0.694135725498199,0.25,8
"nursery",0.705169969797134,"diavolo",1024,0.1,0.590740740299225,0.25,3
"nursery",0.69865437746048,"diavolo",1024,0.1,0.589506149291992,0.5,2
"nursery",0.687252110242844,"rect",1024,0.01,0.645370364189148,0.5,3
"nursery",0.683711040019989,"rect",1024,0.01,0.614506125450134,0.5,16
"nursery",0.678541070222855,"rect",1024,0.01,0.579320967197418,0.5,8
"nursery",0.673796027898788,"rect",1024,0.01,0.599999964237213,0.25,16
"nursery",0.670963180065155,"rect",512,0.01,0.614814817905426,0.5,16
"nursery",0.669121807813644,"diavolo",512,0.01,0.660185098648071,0.5,8
"nursery",0.666359782218933,"diavolo",1024,0.01,0.623456716537476,0.25,4
"nursery",0.666288954019547,"diavolo",512,0.01,0.658950567245483,0.25,3
"nursery",0.663385254144669,"diavolo",1024,0.01,0.584259271621704,0.5,16
"nursery",0.659702551364899,"rect",1024,0.01,0.558333277702332,0.5,4
"nursery",0.656798857450485,"rect",1024,0.01,0.562654316425323,0.25,4
"nursery",0.653682726621628,"diavolo",1024,0.01,0.622222125530243,0.25,3
"nursery",0.650849843025207,"rect",1024,0.01,0.529938220977783,0.25,8
"nursery",0.64964587688446,"diavolo",512,0.01,0.601543247699738,0.5,3
"nursery",0.645396608114243,"diavolo",1024,0.01,0.572222173213959,0.5,2
"nursery",0.644475919008255,"diavolo",512,0.01,0.602469086647034,0.5,4
"nursery",0.635410732030869,"diavolo",1024,0.01,0.55339503288269,0.5,3
