"dataset","nhidden","bottleneck","nblocks","testAccuracy","learningrate","valAccuracy","blockForm"
"heart-hungarian",1024,0.5,16,0.821917772293091,0.01,0.844444435834885,"rect"
"heart-hungarian",512,0.5,3,0.767123281955719,0.01,0.844444417953491,"rect"
"heart-hungarian",1024,0.5,3,0.767123281955719,0.1,0.837037026882172,"diavolo"
"heart-hungarian",256,0.5,16,0.753424644470215,0.01,0.837037014961243,"diavolo"
"heart-hungarian",256,0.25,3,0.739726006984711,0.1,0.837037014961243,"rect"
"heart-hungarian",1024,0.5,4,0.767123281955719,0.01,0.833333325386047,"diavolo"
"heart-hungarian",512,0.5,16,0.767123222351074,0.01,0.825925934314728,"diavolo"
"heart-hungarian",512,0.25,3,0.739726006984711,0.01,0.82592591047287,"rect"
"heart-hungarian",1024,0.5,3,0.849315047264099,0.01,0.82592591047287,"rect"
"heart-hungarian",1024,0.25,2,0.835616409778595,0.01,0.82592591047287,"rect"
"heart-hungarian",1024,0.5,4,0.794520497322083,0.01,0.82592591047287,"rect"
"heart-hungarian",256,0.5,8,0.821917831897736,0.01,0.822222208976746,"diavolo"
"heart-hungarian",1024,0.25,3,0.753424644470215,0.1,0.822222208976746,"diavolo"
"heart-hungarian",512,0.25,16,0.876712322235107,0.01,0.822222208976746,"rect"
"heart-hungarian",512,0.25,4,0.849315047264099,0.01,0.818518513441086,"rect"
"heart-hungarian",512,0.5,3,0.794520556926727,0.01,0.818518507480621,"diavolo"
"heart-hungarian",512,0.25,3,0.808219134807587,0.01,0.814814805984497,"diavolo"
"heart-hungarian",256,0.5,3,0.876712322235107,0.01,0.814814805984497,"diavolo"
"heart-hungarian",1024,0.5,2,0.794520497322083,0.01,0.814814805984497,"diavolo"
"heart-hungarian",512,0.5,2,0.657534241676331,0.1,0.811111122369766,"rect"
"heart-hungarian",512,0.5,4,0.767123281955719,0.1,0.811111104488373,"diavolo"
"heart-hungarian",256,0.25,16,0.726027429103851,0.1,0.811111104488373,"diavolo"
"heart-hungarian",256,0.5,8,0.726027369499207,0.1,0.807407408952713,"rect"
"heart-hungarian",512,0.5,3,0.753424644470215,0.1,0.800000011920929,"diavolo"
"heart-hungarian",512,0.25,16,0.821917831897736,0.01,0.785185194015503,"diavolo"
"heart-hungarian",512,0.5,8,0.753424644470215,0.01,0.777777791023254,"rect"
"heart-hungarian",256,0.5,4,0.794520556926727,0.01,0.77407408952713,"rect"
"heart-hungarian",256,0.25,16,0.780821859836578,0.01,0.755555576086044,"rect"
"heart-hungarian",256,0.25,4,0.821917772293091,0.01,0.751851880550385,"rect"
"heart-hungarian",256,0.25,2,0.767123281955719,0.01,0.751851880550385,"rect"
"heart-hungarian",256,0.25,4,0.698630094528198,0.1,0.751851880550384,"rect"
"heart-hungarian",256,0.5,4,0.794520556926727,0.1,0.75185187458992,"rect"
"heart-hungarian",512,0.5,8,0.739726006984711,0.01,0.74814817905426,"diavolo"
"heart-hungarian",512,0.5,2,0.849315047264099,0.01,0.729629671573639,"rect"
"heart-hungarian",256,0.25,4,0.602739691734314,0.1,0.729629665613175,"diavolo"
"heart-hungarian",1024,0.25,8,0.561643838882446,0.1,0.692592614889145,"diavolo"
"heart-hungarian",256,0.25,3,0.671232879161835,0.01,0.625925928354263,"rect"
"heart-hungarian",1024,0.5,3,0.356164395809174,0.1,0.607407408952713,"rect"
"heart-hungarian",512,0.5,4,0.75342470407486,0.01,0.592592597007752,"diavolo"
"heart-hungarian",256,0.25,4,0.643835604190826,1,0.54074073433876,"diavolo"
"heart-hungarian",1024,0.25,2,0.643835604190826,1,0.54074073433876,"rect"
"heart-hungarian",512,0.5,16,0.657534241676331,0.1,0.533333331346512,"diavolo"
"heart-hungarian",512,0.5,8,0.643835604190826,0.1,0.522222226858139,"rect"
"heart-hungarian",256,0.25,16,0.643835604190826,1,0.52222221493721,"diavolo"
"heart-hungarian",512,0.25,8,0.643835604190826,1,0.52222221493721,"diavolo"
"heart-hungarian",512,0.25,3,0.643835604190826,1,0.52222221493721,"rect"
"heart-hungarian",1024,0.25,16,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,16,0.643835604190826,0.1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,16,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,16,0.643835604190826,0.1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,16,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,16,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,16,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,16,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.25,16,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.5,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,16,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,16,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,16,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.25,8,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,8,0.643835604190826,0.1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,8,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,8,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,8,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.25,8,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.5,8,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,8,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.25,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,4,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,4,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.25,4,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.5,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,4,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,4,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,4,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.25,3,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.25,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,3,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.5,3,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,3,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.25,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.5,3,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,3,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.25,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",1024,0.5,2,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",1024,0.5,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.25,2,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.25,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",512,0.5,2,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",512,0.5,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,2,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.25,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.5,2,0.643835604190826,1,0.518518507480621,"rect"
"heart-hungarian",256,0.5,2,0.643835604190826,1,0.518518507480621,"diavolo"
"heart-hungarian",256,0.25,16,0.643835604190826,0.1,0.514814808964729,"rect"
"heart-hungarian",256,0.5,16,0.643835604190826,0.1,0.511111104488373,"rect"
"heart-hungarian",1024,0.25,4,0.643835604190826,0.1,0.511111104488373,"rect"
"heart-hungarian",1024,0.5,4,0.356164395809174,0.1,0.507407402992249,"rect"
"heart-hungarian",1024,0.5,8,0.643835604190826,0.1,0.503703701496124,"diavolo"
"heart-hungarian",512,0.25,8,0.356164395809174,0.1,0.5,"rect"
"heart-hungarian",512,0.25,16,0.356164395809174,0.1,0.481481492519379,"diavolo"
"heart-hungarian",256,0.5,16,0.356164395809174,0.1,0.481481492519379,"diavolo"
