"dataset","blockForm","bottleneck","nblocks","testAccuracy","nhidden","learningrate","valAccuracy"
"steel-plates","diavolo",0.25,8,0.762886643409729,256,0.1,0.750454545021057
"steel-plates","diavolo",0.5,2,0.707216501235962,256,0.1,0.735000014305115
"steel-plates","rect",0.25,8,0.725773215293884,256,0.1,0.734999996423721
"steel-plates","rect",0.5,8,0.723711371421814,256,0.1,0.734090882539749
"steel-plates","rect",0.5,8,0.742268025875092,512,0.1,0.729999989271164
"steel-plates","diavolo",0.5,8,0.764948427677155,512,0.1,0.725909113883972
"steel-plates","diavolo",0.25,2,0.719587683677673,512,0.1,0.725454545021057
"steel-plates","rect",0.5,4,0.727835118770599,512,0.1,0.717727267742157
"steel-plates","rect",0.25,3,0.756700992584229,1024,0.1,0.717727249860763
"steel-plates","rect",0.25,4,0.721649527549744,256,0.1,0.716363668441772
"steel-plates","diavolo",0.5,4,0.746391773223877,512,0.1,0.713181853294372
"steel-plates","rect",0.25,3,0.729896903038025,256,0.1,0.709545427560806
"steel-plates","rect",0.25,16,0.748453557491302,256,0.1,0.707272738218307
"steel-plates","diavolo",0.25,16,0.748453617095947,256,0.1,0.706363642215729
"steel-plates","rect",0.5,3,0.744329929351807,512,0.1,0.705909109115601
"steel-plates","diavolo",0.25,8,0.723711371421814,512,0.1,0.705909079313278
"steel-plates","rect",0.5,2,0.736082494258881,512,0.1,0.705000001192093
"steel-plates","rect",0.25,3,0.69278359413147,512,0.1,0.704090940952301
"steel-plates","rect",0.25,2,0.727835059165955,512,0.1,0.703636384010315
"steel-plates","rect",0.5,4,0.723711371421814,256,0.1,0.701363664865494
"steel-plates","rect",0.5,2,0.73195880651474,1024,0.1,0.700909113883972
"steel-plates","rect",0.25,2,0.756701111793518,1024,0.1,0.699545478820801
"steel-plates","diavolo",0.5,2,0.729896903038025,512,0.1,0.699090903997421
"steel-plates","rect",0.25,4,0.736082494258881,512,0.1,0.6981818318367
"steel-plates","diavolo",0.5,16,0.72989696264267,256,0.1,0.695454519987106
"steel-plates","diavolo",0.5,8,0.738144278526306,256,0.1,0.693636339902878
"steel-plates","rect",0.25,4,0.696907222270966,256,0.01,0.689545428752899
"steel-plates","rect",0.5,4,0.727835118770599,1024,0.1,0.688181835412979
"steel-plates","diavolo",0.25,8,0.69484531879425,1024,0.1,0.687727254629135
"steel-plates","rect",0.5,2,0.707216441631317,256,0.1,0.685454541444778
"steel-plates","diavolo",0.25,3,0.711340248584747,256,0.1,0.684545481204986
"steel-plates","diavolo",0.25,3,0.707216501235962,1024,0.1,0.682727289199829
"steel-plates","diavolo",0.5,4,0.721649467945099,1024,0.1,0.682272720336914
"steel-plates","rect",0.25,2,0.69690728187561,256,0.1,0.680454540252685
"steel-plates","rect",0.5,3,0.713402152061462,256,0.1,0.678636354207993
"steel-plates","diavolo",0.25,4,0.707216501235962,1024,0.1,0.675909107923508
"steel-plates","diavolo",0.25,4,0.711340248584747,512,0.1,0.672727274894714
"steel-plates","diavolo",0.5,3,0.715463936328888,1024,0.1,0.670454561710358
"steel-plates","diavolo",0.25,4,0.69484531879425,256,0.1,0.669545465707779
"steel-plates","diavolo",0.5,2,0.670103192329407,256,0.01,0.669090896844864
"steel-plates","diavolo",0.25,2,0.698969066143036,1024,0.1,0.666363644599915
"steel-plates","rect",0.5,3,0.686597943305969,1024,0.1,0.665909105539322
"steel-plates","rect",0.5,2,0.657731950283051,512,0.01,0.664545458555222
"steel-plates","rect",0.25,16,0.657731890678406,512,0.01,0.659090948104858
"steel-plates","diavolo",0.5,3,0.711340248584747,256,0.1,0.659090900421143
"steel-plates","diavolo",0.5,2,0.696907222270966,1024,0.1,0.654999989271164
"steel-plates","diavolo",0.25,2,0.705154597759247,256,0.1,0.654999989271164
"steel-plates","rect",0.5,3,0.672164976596832,256,0.01,0.654545432329178
"steel-plates","diavolo",0.25,2,0.637113392353058,256,0.01,0.654090893268585
