"dataset","valAccuracy","testAccuracy","nblocks","bottleneck","nhidden","blockForm","learningrate"
"statlog-australian-credit",0.734722256660461,0.639534890651703,2,0.5,1024,"diavolo",0.1
"statlog-australian-credit",0.72222226858139,0.610465109348297,2,0.5,256,"rect",0.01
"statlog-australian-credit",0.708333349227905,0.645348846912384,4,0.5,512,"rect",0.1
"statlog-australian-credit",0.706944477558136,0.656976759433746,16,0.5,1024,"diavolo",0.01
"statlog-australian-credit",0.705555588006973,0.622093021869659,2,0.5,512,"diavolo",0.1
"statlog-australian-credit",0.705555576086044,0.651162803173065,3,0.25,512,"rect",0.1
"statlog-australian-credit",0.70555557012558,0.633720934391022,8,0.25,256,"rect",0.1
"statlog-australian-credit",0.70416669845581,0.656976759433746,8,0.25,512,"diavolo",0.01
"statlog-australian-credit",0.695833343267441,0.656976759433746,16,0.5,512,"rect",0.01
"statlog-australian-credit",0.695833331346512,0.633720934391022,8,0.25,512,"diavolo",0.1
"statlog-australian-credit",0.688888907432556,0.651162803173065,4,0.25,1024,"rect",0.01
"statlog-australian-credit",0.688888871669769,0.680232584476471,8,0.25,512,"rect",0.01
"statlog-australian-credit",0.687500029802322,0.680232584476471,4,0.25,512,"diavolo",0.1
"statlog-australian-credit",0.687500017881393,0.610465109348297,8,0.5,256,"rect",0.01
"statlog-australian-credit",0.683333361148834,0.680232584476471,4,0.5,1024,"diavolo",0.1
"statlog-australian-credit",0.683333361148834,0.680232584476471,3,0.5,1024,"diavolo",0.1
"statlog-australian-credit",0.68333335518837,0.633720934391022,3,0.25,1024,"rect",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,16,0.25,512,"diavolo",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,16,0.25,256,"diavolo",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,16,0.5,256,"diavolo",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,8,0.25,1024,"diavolo",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,4,0.5,1024,"rect",0.01
"statlog-australian-credit",0.680555582046509,0.680232584476471,4,0.25,1024,"rect",0.1
"statlog-australian-credit",0.680555582046509,0.680232584476471,3,0.25,1024,"rect",0.01
"statlog-australian-credit",0.680555582046509,0.645348846912384,3,0.25,1024,"diavolo",0.01
"statlog-australian-credit",0.680555582046509,0.67441862821579,3,0.25,1024,"diavolo",0.1
"statlog-australian-credit",0.680555582046509,0.662790715694427,2,0.5,1024,"diavolo",0.01
"statlog-australian-credit",0.680555576086044,0.656976759433746,3,0.5,512,"rect",0.1
"statlog-australian-credit",0.680555576086044,0.680232584476471,4,0.25,1024,"diavolo",0.1
"statlog-australian-credit",0.679166686534882,0.662790715694427,2,0.25,256,"rect",0.1
"statlog-australian-credit",0.679166668653488,0.639534890651703,8,0.5,256,"rect",0.1
"statlog-australian-credit",0.677777802944183,0.686046540737152,2,0.5,256,"diavolo",0.01
"statlog-australian-credit",0.677777791023254,0.656976759433746,2,0.25,1024,"rect",0.1
"statlog-australian-credit",0.677777779102326,0.662790715694427,3,0.25,256,"rect",0.1
"statlog-australian-credit",0.676388913393021,0.668604671955109,8,0.5,512,"diavolo",0.01
"statlog-australian-credit",0.676388913393021,0.680232584476471,8,0.25,256,"diavolo",0.1
"statlog-australian-credit",0.676388913393021,0.633720934391022,3,0.5,256,"rect",0.01
"statlog-australian-credit",0.675000029802323,0.651162803173065,2,0.5,1024,"rect",0.1
"statlog-australian-credit",0.675000005960465,0.680232584476471,4,0.25,512,"rect",0.1
"statlog-australian-credit",0.672222244739533,0.662790715694427,4,0.25,1024,"diavolo",0.01
"statlog-australian-credit",0.672222238779068,0.645348846912384,4,0.5,256,"rect",0.1
"statlog-australian-credit",0.670833361148834,0.668604671955109,3,0.5,512,"diavolo",0.1
"statlog-australian-credit",0.67083335518837,0.668604671955109,16,0.25,1024,"rect",0.01
"statlog-australian-credit",0.668055582046509,0.680232584476471,8,0.5,512,"diavolo",0.1
"statlog-australian-credit",0.668055582046509,0.686046540737152,3,0.5,1024,"rect",0.1
"statlog-australian-credit",0.666666686534882,0.593023240566254,3,0.25,256,"diavolo",0.1
"statlog-australian-credit",0.666666686534882,0.680232584476471,16,0.5,1024,"rect",0.01
"statlog-australian-credit",0.665277802944183,0.622093021869659,2,0.25,512,"diavolo",0.1
"statlog-australian-credit",0.665277791023254,0.67441862821579,8,0.5,256,"diavolo",0.1
"statlog-australian-credit",0.663888901472092,0.662790715694427,2,0.25,256,"diavolo",0.1
"statlog-australian-credit",0.663888901472092,0.627906978130341,4,0.5,512,"diavolo",0.1
"statlog-australian-credit",0.662500023841858,0.680232584476471,4,0.5,256,"diavolo",0.1
"statlog-australian-credit",0.661111128330231,0.668604671955109,2,0.5,256,"rect",0.1
"statlog-australian-credit",0.661111104488373,0.67441862821579,2,0.25,256,"rect",0.01
"statlog-australian-credit",0.656944459676743,0.587209343910217,4,0.25,256,"rect",0.1
"statlog-australian-credit",0.652777791023254,0.67441862821579,16,0.25,1024,"diavolo",0.01
"statlog-australian-credit",0.652777791023254,0.703488409519196,8,0.25,256,"rect",0.01
"statlog-australian-credit",0.651388907432556,0.651162803173065,2,0.5,1024,"rect",0.01
"statlog-australian-credit",0.651388907432556,0.633720934391022,4,0.25,256,"diavolo",0.1
"statlog-australian-credit",0.650000017881393,0.569767415523529,16,0.25,256,"rect",0.01
"statlog-australian-credit",0.648611122369766,0.651162803173065,2,0.25,1024,"diavolo",0.1
"statlog-australian-credit",0.647222256660462,0.563953459262848,3,0.25,256,"rect",0.01
"statlog-australian-credit",0.647222232818604,0.686046540737152,8,0.25,1024,"rect",0.01
"statlog-australian-credit",0.645833343267441,0.639534890651703,3,0.5,256,"diavolo",0.1
"statlog-australian-credit",0.645833343267441,0.651162803173065,3,0.5,512,"diavolo",0.01
"statlog-australian-credit",0.645833343267441,0.598837196826935,4,0.25,256,"rect",0.01
"statlog-australian-credit",0.643055522441864,0.651162803173065,4,0.25,512,"diavolo",0.01
"statlog-australian-credit",0.64027778506279,0.651162803173065,8,0.5,256,"diavolo",0.01
"statlog-australian-credit",0.638888955116272,0.610465109348297,4,0.25,256,"diavolo",0.01
"statlog-australian-credit",0.638888913393021,0.668604671955109,16,0.25,256,"rect",0.1
"statlog-australian-credit",0.6375,0.616279065608978,4,0.5,512,"diavolo",0.01
"statlog-australian-credit",0.636111116409302,0.569767415523529,3,0.25,512,"diavolo",0.01
"statlog-australian-credit",0.636111116409302,0.616279065608978,2,0.5,256,"diavolo",0.1
"statlog-australian-credit",0.630555558204651,0.5,8,0.5,512,"rect",0.01
"statlog-australian-credit",0.630555558204651,0.651162803173065,4,0.5,512,"rect",0.01
"statlog-australian-credit",0.62777778506279,0.668604671955109,8,0.5,1024,"diavolo",0.01
"statlog-australian-credit",0.626388889551163,0.558139562606812,2,0.25,1024,"diavolo",0.01
"statlog-australian-credit",0.625000011920929,0.59883725643158,4,0.25,512,"rect",0.01
"statlog-australian-credit",0.623611110448837,0.593023240566254,4,0.5,1024,"diavolo",0.01
"statlog-australian-credit",0.615277796983719,0.604651153087616,2,0.5,512,"rect",0.1
"statlog-australian-credit",0.61527778506279,0.593023240566254,2,0.25,1024,"rect",0.01
"statlog-australian-credit",0.612500029802323,0.610465109348297,2,0.5,512,"diavolo",0.01
"statlog-australian-credit",0.611111104488373,0.616279065608978,8,0.5,1024,"rect",0.01
"statlog-australian-credit",0.608333361148834,0.680232584476471,16,0.5,256,"rect",0.1
"statlog-australian-credit",0.608333325386047,0.546511590480804,2,0.25,512,"diavolo",0.01
"statlog-australian-credit",0.604166677594185,0.505814015865326,3,0.5,256,"rect",0.1
"statlog-australian-credit",0.600000005960465,0.639534890651703,4,0.5,256,"rect",0.01
"statlog-australian-credit",0.598611128330231,0.593023240566254,3,0.25,256,"diavolo",0.01
"statlog-australian-credit",0.593055558204651,0.668604671955109,2,0.25,512,"rect",0.1
"statlog-australian-credit",0.591666701436043,0.598837196826935,16,0.5,256,"diavolo",0.01
"statlog-australian-credit",0.591666686534882,0.575581431388855,3,0.25,512,"diavolo",0.1
"statlog-australian-credit",0.590277802944183,0.563953459262848,2,0.5,512,"rect",0.01
"statlog-australian-credit",0.587500017881393,0.587209343910217,8,0.25,1024,"diavolo",0.01
"statlog-australian-credit",0.575000008940697,0.639534890651703,3,0.5,1024,"rect",0.01
"statlog-australian-credit",0.572222250699997,0.680232584476471,16,0.5,1024,"diavolo",0.1
"statlog-australian-credit",0.569444453716278,0.482558161020279,3,0.5,512,"rect",0.01
"statlog-australian-credit",0.565277791023254,0.494186073541641,16,0.25,512,"rect",0.01
"statlog-australian-credit",0.563888895511627,0.598837196826935,3,0.25,512,"rect",0.01
"statlog-australian-credit",0.561111116409302,0.656976759433746,3,0.5,256,"diavolo",0.01
"statlog-australian-credit",0.5597222417593,0.534883737564087,16,0.5,512,"diavolo",0.01
"statlog-australian-credit",0.558333364129067,0.587209284305573,16,0.25,256,"diavolo",0.01
"statlog-australian-credit",0.558333352208138,0.598837196826935,2,0.25,512,"rect",0.01
"statlog-australian-credit",0.554166695475578,0.470930248498917,16,0.5,256,"rect",0.01
"statlog-australian-credit",0.552777802944183,0.610465109348297,4,0.5,256,"diavolo",0.01
"statlog-australian-credit",0.552777791023254,0.563953518867493,3,0.5,1024,"diavolo",0.01
"statlog-australian-credit",0.551388910412788,0.680232584476471,4,0.5,1024,"rect",0.1
"statlog-australian-credit",0.548611125349999,0.680232584476471,8,0.25,512,"rect",0.1
"statlog-australian-credit",0.537500017881394,0.569767475128174,2,0.25,256,"diavolo",0.01
"statlog-australian-credit",0.526388898491859,0.57558137178421,16,0.25,512,"diavolo",0.01
"statlog-australian-credit",0.500000029802322,0.319767445325851,16,0.5,512,"rect",0.1
"statlog-australian-credit",0.487500020861626,0.319767445325851,8,0.5,1024,"diavolo",0.1
