"dataset","blockForm","testAccuracy","bottleneck","valAccuracy","nblocks","learningrate","nhidden"
"breast-tissue","rect",0.192307710647583,0.25,0.307142868638039,16,0.1,256
"breast-tissue","diavolo",0.230769246816635,0.25,0.307142867892981,8,0.1,512
"breast-tissue","rect",0.423076957464218,0.25,0.300000014901161,2,0.01,512
"breast-tissue","diavolo",0.538461565971375,0.5,0.300000011920929,4,0.01,256
"breast-tissue","rect",0.192307710647583,0.25,0.300000011920929,2,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.292857155203819,16,0.1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.292857155203819,16,0.1,512
"breast-tissue","diavolo",0.230769246816635,0.5,0.292857155203819,16,0.1,512
"breast-tissue","rect",0.192307710647583,0.5,0.292857155203819,4,1,256
"breast-tissue","diavolo",0.192307710647583,0.5,0.292857155203819,3,1,512
"breast-tissue","diavolo",0.192307710647583,0.5,0.292857155203819,2,1,512
"breast-tissue","diavolo",0.192307710647583,0.5,0.292857155203819,2,1,256
"breast-tissue","diavolo",0.538461565971375,0.25,0.285714304447174,4,0.01,512
"breast-tissue","rect",0.538461565971375,0.25,0.285714299976826,4,0.1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,16,0.1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,16,0.1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,16,0.1,1024
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,16,0.1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,16,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,16,1,1024
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,16,1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,16,1,1024
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,16,1,512
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,16,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,16,1,512
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,16,1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,16,1,256
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,16,1,256
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,16,1,256
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,16,1,256
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,8,0.1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,8,0.1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,8,0.1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,8,0.1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,8,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,8,1,1024
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,8,1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,8,1,1024
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,8,1,512
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,8,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,8,1,512
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,8,1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,8,1,256
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,8,1,256
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,8,1,256
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,8,1,256
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,4,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,4,1,1024
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,4,1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,4,1,1024
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,4,1,512
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,4,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,4,1,512
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,4,1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,4,1,256
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,4,1,256
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,4,1,256
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,3,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,3,1,1024
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,3,1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,3,1,1024
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,3,1,512
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,3,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,3,1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,3,1,256
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,3,1,256
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,3,1,256
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,3,1,256
"breast-tissue","diavolo",0.615384697914124,0.25,0.28571429848671,2,0.01,256
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,2,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,2,1,1024
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,2,1,1024
"breast-tissue","diavolo",0.192307710647583,0.5,0.28571429848671,2,1,1024
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,2,1,512
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,2,1,512
"breast-tissue","rect",0.192307710647583,0.25,0.28571429848671,2,1,256
"breast-tissue","rect",0.192307710647583,0.5,0.28571429848671,2,1,256
"breast-tissue","diavolo",0.192307710647583,0.25,0.28571429848671,2,1,256
"breast-tissue","rect",0.384615421295166,0.25,0.278571440279484,16,0.01,256
"breast-tissue","diavolo",0.538461565971375,0.5,0.27142858505249,2,0.01,256
"breast-tissue","diavolo",0.346153855323792,0.25,0.264285728335381,16,0.01,256
"breast-tissue","rect",0.46153849363327,0.5,0.264285725355148,16,0.01,512
"breast-tissue","rect",0.192307710647583,0.25,0.257142869383097,8,0.1,512
"breast-tissue","rect",0.0384615398943424,0.25,0.257142868638039,4,0.1,1024
"breast-tissue","diavolo",0.615384697914124,0.25,0.250000014901161,2,0.01,512
"breast-tissue","rect",0.115384623408318,0.5,0.242857153713703,16,0.1,256
"breast-tissue","rect",0.269230782985687,0.5,0.235714296251535,4,0.1,512
"breast-tissue","rect",0.15384615957737,0.5,0.228571441024542,8,0.1,256
"breast-tissue","rect",0.15384615957737,0.5,0.214285722374916,4,0.1,1024
"breast-tissue","diavolo",0.15384615957737,0.5,0.207142873108387,4,0.1,1024
"breast-tissue","diavolo",0.269230782985687,0.25,0.207142867147923,16,0.01,1024
"breast-tissue","rect",0.115384623408318,0.5,0.207142867147922,3,0.1,1024
"breast-tissue","rect",0.269230782985687,0.25,0.192857152223587,8,0.1,256
"breast-tissue","rect",0.115384623408318,0.25,0.192857150733471,3,0.1,1024
"breast-tissue","diavolo",0.307692319154739,0.5,0.18571429848671,16,0.01,1024
"breast-tissue","diavolo",0.15384615957737,0.25,0.178571435809135,16,0.1,512
"breast-tissue","diavolo",0.269230782985687,0.5,0.164285722374916,16,0.1,256
"breast-tissue","diavolo",0.115384623408318,0.25,0.164285719394684,16,0.1,256
"breast-tissue","diavolo",0.15384615957737,0.5,0.135714292526245,8,0.1,512
"breast-tissue","diavolo",0.115384623408318,0.25,0.114285719394684,8,0.1,1024
"breast-tissue","diavolo",0.115384623408318,0.5,0.100000004470348,16,0.01,256
