"dataset","nhidden","nblocks","valAccuracy","learningrate","blockForm","bottleneck","testAccuracy"
"soybean",512,4,0.915254235267639,0.1,"rect",0.5,0.867021203041077
"soybean",512,2,0.915254235267639,0.1,"diavolo",0.25,0.872340440750122
"soybean",1024,4,0.905084764957428,0.1,"rect",0.25,0.882978677749634
"soybean",256,8,0.899999982118607,0.1,"diavolo",0.5,0.872340440750122
"soybean",256,8,0.898305058479309,0.1,"diavolo",0.25,0.853723406791687
"soybean",1024,3,0.881356000900269,0.1,"diavolo",0.25,0.869680762290955
"soybean",1024,2,0.881356000900269,0.1,"rect",0.25,0.89361697435379
"soybean",512,3,0.881355941295624,0.1,"rect",0.5,0.864361643791199
"soybean",512,2,0.881355941295624,0.1,"rect",0.5,0.845744609832764
"soybean",512,8,0.881355881690979,0.1,"rect",0.25,0.821808576583862
"soybean",1024,3,0.881355881690979,0.1,"rect",0.25,0.869680881500244
"soybean",512,3,0.881355881690979,0.1,"rect",0.25,0.843085050582886
"soybean",1024,3,0.877966117858887,0.1,"diavolo",0.5,0.882978677749634
"soybean",1024,4,0.877966117858887,0.1,"rect",0.5,0.885638236999512
"soybean",512,4,0.866101735830307,0.1,"diavolo",0.5,0.861702084541321
"soybean",256,8,0.864406824111938,0.1,"rect",0.5,0.843085169792175
"soybean",256,4,0.864406824111938,0.1,"diavolo",0.5,0.845744609832764
"soybean",256,2,0.864406824111938,0.01,"diavolo",0.25,0.808510601520538
"soybean",1024,2,0.864406824111938,0.1,"rect",0.5,0.848404228687286
"soybean",1024,2,0.864406824111938,0.1,"diavolo",0.5,0.853723406791687
"soybean",512,2,0.864406824111938,0.1,"rect",0.25,0.829787135124207
"soybean",1024,4,0.864406764507294,0.1,"diavolo",0.25,0.890957355499268
"soybean",512,4,0.864406764507294,0.1,"rect",0.25,0.859042525291443
"soybean",1024,3,0.864406764507294,0.1,"rect",0.5,0.845744729042053
"soybean",256,3,0.857627153396606,0.1,"diavolo",0.5,0.872340381145477
"soybean",256,2,0.857627111673355,0.1,"rect",0.25,0.893616914749146
