"dataset","bottleneck","nhidden","blockForm","nblocks","learningrate","testAccuracy","valAccuracy"
"pittsburg-bridges-REL-L",0.25,256,"rect",2,0.01,0.769230842590332,0.511111128330231
"pittsburg-bridges-REL-L",0.5,256,"rect",16,0.01,0.692307710647583,0.511111128330231
"pittsburg-bridges-REL-L",0.25,256,"rect",2,0.1,0.692307710647583,0.500000020861626
"pittsburg-bridges-REL-L",0.25,512,"rect",8,0.01,0.730769276618958,0.500000014901161
"pittsburg-bridges-REL-L",0.25,512,"rect",2,0.1,0.807692408561707,0.500000011920929
"pittsburg-bridges-REL-L",0.25,256,"rect",4,0.01,0.653846144676208,0.488888907432556
"pittsburg-bridges-REL-L",0.25,256,"diavolo",4,0.01,0.692307710647583,0.488888907432556
"pittsburg-bridges-REL-L",0.25,512,"rect",4,0.01,0.576923131942749,0.488888904452324
"pittsburg-bridges-REL-L",0.25,1024,"rect",4,0.01,0.769230842590332,0.488888904452324
"pittsburg-bridges-REL-L",0.25,256,"diavolo",16,0.01,0.46153849363327,0.477777788043022
"pittsburg-bridges-REL-L",0.5,256,"rect",3,0.1,0.692307710647583,0.466666680574417
"pittsburg-bridges-REL-L",0.5,256,"diavolo",3,0.1,0.653846144676208,0.466666674613953
"pittsburg-bridges-REL-L",0.25,256,"rect",4,0.1,0.769230842590332,0.455555567145348
"pittsburg-bridges-REL-L",0.25,1024,"rect",2,0.01,0.730769276618958,0.455555567145348
"pittsburg-bridges-REL-L",0.5,1024,"rect",2,0.1,0.538461565971375,0.455555567145348
"pittsburg-bridges-REL-L",0.5,512,"diavolo",4,0.1,0.46153849363327,0.455555564165115
"pittsburg-bridges-REL-L",0.25,512,"rect",3,0.1,0.807692408561707,0.455555564165115
"pittsburg-bridges-REL-L",0.5,1024,"rect",8,0.01,0.730769276618958,0.44444445669651
"pittsburg-bridges-REL-L",0.5,256,"rect",4,0.1,0.807692408561707,0.44444445669651
"pittsburg-bridges-REL-L",0.5,512,"diavolo",4,0.01,0.807692408561707,0.444444450736046
"pittsburg-bridges-REL-L",0.25,256,"diavolo",3,0.01,0.730769276618958,0.444444447755814
"pittsburg-bridges-REL-L",0.25,512,"rect",3,0.01,0.692307710647583,0.411111122369766
"pittsburg-bridges-REL-L",0.5,256,"diavolo",3,0.01,0.730769276618958,0.411111116409302
"pittsburg-bridges-REL-L",0.25,512,"diavolo",8,0.1,0.769230842590332,0.411111114919186
"pittsburg-bridges-REL-L",0.25,1024,"rect",4,0.1,0.115384623408318,0.400000005960464
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",2,0.01,0.769230842590332,0.388888898491859
"pittsburg-bridges-REL-L",0.25,256,"rect",8,0.01,0.692307710647583,0.388888897001743
"pittsburg-bridges-REL-L",0.5,256,"rect",2,0.01,0.230769246816635,0.388888895511627
"pittsburg-bridges-REL-L",0.5,256,"diavolo",16,0.01,0.576923131942749,0.377777786552906
"pittsburg-bridges-REL-L",0.5,256,"diavolo",8,0.1,0.730769276618958,0.366666677594185
"pittsburg-bridges-REL-L",0.25,256,"diavolo",8,0.01,0.615384638309479,0.366666674613953
"pittsburg-bridges-REL-L",0.25,256,"rect",16,0.01,0.500000059604645,0.366666673123836
"pittsburg-bridges-REL-L",0.5,512,"diavolo",8,0.1,0.115384623408318,0.355555561184883
"pittsburg-bridges-REL-L",0.5,1024,"rect",3,0.1,0.115384623408318,0.355555559694767
"pittsburg-bridges-REL-L",0.25,512,"diavolo",16,0.1,0.576923131942749,0.344444452226162
"pittsburg-bridges-REL-L",0.5,512,"diavolo",16,0.01,0.769230842590332,0.333333343267441
"pittsburg-bridges-REL-L",0.25,512,"diavolo",4,0.01,0.615384638309479,0.333333343267441
"pittsburg-bridges-REL-L",0.5,256,"rect",4,0.01,0.692307710647583,0.333333343267441
"pittsburg-bridges-REL-L",0.25,256,"rect",8,0.1,0.576923131942749,0.333333341777325
"pittsburg-bridges-REL-L",0.5,512,"rect",4,0.1,0.692307710647583,0.333333340287209
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",4,0.1,0.307692319154739,0.333333340287209
"pittsburg-bridges-REL-L",0.5,256,"diavolo",16,0.1,0.115384623408318,0.333333338797092
"pittsburg-bridges-REL-L",0.25,512,"rect",4,0.1,0.115384623408318,0.333333338797092
"pittsburg-bridges-REL-L",0.25,256,"diavolo",16,0.1,0.576923131942749,0.322222231328487
"pittsburg-bridges-REL-L",0.5,1024,"rect",4,0.1,0.576923131942749,0.311111117899418
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",8,0.1,0.115384623408318,0.311111116409302
"pittsburg-bridges-REL-L",0.5,256,"rect",8,0.1,0.423076957464218,0.300000007450581
"pittsburg-bridges-REL-L",0.25,1024,"rect",3,0.1,0.576923131942749,0.300000006705523
"pittsburg-bridges-REL-L",0.25,256,"rect",16,0.1,0.307692348957062,0.300000005960465
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",8,0.1,0.115384623408318,0.300000002980232
"pittsburg-bridges-REL-L",0.25,512,"rect",8,0.1,0.576923131942749,0.288888895511627
"pittsburg-bridges-REL-L",0.5,1024,"rect",8,0.1,0.115384623408318,0.288888892531395
"pittsburg-bridges-REL-L",0.25,256,"diavolo",2,1,0.307692319154739,0.277777783572674
"pittsburg-bridges-REL-L",0.25,1024,"rect",8,0.1,0.307692319154739,0.277777780592442
"pittsburg-bridges-REL-L",0.5,512,"rect",8,0.1,0.307692319154739,0.277777780592442
"pittsburg-bridges-REL-L",0.25,256,"rect",3,1,0.307692319154739,0.277777780592442
"pittsburg-bridges-REL-L",0.25,512,"diavolo",2,1,0.307692319154739,0.266666670143604
"pittsburg-bridges-REL-L",0.5,512,"rect",16,0.1,0.307692319154739,0.266666668653488
"pittsburg-bridges-REL-L",0.25,512,"diavolo",3,1,0.307692319154739,0.266666668653488
"pittsburg-bridges-REL-L",0.5,256,"diavolo",2,1,0.307692319154739,0.266666668653488
"pittsburg-bridges-REL-L",0.25,512,"diavolo",3,0.01,0.692307770252228,0.255555559694767
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",2,1,0.307692319154739,0.255555559694767
"pittsburg-bridges-REL-L",0.5,512,"diavolo",16,0.1,0.307692319154739,0.255555558204651
"pittsburg-bridges-REL-L",0.5,1024,"rect",4,1,0.307692319154739,0.255555558204651
"pittsburg-bridges-REL-L",0.25,256,"rect",4,1,0.307692319154739,0.255555558204651
"pittsburg-bridges-REL-L",0.5,256,"diavolo",4,1,0.307692319154739,0.255555558204651
"pittsburg-bridges-REL-L",0.5,512,"rect",3,1,0.307692319154739,0.255555558204651
"pittsburg-bridges-REL-L",0.5,256,"rect",4,1,0.307692319154739,0.244444447755814
"pittsburg-bridges-REL-L",0.25,512,"rect",3,1,0.307692319154739,0.244444447755814
"pittsburg-bridges-REL-L",0.25,256,"diavolo",3,1,0.307692319154739,0.244444447755814
"pittsburg-bridges-REL-L",0.5,256,"diavolo",3,1,0.307692319154739,0.244444447755814
"pittsburg-bridges-REL-L",0.25,512,"rect",2,1,0.307692319154739,0.244444447755814
"pittsburg-bridges-REL-L",0.5,512,"diavolo",2,1,0.307692319154739,0.244444447010756
"pittsburg-bridges-REL-L",0.5,256,"rect",16,0.1,0.307692319154739,0.244444446265697
"pittsburg-bridges-REL-L",0.5,1024,"rect",16,0.1,0.307692319154739,0.244444446265697
"pittsburg-bridges-REL-L",0.25,512,"rect",4,1,0.307692319154739,0.244444446265697
"pittsburg-bridges-REL-L",0.5,512,"rect",4,1,0.307692319154739,0.244444446265697
"pittsburg-bridges-REL-L",0.25,1024,"rect",3,1,0.307692319154739,0.244444446265697
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",16,0.1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,512,"rect",16,0.1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",16,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"rect",4,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,256,"diavolo",4,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",3,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.5,1024,"rect",3,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"rect",2,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",2,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,256,"rect",2,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.5,256,"rect",2,1,0.307692319154739,0.23333333581686
"pittsburg-bridges-REL-L",0.25,1024,"rect",16,0.1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",16,0.1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,1024,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,512,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,512,"diavolo",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"diavolo",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,256,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,256,"diavolo",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,256,"rect",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,256,"diavolo",16,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,1024,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,512,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,512,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,256,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,256,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,256,"rect",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,256,"diavolo",8,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",4,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",4,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.25,512,"diavolo",4,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"diavolo",4,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"diavolo",3,0.01,0.500000059604645,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",3,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"diavolo",3,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,256,"rect",3,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,1024,"rect",2,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"rect",2,1,0.307692319154739,0.222222223877907
"pittsburg-bridges-REL-L",0.5,512,"rect",2,0.01,0.730769276618958,0.188888891041279
