"dataset","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy","nhidden"
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,0.1,0.796078443527222,0.788888961076736,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,0.1,0.764705896377563,0.786324834823608,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,0.1,0.772549033164978,0.786324834823608,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,0.1,0.768627464771271,0.785470145940781,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,0.1,0.745098054409027,0.783760726451874,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,0.1,0.749019622802734,0.782051348686218,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,0.1,0.756862759590149,0.782051348686218,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,0.01,0.764705896377563,0.780341935157776,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,0.1,0.764705896377563,0.779487240314484,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,0.1,0.729411780834198,0.778632545471192,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.01,0.749019622802734,0.777777850627899,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.1,0.760784327983856,0.77435907125473,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.01,0.749019622802734,0.768376135826111,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,0.1,0.737254917621613,0.764102637767792,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,0.1,0.752941191196442,0.760683852434158,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.01,0.745098054409027,0.759829145669937,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,0.1,0.721568644046783,0.759829115867615,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,0.01,0.725490212440491,0.758974391222,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,0.1,0.737254917621613,0.758974391222,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,0.01,0.705882370471954,0.757265055179596,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,0.1,0.733333349227905,0.756410348415375,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,0.1,0.772549033164978,0.756410324573517,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,0.01,0.729411780834198,0.755555617809296,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.01,0.737254917621613,0.752991503477097,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,0.01,0.690196096897125,0.75042741894722,1024
