"dataset","valAccuracy","nhidden","learningrate","bottleneck","blockForm","testAccuracy","nblocks"
"chess-krvkp",0.969515693187714,256,0.01,0.5,"rect",0.964956164360046,4
"chess-krvkp",0.969515657424927,512,0.1,0.25,"diavolo",0.982478141784668,8
"chess-krvkp",0.968945908546448,512,0.01,0.5,"rect",0.974968671798706,2
"chess-krvkp",0.968945848941803,512,0.01,0.25,"rect",0.967459380626678,8
"chess-krvkp",0.968661016225815,1024,0.1,0.5,"diavolo",0.974968791007996,8
"chess-krvkp",0.968091118335724,256,0.01,0.25,"diavolo",0.972465693950653,8
"chess-krvkp",0.967521357536316,512,0.01,0.25,"rect",0.951189041137695,4
"chess-krvkp",0.966951555013657,1024,0.01,0.5,"rect",0.973717153072357,2
"chess-krvkp",0.966381764411926,256,0.01,0.25,"diavolo",0.961201608181,3
"chess-krvkp",0.966096818447113,256,0.01,0.5,"rect",0.951189041137695,8
"chess-krvkp",0.965527069568634,512,0.01,0.5,"rect",0.949937462806702,4
"chess-krvkp",0.965242171287537,1024,0.01,0.5,"rect",0.954943776130676,4
"chess-krvkp",0.962108272314072,256,0.01,0.25,"rect",0.947434306144714,8
"chess-krvkp",0.961538457870484,512,0.1,0.25,"rect",0.963704645633698,16
"chess-krvkp",0.961253571510315,512,0.1,0.5,"rect",0.969962477684021,8
"chess-krvkp",0.959828996658325,256,0.01,0.5,"diavolo",0.948685944080353,8
"chess-krvkp",0.958404529094696,512,0.01,0.25,"rect",0.947434365749359,16
"chess-krvkp",0.957834696769714,256,0.01,0.5,"diavolo",0.954943776130676,4
"chess-krvkp",0.957264959812164,256,0.01,0.25,"diavolo",0.963704645633698,4
"chess-krvkp",0.956695157289505,256,0.01,0.5,"diavolo",0.939924955368042,3
"chess-krvkp",0.956125313043594,1024,0.01,0.5,"rect",0.969962537288666,3
"chess-krvkp",0.954985821247101,512,0.01,0.25,"diavolo",0.954943716526031,2
"chess-krvkp",0.949002766609192,1024,0.01,0.25,"diavolo",0.939924955368042,2
"chess-krvkp",0.946153849363327,256,0.01,0.5,"rect",0.921151459217072,16
"chess-krvkp",0.945584034919739,512,0.01,0.5,"diavolo",0.931164026260376,4
"chess-krvkp",0.945014262199402,512,0.01,0.25,"diavolo",0.937421798706055,8
"chess-krvkp",0.945014244318009,1024,0.01,0.25,"rect",0.959949910640717,16
"chess-krvkp",0.943304824829102,512,0.01,0.5,"diavolo",0.944931209087372,3
"chess-krvkp",0.943019914627075,1024,0.01,0.5,"rect",0.93241560459137,16
"chess-krvkp",0.942735075950623,1024,0.01,0.25,"rect",0.966207802295685,3
"chess-krvkp",0.942165172100067,1024,0.01,0.25,"rect",0.937421798706055,4
"chess-krvkp",0.941880333423615,512,0.01,0.5,"rect",0.93241560459137,16
"chess-krvkp",0.941595411300659,512,0.01,0.5,"diavolo",0.936170220375061,16
"chess-krvkp",0.939886033535004,256,0.01,0.5,"diavolo",0.953692197799683,16
"chess-krvkp",0.934472918510437,1024,0.01,0.25,"diavolo",0.924906194210052,4
"chess-krvkp",0.934472918510437,512,0.01,0.25,"diavolo",0.927409291267395,3
"chess-krvkp",0.933903098106384,1024,0.01,0.5,"rect",0.93241560459137,8
"chess-krvkp",0.932763540744782,512,0.01,0.5,"rect",0.919899940490723,8
"chess-krvkp",0.931339031457901,1024,0.01,0.25,"rect",0.953692138195038,8
"chess-krvkp",0.924216538667679,512,0.01,0.25,"diavolo",0.88861083984375,4
"chess-krvkp",0.922507083415985,512,0.01,0.5,"diavolo",0.926157772541046,2
"chess-krvkp",0.921937334537506,1024,0.01,0.5,"diavolo",0.933667182922363,3
"chess-krvkp",0.919942992925644,512,0.01,0.5,"diavolo",0.918648421764374,8
"chess-krvkp",0.919088292121887,512,0.01,0.25,"diavolo",0.93241560459137,16
"chess-krvkp",0.911395996809006,1024,0.01,0.25,"diavolo",0.899874925613403,3
"chess-krvkp",0.908262085914612,1024,0.01,0.5,"diavolo",0.914893627166748,16
"chess-krvkp",0.907977205514908,1024,0.01,0.25,"diavolo",0.89361709356308,8
"chess-krvkp",0.906552708148956,1024,0.01,0.25,"diavolo",0.90362960100174,16
"chess-krvkp",0.906267780065536,1024,0.01,0.5,"diavolo",0.904881119728088,4
"chess-krvkp",0.88091168999672,1024,0.01,0.5,"diavolo",0.893617033958435,8
"chess-krvkp",0.504273521900177,512,0.1,0.5,"rect",0.523153960704803,16
"chess-krvkp",0.500000014901161,1024,0.1,0.5,"rect",0.523153960704803,8
"chess-krvkp",0.482905986905098,1024,0.1,0.25,"rect",0.476846039295197,16
"chess-krvkp",0.482905986905098,512,1,0.5,"rect",0.476846098899841,4
"chess-krvkp",0.482905986905098,1024,1,0.25,"rect",0.476846039295197,3
"chess-krvkp",0.482905986905098,512,1,0.5,"rect",0.476846039295197,3
"chess-krvkp",0.482905986905098,512,1,0.5,"diavolo",0.476846039295197,3
"chess-krvkp",0.482905986905098,256,1,0.25,"diavolo",0.476846039295197,3
"chess-krvkp",0.482905986905098,256,1,0.5,"rect",0.476846039295197,3
"chess-krvkp",0.482905986905098,512,1,0.25,"rect",0.476846039295197,2
"chess-krvkp",0.482905986905098,512,1,0.25,"diavolo",0.476846039295197,2
"chess-krvkp",0.482905986905098,256,1,0.25,"diavolo",0.476846039295197,2
"chess-krvkp",0.482905986905098,256,1,0.5,"diavolo",0.476846039295197,2
"chess-krvkp",0.482051280140877,1024,1,0.5,"diavolo",0.476846039295197,4
"chess-krvkp",0.480341878533363,256,1,0.25,"diavolo",0.476846039295197,4
"chess-krvkp",0.479202279448509,256,1,0.5,"diavolo",0.476846039295197,8
"chess-krvkp",0.478632479906082,1024,0.1,0.5,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,1024,1,0.25,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,1024,1,0.25,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,1024,1,0.5,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,1024,1,0.5,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,512,1,0.25,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,512,1,0.25,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,512,1,0.5,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,512,1,0.5,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,256,1,0.25,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,256,1,0.25,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,256,1,0.5,"rect",0.476846039295197,16
"chess-krvkp",0.478632479906082,256,1,0.5,"diavolo",0.476846039295197,16
"chess-krvkp",0.478632479906082,1024,0.1,0.25,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,1024,1,0.25,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,1024,1,0.25,"diavolo",0.476846039295197,8
"chess-krvkp",0.478632479906082,1024,1,0.5,"rect",0.476846039295197,8
