"dataset","nhidden","blockForm","bottleneck","learningrate","testAccuracy","nblocks","valAccuracy"
"zoo",1024,"rect",0.25,0.01,1,16,1
"zoo",512,"rect",0.5,0.01,1,16,1
"zoo",1024,"rect",0.25,0.01,0.919999957084656,8,1
"zoo",512,"rect",0.25,0.01,0.959999978542328,8,1
"zoo",512,"diavolo",0.25,0.01,0.959999978542328,8,1
"zoo",512,"rect",0.25,0.01,0.959999978542328,4,1
"zoo",512,"rect",0.5,0.01,0.959999978542328,4,1
"zoo",256,"rect",0.25,0.01,1,4,1
"zoo",1024,"diavolo",0.25,0.1,0.919999957084656,4,1
"zoo",512,"rect",0.5,0.1,1,4,1
"zoo",512,"diavolo",0.5,0.1,0.919999957084656,4,1
"zoo",256,"rect",0.25,0.1,0.879999995231628,4,1
"zoo",256,"diavolo",0.25,0.1,1,4,1
"zoo",256,"diavolo",0.5,0.1,0.919999957084656,4,1
"zoo",1024,"rect",0.25,0.01,0.959999978542328,3,1
"zoo",1024,"rect",0.5,0.01,0.959999978542328,3,1
"zoo",1024,"diavolo",0.5,0.01,0.839999973773956,3,1
"zoo",512,"rect",0.5,0.01,0.919999957084656,3,1
"zoo",256,"rect",0.25,0.01,0.919999957084656,3,1
"zoo",1024,"rect",0.25,0.1,0.959999978542328,3,1
"zoo",1024,"diavolo",0.25,0.1,1,3,1
"zoo",512,"rect",0.5,0.1,1,3,1
"zoo",512,"diavolo",0.25,0.1,0.959999978542328,3,1
"zoo",512,"diavolo",0.5,0.1,1,3,1
"zoo",256,"rect",0.25,0.1,1,3,1
"zoo",256,"rect",0.5,0.1,0.879999995231628,3,1
"zoo",256,"diavolo",0.25,0.1,0.959999978542328,3,1
"zoo",256,"diavolo",0.5,0.1,1,3,1
"zoo",1024,"rect",0.5,0.01,0.959999978542328,2,1
"zoo",1024,"diavolo",0.5,0.01,0.959999978542328,2,1
"zoo",512,"rect",0.25,0.01,0.919999957084656,2,1
"zoo",512,"rect",0.5,0.01,0.959999978542328,2,1
"zoo",512,"diavolo",0.5,0.01,0.959999978542328,2,1
"zoo",256,"rect",0.25,0.01,0.879999995231628,2,1
"zoo",256,"rect",0.5,0.01,0.919999957084656,2,1
"zoo",1024,"rect",0.25,0.1,0.879999995231628,2,1
"zoo",1024,"diavolo",0.25,0.1,1,2,1
"zoo",1024,"diavolo",0.5,0.1,1,2,1
"zoo",512,"rect",0.25,0.1,0.919999957084656,2,1
"zoo",512,"rect",0.5,0.1,1,2,1
"zoo",256,"rect",0.25,0.1,1,2,1
"zoo",256,"rect",0.5,0.1,1,2,1
"zoo",256,"diavolo",0.25,0.1,1,2,1
"zoo",256,"diavolo",0.5,0.1,0.959999978542328,2,1
"zoo",1024,"rect",0.5,0.1,1,2,0.988888895511627
"zoo",512,"diavolo",0.5,0.01,0.879999995231628,8,0.988888895511627
"zoo",256,"rect",0.5,0.1,1,4,0.988888889551163
"zoo",512,"diavolo",0.5,0.1,0.919999957084656,2,0.988888889551163
"zoo",512,"diavolo",0.25,0.1,1,2,0.977777779102325
"zoo",256,"diavolo",0.5,0.01,0.959999978542328,8,0.966666680574417
"zoo",512,"diavolo",0.25,0.1,0.959999978542328,4,0.966666674613953
"zoo",1024,"diavolo",0.5,0.01,0.959999978542328,8,0.966666668653488
"zoo",256,"diavolo",0.25,0.01,0.959999978542328,16,0.95555557012558
"zoo",512,"rect",0.25,0.1,0.919999957084656,3,0.955555558204651
"zoo",1024,"diavolo",0.25,0.01,0.959999978542328,8,0.944444447755813
"zoo",256,"rect",0.5,0.01,0.919999957084656,16,0.922222226858139
"zoo",1024,"diavolo",0.25,0.01,0.919999957084656,3,0.911111164093018
"zoo",256,"rect",0.25,0.01,0.919999957084656,16,0.911111116409302
"zoo",1024,"diavolo",0.5,0.01,1,4,0.911111116409302
"zoo",1024,"rect",0.25,0.01,0.959999978542328,4,0.888888955116272
"zoo",256,"diavolo",0.5,0.01,0.919999957084656,4,0.888888955116272
"zoo",1024,"diavolo",0.25,0.01,0.839999973773956,2,0.888888955116272
"zoo",512,"diavolo",0.25,0.01,1,2,0.888888955116272
"zoo",512,"rect",0.5,0.01,0.959999978542328,8,0.888888913393021
"zoo",1024,"diavolo",0.25,0.01,0.919999957084656,16,0.888888895511627
"zoo",256,"rect",0.5,0.01,1,8,0.888888895511627
"zoo",256,"diavolo",0.25,0.01,1,8,0.888888895511627
"zoo",1024,"rect",0.5,0.01,1,4,0.888888895511627
"zoo",1024,"diavolo",0.25,0.01,0.919999957084656,4,0.888888895511627
"zoo",512,"diavolo",0.5,0.01,0.959999978542328,4,0.888888895511627
"zoo",256,"rect",0.5,0.01,0.919999957084656,3,0.888888895511627
"zoo",1024,"rect",0.25,0.01,1,2,0.888888895511627
"zoo",256,"diavolo",0.5,0.01,0.719999969005585,2,0.888888895511627
"zoo",512,"diavolo",0.25,0.01,0.959999978542328,16,0.87777778506279
