"dataset","bottleneck","nhidden","nblocks","learningrate","valAccuracy","blockForm","testAccuracy"
"conn-bench-sonar-mines-rocks",0.5,1024,3,0.01,0.714814865589142,"diavolo",0.807692348957062
"conn-bench-sonar-mines-rocks",0.25,1024,16,0.01,0.711111164093018,"diavolo",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,1024,16,0.01,0.711111158132553,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.5,512,8,0.01,0.71111114025116,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.5,512,8,0.01,0.707407462596893,"rect",0.673076927661896
"conn-bench-sonar-mines-rocks",0.5,512,4,0.01,0.707407462596893,"rect",0.750000059604645
"conn-bench-sonar-mines-rocks",0.5,512,4,0.1,0.707407462596893,"diavolo",0.807692408561707
"conn-bench-sonar-mines-rocks",0.5,256,4,0.1,0.707407450675964,"rect",0.615384697914124
"conn-bench-sonar-mines-rocks",0.25,512,4,0.01,0.703703761100769,"diavolo",0.75
"conn-bench-sonar-mines-rocks",0.5,1024,4,0.1,0.703703761100769,"diavolo",0.711538553237915
"conn-bench-sonar-mines-rocks",0.25,256,4,0.1,0.703703761100769,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.5,512,16,0.01,0.70000005364418,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.25,1024,8,0.01,0.70000005364418,"diavolo",0.711538553237915
"conn-bench-sonar-mines-rocks",0.25,256,8,0.01,0.70000005364418,"rect",0.615384697914124
"conn-bench-sonar-mines-rocks",0.25,256,2,0.1,0.70000005364418,"rect",0.846153974533081
"conn-bench-sonar-mines-rocks",0.25,512,2,0.01,0.7,"rect",0.846153914928436
"conn-bench-sonar-mines-rocks",0.25,1024,3,0.01,0.696296346187592,"diavolo",0.711538553237915
"conn-bench-sonar-mines-rocks",0.5,512,3,0.1,0.696296328306198,"rect",0.807692348957062
"conn-bench-sonar-mines-rocks",0.25,512,8,0.01,0.692592632770538,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,2,0.1,0.692592620849609,"diavolo",0.807692348957062
"conn-bench-sonar-mines-rocks",0.25,1024,3,0.01,0.688888931274414,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.5,512,3,0.1,0.688888931274414,"diavolo",0.846153855323792
"conn-bench-sonar-mines-rocks",0.5,512,2,0.01,0.685185170173645,"diavolo",0.615384638309479
"conn-bench-sonar-mines-rocks",0.25,256,16,0.01,0.681481516361237,"diavolo",0.692307710647583
"conn-bench-sonar-mines-rocks",0.25,512,4,0.1,0.681481516361236,"rect",0.788461565971375
"conn-bench-sonar-mines-rocks",0.25,512,3,0.1,0.681481510400772,"diavolo",0.788461565971375
"conn-bench-sonar-mines-rocks",0.25,256,4,0.1,0.670370388031006,"rect",0.807692348957062
"conn-bench-sonar-mines-rocks",0.25,512,16,0.01,0.670370346307755,"rect",0.826923131942749
"conn-bench-sonar-mines-rocks",0.25,256,8,0.1,0.666666686534882,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.25,256,4,0.01,0.666666686534881,"diavolo",0.692307710647583
"conn-bench-sonar-mines-rocks",0.25,512,3,0.01,0.662962979078293,"rect",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,512,3,0.01,0.662962979078293,"diavolo",0.750000059604645
"conn-bench-sonar-mines-rocks",0.5,256,16,0.1,0.659259271621704,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.5,256,2,0.01,0.659259271621704,"diavolo",0.634615421295166
"conn-bench-sonar-mines-rocks",0.25,256,3,0.01,0.655555564165115,"rect",0.692307710647583
"conn-bench-sonar-mines-rocks",0.5,256,4,0.01,0.644444447755814,"rect",0.692307710647583
"conn-bench-sonar-mines-rocks",0.5,512,4,0.01,0.640740740299225,"diavolo",0.653846204280853
"conn-bench-sonar-mines-rocks",0.25,256,2,0.01,0.633333373069763,"diavolo",0.653846204280853
"conn-bench-sonar-mines-rocks",0.25,512,8,0.01,0.625925928354263,"diavolo",0.769230842590332
"conn-bench-sonar-mines-rocks",0.5,1024,8,0.01,0.622222220897674,"diavolo",0.673076987266541
"conn-bench-sonar-mines-rocks",0.25,512,2,0.01,0.62222221493721,"diavolo",0.730769276618958
"conn-bench-sonar-mines-rocks",0.25,256,16,0.1,0.622222208976746,"diavolo",0.653846204280853
"conn-bench-sonar-mines-rocks",0.25,512,3,0.01,0.61851851940155,"diavolo",0.634615421295166
"conn-bench-sonar-mines-rocks",0.5,256,4,0.01,0.596296298503876,"diavolo",0.711538553237915
"conn-bench-sonar-mines-rocks",0.25,256,4,0.01,0.592592597007752,"rect",0.653846204280853
"conn-bench-sonar-mines-rocks",0.5,256,3,0.1,0.592592597007751,"diavolo",0.75000011920929
"conn-bench-sonar-mines-rocks",0.25,1024,16,0.1,0.555555552244187,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,16,0.1,0.540740746259689,"diavolo",0.46153849363327
"conn-bench-sonar-mines-rocks",0.25,256,8,1,0.529629617929459,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,16,0.1,0.52222221493721,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,16,1,0.52222221493721,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,16,1,0.52222221493721,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,3,0.1,0.518518513441086,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,16,0.01,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,16,0.1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,16,0.1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,16,0.1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,16,0.1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,16,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,16,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,16,1,0.518518507480621,"rect",0.538461565971375
