"dataset","blockForm","testAccuracy","nblocks","nhidden","learningrate","bottleneck","valAccuracy"
"monks-3","rect",0.583333373069763,8,1024,0.01,0.5,0.9375
"monks-3","diavolo",0.638888955116272,4,512,0.01,0.25,0.921875
"monks-3","diavolo",0.532407462596893,8,1024,0.01,0.25,0.9125
"monks-3","rect",0.648148059844971,16,1024,0.01,0.25,0.90625
"monks-3","diavolo",0.594907402992249,8,1024,0.01,0.5,0.903125
"monks-3","rect",0.641203761100769,4,1024,0.01,0.5,0.8875
"monks-3","rect",0.75,3,1024,0.01,0.5,0.884375
"monks-3","diavolo",0.664351880550385,8,512,0.01,0.5,0.884375
"monks-3","diavolo",0.527777791023254,2,1024,0.01,0.25,0.88125
"monks-3","diavolo",0.694444477558136,2,256,0.01,0.5,0.8625
"monks-3","diavolo",0.715277791023254,3,256,0.01,0.5,0.859375
"monks-3","diavolo",0.821759283542633,2,1024,0.01,0.5,0.853125
"monks-3","diavolo",0.717592537403107,4,512,0.01,0.5,0.85
"monks-3","rect",0.618055582046509,4,1024,0.01,0.25,0.84375
"monks-3","diavolo",0.756944477558136,3,256,0.01,0.25,0.84375
"monks-3","rect",0.763888955116272,4,256,0.01,0.5,0.8375
"monks-3","diavolo",0.694444417953491,8,256,0.01,0.5,0.8375
"monks-3","rect",0.722222208976746,3,256,0.01,0.25,0.834375
"monks-3","diavolo",0.66435182094574,3,512,0.01,0.5,0.83125
"monks-3","diavolo",0.675925970077515,2,512,0.01,0.5,0.8125
"monks-3","diavolo",0.560185194015503,3,1024,0.01,0.25,0.809375
"monks-3","diavolo",0.77314817905426,8,512,0.01,0.25,0.803125
"monks-3","diavolo",0.668981552124023,4,256,0.01,0.25,0.790625
"monks-3","diavolo",0.752314865589142,4,256,0.01,0.5,0.7875
"monks-3","diavolo",0.548611104488373,3,512,0.01,0.25,0.765625
"monks-3","diavolo",0.877314865589142,4,1024,0.1,0.25,0.75
"monks-3","diavolo",0.893518507480621,2,1024,0.1,0.25,0.7375
"monks-3","diavolo",0.881944417953491,3,1024,0.1,0.25,0.721875
"monks-3","diavolo",0.870370268821716,4,512,0.1,0.25,0.71875
"monks-3","rect",0.687500059604645,3,512,0.01,0.5,0.71875
"monks-3","rect",0.75,3,256,0.01,0.5,0.71875
"monks-3","diavolo",0.881944537162781,3,1024,0.1,0.5,0.71875
"monks-3","rect",0.821759223937988,2,256,0.1,0.25,0.71875
"monks-3","rect",0.731481492519379,2,512,0.01,0.25,0.7125
"monks-3","diavolo",0.8125,2,512,0.1,0.25,0.709375
"monks-3","rect",0.872685134410858,16,512,0.01,0.25,0.70625
"monks-3","rect",0.8125,2,512,0.1,0.5,0.703125
"monks-3","rect",0.814814805984497,4,512,0.01,0.25,0.696875
"monks-3","diavolo",0.678240776062012,2,256,0.01,0.25,0.696875
"monks-3","diavolo",0.780092597007751,2,512,0.1,0.5,0.696875
"monks-3","diavolo",0.571759283542633,8,256,0.01,0.25,0.6875
"monks-3","rect",0.824074029922485,2,256,0.01,0.25,0.678125
"monks-3","rect",0.724537014961243,2,256,0.01,0.5,0.671875
"monks-3","diavolo",0.837962925434113,2,256,0.1,0.25,0.671875
"monks-3","rect",0.715277791023254,3,512,0.1,0.25,0.671875
"monks-3","rect",0.800925970077515,8,256,0.01,0.25,0.6625
"monks-3","rect",0.865740656852722,2,256,0.1,0.5,0.6625
"monks-3","rect",0.733796238899231,4,512,0.01,0.5,0.659375
"monks-3","rect",0.682870447635651,4,256,0.1,0.25,0.65625
"monks-3","diavolo",0.662037014961243,4,256,0.1,0.25,0.653125
"monks-3","rect",0.759259223937988,2,1024,0.01,0.25,0.65
"monks-3","rect",0.847222208976746,2,512,0.1,0.25,0.65
"monks-3","diavolo",0.75,3,512,0.1,0.25,0.646875
"monks-3","rect",0.752314805984497,3,256,0.1,0.5,0.64375
"monks-3","rect",0.664351880550385,4,512,0.1,0.25,0.634375
"monks-3","diavolo",0.701388895511627,8,256,0.1,0.25,0.63125
"monks-3","rect",0.828703761100769,2,1024,0.01,0.5,0.63125
"monks-3","diavolo",0.706018567085266,4,256,0.1,0.5,0.628125
"monks-3","rect",0.701388895511627,2,1024,0.1,0.25,0.625
"monks-3","rect",0.80092591047287,2,512,0.01,0.5,0.621875
"monks-3","diavolo",0.842592537403107,4,1024,0.01,0.5,0.621875
"monks-3","rect",0.689814865589142,16,256,0.01,0.25,0.61875
"monks-3","rect",0.800925850868225,3,512,0.1,0.5,0.615625
"monks-3","rect",0.872685194015503,8,512,0.01,0.25,0.6125
"monks-3","diavolo",0.620370388031006,4,512,0.1,0.5,0.6125
"monks-3","rect",0.671296298503876,4,256,0.1,0.5,0.609375
"monks-3","rect",0.759259223937988,8,512,0.01,0.5,0.609375
"monks-3","diavolo",0.780092656612396,2,1024,0.1,0.5,0.609375
"monks-3","diavolo",0.675925970077515,16,512,0.01,0.5,0.60625
"monks-3","diavolo",0.613425970077515,3,256,0.1,0.5,0.60625
"monks-3","diavolo",0.652777791023254,2,256,0.1,0.5,0.603125
"monks-3","rect",0.775462925434113,8,1024,0.01,0.25,0.603125
