"dataset","valAccuracy","learningrate","testAccuracy","blockForm","bottleneck","nblocks","nhidden"
"led-display",0.700943458080292,0.1,0.715999960899353,"diavolo",0.25,8,512
"led-display",0.686792486906052,0.1,0.70799994468689,"rect",0.5,8,256
"led-display",0.686792480945587,0.1,0.691999971866608,"diavolo",0.25,2,512
"led-display",0.684905689954758,0.1,0.720000028610229,"rect",0.25,4,512
"led-display",0.684905683994293,0.1,0.720000028610229,"diavolo",0.5,3,1024
"led-display",0.683962285518646,0.1,0.695999979972839,"rect",0.25,3,512
"led-display",0.682075488567352,0.1,0.728000044822693,"diavolo",0.5,4,1024
"led-display",0.68113209605217,0.1,0.723999977111816,"diavolo",0.5,8,256
"led-display",0.680188685655594,0.1,0.71999990940094,"diavolo",0.25,8,1024
"led-display",0.679245299100876,0.1,0.708000063896179,"diavolo",0.5,3,512
"led-display",0.679245299100876,0.1,0.696000039577484,"rect",0.5,4,256
"led-display",0.679245293140411,0.1,0.712000012397766,"rect",0.5,3,512
"led-display",0.677358508110046,0.1,0.708000063896179,"rect",0.25,3,1024
"led-display",0.677358508110046,0.1,0.699999928474426,"rect",0.25,2,512
"led-display",0.676415091753006,0.1,0.720000028610229,"diavolo",0.25,3,1024
"led-display",0.673584920167923,0.1,0.716000080108643,"rect",0.25,2,1024
"led-display",0.672641533613205,0.1,0.723999977111816,"diavolo",0.5,4,256
"led-display",0.671698129177094,0.1,0.688000023365021,"diavolo",0.25,4,256
"led-display",0.670754742622376,0.1,0.723999977111816,"diavolo",0.25,4,1024
"led-display",0.670754712820053,0.1,0.727999985218048,"diavolo",0.25,3,256
"led-display",0.6698113322258,0.1,0.716000080108643,"rect",0.25,4,1024
"led-display",0.668867939710617,0.1,0.716000020503998,"rect",0.5,2,1024
"led-display",0.668867933750153,0.1,0.691999971866608,"diavolo",0.25,3,512
"led-display",0.668867927789688,0.1,0.719999969005585,"diavolo",0.25,2,1024
"led-display",0.665094357728958,0.1,0.675999999046326,"rect",0.5,4,512
"led-display",0.664150941371918,0.1,0.699999988079071,"rect",0.5,3,1024
"led-display",0.661320757865906,0.1,0.703999996185303,"diavolo",0.25,8,256
"led-display",0.660377377271652,0.1,0.735999941825867,"diavolo",0.5,2,1024
"led-display",0.660377359390259,0.1,0.715999960899353,"rect",0.5,2,256
"led-display",0.654716980457306,0.1,0.695999979972839,"rect",0.25,8,256
"led-display",0.652830183506012,0.1,0.728000044822693,"diavolo",0.5,2,512
"led-display",0.650000011920929,0.1,0.716000020503998,"rect",0.25,2,256
"led-display",0.648113226890564,0.1,0.692000031471252,"diavolo",0.5,4,512
"led-display",0.648113209009171,0.1,0.704000055789948,"rect",0.5,4,1024
"led-display",0.645283007621765,0.01,0.579999983310699,"diavolo",0.5,16,1024
"led-display",0.639622658491135,0.1,0.628000020980835,"rect",0.25,3,256
"led-display",0.634905678033829,0.1,0.720000028610229,"diavolo",0.25,4,512
"led-display",0.633962261676788,0.1,0.671999990940094,"diavolo",0.5,2,256
"led-display",0.63301887512207,0.1,0.684000015258789,"rect",0.25,4,256
"led-display",0.628301894664764,0.1,0.696000039577484,"rect",0.5,2,512
"led-display",0.615094351768494,0.1,0.684000015258789,"rect",0.5,3,256
"led-display",0.615094339847565,0.1,0.668000042438507,"diavolo",0.25,2,256
"led-display",0.615094339847565,0.01,0.65200001001358,"rect",0.5,2,1024
"led-display",0.607547175884247,0.1,0.632000029087067,"diavolo",0.5,3,256
"led-display",0.607547160983086,0.01,0.62799996137619,"rect",0.5,8,1024
