"dataset","nblocks","bottleneck","nhidden","blockForm","learningrate","testAccuracy","valAccuracy"
"lenses",4,0.5,256,"rect",0.01,0.666666686534882,1
"lenses",3,0.5,1024,"rect",0.01,0.833333373069763,1
"lenses",3,0.25,512,"rect",0.01,0.666666686534882,1
"lenses",3,0.5,256,"rect",0.01,0.833333373069763,1
"lenses",2,0.5,1024,"diavolo",0.01,0.833333373069763,1
"lenses",2,0.25,512,"diavolo",0.01,1,1
"lenses",2,0.5,256,"rect",0.01,0.833333373069763,1
"lenses",3,0.25,1024,"rect",0.01,0.666666686534882,0.966666668653488
"lenses",3,0.5,512,"rect",0.01,0.833333373069763,0.966666668653488
"lenses",3,0.25,256,"rect",0.01,0.666666686534882,0.966666668653488
"lenses",2,0.25,512,"rect",0.01,0.666666686534882,0.966666668653488
"lenses",2,0.5,512,"diavolo",0.01,0.666666686534882,0.966666668653488
"lenses",2,0.25,256,"rect",0.01,1,0.966666668653488
"lenses",2,0.5,1024,"rect",0.01,1,0.933333337306976
"lenses",4,0.25,512,"rect",0.01,0.666666686534882,0.933333334326744
"lenses",4,0.5,1024,"rect",0.01,0.833333373069763,0.900000005960464
"lenses",4,0.5,512,"rect",0.01,0.666666686534882,0.900000005960464
"lenses",2,0.25,1024,"rect",0.01,0.666666686534882,0.900000005960464
"lenses",2,0.25,1024,"diavolo",0.01,0.833333373069763,0.900000005960464
"lenses",2,0.5,512,"rect",0.01,1,0.866666674613953
"lenses",4,0.25,1024,"rect",0.01,0.333333343267441,0.766666677594185
"lenses",4,0.25,256,"rect",0.01,0.666666686534882,0.733333346247673
"lenses",3,0.5,512,"diavolo",0.01,0.833333373069763,0.733333346247673
"lenses",3,0.5,256,"diavolo",0.01,0.5,0.700000017881393
"lenses",3,0.5,1024,"diavolo",0.01,0.5,0.666666686534881
"lenses",3,0.25,512,"diavolo",0.01,0.833333373069763,0.666666686534881
"lenses",2,0.25,256,"diavolo",0.01,0.666666686534882,0.666666686534881
"lenses",2,0.5,256,"diavolo",0.01,0.5,0.666666686534881
"lenses",3,0.25,256,"diavolo",0.01,0.833333373069763,0.666666683554649
"lenses",2,0.25,256,"rect",0.1,0.666666686534882,0.666666683554649
"lenses",8,0.25,1024,"rect",0.01,0.333333343267441,0.666666677594185
"lenses",8,0.5,512,"rect",0.01,0.666666686534882,0.633333352208137
"lenses",4,0.25,1024,"diavolo",0.01,0.833333373069763,0.633333352208137
"lenses",4,0.25,256,"diavolo",0.01,0.833333373069763,0.633333352208137
"lenses",4,0.25,512,"diavolo",0.01,0.666666686534882,0.633333349227905
"lenses",8,0.25,256,"rect",0.01,0.833333373069763,0.600000011920929
"lenses",2,0.5,256,"diavolo",0.1,0.5,0.566666683554649
"lenses",4,0.5,512,"diavolo",0.01,0,0.566666683554649
"lenses",2,0.5,256,"rect",0.1,0.666666686534882,0.566666683554649
"lenses",8,0.5,512,"diavolo",0.01,0.833333373069763,0.500000014901161
"lenses",2,0.25,512,"diavolo",0.1,0.666666686534882,0.500000014901161
"lenses",2,0.25,256,"diavolo",0.1,0.666666686534882,0.500000014901161
"lenses",4,0.5,256,"diavolo",0.01,0.5,0.466666680574417
"lenses",2,0.5,512,"diavolo",0.1,0.666666686534882,0.466666680574417
"lenses",8,0.5,1024,"rect",0.01,0.666666686534882,0.466666680574417
"lenses",16,0.25,256,"rect",0.01,0.666666686534882,0.433333346247673
"lenses",3,0.5,256,"rect",0.1,0.666666686534882,0.433333346247673
"lenses",4,0.5,1024,"diavolo",0.01,0.16666667163372,0.400000011920929
"lenses",8,0.25,512,"rect",0.01,0.666666686534882,0.400000011920929
"lenses",3,0.25,1024,"diavolo",0.01,0.666666686534882,0.400000011920929
"lenses",3,0.5,512,"diavolo",0.1,0.666666686534882,0.400000011920929
"lenses",8,0.5,512,"rect",0.1,0.16666667163372,0.400000008940697
"lenses",16,0.25,512,"rect",0.01,0.666666686534882,0.366666677594185
"lenses",16,0.5,512,"rect",0.01,0.16666667163372,0.366666677594185
"lenses",16,0.25,256,"diavolo",0.01,0.16666667163372,0.366666677594185
"lenses",8,0.25,256,"diavolo",0.01,0.666666686534882,0.366666677594185
"lenses",8,0.5,256,"rect",0.01,0.666666686534882,0.366666677594185
"lenses",8,0.25,256,"rect",0.1,0.16666667163372,0.366666677594185
"lenses",4,0.25,256,"diavolo",0.1,0.666666686534882,0.366666677594185
"lenses",3,0.25,256,"rect",0.1,0.333333343267441,0.366666677594185
"lenses",3,0.25,256,"diavolo",0.1,0.666666686534882,0.366666677594185
"lenses",3,0.5,256,"diavolo",0.1,0.666666686534882,0.366666677594185
"lenses",2,0.25,512,"rect",0.1,0.16666667163372,0.366666677594185
"lenses",2,0.5,512,"rect",0.1,0.5,0.366666677594185
"lenses",16,0.25,1024,"diavolo",0.01,0.666666686534882,0.366666677594185
"lenses",16,0.5,1024,"rect",0.1,0.16666667163372,0.366666677594185
"lenses",4,0.25,1024,"rect",0.1,0.16666667163372,0.366666677594185
"lenses",4,0.25,1024,"diavolo",1,0.16666667163372,0.366666677594185
"lenses",3,0.25,512,"rect",0.1,0.16666667163372,0.366666677594185
"lenses",2,0.5,512,"rect",1,0.16666667163372,0.366666677594185
"lenses",16,0.25,1024,"rect",0.01,0.666666686534882,0.333333343267441
"lenses",16,0.5,1024,"rect",0.01,0.16666667163372,0.333333343267441
"lenses",16,0.5,1024,"diavolo",0.01,0.16666667163372,0.333333343267441
"lenses",16,0.25,512,"diavolo",0.01,0.16666667163372,0.333333343267441
"lenses",16,0.5,512,"diavolo",0.01,0.16666667163372,0.333333343267441
