"dataset","nblocks","nhidden","blockForm","valAccuracy","learningrate","testAccuracy","bottleneck"
"image-segmentation",2,1024,"diavolo",0.92600000500679,0.1,0.891904592514038,0.5
"image-segmentation",8,1024,"rect",0.920000010728836,0.01,0.861428439617157,0.5
"image-segmentation",16,512,"rect",0.91999996304512,0.01,0.879523754119873,0.5
"image-segmentation",2,1024,"rect",0.916000014543533,0.1,0.918095171451569,0.5
"image-segmentation",4,512,"diavolo",0.914000016450882,0.1,0.899999856948853,0.25
"image-segmentation",2,1024,"rect",0.912000024318695,0.1,0.911904573440552,0.25
"image-segmentation",3,512,"rect",0.912000024318695,0.1,0.895238041877747,0.25
"image-segmentation",4,512,"diavolo",0.906000024080277,0.1,0.86809515953064,0.5
"image-segmentation",3,256,"diavolo",0.906000000238419,0.1,0.880952298641205,0.25
"image-segmentation",2,256,"rect",0.904000025987625,0.1,0.895714163780212,0.25
"image-segmentation",3,1024,"rect",0.90200001001358,0.01,0.869047522544861,0.25
"image-segmentation",4,1024,"diavolo",0.900000023841858,0.1,0.890476047992706,0.25
"image-segmentation",16,1024,"rect",0.899999976158142,0.01,0.87285703420639,0.5
"image-segmentation",2,512,"rect",0.898000031709671,0.1,0.869999885559082,0.25
"image-segmentation",3,256,"rect",0.898000007867813,0.1,0.85619044303894,0.5
"image-segmentation",16,512,"diavolo",0.897999995946884,0.01,0.877618908882141,0.25
"image-segmentation",3,512,"diavolo",0.896000021696091,0.1,0.878095149993896,0.25
"image-segmentation",3,256,"rect",0.894000023603439,0.1,0.870476007461548,0.25
"image-segmentation",2,1024,"diavolo",0.893999993801117,0.1,0.892857074737549,0.25
"image-segmentation",16,1024,"rect",0.892000007629395,0.01,0.881904661655426,0.25
"image-segmentation",3,512,"diavolo",0.890000015497208,0.1,0.868571281433105,0.5
"image-segmentation",16,512,"diavolo",0.88799998164177,0.01,0.874285578727722,0.5
"image-segmentation",3,1024,"diavolo",0.886000007390976,0.1,0.845238029956818,0.25
"image-segmentation",8,256,"rect",0.883999991416931,0.01,0.861428499221802,0.5
"image-segmentation",8,1024,"diavolo",0.883999985456467,0.01,0.841904699802399,0.5
"image-segmentation",3,1024,"rect",0.88199999332428,0.1,0.892380833625793,0.5
"image-segmentation",4,512,"rect",0.879999995231628,0.1,0.855714201927185,0.25
"image-segmentation",2,256,"diavolo",0.879999995231628,0.01,0.864285588264465,0.5
"image-segmentation",4,256,"rect",0.877999997138977,0.1,0.88095235824585,0.5
"image-segmentation",8,512,"diavolo",0.877999991178513,0.1,0.849999904632568,0.25
"image-segmentation",4,1024,"diavolo",0.87600000500679,0.1,0.850952327251434,0.5
"image-segmentation",2,512,"diavolo",0.875999999046326,0.1,0.86809515953064,0.25
