"dataset","testAccuracy","nhidden","bottleneck","nblocks","blockForm","valAccuracy","learningrate"
"molec-biol-splice",0.855708837509155,1024,0.5,4,"rect",0.852702730894089,0.1
"molec-biol-splice",0.830614864826202,512,0.25,2,"rect",0.842432469129562,0.1
"molec-biol-splice",0.838143050670624,512,0.25,4,"rect",0.841351437568665,0.1
"molec-biol-splice",0.854454278945923,1024,0.25,2,"rect",0.840270334482193,0.1
"molec-biol-splice",0.853199481964111,1024,0.25,4,"diavolo",0.839729756116867,0.1
"molec-biol-splice",0.828105330467224,1024,0.5,3,"rect",0.839459443092346,0.1
"molec-biol-splice",0.834378898143768,256,0.5,4,"rect",0.835945993661881,0.1
"molec-biol-splice",0.829360127449036,1024,0.25,16,"diavolo",0.834864860773087,0.1
"molec-biol-splice",0.839397668838501,1024,0.25,2,"diavolo",0.834324377775192,0.1
"molec-biol-splice",0.849435448646545,1024,0.5,4,"diavolo",0.832432436943054,0.1
"molec-biol-splice",0.845671236515045,1024,0.5,2,"diavolo",0.830270308256149,0.1
"molec-biol-splice",0.838142991065979,512,0.5,3,"rect",0.829459464550018,0.1
"molec-biol-splice",0.850690126419067,512,0.25,3,"rect",0.828918951749802,0.1
"molec-biol-splice",0.848180651664734,256,0.5,2,"rect",0.828648692369461,0.1
"molec-biol-splice",0.834378898143768,256,0.25,2,"rect",0.828108167648315,0.1
"molec-biol-splice",0.843161821365356,512,0.5,4,"diavolo",0.826756769418716,0.1
"molec-biol-splice",0.848180651664734,1024,0.25,3,"diavolo",0.825675702095032,0.1
"molec-biol-splice",0.840652406215668,512,0.5,2,"rect",0.823243296146393,0.1
"molec-biol-splice",0.839397668838501,512,0.5,2,"diavolo",0.823243260383606,0.1
"molec-biol-splice",0.849435389041901,1024,0.5,2,"rect",0.822162169218063,0.1
"molec-biol-splice",0.830614745616913,256,0.25,8,"diavolo",0.821621656417847,0.1
"molec-biol-splice",0.821831881999969,256,0.25,3,"rect",0.820810836553574,0.1
"molec-biol-splice",0.841907143592834,1024,0.5,3,"diavolo",0.819189238548279,0.1
"molec-biol-splice",0.820577204227448,512,0.25,2,"rect",0.818648684024811,0.01
"molec-biol-splice",0.816812992095947,512,0.5,8,"diavolo",0.816486519575119,0.1
"molec-biol-splice",0.824341297149658,512,0.5,3,"diavolo",0.815945988893509,0.1
"molec-biol-splice",0.833124220371246,512,0.25,8,"diavolo",0.81540544629097,0.1
"molec-biol-splice",0.836888372898102,256,0.25,4,"rect",0.812973016500473,0.1
"molec-biol-splice",0.823086559772491,256,0.5,2,"diavolo",0.812973016500473,0.1
"molec-biol-splice",0.823086500167847,512,0.5,4,"rect",0.812973004579544,0.1
"molec-biol-splice",0.81179416179657,256,0.5,8,"rect",0.811081099510193,0.1
"molec-biol-splice",0.833124220371246,1024,0.25,8,"diavolo",0.810540628433228,0.1
"molec-biol-splice",0.818067789077759,256,0.25,16,"diavolo",0.809459453821182,0.1
"molec-biol-splice",0.834378898143768,512,0.25,4,"diavolo",0.805675733089447,0.1
"molec-biol-splice",0.829360127449036,512,0.25,16,"diavolo",0.804054141044617,0.1
"molec-biol-splice",0.82559597492218,256,0.25,2,"rect",0.80216224193573,0.01
