"dataset","valAccuracy","nhidden","blockForm","testAccuracy","nblocks","bottleneck","learningrate"
"energy-y2",0.930487751960755,256,"diavolo",0.87500011920929,2,0.5,0.1
"energy-y2",0.926829218864441,512,"rect",0.895833373069763,3,0.25,0.1
"energy-y2",0.925609707832337,1024,"diavolo",0.880208373069763,2,0.5,0.1
"energy-y2",0.924390196800232,256,"rect",0.854166746139526,2,0.25,0.01
"energy-y2",0.919512152671814,256,"diavolo",0.885416746139526,4,0.25,0.1
"energy-y2",0.910975575447083,1024,"rect",0.885416746139526,2,0.25,0.1
"energy-y2",0.910975575447083,1024,"rect",0.890625,2,0.5,0.1
"energy-y2",0.908536553382874,1024,"rect",0.864583373069763,3,0.25,0.01
"energy-y2",0.904878014326096,1024,"rect",0.880208373069763,3,0.5,0.1
"energy-y2",0.903658509254456,512,"rect",0.848958373069763,4,0.5,0.01
"energy-y2",0.901219487190247,512,"diavolo",0.854166686534882,2,0.5,0.01
"energy-y2",0.898780465126038,256,"rect",0.838541746139526,4,0.5,0.1
"energy-y2",0.895121932029724,512,"diavolo",0.864583373069763,4,0.25,0.1
"energy-y2",0.89512192606926,256,"diavolo",0.875000059604645,3,0.25,0.1
"energy-y2",0.893902409076691,256,"diavolo",0.864583373069763,3,0.5,0.1
"energy-y2",0.892682898044586,1024,"diavolo",0.833333432674408,2,0.25,0.1
"energy-y2",0.892682892084122,512,"rect",0.812500059604645,8,0.5,0.01
"energy-y2",0.891463387012482,512,"diavolo",0.838541686534882,8,0.25,0.01
"energy-y2",0.891463387012482,256,"rect",0.833333432674408,2,0.5,0.1
"energy-y2",0.890243887901306,1024,"rect",0.859375059604645,16,0.25,0.01
"energy-y2",0.890243887901306,256,"diavolo",0.848958432674408,4,0.5,0.1
"energy-y2",0.887804836034775,1024,"rect",0.869791746139526,16,0.5,0.01
"energy-y2",0.885365837812424,512,"diavolo",0.875000059604645,8,0.25,0.1
"energy-y2",0.885365837812424,512,"diavolo",0.880208373069763,3,0.5,0.1
"energy-y2",0.884146332740784,256,"rect",0.880208373069763,8,0.25,0.1
"energy-y2",0.884146320819855,1024,"rect",0.859375,4,0.25,0.01
"energy-y2",0.88292680978775,256,"rect",0.802083373069763,4,0.25,0.1
"energy-y2",0.881707268953324,256,"rect",0.869791746139526,3,0.5,0.01
"energy-y2",0.88170725107193,512,"rect",0.802083432674408,16,0.25,0.01
"energy-y2",0.879268288612366,512,"rect",0.869791686534882,4,0.25,0.1
"energy-y2",0.879268276691437,512,"rect",0.854166686534882,2,0.25,0.1
"energy-y2",0.878048753738404,1024,"diavolo",0.843750059604645,4,0.25,0.1
"energy-y2",0.878048717975617,512,"rect",0.833333373069763,16,0.5,0.01
"energy-y2",0.875609755516052,256,"rect",0.838541686534882,2,0.5,0.01
"energy-y2",0.875609695911408,256,"diavolo",0.833333373069763,4,0.5,0.01
"energy-y2",0.874390244483948,512,"diavolo",0.84375011920929,4,0.5,0.1
"energy-y2",0.874390214681625,512,"rect",0.859375059604645,2,0.5,0.1
"energy-y2",0.874390202760697,512,"diavolo",0.87500011920929,3,0.25,0.1
"energy-y2",0.873170733451843,1024,"diavolo",0.864583373069763,4,0.5,0.1
"energy-y2",0.873170697689057,256,"rect",0.84375,2,0.25,0.1
"energy-y2",0.873170673847199,256,"diavolo",0.864583373069763,8,0.5,0.01
"energy-y2",0.871951192617417,256,"diavolo",0.838541746139526,8,0.25,0.01
"energy-y2",0.870731663703919,256,"rect",0.828125,4,0.5,0.01
"energy-y2",0.867073142528534,512,"diavolo",0.859375059604645,16,0.25,0.1
"energy-y2",0.867073118686676,1024,"diavolo",0.864583373069763,16,0.25,0.01
"energy-y2",0.867073118686676,1024,"diavolo",0.796875,4,0.5,0.01
"energy-y2",0.867073118686676,512,"diavolo",0.85937511920929,3,0.5,0.01
"energy-y2",0.864634120464325,1024,"rect",0.869791686534882,3,0.25,0.1
"energy-y2",0.864634108543396,512,"diavolo",0.848958373069763,2,0.25,0.1
"energy-y2",0.864634096622467,256,"rect",0.838541746139526,16,0.25,0.01
"energy-y2",0.863414585590363,256,"diavolo",0.838541746139526,2,0.25,0.1
"energy-y2",0.862195098400116,256,"rect",0.869791746139526,3,0.25,0.1
"energy-y2",0.859756052494049,1024,"diavolo",0.78125,4,0.25,0.01
"energy-y2",0.858536529541016,512,"rect",0.802083373069763,3,0.25,0.01
"energy-y2",0.857317024469376,256,"rect",0.84375,16,0.5,0.01
"energy-y2",0.856097519397736,1024,"diavolo",0.833333373069763,8,0.25,0.1
"energy-y2",0.856097519397736,512,"diavolo",0.8125,4,0.5,0.01
"energy-y2",0.856097519397736,256,"diavolo",0.869791746139526,2,0.5,0.01
"energy-y2",0.85487802028656,256,"diavolo",0.854166746139526,8,0.25,0.1
"energy-y2",0.85487802028656,512,"rect",0.833333373069763,4,0.5,0.1
"energy-y2",0.85487802028656,1024,"diavolo",0.859375,3,0.25,0.1
"energy-y2",0.854878008365631,256,"diavolo",0.833333373069763,3,0.25,0.01
"energy-y2",0.854878002405167,256,"rect",0.869791746139526,3,0.5,0.1
"energy-y2",0.852438986301422,512,"diavolo",0.817708373069763,2,0.5,0.1
"energy-y2",0.847560942173004,512,"diavolo",0.838541746139526,16,0.25,0.01
"energy-y2",0.845121920108795,1024,"rect",0.880208373069763,4,0.5,0.01
"energy-y2",0.843902403116226,1024,"rect",0.828125059604645,8,0.25,0.01
"energy-y2",0.837804847955704,1024,"rect",0.864583373069763,8,0.5,0.01
"energy-y2",0.837804847955704,512,"rect",0.828125,3,0.5,0.01
"energy-y2",0.837804841995239,1024,"diavolo",0.85937511920929,16,0.5,0.01
"energy-y2",0.837804836034775,512,"diavolo",0.859375,16,0.5,0.01
"energy-y2",0.835365808010101,1024,"diavolo",0.864583432674408,3,0.5,0.1
"energy-y2",0.830487775802612,256,"diavolo",0.838541686534882,8,0.5,0.1
"energy-y2",0.826829254627228,512,"rect",0.854166686534882,8,0.25,0.01
"energy-y2",0.826829254627228,512,"rect",0.770833373069763,4,0.25,0.01
"energy-y2",0.823170721530914,512,"rect",0.78125,2,0.5,0.01
"energy-y2",0.819512170553208,256,"diavolo",0.807291746139526,16,0.5,0.01
"energy-y2",0.817073166370392,1024,"diavolo",0.838541746139526,2,0.25,0.01
"energy-y2",0.814634102582932,1024,"diavolo",0.843750059604645,8,0.5,0.01
"energy-y2",0.814634084701538,256,"diavolo",0.864583373069763,3,0.5,0.01
"energy-y2",0.808536589145661,512,"rect",0.822916686534882,2,0.25,0.01
"energy-y2",0.804877996444702,512,"diavolo",0.838541746139526,2,0.25,0.01
"energy-y2",0.802439004182816,512,"rect",0.807291746139526,3,0.5,0.1
"energy-y2",0.802438974380493,256,"diavolo",0.859375059604645,2,0.25,0.01
"energy-y2",0.801219469308853,1024,"rect",0.796875,3,0.5,0.01
"energy-y2",0.800000005960465,1024,"diavolo",0.807291746139526,3,0.5,0.01
"energy-y2",0.789024364948273,256,"rect",0.8125,8,0.5,0.1
"energy-y2",0.781707280874252,256,"diavolo",0.796875,16,0.25,0.1
"energy-y2",0.77682928442955,256,"rect",0.739583373069763,4,0.25,0.01
"energy-y2",0.773170709609985,1024,"diavolo",0.796875,8,0.25,0.01
"energy-y2",0.768292611837387,256,"rect",0.812500059604645,3,0.25,0.01
"energy-y2",0.765853583812714,1024,"diavolo",0.770833313465118,3,0.25,0.01
"energy-y2",0.760975539684296,256,"diavolo",0.802083373069763,4,0.25,0.01
"energy-y2",0.754877996444702,1024,"rect",0.822916746139526,2,0.5,0.01
"energy-y2",0.749999940395355,512,"diavolo",0.755208373069763,4,0.25,0.01
"energy-y2",0.742682927846908,1024,"rect",0.791666746139526,2,0.25,0.01
"energy-y2",0.735365808010101,256,"rect",0.765625,8,0.5,0.01
"energy-y2",0.726829254627228,256,"diavolo",0.781250059604645,16,0.25,0.01
"energy-y2",0.726829236745834,512,"diavolo",0.671875,8,0.5,0.01
"energy-y2",0.696341413259506,256,"rect",0.708333373069763,8,0.25,0.01
"energy-y2",0.695121943950653,1024,"diavolo",0.708333373069763,2,0.5,0.01
"energy-y2",0.690243899822235,512,"diavolo",0.744791746139526,3,0.25,0.01
"energy-y2",0.647560948133469,512,"diavolo",0.635416686534882,8,0.5,0.1
"energy-y2",0.439024406671524,256,"rect",0.5,16,0.5,0.1
"energy-y2",0.4317073315382,1024,"rect",0.5,4,0.25,0.1
"energy-y2",0.428048795461655,512,"diavolo",0.5,16,0.5,1
"energy-y2",0.428048795461655,1024,"diavolo",0.5,4,0.5,1
"energy-y2",0.425609773397446,1024,"rect",0.5,8,0.5,0.1
"energy-y2",0.420731726288796,1024,"rect",0.5,8,0.25,0.1
"energy-y2",0.420731723308563,1024,"diavolo",0.5,16,0.5,0.1
"energy-y2",0.420731723308563,256,"rect",0.5,3,0.25,1
"energy-y2",0.417073187232018,256,"diavolo",0.5,3,0.25,1
"energy-y2",0.415853679180145,1024,"diavolo",0.5,8,0.5,1
"energy-y2",0.414634168148041,1024,"rect",0.5,16,0.25,0.1
"energy-y2",0.414634168148041,1024,"rect",0.5,16,0.5,0.1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,16,0.25,0.1
"energy-y2",0.414634168148041,512,"rect",0.5,16,0.25,0.1
"energy-y2",0.414634168148041,512,"rect",0.5,16,0.5,0.1
"energy-y2",0.414634168148041,512,"diavolo",0.5,16,0.5,0.1
"energy-y2",0.414634168148041,256,"rect",0.5,16,0.25,0.1
"energy-y2",0.414634168148041,256,"diavolo",0.5,16,0.5,0.1
"energy-y2",0.414634168148041,1024,"rect",0.5,16,0.25,1
"energy-y2",0.414634168148041,1024,"rect",0.5,16,0.5,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,16,0.25,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,16,0.5,1
"energy-y2",0.414634168148041,512,"rect",0.5,16,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,16,0.5,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,16,0.25,1
"energy-y2",0.414634168148041,256,"rect",0.5,16,0.25,1
"energy-y2",0.414634168148041,256,"rect",0.5,16,0.5,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,16,0.25,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,16,0.5,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,8,0.5,0.1
"energy-y2",0.414634168148041,512,"rect",0.5,8,0.25,0.1
"energy-y2",0.414634168148041,1024,"rect",0.5,8,0.25,1
"energy-y2",0.414634168148041,1024,"rect",0.5,8,0.5,1
