"dataset","nblocks","blockForm","bottleneck","valAccuracy","learningrate","nhidden","testAccuracy"
"monks-2",8,"diavolo",0.25,0.666666746139526,1,1024,0.671296298503876
"monks-2",8,"diavolo",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",8,"rect",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",8,"rect",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",8,"diavolo",0.25,0.666666746139526,1,512,0.671296298503876
"monks-2",8,"diavolo",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",8,"rect",0.25,0.666666746139526,1,256,0.671296358108521
"monks-2",8,"rect",0.5,0.666666746139526,1,256,0.671296358108521
"monks-2",8,"diavolo",0.25,0.666666746139526,1,256,0.671296298503876
"monks-2",8,"diavolo",0.5,0.666666746139526,1,256,0.671296358108521
"monks-2",4,"rect",0.25,0.666666746139526,0.01,1024,0.671296358108521
"monks-2",4,"rect",0.5,0.666666746139526,0.01,256,0.689814865589142
"monks-2",4,"rect",0.25,0.666666746139526,0.1,1024,0.671296358108521
"monks-2",4,"rect",0.5,0.666666746139526,0.1,1024,0.671296298503876
"monks-2",4,"diavolo",0.25,0.666666746139526,0.1,1024,0.673611164093018
"monks-2",4,"diavolo",0.5,0.666666746139526,0.1,1024,0.671296358108521
"monks-2",4,"rect",0.25,0.666666746139526,0.1,512,0.655092597007751
"monks-2",4,"rect",0.5,0.666666746139526,0.1,512,0.671296298503876
"monks-2",4,"rect",0.25,0.666666746139526,0.1,256,0.673611164093018
"monks-2",4,"rect",0.5,0.666666746139526,0.1,256,0.675925970077515
"monks-2",4,"rect",0.25,0.666666746139526,1,1024,0.671296298503876
"monks-2",4,"rect",0.5,0.666666746139526,1,1024,0.671296298503876
"monks-2",4,"diavolo",0.25,0.666666746139526,1,1024,0.671296358108521
"monks-2",4,"diavolo",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",4,"rect",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",4,"rect",0.5,0.666666746139526,1,512,0.671296298503876
"monks-2",4,"diavolo",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",4,"diavolo",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",4,"rect",0.25,0.666666746139526,1,256,0.671296358108521
"monks-2",4,"rect",0.5,0.666666746139526,1,256,0.671296358108521
"monks-2",4,"diavolo",0.25,0.666666746139526,1,256,0.671296298503876
"monks-2",4,"diavolo",0.5,0.666666746139526,1,256,0.671296298503876
"monks-2",3,"rect",0.5,0.666666746139526,0.01,1024,0.652777791023254
"monks-2",3,"diavolo",0.5,0.666666746139526,0.01,1024,0.488425940275192
"monks-2",3,"rect",0.5,0.666666746139526,0.01,256,0.673611164093018
"monks-2",3,"diavolo",0.25,0.666666746139526,0.01,256,0.645833373069763
"monks-2",3,"diavolo",0.5,0.666666746139526,0.1,1024,0.65972226858139
"monks-2",3,"rect",0.25,0.666666746139526,0.1,512,0.6875
"monks-2",3,"rect",0.25,0.666666746139526,1,1024,0.671296358108521
"monks-2",3,"rect",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",3,"diavolo",0.25,0.666666746139526,1,1024,0.671296358108521
"monks-2",3,"diavolo",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",3,"rect",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",3,"rect",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",3,"diavolo",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",3,"diavolo",0.5,0.666666746139526,1,512,0.671296298503876
"monks-2",3,"rect",0.25,0.666666746139526,1,256,0.671296358108521
"monks-2",3,"rect",0.5,0.666666746139526,1,256,0.671296298503876
"monks-2",3,"diavolo",0.25,0.666666746139526,1,256,0.671296298503876
"monks-2",3,"diavolo",0.5,0.666666746139526,1,256,0.671296358108521
"monks-2",2,"rect",0.25,0.666666746139526,0.01,1024,0.682870388031006
"monks-2",2,"diavolo",0.5,0.666666746139526,0.01,1024,0.657407402992249
"monks-2",2,"rect",0.25,0.666666746139526,0.01,512,0.659722208976746
"monks-2",2,"rect",0.5,0.666666746139526,0.01,512,0.479166686534882
"monks-2",2,"diavolo",0.25,0.666666746139526,0.01,512,0.622685194015503
"monks-2",2,"rect",0.25,0.666666746139526,0.01,256,0.530092597007751
"monks-2",2,"rect",0.25,0.666666746139526,0.1,1024,0.703703641891479
"monks-2",2,"rect",0.5,0.666666746139526,0.1,1024,0.680555582046509
"monks-2",2,"diavolo",0.25,0.666666746139526,0.1,1024,0.668981492519379
"monks-2",2,"diavolo",0.5,0.666666746139526,0.1,1024,0.694444417953491
"monks-2",2,"rect",0.25,0.666666746139526,0.1,512,0.671296358108521
"monks-2",2,"rect",0.5,0.666666746139526,0.1,512,0.671296298503876
"monks-2",2,"rect",0.25,0.666666746139526,1,1024,0.671296298503876
"monks-2",2,"rect",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",2,"diavolo",0.25,0.666666746139526,1,1024,0.671296298503876
"monks-2",2,"diavolo",0.5,0.666666746139526,1,1024,0.671296358108521
"monks-2",2,"rect",0.25,0.666666746139526,1,512,0.671296358108521
"monks-2",2,"rect",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",2,"diavolo",0.25,0.666666746139526,1,512,0.671296298503876
"monks-2",2,"diavolo",0.5,0.666666746139526,1,512,0.671296358108521
"monks-2",2,"rect",0.25,0.666666746139526,1,256,0.671296358108521
"monks-2",2,"rect",0.5,0.666666746139526,1,256,0.671296298503876
"monks-2",2,"diavolo",0.25,0.666666746139526,1,256,0.671296358108521
"monks-2",2,"diavolo",0.5,0.666666746139526,1,256,0.671296298503876
"monks-2",8,"diavolo",0.5,0.663333410024643,0.01,1024,0.601851880550385
"monks-2",8,"diavolo",0.25,0.663333410024643,0.1,512,0.671296298503876
"monks-2",4,"rect",0.5,0.663333410024643,0.01,1024,0.655092597007751
"monks-2",4,"diavolo",0.25,0.663333410024643,0.1,256,0.682870388031006
"monks-2",3,"rect",0.5,0.663333410024643,0.1,512,0.740740776062012
"monks-2",2,"diavolo",0.25,0.663333410024643,0.1,256,0.638888895511627
"monks-2",16,"diavolo",0.5,0.663333404064178,0.01,1024,0.708333373069763
"monks-2",3,"diavolo",0.25,0.663333404064178,0.1,512,0.645833373069763
"monks-2",3,"diavolo",0.25,0.663333392143249,0.01,1024,0.636574029922485
"monks-2",16,"diavolo",0.5,0.660000073909759,0.01,512,0.643518507480621
"monks-2",3,"diavolo",0.5,0.660000073909759,0.1,512,0.685185253620148
"monks-2",3,"rect",0.5,0.660000073909759,0.1,256,0.678240716457367
"monks-2",3,"diavolo",0.25,0.660000073909759,0.1,256,0.726851880550385
"monks-2",16,"rect",0.5,0.660000067949295,0.01,256,0.65972226858139
"monks-2",4,"diavolo",0.25,0.656666737794876,0.01,256,0.671296358108521
"monks-2",4,"diavolo",0.25,0.656666737794876,0.1,512,0.657407402992249
"monks-2",2,"rect",0.25,0.656666737794876,0.1,256,0.655092656612396
"monks-2",4,"rect",0.25,0.656666713953018,0.01,256,0.615740776062012
"monks-2",4,"rect",0.5,0.650000071525574,0.01,512,0.634259283542633
"monks-2",3,"rect",0.25,0.650000071525574,0.01,1024,0.557870388031006
"monks-2",4,"diavolo",0.25,0.650000065565109,0.01,1024,0.678240776062012
"monks-2",16,"rect",0.5,0.646666729450226,0.01,1024,0.638888895511627
"monks-2",4,"diavolo",0.5,0.646666729450226,0.01,1024,0.645833313465118
"monks-2",2,"diavolo",0.5,0.646666729450226,0.1,256,0.61342591047287
