"dataset","blockForm","nhidden","valAccuracy","bottleneck","nblocks","learningrate","testAccuracy"
"plant-margin","diavolo",1024,0.813529431819916,0.5,8,0.1,0.797500014305115
"plant-margin","rect",512,0.792352956533432,0.25,8,0.1,0.777500033378601
"plant-margin","rect",1024,0.783529424667359,0.5,8,0.1,0.789999961853027
"plant-margin","rect",1024,0.777647078037262,0.5,4,0.1,0.782500028610229
"plant-margin","rect",1024,0.765294170379639,0.25,8,0.1,0.774999976158142
"plant-margin","rect",1024,0.762941199541092,0.25,4,0.1,0.774999976158142
"plant-margin","rect",256,0.758235347270966,0.5,3,0.1,0.724999904632568
"plant-margin","rect",1024,0.755882388353348,0.25,3,0.1,0.745000004768372
"plant-margin","rect",1024,0.737058860063553,0.5,2,0.1,0.749999940395355
"plant-margin","rect",512,0.737058830261231,0.5,4,0.1,0.722499966621399
"plant-margin","rect",256,0.734705895185471,0.25,2,0.1,0.732499957084656
"plant-margin","diavolo",512,0.732352966070175,0.5,3,0.1,0.709999978542328
"plant-margin","rect",512,0.730000013113022,0.25,4,0.1,0.745000004768372
"plant-margin","rect",512,0.728823572397232,0.25,2,0.1,0.762500047683716
"plant-margin","rect",512,0.725882369279862,0.5,2,0.1,0.784999966621399
"plant-margin","diavolo",1024,0.724117684364319,0.25,8,0.1,0.752499997615814
"plant-margin","rect",512,0.718235367536545,0.5,3,0.1,0.737499952316284
"plant-margin","rect",256,0.707647085189819,0.25,3,0.1,0.702499985694885
"plant-margin","diavolo",512,0.705294162034988,0.5,8,0.1,0.727499961853027
"plant-margin","diavolo",512,0.702352976799011,0.25,2,0.1,0.729999899864197
"plant-margin","rect",1024,0.69411768913269,0.25,2,0.1,0.715000033378601
"plant-margin","rect",256,0.693529468774795,0.5,4,0.1,0.702499985694885
"plant-margin","diavolo",512,0.692941200733185,0.25,8,0.1,0.697499930858612
"plant-margin","rect",512,0.691764748096466,0.25,16,0.1,0.669999957084656
"plant-margin","rect",256,0.691176533699036,0.5,2,0.1,0.767499923706055
"plant-margin","diavolo",1024,0.691176515817642,0.5,2,0.1,0.6875
"plant-margin","rect",1024,0.688823544979095,0.5,3,0.1,0.735000014305115
"plant-margin","diavolo",256,0.684117668867111,0.25,2,0.1,0.709999918937683
"plant-margin","diavolo",1024,0.680588287115097,0.5,3,0.1,0.712499976158142
"plant-margin","rect",512,0.680000030994415,0.5,8,0.1,0.737499952316284
"plant-margin","rect",512,0.677647072076798,0.25,3,0.1,0.719999969005585
"plant-margin","rect",256,0.675294160842896,0.25,4,0.1,0.717499971389771
"plant-margin","diavolo",1024,0.674705916643143,0.25,16,0.1,0.740000009536743
"plant-margin","diavolo",512,0.674117708206177,0.5,2,0.1,0.757499933242798
"plant-margin","diavolo",512,0.672352999448776,0.25,16,0.1,0.704999983310699
"plant-margin","diavolo",512,0.672352969646454,0.25,3,0.1,0.725000023841858
"plant-margin","diavolo",256,0.671176511049271,0.25,8,0.1,0.667499959468842
"plant-margin","diavolo",256,0.669411820173264,0.5,2,0.1,0.689999938011169
"plant-margin","rect",256,0.663529449701309,0.25,8,0.1,0.707499980926514
"plant-margin","rect",512,0.662941217422485,0.25,2,0.01,0.707499980926514
"plant-margin","diavolo",256,0.657647103071213,0.25,2,1,0.73499995470047
"plant-margin","diavolo",512,0.656470620632172,0.25,4,0.1,0.712499976158142
"plant-margin","rect",256,0.655294173955917,0.5,8,0.1,0.674999952316284
"plant-margin","rect",256,0.64647062420845,0.25,2,0.01,0.642499983310699
"plant-margin","diavolo",1024,0.645882391929626,0.25,3,0.1,0.710000038146973
"plant-margin","diavolo",1024,0.645294153690338,0.25,2,0.1,0.712499976158142
"plant-margin","diavolo",1024,0.644705927371979,0.5,4,0.1,0.724999964237213
"plant-margin","diavolo",256,0.640000021457672,0.5,3,0.1,0.647499978542328
"plant-margin","diavolo",256,0.636470675468445,0.25,4,0.1,0.704999983310699
"plant-margin","diavolo",256,0.627647089958191,0.25,16,0.1,0.664999961853027
"plant-margin","rect",256,0.61941180229187,0.5,3,0.01,0.667499899864197
"plant-margin","rect",256,0.617647087574005,0.5,2,0.01,0.659999966621399
"plant-margin","rect",512,0.615294164419174,0.5,2,0.01,0.674999952316284
"plant-margin","rect",1024,0.614705926179886,0.5,2,0.01,0.677500009536743
"plant-margin","rect",1024,0.613529467582703,0.25,2,0.01,0.629999995231628
"plant-margin","rect",256,0.608235311508179,0.5,16,0.1,0.614999949932098
"plant-margin","diavolo",512,0.60764707326889,0.5,4,0.1,0.685000002384186
"plant-margin","diavolo",256,0.599411809444428,0.25,3,0.1,0.707499980926514
"plant-margin","rect",512,0.592941188812256,0.25,3,0.01,0.642499983310699
"plant-margin","diavolo",256,0.585294145345688,0.5,4,0.1,0.629999935626984
"plant-margin","diavolo",256,0.582941204309463,0.5,8,0.1,0.667499959468842
"plant-margin","rect",512,0.578235328197479,0.25,4,0.01,0.619999945163727
"plant-margin","diavolo",1024,0.575294172763824,0.25,4,0.1,0.667500019073486
