"dataset","testAccuracy","blockForm","bottleneck","valAccuracy","learningrate","nhidden","nblocks"
"hayes-roth",0.714285731315613,"rect",0.5,0.958823549747467,0.01,256,8
"hayes-roth",0.857142925262451,"rect",0.5,0.92058824300766,0.1,256,4
"hayes-roth",0.928571462631226,"diavolo",0.5,0.917647063732147,0.1,512,2
"hayes-roth",0.785714328289032,"diavolo",0.5,0.917647045850754,0.01,256,8
"hayes-roth",0.821428596973419,"rect",0.25,0.914705872535706,0.01,1024,16
"hayes-roth",0.785714328289032,"diavolo",0.25,0.911764723062515,0.1,512,3
"hayes-roth",0.678571462631226,"rect",0.5,0.908823537826538,0.01,256,16
"hayes-roth",0.821428656578064,"diavolo",0.25,0.900000011920929,0.1,1024,2
"hayes-roth",0.785714328289032,"rect",0.25,0.9,0.01,1024,4
"hayes-roth",0.821428537368774,"diavolo",0.5,0.897058844566345,0.1,1024,3
"hayes-roth",0.857142865657806,"rect",0.25,0.891176480054856,0.1,1024,2
"hayes-roth",0.821428596973419,"diavolo",0.25,0.888235306739807,0.1,1024,3
"hayes-roth",0.821428596973419,"rect",0.25,0.885294133424759,0.1,256,3
"hayes-roth",0.714285731315613,"rect",0.25,0.879411774873734,0.01,1024,8
"hayes-roth",0.857142925262451,"rect",0.5,0.873529422283173,0.01,512,16
"hayes-roth",0.857142925262451,"rect",0.5,0.873529416322708,0.01,512,8
"hayes-roth",0.714285731315613,"rect",0.25,0.873529410362244,0.01,1024,2
"hayes-roth",0.892857193946838,"diavolo",0.5,0.870588254928589,0.1,1024,2
"hayes-roth",0.785714328289032,"rect",0.5,0.870588248968124,0.1,1024,2
"hayes-roth",0.785714328289032,"rect",0.25,0.867647081613541,0.01,256,4
"hayes-roth",0.857142865657806,"rect",0.25,0.864705902338028,0.1,256,2
"hayes-roth",0.821428596973419,"rect",0.5,0.864705896377563,0.01,1024,8
"hayes-roth",0.892857193946838,"rect",0.5,0.864705896377563,0.1,512,2
"hayes-roth",0.714285731315613,"rect",0.25,0.864705890417099,0.01,512,8
"hayes-roth",0.75,"rect",0.25,0.861764711141586,0.1,512,2
"hayes-roth",0.571428596973419,"diavolo",0.5,0.858823579549789,0.01,512,3
"hayes-roth",0.821428596973419,"rect",0.5,0.858823531866074,0.01,1024,16
"hayes-roth",0.821428596973419,"diavolo",0.25,0.855882382392883,0.1,512,4
"hayes-roth",0.857142865657806,"rect",0.25,0.855882370471954,0.1,512,3
"hayes-roth",0.678571462631226,"rect",0.5,0.85588236451149,0.01,1024,4
"hayes-roth",0.75,"diavolo",0.25,0.852941191196442,0.1,512,2
"hayes-roth",0.750000059604645,"diavolo",0.5,0.852941185235977,0.01,1024,8
"hayes-roth",0.75,"diavolo",0.5,0.852941173315048,0.01,512,4
"hayes-roth",0.785714268684387,"rect",0.25,0.850000005960465,0.01,512,4
"hayes-roth",0.892857193946838,"diavolo",0.5,0.847058856487274,0.1,256,3
"hayes-roth",0.75,"diavolo",0.25,0.847058844566345,0.1,256,3
"hayes-roth",0.785714328289032,"diavolo",0.25,0.847058838605881,0.01,1024,16
"hayes-roth",0.857142925262451,"diavolo",0.5,0.844117677211762,0.1,512,4
"hayes-roth",0.75,"rect",0.5,0.841176491975784,0.1,512,3
"hayes-roth",0.821428596973419,"rect",0.25,0.841176474094391,0.01,512,3
"hayes-roth",0.75,"diavolo",0.5,0.838235300779343,0.01,256,4
"hayes-roth",0.750000059604645,"diavolo",0.5,0.835294139385223,0.01,512,8
"hayes-roth",0.928571462631226,"diavolo",0.25,0.835294133424759,0.1,1024,4
"hayes-roth",0.750000059604645,"diavolo",0.5,0.835294133424759,0.1,512,3
"hayes-roth",0.678571462631226,"diavolo",0.25,0.832352954149246,0.01,512,16
