"dataset","testAccuracy","valAccuracy","nblocks","nhidden","bottleneck","learningrate","blockForm"
"page-blocks",0.96052622795105,0.973693060874939,16,256,0.5,0.1,"diavolo"
"page-blocks",0.960526287555695,0.971500837802887,16,512,0.5,0.1,"diavolo"
"page-blocks",0.949561357498169,0.967959523200989,8,512,0.5,0.1,"rect"
"page-blocks",0.955409288406372,0.966610455513001,16,256,0.25,0.1,"diavolo"
"page-blocks",0.951023399829865,0.966273200511932,4,256,0.25,0.1,"rect"
"page-blocks",0.953947305679321,0.963912343978882,3,256,0.25,0.1,"rect"
"page-blocks",0.954678297042847,0.962563252449036,2,256,0.5,0.1,"rect"
"page-blocks",0.952485382556915,0.96138282418251,2,512,0.25,0.1,"rect"
"page-blocks",0.952485322952271,0.960539644956589,8,1024,0.5,0.1,"diavolo"
"page-blocks",0.949561357498169,0.959527838230133,8,256,0.25,0.1,"diavolo"
"page-blocks",0.939327478408813,0.958684694766998,2,256,0.5,0.1,"diavolo"
"page-blocks",0.952485322952271,0.958684676885605,8,256,0.5,0.1,"diavolo"
"page-blocks",0.958333253860474,0.958516043424607,4,512,0.5,0.1,"rect"
"page-blocks",0.958333313465118,0.958516025543213,16,256,0.25,0.1,"rect"
"page-blocks",0.956871271133423,0.958347415924072,4,256,0.5,0.1,"rect"
"page-blocks",0.953947365283966,0.958347415924072,16,512,0.25,0.1,"diavolo"
"page-blocks",0.951754331588745,0.958178770542145,3,256,0.5,0.1,"rect"
"page-blocks",0.945906400680542,0.957504236698151,8,512,0.25,0.1,"rect"
"page-blocks",0.956140279769897,0.957335609197617,8,512,0.5,0.1,"diavolo"
"page-blocks",0.948830366134644,0.957166981697083,2,256,0.25,0.1,"diavolo"
"page-blocks",0.952485322952271,0.957166981697082,4,512,0.25,0.1,"rect"
"page-blocks",0.944444417953491,0.957166975736618,2,512,0.5,0.1,"rect"
"page-blocks",0.953947305679321,0.95682972073555,8,512,0.25,0.1,"diavolo"
"page-blocks",0.937134504318237,0.95632381439209,16,1024,0.25,0.1,"diavolo"
"page-blocks",0.94298243522644,0.955986529588699,3,256,0.5,0.1,"diavolo"
"page-blocks",0.953216314315796,0.955986523628235,3,512,0.5,0.1,"rect"
"page-blocks",0.948099374771118,0.955480641126633,3,1024,0.5,0.1,"rect"
"page-blocks",0.945906400680542,0.954974746704102,8,1024,0.25,0.1,"diavolo"
"page-blocks",0.948099374771118,0.954974734783173,8,256,0.25,0.1,"rect"
"page-blocks",0.950292348861694,0.954637444019318,3,512,0.25,0.1,"rect"
"page-blocks",0.945906400680542,0.953625667095185,3,1024,0.5,0.1,"diavolo"
"page-blocks",0.945906400680542,0.953288412094116,2,1024,0.25,0.1,"rect"
"page-blocks",0.950292348861694,0.953288400173187,4,512,0.5,0.1,"diavolo"
"page-blocks",0.947368383407593,0.953288382291794,4,1024,0.25,0.1,"diavolo"
