"dataset","learningrate","testAccuracy","nhidden","valAccuracy","bottleneck","blockForm","nblocks"
"spect",0.01,0.666666626930237,256,0.889999979734421,0.25,"diavolo",8
"spect",0.01,0.623655915260315,256,0.889999979734421,0.25,"rect",4
"spect",0.01,0.677419364452362,256,0.8799999833107,0.5,"rect",8
"spect",0.01,0.612903237342834,1024,0.869999986886978,0.25,"diavolo",4
"spect",0.01,0.682795703411102,512,0.859999990463257,0.25,"diavolo",16
"spect",0.1,0.596774220466614,512,0.849999994039536,0.25,"rect",3
"spect",0.1,0.682795763015747,1024,0.839999997615814,0.25,"diavolo",2
"spect",0.01,0.612903237342834,256,0.830000001192093,0.5,"diavolo",8
"spect",0.1,0.720430135726929,256,0.830000001192093,0.5,"diavolo",2
"spect",0.01,0.63978499174118,256,0.820000004768372,0.25,"diavolo",4
"spect",0.01,0.596774160861969,256,0.820000004768372,0.5,"diavolo",2
"spect",0.01,0.548387110233307,512,0.820000004768372,0.5,"diavolo",16
"spect",0.01,0.715053796768188,1024,0.800000011920929,0.5,"rect",16
"spect",0.01,0.731182813644409,1024,0.800000011920929,0.25,"rect",3
"spect",0.01,0.634408593177795,1024,0.800000011920929,0.25,"diavolo",2
"spect",0.1,0.731182813644409,512,0.800000011920929,0.5,"diavolo",2
"spect",0.01,0.564516186714172,512,0.790000015497208,0.5,"rect",8
"spect",0.1,0.661290347576141,512,0.790000015497208,0.25,"diavolo",4
"spect",0.01,0.650537610054016,512,0.790000015497208,0.25,"rect",3
"spect",0.01,0.634408593177795,1024,0.790000015497208,0.5,"diavolo",2
"spect",0.1,0.629032254219055,256,0.780000019073486,0.5,"diavolo",4
"spect",0.1,0.677419364452362,256,0.780000019073486,0.5,"rect",3
"spect",0.01,0.591397821903229,512,0.780000019073486,0.5,"diavolo",4
"spect",0.1,0.639784932136536,256,0.780000019073486,0.25,"rect",2
"spect",0.1,0.715053796768188,256,0.770000022649765,0.25,"diavolo",8
"spect",0.1,0.602150559425354,512,0.770000022649765,0.5,"diavolo",4
"spect",0.01,0.666666686534882,1024,0.770000016689301,0.25,"rect",2
"spect",0.1,0.74193549156189,512,0.760000026226044,0.25,"diavolo",2
"spect",0.01,0.677419304847717,512,0.760000026226044,0.5,"diavolo",8
"spect",0.01,0.607526898384094,1024,0.760000026226044,0.5,"diavolo",8
"spect",0.1,0.74193549156189,512,0.760000026226044,0.25,"rect",2
"spect",0.01,0.666666686534882,256,0.760000020265579,0.25,"diavolo",16
"spect",0.1,0.698924720287323,1024,0.760000014305115,0.5,"diavolo",2
"spect",0.01,0.591397881507874,256,0.760000005364418,0.5,"rect",16
"spect",0.01,0.655913949012756,256,0.750000029802322,0.5,"rect",4
"spect",0.1,0.677419364452362,256,0.750000029802322,0.25,"rect",3
"spect",0.01,0.634408533573151,512,0.750000029802322,0.25,"diavolo",2
"spect",0.1,0.682795763015747,512,0.750000029802322,0.25,"diavolo",3
"spect",0.01,0.682795643806458,1024,0.750000029802322,0.5,"rect",8
"spect",0.01,0.693548381328583,256,0.750000023841858,0.5,"diavolo",4
"spect",0.01,0.596774220466614,1024,0.750000023841858,0.25,"diavolo",3
"spect",0.01,0.655914008617401,1024,0.750000005960465,0.25,"diavolo",16
"spect",0.1,0.736559152603149,1024,0.740000033378601,0.25,"diavolo",3
"spect",0.01,0.575268805027008,512,0.740000033378601,0.5,"rect",4
"spect",0.01,0.629032254219055,1024,0.73000003695488,0.5,"rect",3
"spect",0.1,0.74731183052063,512,0.73000003695488,0.5,"rect",2
"spect",0.1,0.709677398204803,256,0.73000003695488,0.5,"rect",2
"spect",0.1,0.682795763015747,256,0.73000003695488,0.5,"rect",4
"spect",0.1,0.688172042369843,256,0.730000030994415,0.5,"diavolo",3
"spect",0.1,0.720430135726929,256,0.730000030994415,0.25,"rect",4
"spect",0.1,0.645161330699921,512,0.730000030994415,0.5,"diavolo",3
"spect",0.01,0.650537610054016,512,0.730000030994415,0.25,"rect",8
"spect",0.01,0.688172042369843,1024,0.730000030994415,0.5,"diavolo",4
"spect",0.1,0.553763449192047,512,0.730000025033951,0.5,"rect",3
"spect",0.01,0.526881694793701,1024,0.730000019073486,0.25,"rect",16
"spect",0.01,0.698924779891968,256,0.730000001192093,0.25,"rect",8
"spect",0.1,0.693548381328583,256,0.720000040531158,0.25,"diavolo",4
"spect",0.01,0.623655915260315,512,0.720000040531158,0.5,"diavolo",3
"spect",0.01,0.650537610054016,1024,0.720000028610229,0.25,"rect",8
"spect",0.1,0.618279576301575,1024,0.720000022649765,0.25,"diavolo",4
"spect",0.01,0.629032254219055,512,0.710000044107437,0.25,"rect",4
"spect",0.01,0.704301059246063,1024,0.710000044107437,0.25,"diavolo",8
"spect",0.01,0.591397821903229,256,0.710000044107437,0.25,"diavolo",3
"spect",0.1,0.693548440933228,256,0.710000044107437,0.25,"diavolo",3
"spect",0.01,0.61827951669693,256,0.710000038146973,0.25,"rect",2
"spect",0.1,0.645161271095276,256,0.710000026226044,0.5,"diavolo",8
"spect",0.01,0.51075267791748,1024,0.71000000834465,0.5,"diavolo",16
"spect",0.01,0.682795703411102,512,0.700000047683716,0.25,"diavolo",8
"spect",0.01,0.618279576301575,512,0.700000047683716,0.25,"diavolo",4
"spect",0.01,0.639784932136536,512,0.700000047683716,0.25,"diavolo",3
"spect",0.01,0.61290317773819,256,0.700000047683716,0.25,"rect",3
"spect",0.01,0.655913949012756,256,0.700000047683716,0.5,"rect",3
"spect",0.01,0.709677457809448,1024,0.700000047683716,0.5,"rect",2
"spect",0.01,0.655914008617401,512,0.700000047683716,0.5,"rect",2
"spect",0.01,0.569892466068268,512,0.700000047683716,0.5,"diavolo",2
"spect",0.1,0.677419424057007,256,0.700000047683716,0.25,"diavolo",2
"spect",0.01,0.650537610054016,512,0.700000041723251,0.5,"rect",16
"spect",0.1,0.677419304847717,512,0.690000033378601,0.25,"diavolo",8
"spect",0.01,0.634408593177795,1024,0.680000042915344,0.25,"rect",4
"spect",0.01,0.672042965888977,256,0.680000042915344,0.5,"rect",2
"spect",0.01,0.650537669658661,1024,0.680000030994415,0.5,"rect",4
"spect",0.01,0.645161271095276,256,0.670000040531158,0.5,"diavolo",16
"spect",0.01,0.591397821903229,256,0.670000040531158,0.5,"diavolo",3
"spect",0.1,0.548387110233307,1024,0.670000016689301,0.5,"diavolo",3
"spect",0.01,0.720430135726929,1024,0.650000035762787,0.5,"diavolo",3
"spect",0.01,0.698924779891968,512,0.650000035762787,0.25,"rect",2
"spect",0.01,0.580645203590393,256,0.630000028014183,0.25,"rect",16
"spect",0.01,0.650537610054016,512,0.620000028610229,0.5,"rect",3
"spect",0.1,0.451612889766693,1024,0.610000026226044,0.5,"diavolo",16
"spect",1,0.548387110233307,256,0.610000026226044,0.5,"rect",4
"spect",0.1,0.548387110233307,512,0.610000020265579,0.5,"diavolo",16
"spect",1,0.548387110233307,256,0.610000020265579,0.25,"diavolo",4
"spect",0.1,0.548387110233307,1024,0.600000023841858,0.25,"rect",16
"spect",0.1,0.548387050628662,1024,0.600000023841858,0.25,"diavolo",16
"spect",0.1,0.548387110233307,1024,0.600000023841858,0.5,"rect",16
"spect",0.1,0.548387050628662,512,0.600000023841858,0.25,"rect",16
"spect",0.1,0.548387050628662,512,0.600000023841858,0.5,"rect",16
"spect",0.1,0.548387110233307,256,0.600000023841858,0.5,"rect",16
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"rect",16
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"diavolo",16
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"rect",16
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"diavolo",16
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"rect",16
"spect",1,0.548387050628662,512,0.600000023841858,0.25,"diavolo",16
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"rect",16
"spect",1,0.548387050628662,512,0.600000023841858,0.5,"diavolo",16
"spect",1,0.548387110233307,256,0.600000023841858,0.25,"rect",16
"spect",1,0.548387110233307,256,0.600000023841858,0.25,"diavolo",16
"spect",1,0.548387050628662,256,0.600000023841858,0.5,"rect",16
"spect",1,0.548387050628662,256,0.600000023841858,0.5,"diavolo",16
"spect",0.1,0.548387110233307,1024,0.600000023841858,0.25,"rect",8
"spect",0.1,0.548387110233307,1024,0.600000023841858,0.5,"rect",8
"spect",0.1,0.548387110233307,1024,0.600000023841858,0.5,"diavolo",8
"spect",0.1,0.548387110233307,512,0.600000023841858,0.5,"rect",8
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"rect",8
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"diavolo",8
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"rect",8
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"diavolo",8
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"rect",8
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"diavolo",8
"spect",1,0.548387050628662,512,0.600000023841858,0.5,"rect",8
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"diavolo",8
"spect",1,0.548387050628662,256,0.600000023841858,0.25,"rect",8
"spect",1,0.548387110233307,256,0.600000023841858,0.25,"diavolo",8
"spect",1,0.548387050628662,256,0.600000023841858,0.5,"rect",8
"spect",1,0.548387110233307,256,0.600000023841858,0.5,"diavolo",8
"spect",1,0.548387050628662,1024,0.600000023841858,0.25,"rect",4
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"diavolo",4
"spect",1,0.548387050628662,1024,0.600000023841858,0.5,"rect",4
"spect",1,0.548387050628662,1024,0.600000023841858,0.5,"diavolo",4
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"rect",4
"spect",1,0.548387050628662,512,0.600000023841858,0.25,"diavolo",4
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"rect",4
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"diavolo",4
"spect",1,0.548387110233307,256,0.600000023841858,0.25,"rect",4
"spect",1,0.548387110233307,256,0.600000023841858,0.5,"diavolo",4
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"rect",3
"spect",1,0.548387050628662,1024,0.600000023841858,0.25,"diavolo",3
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"rect",3
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"diavolo",3
"spect",1,0.548387050628662,512,0.600000023841858,0.25,"rect",3
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"diavolo",3
"spect",1,0.548387050628662,512,0.600000023841858,0.5,"rect",3
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"diavolo",3
"spect",1,0.548387050628662,256,0.600000023841858,0.25,"rect",3
"spect",1,0.548387050628662,256,0.600000023841858,0.25,"diavolo",3
"spect",1,0.548387110233307,256,0.600000023841858,0.5,"rect",3
"spect",1,0.548387110233307,256,0.600000023841858,0.5,"diavolo",3
"spect",0.01,0.618279576301575,256,0.600000023841858,0.25,"diavolo",2
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"rect",2
"spect",1,0.548387110233307,1024,0.600000023841858,0.25,"diavolo",2
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"rect",2
"spect",1,0.548387110233307,1024,0.600000023841858,0.5,"diavolo",2
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"rect",2
"spect",1,0.548387110233307,512,0.600000023841858,0.25,"diavolo",2
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"rect",2
"spect",1,0.548387110233307,512,0.600000023841858,0.5,"diavolo",2
"spect",1,0.548387110233307,256,0.600000023841858,0.25,"rect",2
"spect",1,0.548387050628662,256,0.600000023841858,0.25,"diavolo",2
"spect",1,0.548387050628662,256,0.600000023841858,0.5,"rect",2
"spect",1,0.548387110233307,256,0.600000023841858,0.5,"diavolo",2
"spect",0.1,0.548387110233307,256,0.580000022053719,0.25,"rect",16
"spect",0.1,0.548387050628662,256,0.580000022053719,0.5,"diavolo",16
"spect",0.1,0.548387110233307,512,0.580000022053719,0.25,"rect",8
"spect",0.1,0.548387110233307,1024,0.580000022053719,0.25,"rect",4
"spect",0.1,0.548387110233307,1024,0.580000022053719,0.5,"rect",4
"spect",0.1,0.548387110233307,256,0.570000016689301,0.5,"rect",8
"spect",0.1,0.548387050628662,512,0.560000020265579,0.5,"diavolo",8
"spect",0.1,0.451612919569016,256,0.54000001847744,0.25,"diavolo",16
"spect",0.1,0.548387110233307,256,0.54000001847744,0.25,"rect",8
"spect",0.1,0.548387050628662,1024,0.530000016093254,0.25,"rect",2
"spect",0.1,0.451612889766693,512,0.520000016689301,0.25,"diavolo",16
"spect",0.1,0.451612919569016,1024,0.520000016689301,0.5,"diavolo",4
"spect",0.1,0.548387110233307,1024,0.520000016689301,0.5,"rect",3
"spect",0.1,0.559139847755432,512,0.520000016689301,0.5,"rect",4
"spect",0.1,0.451612919569016,1024,0.500000014901161,0.25,"diavolo",8
"spect",0.1,0.446236550807953,512,0.500000014901161,0.25,"rect",4
"spect",0.1,0.451612919569016,1024,0.500000014901161,0.25,"rect",3
"spect",0.1,0.451612889766693,1024,0.48000001013279,0.5,"rect",2
"spect",0.01,0.639784932136536,512,0.460000005364418,0.25,"rect",16
