"dataset","testAccuracy","valAccuracy","learningrate","blockForm","bottleneck","nblocks","nhidden"
"miniboone",0.925422251224518,0.927585631608963,0.01,"rect",0.5,2,256
"miniboone",0.925545156002045,0.927505052089691,0.1,"rect",0.5,16,256
"miniboone",0.927052140235901,0.927243191003799,0.1,"diavolo",0.25,16,1024
"miniboone",0.925760507583618,0.926491093635559,0.1,"rect",0.25,4,1024
"miniboone",0.922900319099426,0.926329910755157,0.1,"diavolo",0.5,16,512
"miniboone",0.926437079906464,0.926323223114014,0.1,"diavolo",0.5,16,256
"miniboone",0.924868583679199,0.92624933719635,0.01,"diavolo",0.25,16,256
"miniboone",0.92588347196579,0.926021027565002,0.1,"rect",0.5,4,1024
"miniboone",0.926129460334778,0.925927019119263,0.1,"diavolo",0.25,16,256
"miniboone",0.927328884601593,0.925859880447388,0.1,"diavolo",0.5,8,1024
"miniboone",0.922623515129089,0.925826305150986,0.1,"diavolo",0.25,16,512
"miniboone",0.924899339675903,0.925631558895111,0.1,"rect",0.25,8,512
"miniboone",0.921178162097931,0.925584548711777,0.1,"rect",0.5,2,256
"miniboone",0.923269391059875,0.925470381975174,0.1,"rect",0.5,8,512
"miniboone",0.924991548061371,0.92541669011116,0.1,"rect",0.25,16,256
"miniboone",0.922838807106018,0.925195091962814,0.1,"diavolo",0.5,8,512
"miniboone",0.923915266990662,0.925127899646759,0.1,"diavolo",0.25,4,512
"miniboone",0.926590800285339,0.925060772895813,0.1,"rect",0.25,2,256
"miniboone",0.92603725194931,0.92498020529747,0.01,"diavolo",0.5,16,256
"miniboone",0.920440018177032,0.924704885482788,0.01,"rect",0.25,2,512
"miniboone",0.920193910598755,0.924671310186386,0.01,"diavolo",0.25,3,256
"miniboone",0.921700954437256,0.924503427743912,0.1,"diavolo",0.25,2,256
"miniboone",0.924837827682495,0.924369114637375,0.01,"diavolo",0.25,8,256
"miniboone",0.923146367073059,0.924362397193909,0.1,"rect",0.5,2,1024
"miniboone",0.92517614364624,0.924248266220093,0.01,"diavolo",0.25,2,256
"miniboone",0.922131478786469,0.92401996254921,0.1,"diavolo",0.5,3,1024
"miniboone",0.921700894832611,0.924006539583206,0.01,"diavolo",0.25,4,256
"miniboone",0.923915266990662,0.923959511518478,0.1,"rect",0.25,8,256
"miniboone",0.919363558292389,0.923919248580933,0.1,"diavolo",0.25,8,1024
"miniboone",0.919855654239655,0.923905783891678,0.1,"diavolo",0.25,8,256
"miniboone",0.920962870121002,0.923758071660996,0.1,"diavolo",0.25,3,512
"miniboone",0.921239614486694,0.923670780658722,0.1,"rect",0.25,4,512
"miniboone",0.916872560977936,0.923610323667526,0.1,"diavolo",0.5,4,256
"miniboone",0.92105507850647,0.923596900701523,0.1,"rect",0.5,4,512
"miniboone",0.923884510993958,0.923596894741058,0.1,"rect",0.25,3,1024
"miniboone",0.925545156002045,0.923543190956116,0.1,"rect",0.5,8,256
"miniboone",0.919917166233063,0.923523020744324,0.1,"diavolo",0.25,3,256
"miniboone",0.924007534980774,0.923489481210709,0.1,"diavolo",0.25,8,512
"miniboone",0.924468815326691,0.923422294855118,0.1,"diavolo",0.5,3,256
"miniboone",0.921085834503174,0.923408895730972,0.01,"rect",0.5,3,256
"miniboone",0.919332802295685,0.923382019996643,0.1,"rect",0.25,3,256
"miniboone",0.925206899642944,0.923261153697968,0.1,"diavolo",0.25,4,256
"miniboone",0.922900319099426,0.92317385673523,0.1,"rect",0.25,3,512
"miniboone",0.925575971603394,0.923153710365296,0.1,"diavolo",0.25,2,512
"miniboone",0.918564021587372,0.923153698444366,0.1,"diavolo",0.25,2,1024
"miniboone",0.924960911273956,0.923140287399292,0.01,"diavolo",0.5,4,256
"miniboone",0.91828715801239,0.92314025759697,0.01,"diavolo",0.5,3,256
"miniboone",0.9205322265625,0.923113411664963,0.1,"rect",0.5,3,1024
"miniboone",0.917702913284302,0.92301270365715,0.1,"diavolo",0.25,3,1024
"miniboone",0.919025301933289,0.922992563247681,0.1,"rect",0.25,2,512
"miniboone",0.923269391059875,0.92297243475914,0.01,"rect",0.5,2,512
"miniboone",0.918840825557709,0.922945529222488,0.1,"diavolo",0.5,3,512
"miniboone",0.917272329330444,0.922938853502274,0.01,"rect",0.5,4,256
"miniboone",0.923177123069763,0.922938841581345,0.01,"rect",0.25,2,1024
"miniboone",0.92210066318512,0.922925388813019,0.1,"rect",0.25,2,1024
"miniboone",0.913766324520111,0.922858244180679,0.01,"rect",0.25,3,256
"miniboone",0.919363617897034,0.922737383842468,0.01,"diavolo",0.5,3,512
"miniboone",0.92071670293808,0.922663527727127,0.1,"diavolo",0.5,2,512
"miniboone",0.921823978424072,0.922623217105865,0.1,"diavolo",0.5,2,256
"miniboone",0.924068927764893,0.922616499662399,0.1,"rect",0.5,3,512
"miniboone",0.921331882476807,0.92259635925293,0.1,"diavolo",0.5,8,256
"miniboone",0.923515439033508,0.922569531202316,0.01,"rect",0.25,16,256
"miniboone",0.922408282756805,0.922556072473526,0.01,"diavolo",0.5,2,256
"miniboone",0.918010473251343,0.922535955905914,0.01,"rect",0.5,16,256
"miniboone",0.92120885848999,0.922515773773193,0.01,"rect",0.25,4,256
"miniboone",0.922377526760101,0.922462064027786,0.01,"rect",0.5,2,1024
"miniboone",0.922715842723846,0.922441917657852,0.1,"rect",0.5,2,512
"miniboone",0.922592878341675,0.922401660680771,0.1,"rect",0.25,4,256
"miniboone",0.923115611076355,0.922374784946442,0.1,"rect",0.5,4,256
"miniboone",0.914104700088501,0.922374761104584,0.01,"rect",0.25,2,256
"miniboone",0.9234539270401,0.922327756881714,0.01,"rect",0.5,3,512
"miniboone",0.921762406826019,0.922300887107849,0.1,"diavolo",0.5,2,1024
"miniboone",0.919671177864075,0.922240471839905,0.1,"rect",0.5,3,256
"miniboone",0.921977639198303,0.922133022546768,0.1,"diavolo",0.5,4,1024
"miniboone",0.922285258769989,0.921998739242554,0.01,"rect",0.25,16,1024
"miniboone",0.922162175178528,0.921803975105286,0.1,"diavolo",0.5,4,512
"miniboone",0.920562982559204,0.921777123212814,0.01,"diavolo",0.25,2,512
"miniboone",0.919240593910217,0.921676409244537,0.01,"diavolo",0.25,4,512
"miniboone",0.922531247138977,0.921636128425598,0.01,"rect",0.5,4,512
"miniboone",0.921362638473511,0.921609258651733,0.01,"rect",0.25,4,512
"miniboone",0.920163154602051,0.921528649330139,0.01,"diavolo",0.5,16,512
"miniboone",0.917918145656586,0.921340644359589,0.01,"diavolo",0.25,3,512
"miniboone",0.917948961257935,0.921307069063187,0.01,"rect",0.5,8,256
"miniboone",0.917948961257935,0.921266788244247,0.1,"diavolo",0.25,4,1024
"miniboone",0.917487621307373,0.921186226606369,0.01,"rect",0.25,3,512
"miniboone",0.917272329330444,0.921166056394577,0.01,"diavolo",0.5,8,1024
"miniboone",0.916165173053741,0.921051901578903,0.01,"rect",0.25,3,1024
"miniboone",0.918902337551117,0.921004903316498,0.01,"diavolo",0.25,2,1024
"miniboone",0.920224666595459,0.920937764644623,0.01,"rect",0.25,8,256
"miniboone",0.921362638473511,0.920910888910294,0.01,"rect",0.5,3,1024
"miniboone",0.912843704223633,0.920830327272415,0.01,"rect",0.5,16,1024
"miniboone",0.917672097682953,0.920749735832215,0.01,"diavolo",0.5,2,512
"miniboone",0.921178042888641,0.920407283306122,0.01,"diavolo",0.5,2,1024
"miniboone",0.914442956447601,0.920373684167862,0.01,"diavolo",0.5,8,256
"miniboone",0.923023283481598,0.920340096950531,0.01,"diavolo",0.25,8,512
"miniboone",0.918194949626923,0.920051383972168,0.01,"diavolo",0.5,8,512
"miniboone",0.917672157287598,0.920004367828369,0.01,"rect",0.5,8,1024
"miniboone",0.917948961257935,0.919849920272827,0.01,"rect",0.5,4,1024
"miniboone",0.921700835227966,0.919836497306824,0.01,"diavolo",0.25,8,1024
"miniboone",0.912382423877716,0.919823056459427,0.01,"diavolo",0.25,16,512
"miniboone",0.913551092147827,0.919715619087219,0.01,"diavolo",0.5,16,1024
"miniboone",0.917702853679657,0.919688761234283,0.01,"diavolo",0.5,4,1024
"miniboone",0.920932054519653,0.91948059797287,0.01,"rect",0.5,8,512
"miniboone",0.910721659660339,0.91938658952713,0.01,"diavolo",0.5,4,512
"miniboone",0.91828715801239,0.919211995601654,0.01,"rect",0.25,16,512
"miniboone",0.918102741241455,0.919017273187637,0.01,"rect",0.25,4,1024
"miniboone",0.919363558292389,0.918956810235977,0.01,"rect",0.25,8,1024
"miniboone",0.916903257369995,0.918929970264435,0.01,"diavolo",0.25,16,1024
"miniboone",0.919117450714111,0.918473321199417,0.01,"diavolo",0.25,3,1024
"miniboone",0.918686985969543,0.918352490663529,0.01,"diavolo",0.5,3,1024
"miniboone",0.917579770088196,0.918285310268402,0.01,"rect",0.25,8,512
"miniboone",0.914104640483856,0.918117445707321,0.01,"rect",0.5,16,512
"miniboone",0.916749477386475,0.916700577735901,0.01,"diavolo",0.25,4,1024
"miniboone",0.861392080783844,0.864054822921753,0.1,"diavolo",0.5,16,1024
"miniboone",0.280600249767303,0.395145100355148,0.1,"rect",0.25,8,1024
"miniboone",0.280600249767303,0.278538829088211,1,"diavolo",0.25,4,1024
"miniboone",0.280600249767303,0.278538826107979,1,"rect",0.5,16,1024
"miniboone",0.280600249767303,0.278538826107979,1,"rect",0.25,8,512
"miniboone",0.280600249767303,0.278538826107979,1,"rect",0.25,2,512
"miniboone",0.280600279569626,0.278538826107979,1,"rect",0.25,2,1024
"miniboone",0.280600249767303,0.278538823127747,0.1,"rect",0.25,16,1024
"miniboone",0.280600249767303,0.278538823127747,0.1,"rect",0.5,16,1024
"miniboone",0.280600249767303,0.278538823127747,0.1,"rect",0.25,16,512
"miniboone",0.280600279569626,0.278538823127747,0.1,"rect",0.5,16,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,16,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,16,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,16,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,16,512
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.5,16,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,16,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,16,512
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.25,16,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,16,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,16,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,16,256
"miniboone",0.280600249767303,0.278538823127747,0.1,"rect",0.5,8,1024
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.25,8,1024
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.5,8,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,8,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,8,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,8,512
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.25,8,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,8,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,8,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,8,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,8,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,8,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,4,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,4,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,4,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,4,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,4,512
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.25,4,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,4,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,4,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,4,256
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.25,4,256
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.5,4,256
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.25,3,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,3,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,3,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,3,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,3,512
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.5,3,512
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.25,3,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,3,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,3,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,3,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,3,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,3,256
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,2,1024
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,2,1024
"miniboone",0.280600279569626,0.278538823127747,1,"diavolo",0.5,2,1024
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.5,2,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,2,512
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,2,512
"miniboone",0.280600249767303,0.278538823127747,1,"rect",0.25,2,256
"miniboone",0.280600279569626,0.278538823127747,1,"rect",0.5,2,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.25,2,256
"miniboone",0.280600249767303,0.278538823127747,1,"diavolo",0.5,2,256
