"dataset","testAccuracy","nhidden","blockForm","learningrate","valAccuracy","nblocks","bottleneck"
"letter",0.976199746131897,512,"rect",0.1,0.980314266681671,8,0.25
"letter",0.976799726486206,1024,"diavolo",0.1,0.980314254760742,16,0.25
"letter",0.975999772548676,512,"diavolo",0.1,0.978175443410873,4,0.25
"letter",0.978399693965912,512,"diavolo",0.1,0.978088146448135,3,0.5
"letter",0.9751997590065,512,"diavolo",0.1,0.977869910001755,2,0.25
"letter",0.973799705505371,512,"diavolo",0.1,0.977127903699875,2,0.5
"letter",0.974999785423279,256,"rect",0.1,0.977084201574326,8,0.25
"letter",0.973199725151062,512,"diavolo",0.01,0.976866006851196,2,0.5
"letter",0.973599672317505,1024,"diavolo",0.01,0.976822346448898,2,0.5
"letter",0.969799637794495,256,"rect",0.1,0.976778721809387,2,0.5
"letter",0.975599765777588,512,"rect",0.1,0.976691395044327,4,0.25
"letter",0.976799726486206,512,"diavolo",0.1,0.97625487446785,8,0.5
"letter",0.971999704837799,256,"diavolo",0.1,0.975949370861054,8,0.25
"letter",0.978999733924866,512,"diavolo",0.1,0.975818401575089,4,0.5
"letter",0.97739964723587,512,"diavolo",0.1,0.975774759054184,8,0.25
"letter",0.975999712944031,256,"rect",0.1,0.975600188970566,2,0.25
"letter",0.9751997590065,512,"diavolo",0.1,0.975381904840469,3,0.25
"letter",0.972399711608887,256,"rect",0.1,0.97529461979866,16,0.25
"letter",0.971199750900269,256,"diavolo",0.1,0.975163668394089,16,0.5
"letter",0.976199746131897,256,"diavolo",0.1,0.975032716989517,2,0.5
"letter",0.972999751567841,256,"diavolo",0.1,0.974814462661743,16,0.25
"letter",0.976799726486206,512,"diavolo",0.1,0.974770832061768,16,0.5
"letter",0.971599698066711,512,"diavolo",0.1,0.974596220254898,16,0.25
"letter",0.970199704170227,256,"rect",0.1,0.974203395843506,3,0.5
"letter",0.97439968585968,256,"diavolo",0.1,0.973941498994827,4,0.25
"letter",0.974599719047546,256,"rect",0.1,0.973723274469376,3,0.25
"letter",0.97059965133667,256,"diavolo",0.1,0.973548656702042,2,0.25
"letter",0.974399745464325,256,"diavolo",0.1,0.973286789655685,3,0.25
"letter",0.973199665546417,256,"rect",0.1,0.973286771774292,16,0.5
"letter",0.97439968585968,256,"diavolo",0.1,0.973199480772018,4,0.5
"letter",0.973199665546417,256,"rect",0.1,0.973112195730209,4,0.5
"letter",0.973999798297882,256,"diavolo",0.1,0.97298122048378,8,0.5
"letter",0.972999691963196,256,"rect",0.1,0.972762995958328,4,0.25
"letter",0.973399758338928,512,"rect",0.01,0.972675704956055,2,0.25
"letter",0.972599744796753,256,"diavolo",0.1,0.972675675153732,3,0.5
"letter",0.977799713611603,512,"rect",0.1,0.972151905298233,2,0.5
"letter",0.972799777984619,256,"rect",0.1,0.972108238935471,8,0.5
"letter",0.97139972448349,512,"rect",0.01,0.971584433317185,2,0.5
"letter",0.971599698066711,512,"rect",0.01,0.971235263347626,3,0.5
"letter",0.970399737358093,512,"diavolo",0.01,0.971104311943054,2,0.25
"letter",0.973999738693237,1024,"diavolo",0.01,0.97106066942215,2,0.25
"letter",0.970399677753448,512,"diavolo",0.01,0.970973360538483,3,0.5
"letter",0.967399775981903,512,"rect",0.01,0.970886063575745,4,0.5
"letter",0.969599723815918,512,"rect",0.01,0.970580559968948,3,0.25
"letter",0.972199738025665,1024,"diavolo",0.01,0.9700130879879,3,0.5
"letter",0.97359973192215,256,"rect",0.01,0.969227403402329,2,0.25
"letter",0.964199721813202,512,"diavolo",0.01,0.969183790683746,8,0.25
"letter",0.968599677085876,256,"rect",0.01,0.969183737039566,2,0.5
"letter",0.969799757003784,512,"rect",0.01,0.969096457958221,4,0.25
"letter",0.969399690628052,256,"rect",0.01,0.969009166955948,4,0.25
"letter",0.966999769210815,256,"rect",0.01,0.968659996986389,3,0.25
"letter",0.964399695396423,512,"diavolo",0.01,0.968398064374924,4,0.5
"letter",0.969399690628052,1024,"diavolo",0.01,0.968310791254044,4,0.25
"letter",0.967199683189392,256,"rect",0.01,0.968005275726318,4,0.5
"letter",0.966599762439728,512,"rect",0.01,0.968005245923996,8,0.5
"letter",0.968599677085876,256,"diavolo",0.01,0.967917954921723,2,0.5
"letter",0.973199725151062,1024,"diavolo",0.01,0.967874294519424,3,0.25
"letter",0.964599788188934,256,"diavolo",0.01,0.96748144030571,4,0.5
"letter",0.970399737358093,512,"diavolo",0.01,0.967263209819794,4,0.25
"letter",0.963999688625336,512,"rect",0.01,0.967088609933853,16,0.5
"letter",0.970799744129181,256,"rect",0.01,0.966652125120163,3,0.5
"letter",0.962599694728851,512,"diavolo",0.01,0.966521179676056,16,0.25
"letter",0.968599736690521,512,"rect",0.1,0.966259276866913,16,0.25
"letter",0.968199670314789,512,"rect",0.01,0.965822792053223,8,0.25
"letter",0.96399974822998,256,"diavolo",0.01,0.965779113769531,4,0.25
"letter",0.967799723148346,512,"diavolo",0.01,0.965604567527771,3,0.25
"letter",0.969799757003784,1024,"diavolo",0.01,0.96529900431633,4,0.5
"letter",0.966599702835083,256,"rect",0.01,0.964425957202911,8,0.25
"letter",0.95939964056015,256,"rect",0.01,0.96438239812851,8,0.5
"letter",0.968199729919434,256,"diavolo",0.01,0.963858610391617,2,0.25
"letter",0.961599707603455,256,"diavolo",0.01,0.963683992624283,8,0.25
"letter",0.968999683856964,256,"diavolo",0.01,0.963291156291962,3,0.25
"letter",0.961999714374542,256,"rect",0.01,0.962156283855438,16,0.25
"letter",0.968399703502655,512,"diavolo",0.01,0.962025320529938,16,0.5
"letter",0.963799715042114,512,"diavolo",0.01,0.961457872390747,8,0.5
"letter",0.966199696063995,256,"diavolo",0.01,0.961457854509354,3,0.5
"letter",0.96239972114563,256,"diavolo",0.01,0.960934072732925,16,0.25
"letter",0.959599733352661,256,"diavolo",0.01,0.960322993993759,8,0.5
"letter",0.964599668979645,512,"rect",0.01,0.959842878580093,16,0.25
"letter",0.959799766540527,256,"rect",0.01,0.959755605459213,16,0.5
"letter",0.961999714374542,256,"diavolo",0.01,0.958053255081177,16,0.5
"letter",0.952599704265594,1024,"diavolo",0.1,0.952378875017166,16,0.5
"letter",0.880999743938446,512,"rect",0.1,0.875381910800934,8,0.5
"letter",0.804599821567535,512,"rect",0.1,0.830423355102539,4,0.5
"letter",0.812999725341797,512,"rect",0.1,0.818594473600388,3,0.5
"letter",0.814599812030792,1024,"diavolo",0.1,0.81492794752121,8,0.5
"letter",0.821999788284302,512,"rect",0.1,0.813269305229187,3,0.25
"letter",0.787999868392944,1024,"rect",0.1,0.811697936058045,8,0.25
"letter",0.792599856853485,512,"rect",0.1,0.778088140487671,2,0.25
"letter",0.773999810218811,1024,"diavolo",0.1,0.76691398024559,8,0.25
"letter",0.726399898529053,1024,"rect",0.1,0.757747679948807,4,0.25
"letter",0.758999824523926,1024,"rect",0.1,0.735137468576431,3,0.25
"letter",0.707399845123291,1024,"rect",0.1,0.733347851037979,4,0.5
"letter",0.746399879455566,1024,"rect",0.1,0.723701405525208,3,0.5
"letter",0.656599879264832,1024,"rect",0.1,0.710694003105164,2,0.25
"letter",0.712599873542786,1024,"rect",0.1,0.704321229457855,2,0.5
"letter",0.691399872303009,1024,"diavolo",0.1,0.684111708402634,4,0.5
"letter",0.668999850749969,1024,"diavolo",0.1,0.679353958368301,4,0.25
"letter",0.613599836826324,1024,"diavolo",0.1,0.635268411040306,3,0.5
"letter",0.598199963569641,1024,"diavolo",0.1,0.63216934800148,3,0.25
"letter",0.593399941921234,1024,"diavolo",0.1,0.608031409978867,2,0.5
"letter",0.560399949550629,1024,"diavolo",0.1,0.607376676797867,2,0.25
"letter",0.485999941825867,1024,"rect",0.01,0.466739404201508,3,0.25
"letter",0.454999953508377,1024,"rect",0.01,0.466084662079811,3,0.5
"letter",0.46259993314743,1024,"rect",0.01,0.463771265745163,2,0.5
"letter",0.446399986743927,1024,"rect",0.01,0.455390647053719,2,0.25
"letter",0.397599995136261,1024,"diavolo",0.01,0.410781306028366,16,0.5
"letter",0.358000010251999,1024,"rect",0.01,0.400043633580208,16,0.5
"letter",0.363199979066849,1024,"rect",0.01,0.379048439860344,16,0.25
"letter",0.3682000041008,1024,"rect",0.01,0.37856830060482,4,0.5
"letter",0.355399996042252,1024,"rect",0.01,0.37621123790741,4,0.25
"letter",0.343399941921234,1024,"rect",0.01,0.375338262319565,8,0.5
"letter",0.350199997425079,1024,"diavolo",0.01,0.374901777505875,16,0.25
"letter",0.308599948883057,1024,"diavolo",0.01,0.329157564043999,8,0.25
"letter",0.32039999961853,1024,"rect",0.01,0.324443462491036,8,0.25
"letter",0.331599980592728,1024,"diavolo",0.01,0.303535556793213,8,0.5
"letter",0.0394000001251698,512,"rect",1,0.0414666064083576,3,0.5
"letter",0.0394000001251698,256,"rect",1,0.0414666064083576,3,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666064083576,2,0.25
"letter",0.0393999963998795,256,"rect",1,0.0414666060358286,2,0.25
"letter",0.0394000001251698,256,"rect",1,0.0414666060358286,4,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666060358286,3,0.25
"letter",0.0394000001251698,256,"rect",1,0.0414666060358286,2,0.5
"letter",0.0394000001251698,256,"diavolo",1,0.0414666060358286,2,0.25
"letter",0.0394000001251698,256,"diavolo",1,0.0414666060358286,3,0.5
"letter",0.0394000001251698,1024,"rect",1,0.0414666056632996,16,0.25
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666056632996,16,0.25
"letter",0.0393999963998795,1024,"rect",0.1,0.0414666056632996,8,0.5
"letter",0.0394000001251698,1024,"rect",1,0.0414666056632996,2,0.5
"letter",0.0394000001251698,512,"rect",1,0.0414666056632996,2,0.5
"letter",0.0393999963998795,1024,"rect",0.1,0.0414666056632996,16,0.25
"letter",0.0393999963998795,1024,"rect",0.1,0.0414666056632996,16,0.5
"letter",0.0394000001251698,512,"diavolo",1,0.0414666056632996,8,0.25
"letter",0.0393999963998795,1024,"diavolo",1,0.0414666052907705,16,0.5
"letter",0.0394000001251698,256,"diavolo",1,0.0414666052907705,16,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666052907705,8,0.25
"letter",0.0394000001251698,256,"diavolo",1,0.0414666052907705,8,0.5
"letter",0.0393999963998795,1024,"rect",1,0.0414666052907705,4,0.25
"letter",0.0393999963998795,1024,"rect",1,0.0414666052907705,4,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666052907705,4,0.25
"letter",0.0393999963998795,256,"diavolo",1,0.0414666052907705,4,0.25
"letter",0.0394000001251698,256,"diavolo",1,0.0414666052907705,4,0.5
"letter",0.0394000001251698,1024,"rect",1,0.0414666052907705,3,0.25
"letter",0.0394000001251698,1024,"rect",1,0.0414666052907705,3,0.5
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666052907705,3,0.5
"letter",0.0393999963998795,256,"rect",1,0.0414666052907705,3,0.25
"letter",0.0394000001251698,256,"diavolo",1,0.0414666052907705,3,0.25
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666052907705,2,0.5
"letter",0.0394000001251698,512,"diavolo",1,0.0414666052907705,2,0.25
"letter",0.0394000001251698,256,"diavolo",1,0.0414666052907705,2,0.5
"letter",0.0394000001251698,256,"rect",1,0.0414666052907705,16,0.25
