"dataset","valAccuracy","testAccuracy","nhidden","learningrate","nblocks","bottleneck","blockForm"
"energy-y1",0.887013006210327,0.817708432674408,256,0.01,8,0.5,"rect"
"energy-y1",0.867532479763031,0.880208373069763,256,0.1,4,0.25,"diavolo"
"energy-y1",0.866233777999878,0.843750059604645,256,0.01,8,0.25,"rect"
"energy-y1",0.864935076236725,0.875,256,0.1,3,0.25,"rect"
"energy-y1",0.861038970947266,0.875,512,0.1,2,0.5,"diavolo"
"energy-y1",0.861038970947266,0.859375059604645,256,0.1,4,0.5,"rect"
"energy-y1",0.859740269184113,0.828125059604645,256,0.01,2,0.25,"rect"
"energy-y1",0.859740269184113,0.85937511920929,256,0.1,2,0.5,"diavolo"
"energy-y1",0.858441567420959,0.859375,1024,0.1,2,0.5,"rect"
"energy-y1",0.855844163894653,0.875,256,0.1,3,0.5,"diavolo"
"energy-y1",0.855844163894653,0.87500011920929,512,0.1,4,0.5,"diavolo"
"energy-y1",0.8545454621315,0.864583373069763,1024,0.1,2,0.5,"diavolo"
"energy-y1",0.853246760368347,0.864583373069763,512,0.1,2,0.25,"diavolo"
"energy-y1",0.851948058605194,0.859375,512,0.1,2,0.5,"rect"
"energy-y1",0.851948058605194,0.864583373069763,256,0.1,4,0.25,"rect"
"energy-y1",0.851948058605194,0.854166746139526,1024,0.1,3,0.5,"diavolo"
"energy-y1",0.851948058605194,0.859375,512,0.1,3,0.5,"diavolo"
"energy-y1",0.850649356842041,0.843750059604645,512,0.01,16,0.5,"diavolo"
"energy-y1",0.850649356842041,0.859375,512,0.01,8,0.25,"rect"
"energy-y1",0.846753251552582,0.848958373069763,512,0.01,4,0.25,"diavolo"
"energy-y1",0.846753251552582,0.859375,1024,0.1,4,0.5,"diavolo"
"energy-y1",0.846753251552582,0.854166746139526,1024,0.1,2,0.25,"diavolo"
"energy-y1",0.845454549789429,0.87500011920929,1024,0.1,2,0.25,"rect"
"energy-y1",0.844155848026276,0.864583432674408,1024,0.1,3,0.25,"diavolo"
"energy-y1",0.844155848026276,0.864583373069763,1024,0.01,8,0.25,"diavolo"
"energy-y1",0.844155848026276,0.859375,512,0.1,4,0.25,"diavolo"
"energy-y1",0.844155848026276,0.864583373069763,512,0.1,3,0.25,"rect"
"energy-y1",0.844155848026276,0.848958373069763,1024,0.01,2,0.25,"rect"
"energy-y1",0.842857146263123,0.786458373069763,512,0.01,8,0.25,"diavolo"
"energy-y1",0.842857146263123,0.859375,1024,0.01,2,0.5,"rect"
"energy-y1",0.842857146263123,0.869791746139526,256,0.1,2,0.25,"rect"
"energy-y1",0.84155844449997,0.869791686534882,256,0.1,8,0.25,"diavolo"
"energy-y1",0.84155844449997,0.869791746139526,512,0.1,3,0.25,"diavolo"
"energy-y1",0.840259742736816,0.864583373069763,512,0.1,2,0.25,"rect"
"energy-y1",0.840259742736816,0.854166746139526,256,0.1,4,0.5,"diavolo"
"energy-y1",0.83766233921051,0.864583373069763,512,0.1,3,0.5,"rect"
"energy-y1",0.83766233921051,0.864583373069763,256,0.1,16,0.25,"diavolo"
"energy-y1",0.83766233921051,0.869791746139526,512,0.1,8,0.25,"diavolo"
"energy-y1",0.83766233921051,0.833333373069763,256,0.01,4,0.5,"rect"
"energy-y1",0.836363637447357,0.838541746139526,256,0.01,16,0.5,"rect"
"energy-y1",0.833766233921051,0.859375,256,0.1,2,0.25,"diavolo"
"energy-y1",0.833766233921051,0.828125059604645,1024,0.01,8,0.5,"diavolo"
"energy-y1",0.829870128631592,0.833333373069763,1024,0.01,16,0.5,"diavolo"
"energy-y1",0.829870128631592,0.854166746139526,512,0.01,16,0.25,"rect"
"energy-y1",0.829870128631592,0.833333373069763,256,0.01,16,0.25,"rect"
"energy-y1",0.828571426868439,0.828125,256,0.1,2,0.5,"rect"
"energy-y1",0.828571426868439,0.854166686534882,1024,0.1,3,0.5,"rect"
"energy-y1",0.827272725105286,0.765625059604645,512,0.01,16,0.25,"diavolo"
"energy-y1",0.825974023342133,0.84375,1024,0.01,3,0.5,"rect"
"energy-y1",0.825974023342132,0.854166686534882,256,0.1,3,0.5,"rect"
"energy-y1",0.82467532157898,0.84375011920929,512,0.01,4,0.5,"rect"
"energy-y1",0.82467532157898,0.84375,512,0.01,2,0.25,"rect"
"energy-y1",0.822077918052673,0.864583373069763,512,0.1,4,0.5,"rect"
"energy-y1",0.819480514526367,0.807291746139526,512,0.01,3,0.5,"diavolo"
"energy-y1",0.819480514526367,0.859375059604645,1024,0.1,3,0.25,"rect"
"energy-y1",0.818181812763214,0.859375,1024,0.01,16,0.25,"rect"
"energy-y1",0.818181812763214,0.828125,1024,0.01,8,0.5,"rect"
"energy-y1",0.818181812763214,0.838541746139526,256,0.01,8,0.25,"diavolo"
"energy-y1",0.818181812763214,0.864583432674408,256,0.1,3,0.25,"diavolo"
"energy-y1",0.816883111000061,0.85937511920929,256,0.1,8,0.25,"rect"
"energy-y1",0.816883111000061,0.854166686534882,1024,0.1,4,0.25,"diavolo"
"energy-y1",0.815584409236908,0.822916746139526,1024,0.01,16,0.25,"diavolo"
"energy-y1",0.815584409236908,0.838541746139526,512,0.01,16,0.5,"rect"
"energy-y1",0.80779219865799,0.755208373069763,512,0.01,8,0.5,"rect"
"energy-y1",0.806493496894837,0.817708373069763,1024,0.01,4,0.5,"rect"
"energy-y1",0.806493496894837,0.838541746139526,512,0.01,2,0.25,"diavolo"
"energy-y1",0.806493496894836,0.833333373069763,256,0.01,2,0.5,"rect"
"energy-y1",0.805194795131683,0.812500059604645,1024,0.01,2,0.5,"diavolo"
"energy-y1",0.802597391605377,0.817708373069763,1024,0.01,4,0.25,"diavolo"
"energy-y1",0.801298689842224,0.817708373069763,1024,0.01,3,0.25,"diavolo"
"energy-y1",0.801298689842224,0.869791686534882,512,0.01,2,0.5,"rect"
"energy-y1",0.798701286315918,0.833333373069763,256,0.1,8,0.5,"diavolo"
"energy-y1",0.796103882789612,0.854166746139526,256,0.01,16,0.5,"diavolo"
"energy-y1",0.796103882789612,0.770833373069763,1024,0.01,3,0.25,"rect"
"energy-y1",0.792207777500152,0.817708373069763,512,0.1,16,0.25,"diavolo"
"energy-y1",0.792207777500152,0.817708373069763,512,0.1,8,0.25,"rect"
"energy-y1",0.792207777500152,0.817708373069763,512,0.1,8,0.5,"diavolo"
"energy-y1",0.792207777500152,0.817708432674408,256,0.1,8,0.5,"rect"
"energy-y1",0.792207777500152,0.817708373069763,1024,0.01,4,0.25,"rect"
"energy-y1",0.792207777500152,0.807291686534882,1024,0.01,4,0.5,"diavolo"
"energy-y1",0.792207777500152,0.8125,512,0.01,4,0.5,"diavolo"
"energy-y1",0.792207777500152,0.828125,256,0.01,4,0.25,"rect"
"energy-y1",0.792207777500152,0.817708373069763,256,0.01,4,0.5,"diavolo"
"energy-y1",0.792207777500152,0.8125,512,0.1,4,0.25,"rect"
"energy-y1",0.792207777500152,0.817708373069763,1024,0.01,3,0.5,"diavolo"
"energy-y1",0.792207777500152,0.8125,256,0.01,3,0.5,"diavolo"
"energy-y1",0.792207777500152,0.817708373069763,1024,0.01,2,0.25,"diavolo"
"energy-y1",0.792207777500152,0.817708373069763,512,0.01,2,0.5,"diavolo"
"energy-y1",0.792207777500152,0.812500059604645,256,0.01,2,0.5,"diavolo"
"energy-y1",0.790909075736999,0.791666746139526,256,0.01,16,0.25,"diavolo"
"energy-y1",0.789610373973846,0.848958373069763,256,0.01,3,0.25,"rect"
"energy-y1",0.789610373973846,0.822916686534882,1024,0.01,8,0.25,"rect"
"energy-y1",0.78701297044754,0.755208373069763,256,0.01,8,0.5,"diavolo"
"energy-y1",0.783116865158081,0.781250059604645,512,0.01,3,0.5,"rect"
"energy-y1",0.783116865158081,0.776041746139526,256,0.01,3,0.5,"rect"
"energy-y1",0.779220759868622,0.796875059604645,256,0.01,4,0.25,"diavolo"
"energy-y1",0.777922058105469,0.729166746139526,512,0.01,3,0.25,"rect"
"energy-y1",0.777922058105469,0.812500059604645,512,0.01,3,0.25,"diavolo"
"energy-y1",0.776623356342316,0.8125,512,0.01,8,0.5,"diavolo"
"energy-y1",0.776623356342316,0.8125,1024,0.1,8,0.25,"diavolo"
"energy-y1",0.761038935184479,0.796875059604645,512,0.01,4,0.25,"rect"
"energy-y1",0.714285683631897,0.828125,1024,0.01,16,0.5,"rect"
"energy-y1",0.714285671710968,0.812500059604645,256,0.01,2,0.25,"diavolo"
"energy-y1",0.712986993789673,0.796875059604645,256,0.01,3,0.25,"diavolo"
"energy-y1",0.468831178545952,0.473958373069763,1024,0.1,16,0.5,"diavolo"
"energy-y1",0.467532476782799,0.473958373069763,1024,0.1,8,0.25,"rect"
"energy-y1",0.467532476782799,0.473958373069763,1024,1,8,0.25,"diavolo"
"energy-y1",0.467532476782799,0.473958373069763,1024,1,2,0.5,"rect"
"energy-y1",0.458441573381424,0.473958373069763,512,1,4,0.5,"diavolo"
"energy-y1",0.457142868638039,0.473958373069763,512,1,3,0.5,"rect"
"energy-y1",0.454545468091965,0.473958402872086,1024,0.1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,0.1,16,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,1024,0.1,16,0.5,"rect"
"energy-y1",0.454545468091965,0.473958343267441,512,0.1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958402872086,512,0.1,16,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,0.1,16,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,0.1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958343267441,256,0.1,16,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,16,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,16,0.5,"rect"
"energy-y1",0.454545468091965,0.473958343267441,1024,1,16,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,16,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,512,1,16,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,16,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,16,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,16,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,16,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,16,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,0.1,8,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,8,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,8,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,8,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,8,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,8,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,8,0.5,"rect"
"energy-y1",0.454545468091965,0.473958343267441,512,1,8,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,8,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,8,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,8,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,8,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,0.1,4,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,0.1,4,0.5,"rect"
"energy-y1",0.454545468091965,0.473958343267441,1024,1,4,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,4,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,4,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,4,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,512,1,4,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,4,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,4,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,4,0.25,"rect"
"energy-y1",0.454545468091965,0.473958343267441,256,1,4,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,4,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,4,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,3,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,3,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,3,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,3,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958343267441,512,1,3,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,3,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,3,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,256,1,3,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,3,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,256,1,3,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,3,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958402872086,1024,1,2,0.25,"rect"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,2,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,1024,1,2,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958343267441,512,1,2,0.25,"rect"
"energy-y1",0.454545468091965,0.473958343267441,512,1,2,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,512,1,2,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,512,1,2,0.5,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,2,0.25,"rect"
"energy-y1",0.454545468091965,0.473958343267441,256,1,2,0.25,"diavolo"
"energy-y1",0.454545468091965,0.473958373069763,256,1,2,0.5,"rect"
"energy-y1",0.454545468091965,0.473958373069763,256,1,2,0.5,"diavolo"
"energy-y1",0.407792219519615,0.177083343267441,256,0.1,16,0.5,"rect"
"energy-y1",0.405194818973541,0.473958373069763,1024,0.1,8,0.5,"diavolo"
"energy-y1",0.383116891980171,0.348958343267441,512,0.1,8,0.5,"rect"
