"dataset","bottleneck","testAccuracy","learningrate","nblocks","nhidden","valAccuracy","blockForm"
"iris",0.25,0.972972989082336,0.01,4,512,1,"diavolo"
"iris",0.25,0.891891956329346,0.1,4,1024,1,"diavolo"
"iris",0.25,0.918918967247009,0.1,4,512,1,"rect"
"iris",0.25,0.864864945411682,0.1,3,512,1,"rect"
"iris",0.5,0.972972989082336,0.1,3,512,1,"rect"
"iris",0.25,0.918918967247009,0.1,3,256,1,"rect"
"iris",0.25,0.945945978164673,0.01,2,512,1,"rect"
"iris",0.25,0.945945978164673,0.01,2,256,1,"rect"
"iris",0.25,0.945945978164673,0.1,2,1024,1,"rect"
"iris",0.5,0.972972989082336,0.1,2,1024,1,"rect"
"iris",0.25,0.918918967247009,0.1,2,512,1,"rect"
"iris",0.25,0.864864945411682,0.01,16,1024,0.993333339691162,"rect"
"iris",0.5,1,0.01,8,1024,0.993333339691162,"diavolo"
"iris",0.25,0.918918967247009,0.1,4,512,0.993333339691162,"diavolo"
"iris",0.5,0.891891956329346,0.1,4,512,0.993333339691162,"rect"
"iris",0.25,0.918918967247009,0.1,3,512,0.993333339691162,"diavolo"
"iris",0.5,1,0.01,16,1024,0.986666679382324,"rect"
"iris",0.25,0.891891956329346,0.01,16,512,0.986666679382324,"diavolo"
"iris",0.25,0.918918967247009,0.01,3,512,0.986666679382324,"diavolo"
"iris",0.5,0.918918967247009,0.1,3,1024,0.986666679382324,"diavolo"
"iris",0.5,0.918918967247009,0.1,2,1024,0.986666679382324,"diavolo"
"iris",0.25,0.918918967247009,0.1,4,256,0.98666667342186,"rect"
"iris",0.5,0.837837934494019,0.1,3,512,0.98666667342186,"diavolo"
"iris",0.25,0.837837934494019,0.01,8,512,0.980000019073486,"diavolo"
"iris",0.5,0.891891956329346,0.1,3,256,0.980000013113022,"rect"
"iris",0.25,1,0.01,8,1024,0.973333358764648,"rect"
"iris",0.5,0.891891956329346,0.01,3,256,0.973333358764648,"diavolo"
"iris",0.5,0.864864945411682,0.01,16,1024,0.96666669845581,"diavolo"
"iris",0.5,0.945945978164673,0.01,16,512,0.96666669845581,"rect"
"iris",0.5,0.864864945411682,0.01,3,1024,0.96666669845581,"rect"
"iris",0.5,1,0.01,3,1024,0.96666669845581,"diavolo"
"iris",0.25,0.918918967247009,0.01,3,1024,0.966666692495346,"diavolo"
"iris",0.25,1,0.01,8,1024,0.960000032186508,"diavolo"
"iris",0.5,0.891891956329346,0.01,3,512,0.953333377838135,"rect"
"iris",0.5,0.945945978164673,0.01,4,1024,0.95333337187767,"diavolo"
"iris",0.5,0.864864945411682,0.1,3,256,0.95333337187767,"diavolo"
"iris",0.25,0.864864945411682,0.01,4,1024,0.953333359956741,"rect"
"iris",0.5,0.945945978164673,0.01,2,512,0.940000057220459,"rect"
"iris",0.25,0.918918967247009,0.01,3,1024,0.940000033378601,"rect"
"iris",0.25,0.918918967247009,0.01,4,256,0.933333396911621,"rect"
"iris",0.5,0.864864945411682,0.01,4,256,0.933333396911621,"diavolo"
"iris",0.25,0.864864945411682,0.01,2,256,0.933333396911621,"diavolo"
"iris",0.5,0.783783793449402,0.01,8,256,0.926666730642319,"rect"
"iris",0.5,0.837837934494019,0.01,8,256,0.926666730642319,"diavolo"
"iris",0.5,0.918918967247009,0.01,16,256,0.926666724681854,"rect"
"iris",0.5,0.810810923576355,0.01,4,512,0.920000064373016,"diavolo"
"iris",0.25,1,0.01,2,1024,0.920000064373016,"rect"
"iris",0.5,0.891891956329346,0.01,4,1024,0.913333398103714,"rect"
"iris",0.25,0.810810923576355,0.01,4,512,0.893333399295807,"rect"
"iris",0.5,0.783783793449402,0.01,8,512,0.886666733026505,"rect"
"iris",0.5,0.918918967247009,0.01,2,512,0.880000066757202,"diavolo"
"iris",0.25,0.783783793449402,0.01,8,256,0.866666734218597,"rect"
"iris",0.25,0.756756782531738,0.01,4,256,0.866666734218597,"diavolo"
"iris",0.5,0.783783793449402,0.01,3,512,0.866666734218597,"diavolo"
"iris",0.25,0.864864885807037,0.01,2,1024,0.866666734218597,"diavolo"
"iris",0.25,0.783783793449402,0.1,2,1024,0.866666734218597,"diavolo"
"iris",0.5,0.810810923576355,0.1,2,512,0.866666734218597,"rect"
"iris",0.5,0.783783793449402,0.01,4,256,0.860000067949295,"rect"
"iris",0.5,0.864864945411682,0.01,2,256,0.860000067949295,"diavolo"
"iris",0.5,0.810810923576355,0.1,2,512,0.860000067949295,"diavolo"
"iris",0.5,0.756756782531738,0.01,16,256,0.853333401679993,"diavolo"
"iris",0.25,0.783783793449402,0.01,8,512,0.853333401679993,"rect"
"iris",0.25,0.756756782531738,0.1,2,512,0.853333401679993,"diavolo"
"iris",0.25,0.756756782531738,0.1,2,256,0.853333401679993,"rect"
"iris",0.5,0.891891956329346,0.01,2,1024,0.833333402872086,"diavolo"
"iris",0.5,0.756756782531738,0.1,4,256,0.826666736602783,"rect"
"iris",0.25,0.756756782531738,0.1,2,256,0.813333380222321,"diavolo"
"iris",0.25,0.756756782531738,0.01,16,512,0.806666719913483,"rect"
"iris",0.25,0.783783793449402,0.01,2,512,0.800000071525574,"diavolo"
"iris",0.5,0.810810923576355,0.01,3,256,0.800000059604645,"rect"
"iris",0.25,0.756756782531738,0.01,3,512,0.793333393335342,"rect"
"iris",0.5,0.756756782531738,0.1,2,256,0.793333375453949,"diavolo"
"iris",0.25,0.702702760696411,0.01,16,256,0.773333388566971,"diavolo"
"iris",0.25,0.756756782531738,0.1,3,256,0.753333365917206,"diavolo"
"iris",0.5,0.783783793449402,0.01,8,512,0.746666705608368,"diavolo"
"iris",0.5,0.729729771614075,0.01,8,1024,0.740000057220459,"rect"
"iris",0.25,0.756756782531738,0.1,4,256,0.733333367109299,"diavolo"
"iris",0.5,0.729729771614075,0.01,2,1024,0.72666671872139,"rect"
"iris",0.5,0.729729771614075,0.01,4,512,0.726666688919067,"rect"
"iris",0.25,0.783783793449402,0.1,8,256,0.720000064373016,"diavolo"
"iris",0.5,0.729729771614075,0.1,4,256,0.7200000166893,"diavolo"
"iris",0.25,0.729729771614075,0.01,16,256,0.706666731834412,"rect"
"iris",0.25,0.756756782531738,0.01,16,1024,0.700000023841858,"diavolo"
"iris",0.25,0.729729771614075,0.1,8,256,0.693333357572555,"rect"
"iris",0.25,0.783783793449402,0.01,3,256,0.68666672706604,"rect"
"iris",0.25,0.756756782531738,0.01,3,256,0.666666746139526,"diavolo"
"iris",0.5,0.675675749778748,0.1,2,256,0.640000057220459,"rect"
"iris",0.25,0.702702760696411,0.1,3,1024,0.633333373069763,"diavolo"
"iris",0.25,0.729729771614075,0.01,8,256,0.620000040531158,"diavolo"
"iris",0.5,0.729729771614075,0.01,2,256,0.620000040531158,"rect"
"iris",0.25,0.675675749778748,0.1,8,512,0.600000023841858,"diavolo"
"iris",0.5,0.675675749778748,0.1,4,512,0.600000023841858,"diavolo"
"iris",0.5,0.675675749778748,0.01,16,512,0.59333336353302,"diavolo"
"iris",0.5,0.675675749778748,0.1,8,256,0.540000027418137,"diavolo"
"iris",0.25,0.675675749778748,0.01,4,1024,0.533333361148834,"diavolo"
"iris",0.5,0.378378391265869,0.1,4,1024,0.506666696071625,"diavolo"
"iris",0.25,0.675675749778748,0.1,16,256,0.49333336353302,"diavolo"
"iris",0.5,0.32432433962822,0.1,4,1024,0.453333365917206,"rect"
"iris",0.25,0.32432433962822,0.1,8,1024,0.420000034570694,"diavolo"
"iris",0.5,0.32432433962822,0.1,8,512,0.413333368301392,"diavolo"
"iris",0.5,0.32432433962822,0.1,16,256,0.400000035762787,"diavolo"
"iris",0.5,0.32432433962822,0.1,8,256,0.400000035762787,"rect"
"iris",0.5,0.351351380348206,0.1,8,1024,0.353333359956741,"rect"
"iris",0.5,0.32432433962822,0.1,8,512,0.333333364129067,"rect"
"iris",0.25,0.32432433962822,0.1,4,1024,0.326666694879532,"rect"
"iris",0.25,0.32432433962822,0.1,3,1024,0.3266666918993,"rect"
"iris",0.5,0.351351380348206,0.1,8,1024,0.30000002682209,"diavolo"
"iris",0.25,0.351351380348206,0.1,8,512,0.30000002682209,"rect"
"iris",0.25,0.351351380348206,1,3,1024,0.266666692495346,"diavolo"
"iris",0.25,0.32432433962822,0.1,8,1024,0.266666689515114,"rect"
"iris",0.5,0.351351380348206,0.1,3,1024,0.266666689515114,"rect"
"iris",0.25,0.32432433962822,0.1,16,1024,0.260000023245812,"diavolo"
"iris",0.25,0.351351380348206,1,3,256,0.260000023245812,"diavolo"
"iris",0.25,0.351351380348206,1,2,1024,0.260000023245812,"diavolo"
"iris",0.5,0.351351380348206,1,2,1024,0.260000023245812,"diavolo"
"iris",0.25,0.351351380348206,1,2,256,0.260000023245812,"rect"
"iris",0.5,0.351351380348206,1,2,256,0.260000023245812,"diavolo"
"iris",0.25,0.351351380348206,1,2,512,0.260000020265579,"rect"
"iris",0.5,0.351351380348206,1,3,512,0.253333359956741,"rect"
"iris",0.5,0.351351380348206,1,3,256,0.253333356976509,"diavolo"
"iris",0.5,0.16216216981411,0.1,16,512,0.246666689217091,"diavolo"
"iris",0.25,0.189189195632935,1,2,256,0.246666688472033,"diavolo"
"iris",0.5,0.351351380348206,1,2,512,0.246666687726975,"rect"
"iris",0.25,0.351351380348206,0.1,16,256,0.240000021457672,"rect"
"iris",0.25,0.351351380348206,1,4,256,0.240000021457672,"rect"
"iris",0.25,0.351351380348206,1,3,1024,0.240000021457672,"rect"
"iris",0.5,0.351351380348206,1,3,1024,0.240000021457672,"rect"
"iris",0.25,0.351351380348206,1,3,512,0.240000021457672,"diavolo"
"iris",0.25,0.351351380348206,1,3,256,0.240000021457672,"rect"
"iris",0.5,0.351351380348206,1,2,1024,0.240000021457672,"rect"
"iris",0.25,0.351351380348206,1,2,512,0.240000021457672,"diavolo"
"iris",0.5,0.351351380348206,1,2,512,0.240000021457672,"diavolo"
"iris",0.5,0.351351380348206,1,2,256,0.240000021457672,"rect"
"iris",0.25,0.351351380348206,1,4,1024,0.233333358168602,"diavolo"
"iris",0.25,0.351351380348206,1,2,1024,0.23333335518837,"rect"
"iris",0.5,0.351351380348206,1,4,256,0.226666685938835,"diavolo"
"iris",0.5,0.351351380348206,1,3,256,0.226666685938835,"rect"
"iris",0.25,0.351351380348206,1,4,512,0.226666684448719,"diavolo"
"iris",0.5,0.351351380348206,0.1,16,1024,0.220000019669533,"rect"
"iris",0.25,0.351351380348206,0.1,16,512,0.220000019669533,"diavolo"
"iris",0.5,0.351351380348206,0.1,16,512,0.220000019669533,"rect"
"iris",0.5,0.351351380348206,0.1,16,256,0.220000019669533,"rect"
"iris",0.5,0.351351380348206,1,4,1024,0.220000019669533,"rect"
"iris",0.25,0.351351380348206,1,4,512,0.220000019669533,"rect"
"iris",0.5,0.351351380348206,1,4,512,0.220000019669533,"rect"
"iris",0.5,0.351351380348206,1,4,512,0.220000019669533,"diavolo"
"iris",0.25,0.351351380348206,1,4,256,0.220000019669533,"diavolo"
"iris",0.5,0.351351380348206,1,3,1024,0.220000019669533,"diavolo"
"iris",0.5,0.351351380348206,1,16,256,0.21333335340023,"diavolo"
"iris",0.25,0.351351380348206,1,8,1024,0.21333335340023,"diavolo"
"iris",0.25,0.351351380348206,1,8,512,0.21333335340023,"diavolo"
"iris",0.5,0.351351380348206,1,4,256,0.21333335340023,"rect"
