"dataset","nblocks","testAccuracy","valAccuracy","bottleneck","learningrate","blockForm","nhidden"
"hill-valley",4,0.504950523376465,0.499206411838532,0.5,0.1,"rect",1024
"hill-valley",2,0.47524756193161,0.498412764072418,0.25,0.01,"diavolo",512
"hill-valley",3,0.503300309181213,0.496031790971756,0.25,0.1,"diavolo",256
"hill-valley",16,0.503300368785858,0.495238164067268,0.5,0.01,"rect",256
"hill-valley",3,0.506600677967072,0.493650835752487,0.25,0.01,"rect",256
"hill-valley",2,0.51485151052475,0.49206355214119,0.5,0.01,"diavolo",256
"hill-valley",2,0.478547871112823,0.49206355214119,0.5,0.1,"rect",1024
"hill-valley",2,0.503300309181213,0.490476253628731,0.5,0.1,"rect",256
"hill-valley",2,0.506600618362427,0.488888946175575,0.25,0.1,"rect",1024
"hill-valley",3,0.496699690818787,0.488095301389694,0.25,0.1,"rect",512
"hill-valley",8,0.519802033901215,0.487301647663117,0.5,0.01,"rect",512
"hill-valley",3,0.518151879310608,0.486507993936539,0.5,0.1,"diavolo",1024
"hill-valley",8,0.51485151052475,0.485714355111122,0.25,0.01,"rect",512
"hill-valley",3,0.5,0.485714340209961,0.25,0.1,"diavolo",1024
"hill-valley",8,0.511551141738892,0.484920698404312,0.25,0.01,"rect",1024
"hill-valley",8,0.521452188491821,0.482539743185043,0.5,0.01,"diavolo",512
"hill-valley",8,0.488448858261108,0.482539737224579,0.25,0.1,"diavolo",512
"hill-valley",8,0.542904317378998,0.480158793926239,0.25,0.01,"rect",256
"hill-valley",4,0.506600618362427,0.478571480512619,0.25,0.01,"rect",1024
"hill-valley",3,0.501650214195251,0.47777783870697,0.25,0.1,"diavolo",512
"hill-valley",3,0.506600677967072,0.472222286462784,0.5,0.01,"rect",512
"hill-valley",4,0.493399322032928,0.471428626775742,0.5,0.1,"rect",256
"hill-valley",4,0.493399351835251,0.470634979009628,0.25,0.1,"diavolo",1024
"hill-valley",8,0.493399322032928,0.469047683477402,0.5,0.01,"diavolo",1024
"hill-valley",2,0.503300309181213,0.468254029750824,0.25,0.01,"rect",256
"hill-valley",16,0.493399322032928,0.46825402379036,0.5,0.01,"rect",512
"hill-valley",2,0.49504953622818,0.468254017829895,0.5,0.1,"diavolo",256
"hill-valley",2,0.503300368785858,0.465873068571091,0.25,0.1,"diavolo",512
"hill-valley",2,0.549504995346069,0.465079426765442,0.25,0.01,"rect",512
"hill-valley",16,0.493399322032928,0.465079414844513,0.25,0.1,"rect",512
"hill-valley",2,0.490099012851715,0.461904820799828,0.25,0.1,"rect",256
"hill-valley",16,0.50495046377182,0.461904811859131,0.5,0.01,"diavolo",256
"hill-valley",8,0.509900987148285,0.461111158132553,0.5,0.01,"rect",1024
"hill-valley",4,0.506600677967072,0.460317519307137,0.5,0.01,"rect",512
"hill-valley",16,0.498349875211716,0.456349265575409,0.5,0.01,"diavolo",1024
"hill-valley",16,0.496699690818787,0.455555605888367,0.5,0.01,"rect",1024
"hill-valley",2,0.490099012851715,0.453174656629562,0.5,0.01,"diavolo",512
"hill-valley",8,0.493399381637573,0.451587343215942,0.25,0.01,"diavolo",512
"hill-valley",16,0.493399381637573,0.450000047683716,0.25,0.01,"rect",256
"hill-valley",16,0.508250892162323,0.448412752151489,0.25,0.01,"rect",512
"hill-valley",3,0.506600677967072,0.447619104385376,0.5,0.01,"rect",256
"hill-valley",8,0.493399322032928,0.447619092464447,0.5,0.1,"rect",1024
"hill-valley",3,0.493399322032928,0.447619092464447,0.25,1,"rect",1024
"hill-valley",3,0.493399322032928,0.447619092464447,0.25,1,"diavolo",512
"hill-valley",3,0.493399322032928,0.447619092464447,0.25,1,"rect",256
"hill-valley",2,0.493399322032928,0.447619092464447,0.25,1,"rect",1024
"hill-valley",2,0.493399322032928,0.447619092464447,0.25,1,"rect",256
"hill-valley",2,0.493399322032928,0.447619092464447,0.5,1,"rect",256
"hill-valley",2,0.493399381637573,0.446825438737869,0.5,1,"rect",1024
"hill-valley",3,0.493399322032928,0.444444489479065,0.25,1,"rect",512
"hill-valley",2,0.5,0.440476235747337,0.25,0.1,"diavolo",256
"hill-valley",16,0.491749227046967,0.434920686483383,0.25,0.01,"rect",1024
"hill-valley",16,0.491749197244644,0.433333379030228,0.25,0.01,"diavolo",256
"hill-valley",3,0.493399322032928,0.430952435731888,0.25,0.01,"diavolo",1024
"hill-valley",16,0.493399322032928,0.430952423810959,0.5,0.1,"diavolo",1024
"hill-valley",16,0.493399322032928,0.430158770084381,0.25,0.1,"rect",1024
"hill-valley",16,0.493399322032928,0.430158770084381,0.5,0.1,"rect",1024
"hill-valley",16,0.493399322032928,0.430158770084381,0.5,0.1,"rect",512
"hill-valley",4,0.493399322032928,0.430158770084381,0.5,1,"rect",1024
"hill-valley",4,0.493399322032928,0.430158770084381,0.5,1,"rect",512
"hill-valley",4,0.493399322032928,0.430158770084381,0.25,1,"rect",256
"hill-valley",4,0.493399322032928,0.430158770084381,0.25,1,"diavolo",256
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"rect",1024
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"diavolo",1024
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"rect",512
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"diavolo",512
"hill-valley",3,0.493399322032928,0.430158770084381,0.25,1,"diavolo",256
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"rect",256
"hill-valley",3,0.493399322032928,0.430158770084381,0.5,1,"diavolo",256
"hill-valley",2,0.493399322032928,0.430158770084381,0.5,1,"diavolo",1024
"hill-valley",2,0.493399322032928,0.430158770084381,0.25,1,"rect",512
"hill-valley",2,0.493399322032928,0.430158770084381,0.5,1,"rect",512
"hill-valley",2,0.493399322032928,0.430158770084381,0.5,1,"diavolo",512
"hill-valley",2,0.493399322032928,0.430158770084381,0.25,1,"diavolo",256
"hill-valley",8,0.496699690818787,0.429365134239197,0.25,0.01,"diavolo",256
"hill-valley",4,0.493399322032928,0.42857146859169,0.25,1,"diavolo",1024
"hill-valley",16,0.493399322032928,0.426190513372421,0.25,1,"diavolo",512
"hill-valley",4,0.493399322032928,0.425396865606308,0.5,1,"diavolo",1024
"hill-valley",16,0.493399322032928,0.423015910387039,0.25,1,"diavolo",256
