"dataset","bottleneck","valAccuracy","blockForm","nblocks","nhidden","learningrate","testAccuracy"
"annealing",0.25,0.84523811340332,"rect",16,1024,0.01,0.0799999982118607
"annealing",0.5,0.842261928319931,"rect",16,256,0.01,0.109999999403954
"annealing",0.5,0.841666698455811,"rect",8,256,0.01,0.140000000596046
"annealing",0.5,0.839285737276077,"rect",8,512,0.01,0.740000009536743
"annealing",0.25,0.839285731315613,"rect",8,512,0.1,0.759999990463257
"annealing",0.25,0.835714316368103,"rect",8,1024,0.01,0.11999998986721
"annealing",0.25,0.835119074583054,"rect",4,512,0.01,0.459999978542328
"annealing",0.25,0.833333390951157,"rect",8,512,0.01,0.75
"annealing",0.25,0.833333390951157,"diavolo",8,256,0.01,0.699999928474426
"annealing",0.25,0.833333373069763,"diavolo",2,256,0.01,0.759999990463257
"annealing",0.5,0.832738125324249,"diavolo",16,256,0.01,0.0499999970197678
"annealing",0.25,0.832142901420593,"diavolo",2,512,0.01,0.75
"annealing",0.5,0.829166698455811,"rect",4,512,0.01,0.280000001192093
"annealing",0.25,0.827976214885712,"rect",4,1024,0.01,0.759999990463257
"annealing",0.25,0.824404788017273,"diavolo",16,256,0.1,0.109999999403954
"annealing",0.5,0.823809552192688,"diavolo",16,1024,0.01,0.0799999907612801
"annealing",0.5,0.823214286565781,"diavolo",16,512,0.01,0.119999997317791
"annealing",0.5,0.82142858505249,"diavolo",2,256,0.01,0.75
"annealing",0.25,0.81904764175415,"diavolo",16,512,0.01,0.109999999403954
"annealing",0.5,0.817857164144516,"diavolo",4,256,0.01,0.359999984502792
"annealing",0.25,0.816666710376739,"diavolo",4,512,0.01,0.400000005960464
"annealing",0.5,0.815476226806641,"diavolo",8,512,0.01,0.0399999991059303
"annealing",0.5,0.81011905670166,"rect",16,1024,0.01,0.0299999993294477
"annealing",0.5,0.808928591012955,"diavolo",4,1024,0.01,0.109999999403954
"annealing",0.25,0.808928591012955,"rect",8,256,0.01,0.719999969005585
"annealing",0.25,0.808333337306976,"diavolo",16,256,0.01,0.0799999982118607
"annealing",0.5,0.806547647714615,"diavolo",8,256,0.01,0.0799999982118607
"annealing",0.25,0.806547647714615,"diavolo",16,1024,0.01,0.0799999982118607
"annealing",0.5,0.80238099694252,"diavolo",4,512,0.01,0.729999959468842
"annealing",0.5,0.801190519332886,"diavolo",2,1024,0.01,0.269999980926514
"annealing",0.25,0.799404782056808,"diavolo",8,1024,0.01,0.189999997615814
"annealing",0.5,0.797619074583054,"diavolo",2,512,0.01,0.699999928474426
"annealing",0.5,0.796428626775742,"diavolo",8,1024,0.01,0.0700000002980232
"annealing",0.25,0.795238113403321,"diavolo",4,256,0.01,0.109999991953373
"annealing",0.25,0.793452435731888,"diavolo",3,256,0.01,0.740000009536743
"annealing",0.25,0.791071456670761,"diavolo",4,1024,0.01,0.709999978542328
"annealing",0.25,0.785714310407639,"rect",8,256,0.1,0.0299999993294477
"annealing",0.25,0.785119074583054,"diavolo",3,1024,0.01,0.199999988079071
"annealing",0.25,0.782142871618271,"diavolo",8,512,0.01,0.739999949932098
"annealing",0.5,0.778571450710297,"diavolo",3,512,0.01,0.759999990463257
"annealing",0.5,0.758928608894348,"rect",8,256,0.1,0.719999969005585
"annealing",0.5,0.750000017881393,"diavolo",3,1024,0.01,0.75
"annealing",0.25,0.750000005960464,"diavolo",16,1024,0.1,0.759999990463257
"annealing",0.5,0.744047641754151,"diavolo",3,256,0.01,0.75
"annealing",0.25,0.738095283508301,"rect",16,512,0.1,0.759999990463257
"annealing",0.5,0.738095283508301,"rect",8,1024,0.1,0.759999990463257
"annealing",0.5,0.738095277547836,"diavolo",16,1024,0.1,0.759999990463257
"annealing",0.25,0.738095265626908,"rect",8,1024,0.1,0.759999990463257
"annealing",0.5,0.735714334249497,"rect",16,256,0.1,0.759999990463257
"annealing",0.25,0.626785773038864,"diavolo",8,512,0.1,0.0900000035762787
"annealing",0.5,0.597619086503983,"rect",3,1024,0.1,0.0799999982118607
"annealing",0.5,0.584523844718933,"diavolo",16,256,0.1,0.249999985098839
"annealing",0.25,0.526190513372421,"rect",16,512,0.01,0.75
"annealing",0.25,0.428571453690529,"diavolo",16,512,0.1,0.0700000002980232
"annealing",0.5,0.406547632813454,"rect",8,512,0.1,0.0700000002980232
"annealing",0.5,0.271428585797548,"rect",16,512,0.1,0.759999990463257
"annealing",0.25,0.233928576856852,"rect",3,1024,0.1,0.0799999982118607
"annealing",0.5,0.21488096229732,"diavolo",8,1024,0.1,0.0599999986588955
"annealing",0.25,0.171428582724184,"rect",3,256,1,0
"annealing",0.25,0.16190476519987,"rect",2,512,1,0
