"dataset","nblocks","valAccuracy","blockForm","testAccuracy","nhidden","bottleneck","learningrate"
"horse-colic",4,0.939393997192383,"rect",0.808823525905609,1024,0.5,0.01
"horse-colic",8,0.934848511219025,"diavolo",0.764705896377563,256,0.25,0.01
"horse-colic",8,0.92878794670105,"rect",0.794117629528046,1024,0.5,0.01
"horse-colic",2,0.928787863254547,"diavolo",0.823529422283173,512,0.5,0.01
"horse-colic",3,0.924242496490478,"rect",0.735294163227081,1024,0.25,0.01
"horse-colic",2,0.924242496490478,"rect",0.808823525905609,256,0.5,0.1
"horse-colic",4,0.924242377281189,"rect",0.808823525905609,1024,0.25,0.01
"horse-colic",4,0.924242377281189,"rect",0.838235318660736,512,0.25,0.1
"horse-colic",2,0.924242377281189,"diavolo",0.808823525905609,1024,0.25,0.1
"horse-colic",2,0.921212077140808,"rect",0.852941155433655,1024,0.5,0.1
"horse-colic",2,0.921212077140808,"diavolo",0.823529422283173,1024,0.5,0.1
"horse-colic",3,0.915151476860046,"diavolo",0.823529422283173,512,0.5,0.1
"horse-colic",16,0.913636326789856,"diavolo",0.794117629528046,1024,0.5,0.01
"horse-colic",4,0.913636326789856,"diavolo",0.8529412150383,256,0.25,0.1
"horse-colic",2,0.913636326789856,"rect",0.852941155433655,512,0.25,0.01
"horse-colic",8,0.910606026649475,"diavolo",0.838235318660736,512,0.5,0.1
"horse-colic",3,0.909090995788574,"diavolo",0.808823525905609,1024,0.5,0.01
"horse-colic",3,0.909090876579285,"rect",0.691176474094391,512,0.5,0.01
"horse-colic",2,0.909090876579285,"rect",0.8529412150383,1024,0.25,0.1
"horse-colic",3,0.907575726509094,"diavolo",0.823529422283173,1024,0.25,0.1
"horse-colic",8,0.906060576438904,"diavolo",0.823529422283173,512,0.25,0.1
"horse-colic",16,0.903030276298523,"diavolo",0.779411733150482,1024,0.25,0.01
"horse-colic",3,0.903030276298523,"rect",0.8529412150383,256,0.5,0.1
"horse-colic",4,0.901515126228333,"rect",0.882352948188782,512,0.5,0.1
"horse-colic",3,0.901515126228333,"rect",0.79411768913269,1024,0.5,0.1
"horse-colic",8,0.899999976158142,"diavolo",0.764705896377563,256,0.25,0.1
"horse-colic",3,0.899999976158142,"diavolo",0.808823525905609,1024,0.5,0.1
"horse-colic",4,0.89696968793869,"rect",0.691176533699036,256,0.5,0.1
"horse-colic",8,0.895454525947571,"diavolo",0.779411792755127,256,0.5,0.01
"horse-colic",4,0.89393937587738,"diavolo",0.838235318660736,512,0.25,0.1
"horse-colic",4,0.89393937587738,"rect",0.794117629528046,256,0.25,0.1
"horse-colic",2,0.89393937587738,"diavolo",0.823529422283173,512,0.5,0.1
"horse-colic",16,0.89242422580719,"diavolo",0.808823525905609,256,0.25,0.1
"horse-colic",4,0.89242422580719,"diavolo",0.794117629528046,256,0.5,0.1
"horse-colic",3,0.89242422580719,"rect",0.779411792755127,512,0.5,0.1
"horse-colic",4,0.890909075737,"diavolo",0.838235318660736,1024,0.25,0.1
"horse-colic",2,0.890909075737,"diavolo",0.823529422283173,512,0.25,0.1
"horse-colic",16,0.887878775596619,"rect",0.823529422283173,1024,0.25,0.01
"horse-colic",4,0.887878775596619,"rect",0.838235318660736,512,0.5,0.01
"horse-colic",4,0.887878775596619,"diavolo",0.838235318660736,1024,0.5,0.1
"horse-colic",16,0.886363625526428,"diavolo",0.779411733150482,256,0.25,0.01
"horse-colic",2,0.886363625526428,"diavolo",0.764705836772919,1024,0.25,0.01
"horse-colic",2,0.884848475456238,"rect",0.764705836772919,512,0.25,0.1
"horse-colic",4,0.883333325386047,"diavolo",0.794117629528046,512,0.25,0.01
"horse-colic",16,0.878787875175476,"diavolo",0.735294103622437,256,0.5,0.1
"horse-colic",4,0.878787875175476,"rect",0.764705896377563,512,0.25,0.01
"horse-colic",3,0.878787875175476,"rect",0.8529412150383,1024,0.5,0.01
"horse-colic",3,0.878787875175476,"diavolo",0.808823525905609,1024,0.25,0.01
"horse-colic",3,0.878787875175476,"diavolo",0.823529422283173,512,0.25,0.1
"horse-colic",2,0.878787875175476,"diavolo",0.75,256,0.5,0.1
"horse-colic",4,0.877272725105286,"rect",0.808823525905609,1024,0.25,0.1
"horse-colic",3,0.877272725105286,"rect",0.779411733150482,1024,0.25,0.1
"horse-colic",2,0.874242424964905,"rect",0.823529422283173,512,0.5,0.1
"horse-colic",2,0.874242424964905,"rect",0.764705896377563,256,0.25,0.1
"horse-colic",3,0.872727274894714,"diavolo",0.764705896377563,256,0.25,0.1
"horse-colic",16,0.869696974754334,"rect",0.823529422283173,512,0.5,0.01
"horse-colic",8,0.868181824684143,"diavolo",0.794117629528046,1024,0.25,0.1
"horse-colic",8,0.866666674613953,"rect",0.75,512,0.5,0.01
"horse-colic",4,0.866666674613953,"diavolo",0.838235318660736,512,0.5,0.1
"horse-colic",16,0.865151524543762,"rect",0.735294103622437,512,0.25,0.01
"horse-colic",16,0.865151524543762,"rect",0.691176474094391,256,0.5,0.01
"horse-colic",4,0.863636374473572,"diavolo",0.720588207244873,512,0.5,0.01
"horse-colic",3,0.863636374473572,"diavolo",0.79411768913269,512,0.25,0.01
"horse-colic",3,0.863636374473572,"rect",0.750000059604645,256,0.25,0.1
"horse-colic",2,0.863636374473572,"diavolo",0.808823525905609,256,0.5,0.01
"horse-colic",16,0.862121224403381,"rect",0.735294103622437,1024,0.5,0.01
"horse-colic",3,0.862121224403381,"diavolo",0.720588266849518,256,0.5,0.1
"horse-colic",8,0.860606074333191,"diavolo",0.764705896377563,512,0.5,0.01
"horse-colic",3,0.860606074333191,"rect",0.794117629528046,512,0.25,0.01
"horse-colic",4,0.859090924263001,"diavolo",0.75,1024,0.25,0.01
"horse-colic",2,0.85757577419281,"diavolo",0.75,512,0.25,0.01
"horse-colic",8,0.85606062412262,"diavolo",0.794117629528046,512,0.25,0.01
"horse-colic",2,0.85606062412262,"rect",0.661764740943909,512,0.5,0.01
"horse-colic",8,0.853030323982239,"rect",0.735294103622437,256,0.5,0.01
"horse-colic",8,0.850000023841858,"rect",0.735294163227081,256,0.25,0.1
"horse-colic",8,0.848484873771668,"rect",0.720588266849518,256,0.5,0.1
"horse-colic",3,0.848484873771668,"diavolo",0.764705896377563,256,0.5,0.01
"horse-colic",2,0.848484873771668,"diavolo",0.823529481887817,1024,0.5,0.01
"horse-colic",2,0.848484873771668,"diavolo",0.764705836772919,256,0.25,0.1
"horse-colic",8,0.846969723701477,"rect",0.794117629528046,512,0.25,0.01
"horse-colic",3,0.845454573631287,"rect",0.764705896377563,256,0.25,0.01
"horse-colic",2,0.842424273490906,"rect",0.75,1024,0.5,0.01
"horse-colic",8,0.840909123420715,"rect",0.691176474094391,1024,0.25,0.01
"horse-colic",2,0.839393973350525,"diavolo",0.764705896377563,256,0.25,0.01
"horse-colic",4,0.836363673210144,"rect",0.735294163227081,256,0.25,0.01
"horse-colic",3,0.833333373069763,"rect",0.691176474094391,512,0.25,0.1
"horse-colic",3,0.831818222999573,"rect",0.808823525905609,256,0.5,0.01
"horse-colic",16,0.825757586956024,"diavolo",0.838235318660736,512,0.5,0.01
"horse-colic",4,0.81515154838562,"rect",0.794117629528046,256,0.5,0.01
"horse-colic",3,0.813636422157288,"diavolo",0.691176474094391,256,0.25,0.01
"horse-colic",4,0.813636410236359,"diavolo",0.779411792755127,256,0.25,0.01
"horse-colic",16,0.809090900421143,"diavolo",0.764705896377563,512,0.25,0.01
"horse-colic",4,0.803030371665955,"diavolo",0.794117629528046,256,0.5,0.01
"horse-colic",8,0.803030300140381,"diavolo",0.75,1024,0.5,0.01
"horse-colic",16,0.799999952316284,"diavolo",0.632353007793427,256,0.5,0.01
"horse-colic",4,0.792424261569977,"diavolo",0.705882370471954,1024,0.5,0.01
"horse-colic",2,0.787878751754761,"rect",0.735294103622437,256,0.5,0.01
"horse-colic",2,0.783333301544189,"rect",0.75,256,0.25,0.01
"horse-colic",2,0.771212100982666,"rect",0.8529412150383,1024,0.25,0.01
"horse-colic",8,0.765151500701904,"diavolo",0.617647111415863,256,0.5,0.1
"horse-colic",8,0.756060600280762,"rect",0.647058844566345,256,0.25,0.01
"horse-colic",8,0.75,"diavolo",0.735294163227081,1024,0.25,0.01
"horse-colic",16,0.743939399719238,"rect",0.661764740943909,256,0.25,0.01
"horse-colic",3,0.733333349227905,"diavolo",0.617647111415863,512,0.5,0.01
"horse-colic",8,0.707575798034668,"diavolo",0.602941274642944,512,0.25,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,1024,0.25,0.1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,1024,0.5,0.1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,0.1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,0.1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,512,0.25,0.1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,512,0.5,0.1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,512,0.25,0.1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,512,0.5,0.1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,256,0.25,0.1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,1024,0.25,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,1024,0.5,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,512,0.25,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,512,0.5,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,512,0.25,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,512,0.5,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,256,0.25,1
"horse-colic",16,0.696969747543335,"rect",0.602941274642944,256,0.5,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,256,0.25,1
"horse-colic",16,0.696969747543335,"diavolo",0.602941274642944,256,0.5,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,1024,0.25,0.1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,1024,0.5,0.1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,1024,0.25,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,1024,0.5,1
"horse-colic",8,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,1
"horse-colic",8,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,512,0.25,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,512,0.5,1
"horse-colic",8,0.696969747543335,"diavolo",0.602941274642944,512,0.5,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,256,0.25,1
"horse-colic",8,0.696969747543335,"rect",0.602941274642944,256,0.5,1
"horse-colic",8,0.696969747543335,"diavolo",0.602941274642944,256,0.25,1
"horse-colic",8,0.696969747543335,"diavolo",0.602941274642944,256,0.5,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,1024,0.25,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,1024,0.5,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,512,0.25,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,512,0.5,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,512,0.25,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,512,0.5,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,256,0.25,1
"horse-colic",4,0.696969747543335,"rect",0.602941274642944,256,0.5,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,256,0.25,1
"horse-colic",4,0.696969747543335,"diavolo",0.602941274642944,256,0.5,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,1024,0.25,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,1024,0.5,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,512,0.25,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,512,0.5,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,512,0.25,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,512,0.5,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,256,0.25,1
"horse-colic",3,0.696969747543335,"rect",0.602941274642944,256,0.5,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,256,0.25,1
"horse-colic",3,0.696969747543335,"diavolo",0.602941274642944,256,0.5,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,1024,0.25,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,1024,0.5,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,1024,0.25,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,1024,0.5,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,512,0.25,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,512,0.5,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,512,0.25,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,512,0.5,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,256,0.25,1
"horse-colic",2,0.696969747543335,"rect",0.602941274642944,256,0.5,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,256,0.25,1
"horse-colic",2,0.696969747543335,"diavolo",0.602941274642944,256,0.5,1
