"dataset","nblocks","blockForm","bottleneck","learningrate","valAccuracy","nhidden","testAccuracy"
"libras",2,"rect",0.5,0.01,0.794594633579254,1024,0.711111128330231
"libras",2,"diavolo",0.25,0.1,0.754054075479507,1024,0.833333373069763
"libras",4,"rect",0.5,0.01,0.732432472705841,1024,0.700000047683716
"libras",2,"rect",0.5,0.1,0.72972976565361,1024,0.766666769981384
"libras",16,"diavolo",0.25,0.01,0.721621668338776,256,0.544444441795349
"libras",8,"rect",0.25,0.01,0.702702701091766,512,0.700000047683716
"libras",8,"diavolo",0.5,0.01,0.697297298908234,1024,0.72222226858139
"libras",2,"diavolo",0.5,0.1,0.694594597816467,1024,0.788888931274414
"libras",4,"rect",0.5,0.1,0.689189255237579,256,0.611111164093018
"libras",3,"rect",0.5,0.1,0.689189195632935,1024,0.677777826786041
"libras",4,"rect",0.25,0.1,0.675675749778748,1024,0.677777767181396
"libras",3,"rect",0.5,0.1,0.67027028799057,256,0.711111187934875
"libras",4,"diavolo",0.25,0.1,0.667567586898804,1024,0.655555605888367
"libras",16,"diavolo",0.5,0.01,0.659459525346756,1024,0.711111187934875
"libras",4,"diavolo",0.5,0.1,0.654054123163223,1024,0.655555605888367
"libras",2,"diavolo",0.5,0.01,0.651351380348206,512,0.611111164093018
"libras",2,"diavolo",0.5,0.1,0.648648679256439,512,0.766666650772095
"libras",3,"diavolo",0.5,0.1,0.645946019887924,1024,0.622222244739532
"libras",16,"diavolo",0.5,0.01,0.645945978164673,512,0.600000023841858
"libras",8,"diavolo",0.5,0.1,0.645945978164673,256,0.444444477558136
"libras",3,"diavolo",0.5,0.01,0.645945978164673,256,0.633333384990692
"libras",2,"rect",0.25,0.01,0.643243277072907,512,0.688888907432556
"libras",3,"diavolo",0.5,0.1,0.64054057598114,512,0.588888883590698
"libras",3,"rect",0.25,0.1,0.640540516376495,256,0.622222244739532
"libras",2,"diavolo",0.25,0.1,0.635135197639465,256,0.666666686534882
"libras",3,"rect",0.25,0.1,0.635135185718536,1024,0.677777826786041
"libras",8,"diavolo",0.25,0.01,0.635135161876679,1024,0.566666722297668
"libras",2,"rect",0.25,0.1,0.635135114192963,256,0.677777767181396
"libras",4,"rect",0.25,0.01,0.629729783535004,1024,0.555555582046509
"libras",4,"diavolo",0.5,0.1,0.627027070522308,512,0.633333384990692
"libras",2,"rect",0.5,0.1,0.624324309825897,512,0.633333384990692
"libras",2,"diavolo",0.5,0.01,0.621621668338776,1024,0.533333420753479
"libras",2,"diavolo",0.5,0.1,0.621621614694595,256,0.577777802944183
"libras",16,"diavolo",0.5,0.01,0.618918967247009,256,0.577777862548828
"libras",2,"diavolo",0.25,0.01,0.616216266155243,512,0.433333337306976
"libras",2,"rect",0.25,0.1,0.613513565063477,512,0.644444465637207
"libras",4,"rect",0.25,0.1,0.613513505458832,256,0.655555605888367
"libras",4,"rect",0.5,0.1,0.61081086397171,1024,0.600000023841858
"libras",4,"rect",0.5,0.1,0.61081086397171,512,0.51111114025116
"libras",2,"diavolo",0.5,0.01,0.610810804367065,256,0.700000047683716
"libras",4,"diavolo",0.25,0.01,0.608108162879944,1024,0.666666686534882
"libras",3,"diavolo",0.25,0.01,0.605405455827713,1024,0.666666686534882
"libras",3,"diavolo",0.25,0.1,0.605405443906784,512,0.622222244739532
"libras",4,"rect",0.25,0.01,0.600000035762787,256,0.611111164093018
"libras",3,"diavolo",0.25,0.1,0.6,1024,0.666666686534882
"libras",4,"rect",0.25,0.01,0.597297298908234,512,0.622222304344177
"libras",3,"rect",0.5,0.01,0.594594657421112,1024,0.600000023841858
"libras",8,"diavolo",0.25,0.01,0.594594597816467,512,0.566666722297668
"libras",4,"rect",0.5,0.01,0.594594597816467,512,0.611111164093018
"libras",3,"rect",0.25,0.01,0.594594597816467,512,0.588888883590698
"libras",2,"rect",0.5,0.01,0.594594597816467,512,0.588888943195343
"libras",2,"rect",0.5,0.01,0.594594597816467,256,0.600000023841858
"libras",8,"diavolo",0.25,0.01,0.589189195632935,256,0.588888883590698
"libras",8,"rect",0.5,0.1,0.586486500501633,256,0.51111114025116
"libras",8,"diavolo",0.25,0.1,0.583783793449402,512,0.588888883590698
"libras",4,"rect",0.5,0.01,0.581081122159958,256,0.588888883590698
"libras",2,"diavolo",0.25,0.01,0.575675690174103,1024,0.533333361148834
"libras",8,"rect",0.5,0.01,0.575675690174103,512,0.633333325386047
"libras",8,"diavolo",0.5,0.01,0.572973048686981,512,0.400000035762787
"libras",3,"rect",0.5,0.1,0.572973012924194,512,0.51111114025116
"libras",3,"rect",0.5,0.01,0.572972989082337,256,0.633333384990692
