"dataset","testAccuracy","nhidden","nblocks","bottleneck","valAccuracy","blockForm","learningrate"
"plant-texture",0.632499992847443,512,3,0.25,0.652763801813126,"diavolo",0.01
"plant-texture",0.682500004768372,512,3,0.25,0.647236168384552,"rect",0.01
"plant-texture",0.722499966621399,512,16,0.25,0.643216049671173,"diavolo",0.1
"plant-texture",0.60999995470047,1024,3,0.5,0.643216037750244,"rect",0.01
"plant-texture",0.629999995231628,512,4,0.25,0.640703505277634,"diavolo",0.01
"plant-texture",0.627499938011169,256,3,0.25,0.635678380727768,"diavolo",0.01
"plant-texture",0.682499945163727,256,16,0.25,0.628643184900284,"rect",0.1
"plant-texture",0.692499995231628,256,2,0.5,0.621608006954193,"diavolo",0.01
"plant-texture",0.659999966621399,512,4,0.25,0.607537680864334,"rect",0.01
"plant-texture",0.659999966621399,512,4,0.5,0.606030112504959,"rect",0.01
"plant-texture",0.625,1024,3,0.25,0.604020088911057,"rect",0.01
"plant-texture",0.67249995470047,512,2,0.25,0.602512562274933,"diavolo",0.01
"plant-texture",0.594999969005585,256,8,0.5,0.596984893083572,"rect",0.01
"plant-texture",0.677499949932098,256,16,0.5,0.594974845647812,"rect",0.1
"plant-texture",0.604999959468842,512,3,0.5,0.589949727058411,"diavolo",0.01
"plant-texture",0.589999973773956,1024,4,0.25,0.581909501552582,"rect",0.01
"plant-texture",0.597499966621399,1024,2,0.25,0.566331624984741,"diavolo",0.01
"plant-texture",0.589999973773956,256,4,0.5,0.565829139947891,"diavolo",0.01
"plant-texture",0.617500007152557,512,2,0.5,0.565829110145569,"diavolo",0.01
"plant-texture",0.639999985694885,256,4,0.25,0.56582909822464,"diavolo",0.01
"plant-texture",0.564999938011169,1024,4,0.5,0.559798985719681,"rect",0.01
"plant-texture",0.582499980926514,256,8,0.25,0.549246203899384,"rect",0.01
"plant-texture",0.542499959468842,1024,3,0.25,0.548743683099747,"diavolo",0.01
"plant-texture",0.504999995231628,512,16,0.25,0.53869343996048,"diavolo",0.01
"plant-texture",0.567499995231628,512,8,0.25,0.535175853967667,"rect",0.01
"plant-texture",0.542499959468842,512,4,0.5,0.534170842170715,"diavolo",0.01
"plant-texture",0.569999992847443,1024,2,0.5,0.531658285856247,"diavolo",0.01
"plant-texture",0.579999983310699,256,3,0.5,0.529145699739456,"diavolo",0.01
"plant-texture",0.567499995231628,512,8,0.25,0.526130646467209,"diavolo",0.01
"plant-texture",0.497500002384186,256,8,0.5,0.522110539674759,"diavolo",0.01
