"dataset","testAccuracy","bottleneck","nhidden","nblocks","blockForm","learningrate","valAccuracy"
"contrac",0.51358699798584,0.25,1024,8,"diavolo",0.1,0.648447239398956
"contrac",0.49728262424469,0.5,512,2,"diavolo",0.1,0.640993791818619
"contrac",0.51086962223053,0.25,512,4,"rect",0.1,0.640993785858154
"contrac",0.478260844945908,0.5,256,3,"rect",0.1,0.634161502122879
"contrac",0.472826093435287,0.25,512,2,"rect",0.1,0.631055915355682
"contrac",0.491847842931747,0.25,512,4,"diavolo",0.1,0.629813665151596
"contrac",0.489130437374115,0.25,1024,2,"diavolo",0.1,0.626086962223053
"contrac",0.502717435359955,0.25,1024,3,"rect",0.1,0.625465852022171
"contrac",0.47554349899292,0.25,1024,4,"rect",0.1,0.624844735860825
"contrac",0.480978280305862,0.5,512,4,"rect",0.1,0.622360265254974
"contrac",0.491847842931747,0.25,256,3,"rect",0.1,0.619254666566849
"contrac",0.472826093435287,0.5,1024,2,"rect",0.1,0.61925465464592
"contrac",0.489130437374115,0.25,256,4,"diavolo",0.1,0.616149079799652
"contrac",0.502717435359955,0.5,1024,3,"diavolo",0.1,0.615527963638306
"contrac",0.513586938381195,0.5,1024,8,"diavolo",0.1,0.614285719394684
"contrac",0.49456524848938,0.5,512,8,"diavolo",0.1,0.613043493032456
"contrac",0.489130437374115,0.25,512,2,"diavolo",0.1,0.613043493032455
"contrac",0.49184787273407,0.5,1024,3,"rect",0.1,0.611801266670227
"contrac",0.50271737575531,0.25,512,8,"diavolo",0.1,0.60993789434433
"contrac",0.480978280305862,0.25,512,3,"diavolo",0.1,0.608074539899826
"contrac",0.486413091421127,0.5,1024,2,"diavolo",0.1,0.60559007525444
"contrac",0.508152186870575,0.25,1024,4,"diavolo",0.1,0.603105592727661
"contrac",0.448369562625885,0.5,256,3,"rect",0.01,0.602484464645386
"contrac",0.489130437374115,0.5,512,3,"diavolo",0.1,0.600621116161346
"contrac",0.49456524848938,0.5,512,3,"rect",0.1,0.598136681318283
"contrac",0.491847813129425,0.5,1024,4,"diavolo",0.1,0.596273308992386
"contrac",0.478260904550552,0.5,256,8,"rect",0.1,0.596273303031921
"contrac",0.50271737575531,0.5,256,8,"diavolo",0.1,0.596273303031921
"contrac",0.486413061618805,0.25,512,16,"diavolo",0.1,0.595652204751968
"contrac",0.527173936367035,0.25,1024,16,"diavolo",0.1,0.590683251619339
"contrac",0.5,0.5,256,2,"diavolo",0.1,0.590062135457993
"contrac",0.45380437374115,0.5,256,3,"diavolo",0.1,0.590062123537064
"contrac",0.47826087474823,0.5,256,2,"rect",0.01,0.590062123537064
"contrac",0.47826087474823,0.5,256,4,"diavolo",0.1,0.589441001415253
"contrac",0.478260904550552,0.25,1024,2,"rect",0.1,0.589440995454788
"contrac",0.46195650100708,0.5,512,4,"diavolo",0.1,0.585714310407639
"contrac",0.410326093435287,0.25,256,2,"rect",0.01,0.58509316444397
"contrac",0.494565278291702,0.25,256,8,"rect",0.1,0.580745357275009
"contrac",0.491847842931747,0.25,256,8,"diavolo",0.1,0.577639770507813
"contrac",0.52173912525177,0.25,512,3,"rect",0.1,0.568944090604782
"contrac",0.451086938381195,0.25,256,16,"rect",0.01,0.568322974443436
"contrac",0.475543469190598,0.5,256,4,"rect",0.1,0.566459637880325
"contrac",0.464673906564713,0.5,512,8,"rect",0.01,0.565217399597168
"contrac",0.49728262424469,0.25,1024,3,"diavolo",0.1,0.5633540391922
"contrac",0.472826063632965,0.25,256,16,"diavolo",0.1,0.560248452425003
"contrac",0.494565218687057,0.5,512,2,"rect",0.1,0.559627342224121
"contrac",0.480978280305862,0.25,1024,16,"rect",0.01,0.557763993740082
"contrac",0.49456524848938,0.25,256,2,"rect",0.1,0.557142841815949
"contrac",0.448369592428207,0.5,1024,16,"rect",0.01,0.55403727889061
"contrac",0.461956530809402,0.25,256,3,"diavolo",0.1,0.552173924446106
"contrac",0.470108687877655,0.25,256,4,"rect",0.1,0.551552820205689
"contrac",0.47282612323761,0.25,1024,8,"rect",0.01,0.548447221517563
"contrac",0.47826087474823,0.5,512,8,"diavolo",0.01,0.54720498919487
"contrac",0.43206524848938,0.5,1024,4,"rect",0.01,0.543478274345398
"contrac",0.491847813129425,0.5,256,4,"diavolo",0.01,0.538509315252304
"contrac",0.426630437374115,0.25,512,8,"rect",0.01,0.53478262424469
"contrac",0.45380437374115,0.25,512,16,"rect",0.01,0.532919263839722
"contrac",0.4375,0.5,512,3,"rect",0.01,0.532298159599304
"contrac",0.440217405557632,0.5,256,8,"diavolo",0.01,0.530434757471085
"contrac",0.442934781312943,0.5,1024,16,"diavolo",0.01,0.529813671112061
"contrac",0.432065218687057,0.5,256,16,"diavolo",0.01,0.529192566871643
"contrac",0.437499970197678,0.25,256,16,"diavolo",0.01,0.527329194545746
"contrac",0.47826087474823,0.25,1024,2,"rect",0.01,0.526708084344864
"contrac",0.451086938381195,0.5,256,3,"diavolo",0.01,0.524844723939896
"contrac",0.429347813129425,0.5,1024,8,"diavolo",0.01,0.521118026971817
"contrac",0.39130437374115,0.5,256,8,"rect",0.01,0.520496898889542
"contrac",0.442934781312943,0.5,512,16,"rect",0.01,0.518012431263924
"contrac",0.45380437374115,0.25,512,3,"diavolo",0.01,0.516770195960998
"contrac",0.51086962223053,0.5,1024,8,"rect",0.01,0.516149070858955
"contrac",0.45652174949646,0.25,512,16,"diavolo",0.01,0.512422373890877
"contrac",0.445652186870575,0.5,1024,4,"diavolo",0.01,0.511801260709763
"contrac",0.404891282320023,0.5,1024,3,"rect",0.01,0.511801260709763
"contrac",0.470108717679977,0.5,256,2,"diavolo",0.01,0.506832313537598
"contrac",0.426630437374115,0.5,256,16,"rect",0.01,0.504968959093094
"contrac",0.461956530809402,0.25,512,8,"diavolo",0.01,0.504968959093094
"contrac",0.464673906564713,0.25,512,2,"rect",0.01,0.501242256164551
"contrac",0.445652157068253,0.25,1024,3,"diavolo",0.01,0.501242256164551
"contrac",0.421195656061172,0.25,256,8,"rect",0.01,0.50124224126339
"contrac",0.456521719694138,0.5,512,2,"diavolo",0.01,0.499378895759583
"contrac",0.421195656061172,0.25,512,3,"rect",0.01,0.498757782578468
"contrac",0.456521779298782,0.25,512,8,"rect",0.1,0.495652183890343
"contrac",0.46195650100708,0.5,1024,2,"rect",0.01,0.495031061768532
"contrac",0.426630437374115,0.25,256,3,"diavolo",0.01,0.493167725205422
"contrac",0.45652174949646,0.25,1024,3,"rect",0.01,0.491925466060638
"contrac",0.459239155054092,0.25,256,8,"diavolo",0.01,0.488198775053024
"contrac",0.470108658075333,0.5,512,16,"diavolo",0.01,0.487577655911446
"contrac",0.407608687877655,0.5,256,4,"rect",0.01,0.485093176364899
"contrac",0.451086938381195,0.25,512,4,"rect",0.01,0.481366476416588
"contrac",0.470108687877655,0.5,512,3,"diavolo",0.01,0.475776407122612
"contrac",0.467391312122345,0.25,1024,16,"diavolo",0.01,0.475155293941498
"contrac",0.39673912525177,0.25,256,3,"rect",0.01,0.473291939496994
"contrac",0.404891312122345,0.5,512,2,"rect",0.01,0.473291936516762
"contrac",0.399456530809402,0.25,1024,4,"rect",0.01,0.472049683332443
"contrac",0.396739155054092,0.25,256,2,"diavolo",0.01,0.463354042172432
"contrac",0.418478310108185,0.25,256,4,"diavolo",0.01,0.460869565606117
"contrac",0.41304349899292,0.25,1024,4,"diavolo",0.01,0.45962732732296
"contrac",0.37771737575531,0.5,512,4,"rect",0.01,0.452173921465874
"contrac",0.448369562625885,0.5,256,2,"rect",0.1,0.450310570001602
"contrac",0.43206524848938,0.25,1024,8,"diavolo",0.01,0.448447215557098
"contrac",0.391304343938828,0.25,1024,2,"diavolo",0.01,0.445962741971016
"contrac",0.486413061618805,0.25,512,2,"diavolo",0.01,0.441614910960198
"contrac",0.41304349899292,0.25,512,4,"diavolo",0.01,0.439751568436623
"contrac",0.45380437374115,0.5,1024,3,"diavolo",0.01,0.438509330153465
"contrac",0.4375,0.25,256,2,"diavolo",0.1,0.424844735860825
"contrac",0.44021737575531,0.25,256,4,"rect",0.01,0.41925465464592
"contrac",0.399456530809402,0.5,512,4,"diavolo",0.01,0.407453435659409
"contrac",0.394021719694138,0.5,1024,2,"diavolo",0.01,0.400621122121811
"contrac",0.429347842931747,0.5,512,3,"rect",1,0.385093188285828
"contrac",0.42934787273407,0.25,256,16,"diavolo",1,0.382608723640442
"contrac",0.42934787273407,0.5,512,8,"diavolo",1,0.381987598538399
"contrac",0.42934787273407,0.5,512,8,"rect",0.1,0.381366485357285
"contrac",0.429347842931747,0.5,1024,3,"rect",1,0.381366482377052
"contrac",0.429347842931747,0.25,256,4,"diavolo",1,0.38136647939682
"contrac",0.42934787273407,0.25,256,3,"diavolo",1,0.38136647939682
"contrac",0.429347842931747,0.25,512,3,"diavolo",1,0.38136647939682
"contrac",0.429347842931747,0.5,512,2,"rect",1,0.381366476416588
"contrac",0.429347842931747,0.25,256,2,"rect",1,0.381366467475891
"contrac",0.429347842931747,0.5,512,4,"rect",1,0.380745363235474
"contrac",0.42934787273407,0.5,256,8,"diavolo",1,0.38074534535408
"contrac",0.429347842931747,0.25,512,2,"rect",1,0.380124253034592
"contrac",0.42934787273407,0.25,256,2,"diavolo",1,0.380124250054359
"contrac",0.429347842931747,0.5,256,4,"rect",1,0.380124247074127
"contrac",0.429347842931747,0.5,1024,4,"rect",0.1,0.380124241113663
"contrac",0.429347842931747,0.5,512,16,"rect",0.1,0.380124241113663
"contrac",0.429347842931747,0.25,512,3,"rect",1,0.38012423813343
"contrac",0.429347842931747,0.25,512,16,"rect",0.1,0.380124229192734
"contrac",0.42934787273407,0.5,512,16,"diavolo",0.1,0.379503107070923
"contrac",0.429347842931747,0.5,256,16,"diavolo",0.1,0.378882020711899
"contrac",0.429347842931747,0.5,512,8,"rect",1,0.378882020711899
"contrac",0.42934787273407,0.25,256,8,"rect",1,0.378882020711899
"contrac",0.42934787273407,0.25,256,8,"diavolo",1,0.378882020711899
"contrac",0.429347842931747,0.25,512,2,"diavolo",1,0.378882020711899
"contrac",0.429347842931747,0.5,256,2,"rect",1,0.378882020711899
"contrac",0.429347842931747,0.5,512,16,"rect",1,0.378882017731667
"contrac",0.429347842931747,0.25,256,16,"rect",1,0.378882017731667
"contrac",0.429347842931747,0.25,512,8,"diavolo",1,0.378882017731667
